USA Ultimate National Championships,Club - Women ,18,10,2018
San Diego,CA,2018-10-18,2018-10-21
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2018/schedule/Women/Club-Women/
Brute Squad,1
00,Alex Ode
02,Sophia Hulbert
03,Courtney Verhaalen
04,Lien Hoffmann
05,Julianna Werffeli
06,Claudia Tajima
07,Kameryn Groom
10,Amber Sinicrope
12,Nicole Canning
13,Becky Malinowski
14,Tulsa Douglas
17,Angela Zhu
21,Chelsea Murphy
22,Victoria Negus
26,Elana Schwam
27,Jessie Grignon Tomas
28,Shellie Cohen
29,Caitlyn Lee
32,Megan Wilson
37,Lauren Sadler
38,Hannah Henkin
42,Rachel Kramer
46,Jojo Emerson
52,Caitlin O'Connell
71,Cassandra Wong
83,Alyson Steinfeld
b,r,e,a,k
Schwa,13
00,Katie Weatherhead
01,Seraphie Allen
02,Makena Strand
04,Emily Flock
05,Kimber Coles
06,Demri Horton
07,Shea Brennan
08,Eva Popp
09,Brenna Bailey
12,Mariel Hammond
16,Kristen Rosenblum
17,Jenica Villamor
18,Julia Sherwood
19,Georgina Tetlow
22,Natalie Hancock
24,Aubri Bishop
25,Lauren Truxillo
26,Shaelynn Davis
27,Elizabeth Longmire
28,Shannon Dennehy
37,Rebecca Perston
47,Madeleine Franz
55,Emery Otopalik
70,Morgan Caldwell
77,Strat Stratton
99,Noelle Takahashi
b,r,e,a,k
Heist,12
00,Donna Johnston
02,Sabrina Hoffman
03,Sara Gnolek
04,Ellie Daniels
05,Rose Glinka
06,Alexandra Hu
07,Austin Prucha
10,Alison Vandegrift
11,Melissa Gibbs
12,Emily Orner
13,Brittney Kokinos
14,Rachel Enyeart
16,Margaret Walker
17,Lindsey Waite
22,Elizabeth Lehman
23,Anna Williams
24,Camila Flowerman
30,Jean Huang
31,Sharon Yee
40,Amelia Cuarenta
44,Robyn Fennig
70,Charlotte Francoeur
84,Sara Stuedemann
87,Emily Langland
99,Caitlin Murphy
b,r,e,a,k
Nightlock,8
01,Maggie O'Connor
02,Marisa Rafter
05,Anne Gordon
07,Claire Sharman
08,Rachel Habbert
09,Audrey Lyman
10,Angela Aie
11,Iris Leung
12,Alexandra Hasan
13,Michelle McGhee
14,Emily Kolanz
15,Alison Griffith
16,Eliza Chang
19,Adrienne Lemberger
21,Megan Pera
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
27,Kira Lou
42,Jackelyne Nguyen
51,Shayla Harris
71,Manisha Daryani
89,Kimberly Long
96,Patricia Anderson
b,r,e,a,k
Fury,2
03,Anna Reed
04,Alex Snyder
05,Kaela Helton
06,Sarah Griffith
07,Octavia Payne
08,Nancy Sun
09,Marika Austin
11,Carolyn Finney
12,Diana Charrier
13,Cree Howard
14,Yelena Gorlin
15,Alden Fletcher
19,Amel Awadelkarim
20,Andrea Romano
28,Lisa Couper
29,Kirstin Johnson
33,Anna Nazarov
38,Claire McKeever
42,Darragh Kawaoka
44,Maggie Ruden
47,Bethany Kaylor
66,Lakshmi Narayan
69,Meeri Chang
70,Marisa Mead
71,Magon Liu
72,Katie Ryan
73,Sharon Lin
b,r,e,a,k
6ixers,7
01,Krystal Dos Santos
07,Jeannette Quach
09,Sarah Kidd
10,Destin McQuillan
11,Laura Kinoshita
14,Miriam Tingle
16,Jessica Chen
17,Nicolette Bertsch
18,Reve Chan
19,Sara Mar
20,Lauren Kimura
21,Lana Ramic
22,Sarah Bobak
23,Catherine Phillips
28,Jenna McLeod
29,Lily Steponaitis
35,Molly Lewis
51,Sarah Innes
53,Christine  Jurychuk
70,Brittney Dos Santos
90,Jordan Meron
91,Lindsay Musalem
93,Naomi Redmond
b,r,e,a,k
Traffic,14
00,Terri Whitehead
01,Louisa Thue
02,Laurel Jay
03,Michelle Ning
04,Katie Wong
05,Naomi Morcilla
06,Betsy Chan
08,Lisa Wong
09,Jessica Rockliff
11,Katie Hikida
12,Daisy Lin
13,Nekita Sidhho
17,Allison Short
19,Nagisa Fukuoka
21,Maria Chau
22,Carly Sakai
23,Jaimie Clay
24,Julia Zhang
27,Megan Kidston
29,Sophia  Chan
33,Laura Mason
42,Rachel Moens
44,Erin Bussin
47,Victoria McCann
77,Jennifer Kwok
87,Nicola Parker
90,Catherine Menzies
b,r,e,a,k
Phoenix,11
02,Savannah Erwin
03,Brandi Skanes
04,Ashley Powell
05,Jessica Jones
06,Qing (Jenny) Wei
07,Cacey-Jane Bunch
08,Georgia Tse
09,Jinny Riedel
12,Alix Robbins
13,Amanda Murphy
14,Lyla Stanland
15,Carmen Tormey
16,Briana Campbell
17,Jenna Dahl
21,Kyra Catabay
22,Anne Worth
27,Mary Rippe
33,Kumiko Fioramonti
42,Rebecca Fagan
52,Sydney Harris
55,Klara Calderon-Guthe
57,Elisabeth Parker
58,Rowan Jaynes
62,Becky Widmayer
b,r,e,a,k
Seattle Riot,3
00,Samantha Rodenberg
01,Kelly Johnson
02,Lucia Williams
03,Molly Sinnott
05,Paige Soper
07,Calise Cardenas
08,Rachel Bradshaw
09,Qxhna Titcomb
10,Shira Stern
11,Nora Landri
12,Callie Mah
14,Hana Kawai
15,Bailey Zahniser
16,Cassandra Swafford
17,Dominique Fontenette
18,Madeline Gilbert
19,Hannah M Kreilkamp
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
23,Aimie Kawai
25,Alyssa Weatherford
27,Julia Snyder
29,Lindsey Wilson
31,Stephanie Lim
37,Claire Trop
81,Charlie Mercer
b,r,e,a,k
Ozone,6
00,Madison Boyd
01,Alexandra Fairley
03,Paige Carver
04,Marissa Hannah
05,Lillian Ponitz
07,Lane Siedor
08,Samantha Daugherty
09,Anraya Palmer
10,Sophie Darch
11,Kristine Fedorenko
14,Josie Veal
15,Katelyn Travaglini
16,Leah Tsinajinnie
19,Kayla Emrick
20,India Stubbs
22,Paula Seville
24,Katherine Wooten
26,Cate Woodhurst
27,Meg Harris
30,Allison Snow
32,Haley Reese
37,Madeleine (Maddy) Frey
52,Erynn Schroeder
91,Jin-Mi Matsunaga
b,r,e,a,k
Rival,10
02,Nancy Haskell
03,Molly Barlow
06,Corinn Pruitt
07,Sara Nitz
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
12,Jessica Larson
14,Theresa Zettner
15,Brittany Wright
16,Sarah Craycraft
18,Caitlin Harley
20,Sophia Knowles
21,Mallory Griffith
22,Talia Barth
23,Nichole Kwee
24,Julia Weinert
30,Mackenzie Fazekas
31,Sara Scott
38,Jennifer Perry
42,Meg Duffy
44,Grace Denney
66,Tia Esposito
99,Iris Javersak
b,r,e,a,k
Pop,15
01,Lillian Bailey
02,Stephanie Wood
03,Makella Daley
04,Cassidy Krawczak-Kummrow
05,Kalli Poletto
07,Frances Tsukano
08,Jenny Gaynor
09,Sara  Helm
11,Rachel Gage
12,Rebecca Enders
13,Rachel Johnson
15,Katie Godfrey
17,Madeleine Preiss
18,Adrienne Baker
19,AJ Uthe
25,Courtney Kiesow
26,Rebecca Ludford
28,Jill Kiener
33,Kayla Blanek
40,Chip Chang
49,Rose Gruenhagen
53,Emma Piorier
77,Kristen Schultz
89,Rebekah Swanson
93,Biz Cook
b,r,e,a,k
Molly Brown,4
00,Melissa Devlin
02,Jesse Shofner
03,Maggie Chen
04,Liza Minor
05,Nhi Nguyen
06,Samantha Peletier
07,Paige Applegate
08,Victoria Elmore
10,Lauren Baecher
11,Dena Slattery
12,Liz Narmour
13,Alika Johnston
15,Sara Taggart
16,Megan Cousins
18,Manuela Cardenas 
20,Kiera Lindgren
21,Chelsea Twohig
22,Allysha Dixon
24,Alex Hardesty
26,Lisa Pitcaithley
31,Carolyn Vlach
42,Lisi Lohre
44,Stacy Gaskill
47,Rebecca Miller
52,Claire Chastain
65,Megan Ives
97,Sarah Pesch
b,r,e,a,k
Scandal,5
00,Emma Price
01,Lindsay Soo
02,Laurel Oldershaw
03,Edith Teng
04,Sarah Itoh
06,Lisa Kowalski
07,Danielle Byers
08,Kristin Franke
09,Jessica O'Connor
11,Nada Tramonte
12,Amy Zhou
13,Kathleen Ratcliff
14,Colleen Marshall
17,Caroline Tornquist
19,Katey Forth
20,Casey Gorman
22,Lauren Allen
23,Sarah Lord
24,Kelly Ross
25,Michelle Carey
34,Ingrid Petterson
44,Keila Strick
50,Hannah Boone
55,Molly Roy
b,r,e,a,k
Wildfire,16
00,Erin Crider
01,Sharon Tseng
02,Amy Halvorsen
04,Kristen Pojunis
05,Caitlin O'Bara
07,Katie Ogden
08,Alexa Cohen
10,Christy Jarman
11,Melissa Dunn
13,Corey Atkins
14,Mei Bruist
15,Brittany Cabriales
16,Audrey Brown
20,Kelli Iwamoto
25,"Lily ""Thud"" Lin"
27,Hani Pajela
28,Stephanie Pritchard
37,Hannah Walter
44,Rayna Wachs
47,Dena Elimelech
50,Enway Melo
51,Lindsay Lang
52,Annie Ngo
81,Ellen Smith
88,Veronica Eder
b,r,e,a,k
Nemesis,9
00,Eileen Duffner
01,Allison Fish
02,Elizabeth Arakaki
04,Monica Matsumoto
05,Anna Thorn
06,Risa Umeno
08,Christina Sur
10,Emilie Willingham
11,Beth Daviess
12,Jennifer Corcoran
13,Jessica Sipperley
15,Danielle Blatt
17,Erika Danckers
18,Sarah Kim
19,Rachel Foster
22,Jessica Serednesky
23,Emily Hadel
25,MK Andersen
31,Abby Shure
32,Carol Li
72,Jacqueline Jarik
77,Sara Miller
84,Sarah Lipscomb
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
