TCT Select Flight Invite 2018,Club - Men ,28,7,2018
Salt Lake City,UT,2018-07-28,2018-07-29
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018/schedule/Men/Club-Men/
Guerrilla,1
teamInfo,,"Oakland, California",,https://www.facebook.com/guerrillault/,https://www.twitter.com/guerrillault
coaches,Cody Mills
0,Andy Smith
02,Samuel Adamson
04,Shane Earley
05,Matthew Crawford
06,Charles Cao
08,Brandon Fein
09,Andrew Moore
10,Sonny Zaccaro
11,Caleb Merriam
12,Steven Chang
13,Dillon Whited
14,Mark Philipson
15,Lucas Young
16,Zach Sabin
18,Eric Greenwood
20,Sam Swink
21,Jackson Stearns
22,Jack Hamner
24,Jason Yun
42,Matt Jaffe
74,Jacob Greenberg
88,Nicholas Murphy
99,Tim Gilligan
b,r,e,a,k
CaSTLe,11
teamInfo,,"St. Louis, Missouri",,,@CASTLE_ultimate
0,Cameron Yuan
1,Evan Karson
2,Devin Belvin
3,Alex McClure
4,Parker Quinn
5,Zachary Gase
6,Robert Kirkum
8,Daniel Scribner
10,Jacob Jackson
12,Greg Maier
13,Joel Maiman
14,Trystan Alexander
15,Alex Semaca
16,Matt Nuoffer
18,Cody Curran
19,George Brell
21,Brendan Carriel
22,Ben Krupp
23,Anthony Marino
24,Jeff Morrison
25,Sean Campbell
45,Ben Clark
55,Nirek Sharma
58,Philip Arnold
85,Michael Kasper
b,r,e,a,k
Dark Star,8
teamInfo,,"Eugene, Oregon",http://www.darkstarultimate.com,,https://twitter.com/eugenedarkstar
0,Aaron Peterschmidt
0,Bao Pham
0,Benjamin Liu-May
0,Braedon Petrus
0,Chase Matthews
0,Eric Rosenfeld
0,Hai Luong
0,James Shanahan
0,Jason Simms
0,Luke Weinstein
0,Keith Bucher
0,Ted Werbel
0,Thomas Oliver
0,Thomas Hibdon
0,William Watkins
3,Drew Peterschmidt
5,Noah Stuart
8,Kent Mastroianni
11,Jonathan Aycock
14,Michael Fielden
24,Nam Vo
24,Nicholas Jackson
26,Taylor White
28,Kyle Hancock
55,Connor Matthews
62,Patrick Buermeyer
b,r,e,a,k
PowderHogs,14
teamInfo,,"Salt Lake City, Utah",http://utahultimate.org/powder-hogs/,https://www.facebook.com/UtahPowderHogs,https://twitter.com/PowderHogs
0,Alexander Knock
0,Benjamin Hodson
0,David Brooks
0,Jason McKeen
0,Joseph Stringham
0,Justin McKeen
0,Russ Barr
0,Simon Greenhalgh
0,Tyler Foster
1,Ryan Martin
3,Eric Christensen
7,Brandon Pedersen
8,Cole Stenseth
9,Brad McKeen
11,Alex Walker
11,Ethan Wimmer
16,Ben Guthrie
17,David Kroupa
22,AUSTIN DECUIR
23,Bill Razey
27,Brandon Jordan
30,"Alexander ""Sascha"" Vogel"
32,Nacody de la Rosa
41,Harrison Sucher
43,Jacob Miller
69,Scott Grimm
93,Seokhee Burningham
b,r,e,a,k
Rhino Slam,2
teamInfo,,"Portland, Oregon",http://www.rhinoultimate.com/,https://www.facebook.com/pages/Portland-Rhino/406995056021898,https://twitter.com/RhinoUltimate
02,Brandon Lafferty
03,John Cairns
05,Garrett Martin
06,Cody Bjorklund
07,Kristian Grobecker
08,Benjamin Whitenack
09,Chris Hancock
10,Colby Chuck
12,Jonathan Lee
13,Timmy Perston
17,Raphael Hayes
20,James Shaw
21,Spencer Latarski
24,Adam Rees
26,Colton Clark
27,Trevor Smith
28,Hylke Snieder
30,Sam Franer
31,William Beck
35,Andrew Halpin
40,Vinh Bui
42,Will Lohre
44,Owen Murphy
62,Quinn Buermeyer
88,Duncan Fitzgerald
91,Aaron Adamson
b,r,e,a,k
Mad Men,7
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/madmenultimate/,https://twitter.com/MadMenUltimate
00,Andrew Ishikawa
00,Austin Reif
00,Ben Pavelka
00,Branavan Yogarajah
00,Cody Milstein
00,Henry Goldenberg
00,Jacob Hobbie
00,Jonathan Yeoh
00,Kelsen Alexander
00,Liam McDonald
00,Peter Walker
02,Tyler Williams
06,Gordon Peterson
17,Sean Treacy
24,Andrew Everts
26,Simon Kuran
41,Colin Sunde
46,Addison Hanson
49,John Tan
55,Ben Kishter
b,r,e,a,k
Sawtooth,12
teamInfo,,"Boise, Idaho",,,
0,Andrew Jacobs
0,Joe Dawson
0,Joshua Letsinger
0,Lucas Henken
0,Matt Stegemann
0,Oakley Richins
0,Owen Kempf
0,Taylor Empey
0,Tully Martin
4,John Martin
7,Mathew Gossard
9,Rich Brown
11,Archey Charnou
12,Joe Warnecke
13,Ryan Melvin
14,Sawyer Beddoes
14,Matthew Wilder
21,Justin Warnecke
23,Mike Beacham
23,Shawn Moorhouse
31,Tanner Cleveland
71,Harper Poole
99,Phil Warnecke
b,r,e,a,k
Gamble,13
teamInfo,,"San Marcos, Texas",,,
00,Kevin Roux
03,Luke Hebert
04,Trenton Hebert
05,Michael Bryant
06,Gage Edblom
07,Benjamin Rogers
08,Dylan Swoboda
10,Jake Reinhardt
11,Reese Bowman
12,Cullen Baker
14,Mutahir Ahmad
17,Anthony Shelton
18,Casey Aldridge
21,Connor DeLuna
23,JOSH BRUNELLI
24,Shaun Seidenberger
27,Matthew Wilson
33,Luke Simerly
41,Brian Street
80,Connor Cole
81,Zac Chandonnet
98,Simon Vickers
b,r,e,a,k
Furious George,3
teamInfo,,"Vancouver, British Columbia CA",furiousultimate.com,https://www.facebook.com/FuriousGeorgeUltimate,https://twitter.com/FuriousUltimate
0,Andre Gailits
0,Andrew Dick
0,Ari Nitikman
0,Brendan Wong
0,Kevin Chan
0,Malcolm Bryson
0,Mathew Goodkey
0,Justin Pettenuzzo
0,Robbie Brennan
0,Tim Tsang
0,Ty Barbieri
3,Alistair Robb
4,Dawson Pasin
7,Charles Eyrich
8,Morgan Hibbert
9,Brayden Gee
23,Fred Lam
24,Peter Yu
27,Alexander Davis
29,Kevin Lore
44,Devon Thomson
50,Jonah Lee-Ash
68,David Neilson
81,Rumi Tejpar
89,Kevin Underhill
b,r,e,a,k
Illusion,6
teamInfo,,"Iowa City, Iowa",,https://www.facebook.com/illusionultimate/,https://twitter.com/dbqillusion
5,Dillon Crowell
6,Nick Sanchez
8,Joseph Kosterman
9,Kegan Wakefield
10,Jacob Jahnke
12,Matthew Murry
15,Matthew Weber
18,Jonathan Beavers
19,Jon Olson
21,Ethan Sabado
24,Trevor Sawatzky
27,Lucas Boyle
28,Niko Beauchamp
44,Chuan Jie Loy
55,Brad Wylam
77,Eric Shomo
88,Brent Novey
97,Tanner Boyle
98,Arvin Bustos
99,Colin Fry
b,r,e,a,k
Nitro,9
teamInfo,,"Dallas, Texas",,,
0,Jason Christian
3,Tyler Criss
4,Ryan Kyle
5,Darius Tse
6,Preston Howell
7,Ashton Lewis
8,Blake Duncan
9,Bryan Hoffman
13,Steven Borik
15,Jason Dick
17,Zachary Slayton
20,Javier Oliver
21,Josh Cunningham
22,Scott Zachary
25,George Lampron
26,Caleb Dixon
32,Joseph Welkener
33,Michael Wilson
43,Peter Rangel
54,Travis Bieda
81,Colin Doescher
89,Jack Wooldridge
99,Tanner Roberts
b,r,e,a,k
Prairie Fire,4
teamInfo,,"Kansas City, Kansas",http://prairiefireultimate.com,,https://www.twitter.com/pfultimate
02,Zach Hunter
03,Adeeb Haroon
04,Joe Young
05,Bret Bergmeier
06,Caleb Cauthon
07,Neil Newsome
08,Allen Jones
09,Brooks Hidaka
10,Peter (PJ) Matulka
11,Tim Robbins
11,Trent Kuhl
12,Joshua Morris
13,Jared VanLandingham
15,Cameron Hunter
16,Keaton Bowers
17,Joe Wheelock
18,Josh Manning
19,Thomas Schreiber
20,Austin Barnes
21,Christian Simpson
22,Ryan Tuschhoff
24,Danny Kurz
25,Brett Hidaka
28,Wint Doering
35,Ryan Irvin
98,Matthew Beers
b,r,e,a,k
Voodoo,5
teamInfo,,"Seattle, Washington",,,
1,James Freed
2,Chris Bubernak
3,Kenny Lane III
6,LOUIS COHEN
8,Micah Jo
9,Spencer Lofink
10,Theodore Laws
11,Daniel Takashima
14,Ryan Segal
16,Steven Benaloh
19,Chris Roach
20,Will Herold
21,Lucas Chen
23,Dennis Casio
25,Gavin Sing
28,Tian Chuan Yen
34,Nicholas Roberts
35,Justin Ting
44,Noah Kregenow
46,Ryan Sturm
52,Christopher Vandervoort
79,Robby Perkins-High
84,Jonathan Stacey
b,r,e,a,k
Black Market,10
teamInfo,,"Lombard, Illinois",https://www.BlackMarketUltimate.com,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
00,Joseph Conerty
01,Daniel Vockeroth
03,Michael Armstrong
05,Zach Kieffer
06,Kevin Cleary
08,Johnny Saniat
13,Daniel Miller
15,Jeremy Burril
16,Kevin DeAngelis
17,Louis Nagle
20,Reid Martin
30,Nathan Wells
31,Nicholas Golini
34,Christopher O'Hara
40,Canaan Murray
45,Chris Santiago
47,Daniel O'Dell
51,Max Hamilton
59,Brett Ploussard
71,Dylan Power
76,Girolamo S Kelly
85,Matthew Lemaitre
90,NICK PROZOROVSKY
99,Evan Power
b,r,e,a,k
The Killjoys,15
teamInfo,,"Orem, Utah",,,
0,CASEY ROWLEY
