Big Sky Men's Sectional Championship,Club - Men ,8,9,2018
Farmington,UT,2018-09-08,2018-09-09
https://play.usaultimate.org/events/Big-Sky-Mens-Sectional-Championship-2018/schedule/Men/Club-Men/
NCFO,4
0,John Oldroyd
0,Tanner Yorgason
00,Tyrell Adair
00,Will Honey
00,Joseph Merrill
00,Kenny Baldwin
00,Parker Eldredge
00,Anthony Mounga
00,Benjamin Hodson
00,Bryce Merrill
00,Devon Terry
00,Eldon Robertson
00,Eric Jacobson
00,ISAAC PRITCHETT
10,Braden Eberhard
11,ROBERT BODILY
30,James Fiala
66,Jordan Kerr
87,Kenji Hood
b,r,e,a,k
Sawtooth,1
0,Andrew Jacobs
0,Drew Lysne
0,Joe Dawson
0,Joshua Letsinger
0,Lucas Henken
0,Matt Stegemann
0,Oakley Richins
0,Owen Kempf
0,Scott Kaltenecker
0,Taylor Empey
4,John Martin
7,Mathew Gossard
9,Rich Brown
9,Michael Hamburger
11,Archey Charnou
12,Joe Warnecke
13,Ryan Melvin
14,Sawyer Beddoes
14,Matthew Wilder
21,Justin Warnecke
23,Mike Beacham
23,Shawn Moorhouse
71,Harper Poole
b,r,e,a,k
PowderHogs,2
0,Branden Frieden
0,Justin McKeen
0,Tyler Foster
1,Ryan Martin
7,Brandon Pedersen
8,Cole Stenseth
9,Brad McKeen
03,Eric Christensen
10,Joseph Stringham
11,Ethan Wimmer
11,Alex Walker
15,Garrett Martin
17,David Kroupa
20,Russ Barr
22,AUSTIN DECUIR
23,Bill Razey
25,Ryan Courtney
27,Brandon Jordan
30,"Alexander ""Sascha"" Vogel"
31,David Brooks
32,Nacody de la Rosa
41,Harrison Sucher
43,Jacob Miller
44,Zachary Nebeker
64,Jason McKeen
77,Connor Hess
89,Alejandro Palomino
b,r,e,a,k
The Killjoys,3
00,Daniel Cheney
00,Daniel Pettingill
00,Derek Connole
00,Jamison Orton
00,Jarom Brandow
00,Jeremy Teela
00,Kalin Nelson
00,Nate McMurdie
00,Parker Awerkamp
00,Aleksandar Maccabee
00,Alex Frandsen
00,Brigham Schellenberg
00,Bryson Chipman
00,CASEY ROWLEY
00,Taylor Barton
05,Sam Pugh
12,Ryan McCready
12,Ryan Johnson
24,Patrik Connole
28,Clinton James
32,AJ Cozzens
33,Bryson Jones
73,TONY PEHRSON
78,Sean Connole
b,r,e,a,k
s,t,a,g,e,s
pools,One Day Pool
pool,Pool A
Sawtooth,The Killjoys,13,8,"09/08/2018, 10:00",Pool A,Final
PowderHogs,NCFO,11,13,"09/08/2018, 10:00",Pool A,Final
Sawtooth,NCFO,10,13,"09/08/2018, 11:45",Pool A,Final
PowderHogs,The Killjoys,9,12,"09/08/2018, 11:45",Pool A,Final
Sawtooth,PowderHogs,10,13,"09/08/2018, 13:30",Pool A,Final
The Killjoys,NCFO,10,13,"09/08/2018, 13:30",Pool A,Final
b,r,e,a,k
