Tally Classic XIII,College - Men ,10,3,2018
Tallahassee,FL,2018-03-10,2018-03-11
https://play.usaultimate.org/events/Tally-Classic-XIII/schedule/Men/CollegeMen/
Massachusetts,1
05,Jacob Radack
07,Gabriel Schmitt
08,Dustin Baglow
09,Dillon Monti
10,Elijah Mishkind
14,Gregory Oreste
15,Tannor Johnson
18,Jared Madore
18,Brett Gramann
21,Patrick Barron
29,Jared Chapman
31,Eddie Scott
32,Jack Staples
33,Jared Scheinberg
38,Matt Caswell
42,Liam Gallinagh
47,Ethan Smith
70,Samuel Gagnon
76,Solomon Maerowitz-McMahan
80,Chris Bartoli
89,Eugene L'Heureux
96,Alexander Donadio
b,r,e,a,k
Carnegie Mellon,9
2,Ryan Hoffman
3,Kaizad Taraporevala
5,Scott Harvey-Arnold
7,Theo Gonzales-Tapley
9,Kyle Jannak-Huang
10,Justin Abel
11,Joel Miller
12,Foster Boales
13,Ryan Christianson
14,Kevin Wang
16,Dylan Steele
17,Jasper Tom
18,Mark Wuebbens
26,Ryan Harty
30,ThomasJae Garcia
31,Justin Forman
32,Joseph Pickens
35,Alton Olson
43,Justin Chang
52,Aaron Collins
61,Eric Li
72,Joseph Norby
b,r,e,a,k
Central Florida,8
0,Adam Lapikas
01,Austin Gaines
02,Kameron Knight
03,Benjamin Ostman
04,Zachary Good
05,James Hudson
06,Kyle Lockwood
07,Samuel Marten
08,Harrison Slate
09,Robert Bronchick
10,James Dangler
11,Seaver Bransfield
12,Andre Bordelon
13,Adam Vinson
14,Roberto Navarro
15,Alexander Mejido
16,Kyle O'Connor
18,Tyler Carolino
21,Austin Fudge
23,Duc-Quy Nguyen
24,Ivram Williams
27,Robert Matthew Hankin
32,Austin Malone
47,Austin Koffarnus
74,Remi Prendergast
88,Thomas Milana
b,r,e,a,k
Alabama,17
0,Austin Herriott
0,Dylan Hayes
0,Nathan Lyle
0,Josh Van Cleave
0,Landon Sagle
0,William Parker
1,Trip Crowley
4,Jacob Bultman
5,Payton Garlington
15,Matt Green
17,Philip Speegle
21,Zach Griffin
22,Cameron Elmore
23,Tyler Morgan
24,Fletcher Hare
32,John Stanfield
34,Camden McNeely
42,Watson Anderson
50,Terren Moore
59,Daniel Conner
b,r,e,a,k
Florida Tech,16
0,Jacob Gaines
0,James Krenger
0,Jay Boder
0,Eric Gencheff
0,Paul Jaime
7,Robert Barrett
9,David Witte
11,Jacob Clary
12,Adam Stillson
13,Robert (Bobby) Rogulski
15,William McCormick
19,Hunter Davis
21,John Kenneth McGuire
27,Brendan Sheets
27,Seamus Burns
33,Alex Martin
42,Joshua Newman
77,Reed Antonich
96,Thomas  Brodeur
b,r,e,a,k
North Carolina-Wilmington,2
0,Alex Bleuzen
0,Colin Ward
0,Jack Liebling
0,James Lockamy
0,Keane Squeri 
