D-I College Championships,College - Women ,25,5,2018
Milwaukee,WI,2018-05-25,2018-05-28
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2018/schedule/Women/CollegeWomen/
Dartmouth,1
b,r,e,a,k
West Chester,13
teamInfo,West Chester,"West Chester, Pennsylvania",https://dubcultimate.wixsite.com/wcuwomensultimate,https://www.facebook.com/westchesterultimate/,@WcuWomens
coaches,Marc Stachowski
01,Sara Frank
02,Nayah Cruz
03,Rachel Alfano
05,Lindsay McKenna
07,Danielle Byers
08,Liz Hart
09,Lisa Toroni
10,Sydney Eller
11,Melissa Cantasano
13,Sierra Snyder
14,Laura Black
15,Mallory Drake
16,Kyleigh Shuster
17,Anna Dyska
18,Kristen Henry
20,Clerisse Lardieri
34,Kiersten Adams
37,Jess Rittenhouse
b,r,e,a,k
California-Santa Barbara,17
teamInfo,Burning Skirts,"Goleta, California",,,
02,Kerry Jones
04,Lauren Bedard
05,Felicia Cruz
06,Leah Forester
07,Kiera Plioplys
08,Crystal Lee
10,Nicole Sun
11,Jasmine Childress
12,Amanda Nguyen
13,Julia Kwasnick
14,Holly Kimura-Carlin
16,Audrey Brown
17,Nisha Jagota
18,Kaitlyn Weaver
21,Mika Leslie
22,Jessica Pham
23,Camden  Palm
26,Emma Takeuchi
27,Kana Suzuki
30,Mary Mraovich
32,Jennifer Bardwell
61,Hani Pajela
67,Amiya Dutta
b,r,e,a,k
Texas,7
teamInfo,Melee,"Austin, Texas",http://texaswomensultimate.github.io/home/,https://www.facedbook.com/utexasultimate/,https://twitter.com/txmelee
coaches,Kayla Ramirez,Shereen Rabie
02,Alysa Chiovatero
03,Domenica Sutherland
04,Cameron Bryan
06,Ivy Harrison
07,Lindsey Cox
10,Gaby Cuina
11,Amberly Malone
12,Caroline OConnell
13,Jasmine Anand
17,Marissa Land
21,Katelynn Zacharias
22,Emma Berrigan
23,Laura  Gerencser
29,Shannon Ray
44,Katia Krupa
47,Anna Hutton
72,Hannah DeVault
88,Briana Roberts
99,Alexandra Magid
b,r,e,a,k
California-San Diego,2
teamInfo,UCSD Psychos,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/psychoultimate?ref=br_tf,@psychoultimate
coaches,Alisha Stoun,Carlo Mosca,Sheliemae Lai
02,Alexandra Diaz
04,Sara Zhang
05,Jessica Freeman
10,Madison Tenney
11,Avery Jones
18,Rebeca Ellis
20,Kelli Iwamoto
21,Emily Kunselman
25,Samantha Wool
41,Kristine Mendoza
43,Stacy Tran
44,Rachelle  Buske
45,Vijaya George
46,Zosalia Lee
47,Dena Elimelech
60,Leanne Go
66,Pin-Hsuan Chen
96,Purisa Simmons
b,r,e,a,k
Michigan,18
