2018 U.S. Open Club Championships,Youth Club U-20 - Boys ,4,8,2018
Blaine,MN,2018-08-03,2018-08-06
https://play.usaultimate.org/events/2018-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
Triforce,1
02,Collin Wilkes
03,Josh Singleton
04,Quinn Garner
05,Brennan Kramling
07,Daniel Ferriter
10,Chris Walsh
11,Andrew Li
12,Jack McCleary
13,Ramzi Cope-Musleh
14,Bodhi Harmony
15,John Laney
23,Dasan Bender
24,Robert Keener
25,Chris Cole
28,Jake Taylor
29,Vincent Chen
31,Sean Wiles
32,Albert Yuan
49,Aidan O'Connell
51,Kevin Pignone
54,Michael Saleeby
96,Ethan Ylizarde
b,r,e,a,k
Texas Two Step,8
01,Manov Jain
02,Gavin Davis
03,Colton Green
04,Omar  Semrin
05,Cameron Breding
07,Ethan Thompson
08,Clinton Campbell
09,Jacob Everly
10,Josiah Willis
13,Tyler Reinhardt
14,Jackson Cole
17,Benjamin Rogers
20,Jason Jones
21,Ryan Poe
23,Ryan Whisenhunt
27,Jackson Potts
37,Jordan Whiteley
71,Zachary Slayton
b,r,e,a,k
Little Pony,9
00,Noah Lewine
01,Alex Borinstein
03,Hyosam Jeon
04,Orion Lehoczky Escobar
09,Brandon Chan
12,Jack Lam
13,Ryan Kelly
17,Luke Smith
19,Angel  Ng 
22,Alex Pistolesi
23,Eric Binder
25,Sergei Mishchenko
32,Geoffrey Zheng
49,Jensen Li
55,Leo Jordan
69,Ray Ye
80,Bo  Lu
87,Jack Abramson
87,Sean Carroll
88,Michael Chen
96,Eric Lam
b,r,e,a,k
ATLiens,7
00,Kendel Ridley
01,Evan Marshall
02,Isaac Huntington
05,Ben Dameron
06,Aidan Downey
08,Jack Persons
09,Miles Pearlstein
11,Matthew Shu
12,Jaden Medley-Fowlkes
13,Jake Powell
15,David Chalmers
16,Harrison  Briggs 
17,Hayden Austin-Knab
18,Adam Miller
19,Jacob Dillard
20,Brian Hazelwood
27,Wyatt Maher
28,Justin Hill
29,William Johnson
34,Jaliwa Albright
36,Sean O'Kelley
42,Francisco Fernandez
72,Matthew Dacey-Koo
b,r,e,a,k
BUDA,2
03,Zach Jaromin
04,Luke Sedor Protti
05,Wyatt Kellman
06,Luca  Harwood
09,James Cairn
