Bring the Huckus 9,College - Women ,24,2,2018
https://play.usaultimate.org/events/Bring-the-Huckus-9/schedule/Women/CollegeWomen/
Williams,1
00,Abigail Fournier
00,Anna Lietman
00,Casey  Phalen
00,Clare Rogowski
00,Elsa Bjornlund
00,Erica Gibble
00,Hattie Schapiro
00,Isabel Cushing
00,Louisa Nyhus
00,Louisa Goss
00,Madeline Kaplan
00,Nelly Lin-Schweitzer
00,Sarah McLaughlin
00,Sofie Netteberg
04,Mairead Reynolds
06,Caley Dickinson
09,Haley Lescinsky
12,Caroline Weinberg
13,Mia Wang
14,Abigail Miller
16,Liliana Bierer
17,Rachel Retica
23,Andrea Quintanar
25,Ava Anderson
26,Eliza Klein
b,r,e,a,k
Wesleyan,4
0,Cordray McCann
0,Eileen Connor
0,Imogen Nelson
0,Kelly Jamrog
0,Laura  Bither
0,Lily Gould
0,Louisa Winchell
0,Maya Marshall
0,Natasha Timmons
0,Sage Loomis
0,Sophie Lesjak 
0,Amabel Jeon
3,Chi Chi Wakabayashi
25,Sydney Taylor-Klaus
b,r,e,a,k
SUNY-Binghamton,8
0,Cassandra Silano
0,Christina McGovern
0,Danica Vasa
0,Jamie Hong
0,Katherine Bulger
0,Kerianne Coulon
0,Kylie McClay
0,Quinn Thayer
0,Reilley Blue
0,Samantha Symes
0,Sarah Sheldon
0,Tanya Nasra
b,r,e,a,k
SUNY-Geneseo,5
1,Hannah Embry
6,Nicole Horn
7,Kaitlyn West
10,Camille Montalbano
12,Madeline Staiger
13,Stephanie Mellin
14,Madeline Schwenker-Punnett
18,Liza Amirault
19,MaryKelly Hilton
20,Alicen  Ambrosia
24,Margaret Pigliacelli
26,Abigail O'Brien
27,Tess Robinson
29,Sarah  Hayes
33,Maria Papas
97,Talia Crisafulli
b,r,e,a,k
Skidmore,9
0,Abigail Kaye
0,Alex Harney
0,Annie Tilden
0,Daphne Moskofides
0,Elizabeth Picken
0,Grace Sowyrda
0,Hannah Miller
0,Quinn Campbell
0,Sammi Smith
6,Melissa Dunning
10,Carol Morales
22,Gina Pryciak
24,Karabo  Mosola
b,r,e,a,k
Boston College,3
0,Abbey O’Brien Weiss
0,Alexa Carter
