Mid-Atlantic Warmup 2018,College - Men ,3,2,2018
Williamsburg,VA,2018-02-03,2018-02-04
https://play.usaultimate.org/events/Mid-Atlantic-Warmup-2018/schedule/Men/CollegeMen/
Dartmouth,8
teamInfo,Pain Train,"Hanover, New Hampshire",http://www.dartmouth.edu/~ultimate/home.html,,https://twitter.com/DMouthPainTrain
0,Andrew Binder
1,Avery Feingold
3,Graham Sisson
4,Daniel Moder
6,Kyle Bensink
7,Quinn Hottendorf
10,Isaac Gluck
11,Robert Livaudais
12,Spencer Heim
13,Oliver Chartock
14,Karim Itani
17,Thanh Nguyen Jr
18,Brady McCallister
19,Rohan Bose
21,Ben Lewis
22,Garrett Rawlings
24,Eric Greenlee
27,Callum Hening
28,Wendell Beane
36,Kevin Mercado
88,Connor Haines
b,r,e,a,k
Georgetown,10
teamInfo,Catholic Justice,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,https://www.facebook.com/CatholicJustice,https://twitter.com/GeorgetownUlti
0,Paul Castaybert
01,Dylan Kreher
03,David Fitzpatrick
04,Zachary Hankin
06,Logan Willits
07,Matthew Cullom
10,Maximilian Cohen-Casado
11,Schuyler Colloredo-Mansfeld
13,Eamon Coburn
17,Eric Diestelow
18,Jack Romp
19,Anthony Bernard-Sasges
21,Jonathan Toib
22,Thomas Elbert
25,Richard Trevithick
27,Danie Fain
29,Cullen Dobbs
30,Christian Boxley
31,Blake Spangler
33,Luke Curran
45,Ian Woods
77,David Wilke
88,Kunwoo Shin
96,John Montesanto
98,Christopher Dunn
b,r,e,a,k
Elon,17
teamInfo,Big Fat Bomb,"Elon, North Carolina",http://elonultimate.wix.com/bigfatbomb,https://www.facebook.com/ElonUltimate/,https://twitter.com/Elon_BigFatBomb
0,Andrew Kleinert
0,Ben Helpin
0,Colin Emerson
0,Jesse Newman
0,Jonathan  Duen
0,Mikey Golaski
0,Peter Komlofske
0,Richard DeWine
0,Stephen Biechele
0,Zander Clay
1,Sam Alston
2,Garrett Wibbelsman
3,Matthew Semple
5,Josh Strauss
8,Ethan Gould
9,Daniel Ryan
13,Tyler Spaulding
14,Brian Matejevich
16,Blake Fang
18,Jeremy Lonnman
21,Joe Grier
24,Connor Whiffen
25,Remy Benzel
27,Kyle Mularchuk
36,Peter Brennan
42,Nat Alden
43,James Burnham
46,Bo Stuart
49,Matthew Minford
55,Charles Vosmik
69,Josh Poland
73,Ceng Chen
87,Jake Cisternelli
87,Thomas Murphy
94,Daniel Thorrens
b,r,e,a,k
Rutgers,15
teamInfo,Machine,"New Brunswick, New Jersey",,,
0,Dyllon Jeng
0,Francis Casimiro
0,Justin Eng
0,Patrick Chirichella
0,Paul Savarskyy
0,Peter Jeng
1,Daniel Kline
3,Will DiSturco
8,Brian DiNicola
9,Dean  Klimek
13,Summer Zheng
14,Brendon Pierce
23,Otto Gomez
31,Francis Joe
36,Tanner Yuhas
64,Benjamin Levy
b,r,e,a,k
Virginia,1
teamInfo,Night Train,"Charlottesville, Virginia",http://nighttrainultimate.com,,https://twitter.com/nighttrainatuva
2,John Bagli
3,Jacob Hartzler
4,Bryce Foster
5,Quinn Hermann
7,Kevin Sutyla
8,James Godwin
9,Kevin  Niu
10,Alexander Rudin
11,Ryan French
12,Corey Sostre
13,Josh Barnard
15,Taylor Shuford
17,Will Heslop
19,Christopher Zaino
22,Sawyer Linde
23,Alexandre Fall
24,Jake Karton
27,Joe Spaeth
30,Danny Krug
30,Robby Keough
31,Alex Turney
32,John Scoville
33,Tanner Dellett-Wion
41,Thomas Owen
44,Jack Pipatti
70,Lincoln Hirn
74,Derek Schauss
78,Isaac Roberts
85,Coleman Dickerson
b,r,e,a,k
Richmond,2
teamInfo,Spidermonkeys,"Richmond, Virginia",https://urspidermonkeys.wordpress.com,,https://twitter.com/urspidermonkeys?lang=en
coaches,Matthew Graves
0,Jack Connelly
0,Robert Silipigni
2,Evan Steinfield
3,Matt Chiappinelli
6,Tynan Englert
8,Ben Weinstein
12,Justin Keller
13,Noah Sapp
16,Christopher Selwood
18,Jacob Rotter
20,Liam McGrinder
22,Harris Cannon
24,Michael Le
27,Patrick  Murray
30,Graydon Cowan
31,Daniel Scherzer
34,Zachary Perkins
39,Xavier McCormick
44,Evan Crawford
48,Patrick TomHon
52,Robert Croxson
55,Hunter Lang
70,Christopher Cassella
75,Abraham Schroeder
b,r,e,a,k
Ohio State,7
teamInfo,Leadbelly,"Columbus, Ohio",,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
0,James Bott
01,Jason Lee
02,Jesse Weber
03,Evan  Berry
04,Timothy Harmody
06,Mark Luke
07,Steven Moliterno
09,Marshal Paz
10,Rishi Nair
11,Nicholas Ondrejko
12,Sion Agami Contreras
13,Jackson Shorey
16,Anthony Sanderell
22,TJ Kalvas
23,Jack Engle
24,Michael Verma
27,Chase Gregory
30,Michael Ohrman
31,Victor Monaco
55,Joseph Rains
67,Tony Rabe
69,Hartley Stevenson
92,Neil Taylor
98,Zachary Braun
b,r,e,a,k
Boston University,18
teamInfo,Boston University,"Boston, Massachusetts",https://www.facebook.com/BU.Ultimate,https://www.facebook.com/BU.Ultimate,https://twitter.com/ozonepilots
0,George Holt
0,Lev Paasche-Orlow
0,Matthew Cote
0,Nelson Komarek
0,Steven Callori
2,Joseph Lai
2,Benjamin Kukura
5,David Huang
18,David Kaufman
19,Alex Fukuchi
27,Bryan Rothenberg
30,Andre LeVan
34,Nate Avish
35,Nick  Capriola
56,Tyler Adams
93,Nevil Desai
99,Griffin Cummings
b,r,e,a,k
Haverford,16
teamInfo,Big Donkey Ultimate,"Haverford, Pennsylvania",,,https://twitter.com/donkeyultimate
03,Dexter Coen Gilbert
04,Paul Wynkoop
05,TJ von Oehsen
06,Charles Marx
07,Matthew Ludwig
08,Dylan Emery
09,Federico Perelmuter
11,Benjamin Goldstein
12,Alden Daniel
14,Jake Murray
16,Jack StClair
18,Gabriel Halperin-Goldstein
19,Ewan Lang
20,Russell Nicholson 
23,Justin Marshall
24,Jordan Acker
25,Rory King
27,Asher Maitin
42,Lucas  Richie
66,Daniel Sax
72,Michael Weber
77,Tanner Lumer
b,r,e,a,k
Virginia Commonwealth,9
teamInfo,Villains,"Richmond, Virginia",,,
0,Griffin Schutte
3,Filipe Mourao
01,Akram Abudheer
04,Noah Engel
06,Rohit Karnati
07,Hunter Kobrinetz
09,Ryan King
12,Brendan White
13,Austin Smith
14,Kyle Fernandez
15,Jonathan Deza
18,William McGovern
21,Sohail Syed
22,Curtis Farmer
23,Justin Brown
25,Justin Hall
33,Nick Evans
43,Jay Kaul
50,Aaron Young
51,Christopher Estes
74,John Bailey
82,Zachary Hitchcock
88,Austin Swift
b,r,e,a,k
Villanova,6
teamInfo,Main Line Ultimate,"Villanova, Pennsylvania",http://villanovaultimate.wixsite.com/mens,,https://twitter.com/VUMainLine
0,Alex Gustafson
0,Frederic Sommer
0,Grant McLean
0,Nicholas Ferrante
0,Joseph Torres
0,Justin Searcy
1,Krishna Tikkani
3,Peter Fedoryk
11,Henry Dietrich
15,Dominic Martinez
19,Dale Mittleman
20,Sam Olson
21,Ryan Caste
23,Jordan Ciccarone
27,Anthony Conte
28,Benjamin Janosky
31,Sal Oliver
33,Andrew Deshler
35,Joe Donovan
45,Brent Studenroth
88,Christopher White
b,r,e,a,k
George Washington,3
teamInfo,G-Dub Hippos,"Washington, District of Columbia",,,https://twitter.com/Gdub_Ultimate
0,Bradford Patterson
0,Cameron  Blanks
0,CHASE KLEBER
0,Andrew Bent
0,Jan Nowak
