2018 U.S. Open Club Championships,Youth Club U-17 - Boys ,3,8,2018
Blaine,MN,2018-08-03,2018-08-06
https://play.usaultimate.org/events/2018-US-Open-Club-Championships/schedule/Boys/youth-club-u-17-boys/
Utah Swarm,9
04,Gavin Abrahamsson
05,David Ellis
06,Samuel Davison
07,Noah Lipsitz
09,True Hanson
10,Calvin Donohue
12,Adam Blum
15,Colin Mclaughlin
16,Aiden Kempf
18,Casey Thornton
21,Benjamin Hewitt
24,David Sang
25,Sam Davies
32,Erica Brown
33,Josiah Mast
42,Adam Grossberg
b,r,e,a,k
IYU Windy City,10
teamInfo,,"Dundee, IL , Illinois",,,
coaches,Thomas Gallagher,Ben Sabourin
0,Lucas Kuhlman
01,Lucas DeMatteis
07,Robert Sullivan
08,Ian Falck
09,Kai Tang
14,Austin Poothavelil
17,Carter Fennema
21,Cole Bernstein
24,Branson Jones
27,Callahan Steen
29,Michael Thurn
42,Tanner Holtz
46,Fischer Dastrup
55,Jeremy Lonsway
87,Solomon Podorovsky
88,Christian Holzl
b,r,e,a,k
Oakland Sparks,18
teamInfo,,"Oakland, California",,https://www.facebook.com/OaklandUltimate,
coaches,Valerio Iani
00,Loic Billaut
01,Marcus Kenton
02,Kiyoshi Monsalve
03,Adam Wulkan
04,Julian Korchin
05,Dylan Nice
08,David Klunder
09,Luca Adams
11,Rei Solano
17,Jason Gutstadt
18,Benjamin Garcia
20,Ryan Nguyen
21,Jacob Tindall
22,Kevin Romero
23,Noah Chen
27,Elijah Geduldig
33,Max Plauterman
44,Mohandas Duewa
46,Josiah Metcalf-Tobin
50,Kellen Sellers
77,Jackson Heglie
84,Anton Orme
b,r,e,a,k
Capitol Heights,3
teamInfo,,"Washington, District of Columbia",,,
coaches,David Ohls,Jonny Malks
00,Ziaire Beckham
02,Isaac Lee
04,Benjamin Greenberg
05,Evan Berger
07,Jacob Ham
09,Cheonnam Hunter
10,Curtis Kim
13,Benjamin Yam
14,Aaron Bartlett
20,Carter Tegen
21,Robert OReilly
24,Luke Hatchl
26,Jamie Roan
27,Caelan McSweeney
28,Jack Hayes
32,Andrew London
37,Christopher Lopez
42,Jacob Reimer
45,Aiden Travers
50,Matthew Wieseltier
54,Jack Vietmeyer 
58,Henry Frankel
77,Mark Edwards
b,r,e,a,k
MN Superior U17,6
teamInfo,,"Minneapolis, Minnesota",http://minnesotaultimate.org,,
coaches,Blake Trantina,Alexander Jirele,Rose Gruenhagen
02,Edward Rosenthal
03,Bryan Fuglestad
05,Nate Pascale
06,Shiva Prasad
06,Aiden  Lomen
07,Charlie Zdechlik
09,Sam Henderson
10,Samuel Osmanski
10,Will Brandt
11,Gunnar  Mikko
12,Danny Shope
13,Jack Daenzer
14,Jack Braasch
15,Tom Hobday
20,Jackson Willits
23,Anson Parker
23,Paul Krenik
24,Kai Bowen
27,J Calvin Rice-Slothower
34,Levi Dohman
53,Matthew Kumar-Montei
b,r,e,a,k
Neap Tide,11
teamInfo,,"Portland, Maine",www.maineultimate.org,https://www.facebook.com/MaineUltimate?ref=hl,
coaches,Richard Young
01,Nick Muth
07,Andrew Riley
08,Joel Brown
10,Eric Barber
12,Mitchell Yam
14,Elias Humes
15,Kyle Mercier
17,Zebadiah Staples
24,Ethan McKee
46,Nanda Min-Fink
49,Ben Horrisberger
54,Patrick Vorathiankul
91,William Jordan
b,r,e,a,k
Cincinnati Flying Piglet,14
teamInfo,,"Cincinnati, Ohio",,,
coaches,Kyle Romard
01,Charles East
02,Joshua Kiefer
07,Keshav Shah
11,William Wettengel
12,Garrison Wettengel
13,Travis Monnin
14,Isaac Plamondon
15,Nick Kaiser
16,Aidan Sommer
18,Jake Montgomery
19,Jake Sherwood
22,Aidan Stevens
23,Ethaniah Kunz
28,Cannon Spelman
32,Jackson O'Daniel
34,Evan Estes
45,Isaac Leighninger
84,Miles DiNardo
b,r,e,a,k
Lucky PuNCs,19
teamInfo,,"Chapel Hill, North Carolina",,,
coaches,CJ Colicchio,Daniel Mott,Walker Matthews
0,Henry Kennedy
03,Frederick Huang
04,Samuel Aguirre
07,Alex Fiordalisi
08,Joseph Ma
13,Elliott Salter
15,Wyatt Burnette
18,Jack Duhon
19,Cole Ragsdale
20,Jusung Park
22,Blaine Garner
23,Peter Xu
27,Wilson Matsuo
34,Ethan Burgess
35,Zack Dreps
62,Akshay Mankad
95,Jack Hartingh
b,r,e,a,k
Oregon Eruption!,12
teamInfo,,"Portland, Oregon",www.portlandultimate.org,,
coaches,Jay Cohen,Michael Glass,Cliff Marhoefer
00,Mason  Weybright
01,Will Dillender-Kinast
02,Joseph Renzema
04,Ben Thoennes
07,Felix Moren
11,Mica Glass
13,John Moore
15,Emilio Fassett
16,Jack Fassett
17,Benny Cohen
18,Emmett Warner
24,Andrew Alstot
25,Thomas Harris
26,Sam Mayer-Radke
26,Nora Whalen
26,Jackson Currier
31,Henry Wayte
55,Jerred Smith
b,r,e,a,k
Aftershock,5
teamInfo,,"San Francisco Bay Area, California",http://bayareadisc.org/,,https://twitter.com/AftershockUlti
coaches,Joe Patton Barr,Ziyue Chen
0,Andres Ibarra
01,Pele Varadi-Mulia
04,Garrett Bush
07,Wyatt Dew
12,Paul Burke
16,Dylan Corona
17,Quinton Yap
18,Toby Graf
21,Hudson DeGroff
23,Elijah Gibbs
25,Tyler Lum
30,Kyle Lew
38,Julian Esler
41,Marko Stojanovic
44,Aidin Terris
45,Nathan Delos Reyes
50,Jackson Knox
55,Daniel Bauman
73,Michael Tao
85,Ridge Huang
93,Daniel Esler
95,Benjamin Roberts
97,Eric Johnson
99,Finnegan Graham
b,r,e,a,k
DEVYL U-17,4
teamInfo,,"Westfield, New Jersey",,,
coaches,Ryan Belline,Joseph Friedman
01,Tyler Mackey
04,Victor  Jiang
06,Cullen Van Skiver
07,Alexander Chen
09,Ryan Lee
10,Daniel Han
12,Dexter Clyburn
13,Eric Palia
16,Luke Barry
17,Aidan Jones
18,Jake Delforte
21,Jacob LaRue
23,Aiden Kern-Kensler
24,Ethan  Rances
27,Jordan Bacharach
32,Sam Harris
33,Lucas Intagliata
35,Matthew Cohen
36,Saul Hines
40,Gerard Bryson
43,Benjamin Spergel
64,William Litchholt
87,Jack Griffith
b,r,e,a,k
Colorado Cutthroat,13
teamInfo,,"Denver, Colorado",,,
coaches,Conrad Hougen,Michael Lovinguth
0,Carson Crouch
0,Connor Cioth
0,Drew Grant
0,Garrett LeNeveu
0,Ian McCollister
0,Jack Gleason
0,Jeffrey Van
0,Jeremy Gordon
0,Josiah Crawford
0,Kai Kirsch
0,Kyle Bui
0,Aaron Longnecker
0,Aiden Scudder
0,Andrew Swanson
0,Oscar Lechner
0,Ryan Calzone
0,Salvador Martinez-Serrano
0,Zeke Thoreson
2,Tyler Wolf Williams
2,Calvin Dodson
48,Miles Green
69,Samuel Freedman
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
BUDA U17,Texas Swing,7,10,"08/04/2018, 10:45",Pool A,Final
DiscNW Space Jam,Utah Swarm,9,12,"08/04/2018, 13:00",Pool A,Final
BUDA U17,Pulse,14,2,"08/04/2018, 13:00",Pool A,Final
DiscNW Space Jam,Pulse,15,1,"08/04/2018, 15:15",Pool A,Final
Utah Swarm,Texas Swing,13,10,"08/04/2018, 15:15",Pool A,Final
BUDA U17,Utah Swarm,12,11,"08/05/2018, 08:30",Pool A,Final
Pulse,Texas Swing,7,15,"08/05/2018, 08:30",Pool A,Final
DiscNW Space Jam,Texas Swing,13,5,"08/05/2018, 10:45",Pool A,Final
Utah Swarm,Pulse,14,3,"08/05/2018, 10:45",Pool A,Final
DiscNW Space Jam,BUDA U17,13,6,"08/05/2018, 13:30",Pool A,Final
pool,Pool B
NC Hammer,Oakland Sparks,15,2,"08/04/2018, 10:45",Pool B,Final
ATLas,IYU Windy City,15,2,"08/04/2018, 13:00",Pool B,Final
NC Hammer,Philadelphia Padawans,12,4,"08/04/2018, 13:00",Pool B,Final
ATLas,Philadelphia Padawans,11,7,"08/04/2018, 15:15",Pool B,Final
IYU Windy City,Oakland Sparks,11,10,"08/04/2018, 15:15",Pool B,Final
NC Hammer,IYU Windy City,15,3,"08/05/2018, 08:30",Pool B,Final
Philadelphia Padawans,Oakland Sparks,15,5,"08/05/2018, 08:30",Pool B,Final
ATLas,Oakland Sparks,15,5,"08/05/2018, 10:45",Pool B,Final
IYU Windy City,Philadelphia Padawans,3,15,"08/05/2018, 10:45",Pool B,Final
ATLas,NC Hammer,7,12,"08/05/2018, 13:30",Pool B,Final
pool,Pool C
MN Superior U17,Lucky PuNCs,15,2,"08/04/2018, 10:45",Pool C,Final
Capitol Heights,Neap Tide,13,8,"08/04/2018, 13:00",Pool C,Final
MN Superior U17,Cincinnati Flying Piglet,14,5,"08/04/2018, 13:00",Pool C,Final
Capitol Heights,Cincinnati Flying Piglet,15,1,"08/04/2018, 15:15",Pool C,Final
Neap Tide,Lucky PuNCs,14,7,"08/04/2018, 15:15",Pool C,Final
Cincinnati Flying Piglet,Lucky PuNCs,10,12,"08/05/2018, 08:30",Pool C,Final
MN Superior U17,Neap Tide,15,5,"08/05/2018, 08:30",Pool C,Final
Capitol Heights,Lucky PuNCs,15,2,"08/05/2018, 10:45",Pool C,Final
Neap Tide,Cincinnati Flying Piglet,7,9,"08/05/2018, 10:45",Pool C,Final
Capitol Heights,MN Superior U17,10,9,"08/05/2018, 13:30",Pool C,Final
pool,Pool D
DEVYL U-17,Oregon Eruption!,7,15,"08/04/2018, 13:00",Pool D,Final
Aftershock,Colorado Cutthroat,11,4,"08/04/2018, 13:00",Pool D,Final
DEVYL U-17,Colorado Cutthroat,15,5,"08/04/2018, 15:15",Pool D,Final
Aftershock,Oregon Eruption!,5,14,"08/04/2018, 15:15",Pool D,Final
DEVYL U-17,Aftershock,10,11,"08/05/2018, 13:30",Pool D,Final
Oregon Eruption!,Colorado Cutthroat,15,5,"08/05/2018, 13:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Oregon Eruption!,DiscNW Space Jam,10,13,"08/06/2018, 14:45",Finals,Final
ATLas,Oregon Eruption!,10,14,"08/06/2018, 10:45",Semifinals,Final
Aftershock,DiscNW Space Jam,5,15,"08/06/2018, 10:45",Semifinals,Final
Utah Swarm,ATLas,8,12,"08/05/2018, 15:45",Quarterfinals,Final
Oregon Eruption!,MN Superior U17,15,4,"08/05/2018, 15:45",Quarterfinals,Final
Capitol Heights,Aftershock,10,12,"08/05/2018, 15:45",Quarterfinals,Final
NC Hammer,DiscNW Space Jam,7,13,"08/05/2018, 15:45",Quarterfinals,Final
bracket,3rd Place Bracket
ATLas,Aftershock,9,13,"08/06/2018, 13:00",3rd Place Finals,Final
bracket,5th Place Bracket
Utah Swarm,Capitol Heights,11,15,"08/06/2018, 13:00",5th Place Finals,Final
Utah Swarm,MN Superior U17,14,8,"08/06/2018, 08:30",5th Place Semis,Final
Capitol Heights,NC Hammer,13,9,"08/06/2018, 08:30",5th Place Semis,Final
bracket,7th Place Bracket
MN Superior U17,NC Hammer,6,15,"08/06/2018, 13:00",7th Place Finals,Final
b,r,e,a,k
brackets,Placement Bracket
bracket,9th Place Bracket
DEVYL U-17,BUDA U17,10,15,"08/06/2018, 13:00",9th Place Finals,Final
Texas Swing,DEVYL U-17,8,12,"08/06/2018, 08:30",9th Place Semis,Final
Colorado Cutthroat,BUDA U17,4,14,"08/06/2018, 08:30",9th Place Semis,Final
Texas Swing,IYU Windy City,15,5,"08/05/2018, 15:45",9th Place Quarters,Final
DEVYL U-17,Cincinnati Flying Piglet,15,2,"08/05/2018, 15:45",9th Place Quarters,Final
Neap Tide,Colorado Cutthroat,6,11,"08/05/2018, 15:45",9th Place Quarters,Final
Philadelphia Padawans,BUDA U17,9,11,"08/05/2018, 15:45",9th Place Quarters,Final
bracket,11th Place Bracket
Texas Swing,Colorado Cutthroat,12,9,"08/06/2018, 13:00",11th Place Finals,Final
bracket,13th Place Bracket
Cincinnati Flying Piglet,Philadelphia Padawans,6,15,"08/06/2018, 10:45",13th Place Finals,Final
IYU Windy City,Cincinnati Flying Piglet,10,11,"08/06/2018, 08:30",13th Place Semis,Final
Neap Tide,Philadelphia Padawans,11,13,"08/06/2018, 08:30",13th Place Semis,Final
bracket,15th Place Bracket
IYU Windy City,Neap Tide,1,15,"08/06/2018, 10:45",15th Place Finals,Final
b,r,e,a,k
pools,17th Place Round Robin
pool,Pool E
Pulse,Lucky PuNCs,9,12,"08/06/2018, 08:30",Pool E,Final
Oakland Sparks,Lucky PuNCs,10,14,"08/06/2018, 10:45",Pool E,Final
Pulse,Oakland Sparks,7,15,"08/06/2018, 13:00",Pool E,Final
pool,Pool F
Aftershock,MN Superior U17,0,0,"07/22/2018, 08:00",Pool F,Scheduled
Pulse,MN Superior U17,0,0,"07/22/2018, 09:30",Pool F,Scheduled
Pulse,Aftershock,0,0,"07/22/2018, 11:00",Pool F,Scheduled
b,r,e,a,k
