Northeast Men's Regional Championship,Club - Men ,22,9,2018
Devens,MA,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Northeast-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
PoNY,1
01,Markian Kuzmowycz
02,Sean Keegan
03,Benjamin Spielman
05,Joshua Stevens-Stein
06,Michael Brenner
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Matt Hennessy
12,Matthew Lemar
13,Evan Padget
14,William Dean
15,Kevin Norton
16,Laurent Loiseau
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
22,Jack Marsh
23,Jimmy Mickle
30,Alexander Ladomatos
31,Chris Kocher
31,John Wodatch
33,Beau Kittredge
47,Conrad Schloer
50,Milo Snyder
69,Benjamin Jagt
80,Michael Drost
b,r,e,a,k
Shade,8
0,William Perry
00,Dustin Becker
01,Taylor Rasco
02,Alejandro Younger
03,Brandon Shaw
05,Connor Smith
06,Brendan Chin
08,J. Zachary Saffa
09,Nicholas Eng
10,Dean Acheson
12,Nathaniel Dick
14,David Willis
15,Alexander Isik
16,Brett Kaiser
21,Mitchell Sayasene
23,Frank Weng
25,Michael Kaiserian
27,Eric Moore
28,Ryan Saffa
31,DAVID ABRAM
33,Chris Kelly
40,Jordan Hupp
51,Calvin Vannoy
61,Patrick So
81,Fergal Moran
87,Kevin Finnegan
99,Stefan Dicker
b,r,e,a,k
Deathsquad,10
0,James Smart
0,Ryan Holmes
03,Jonathan Young
04,Matthew Barnes
05,Walker Mayerchak
07,Tom Bassett
08,Sam Dushay
10,Jeff Kiel
12,Adam Newman
15,Ethan Nash
18,Jim Foster
22,Michael Busa
23,Manit Munshi
24,Brendan Chambers
27,Bryan Rothenberg
28,Rob Baker
29,Dan Hourigan
36,Ian Girelli
38,Matt Caswell
39,Matthew Cote
42,James Cataldo
44,Brian Clarkson
48,Tyler Kenney
70,Samuel Gagnon
72,Joseph Sadok
77,Alex Foo
80,Joseph Kane
b,r,e,a,k
Baked Beans,15
0,Fortunat Mueller
0,Troy Goddu
00,Garrett Bowen
00,John Bryan
00,Jonathan Korn
00,Kyle Cayer
00,Michael Gastaldo
00,Michael Fife
00,Paul Batten
00,Andrew Medeiros
00,Ben Wake
00,BRIAN CULLINAN
00,Calvin Conant
00,Charles Cleary
00,DAN FORSETER
00,Dana Grandoni
00,Danny Clark
00,David Kallin
00,David (Salsa) Turell
88,James (Jim) Parinella
b,r,e,a,k
DiG,2
0,Chris Bartoli
0,Gabriel Colton
0,Henry Babcock
0,Josh Markette
0,Ryan Dinger
2,Spencer Diamond
3,Ryan Rzepka
4,Tanner Halkyard
5,Michael Sender
5,Noah Backer
6,Rocco Essex-Linehan
6,Rustin Ingold-Smith
7,Jason (Jay) Clark
8,Ben Sadok
9,Misha Sidorsky
10,William Stewart
11,Mat Little
12,Mac Hecht
12,Tim Schoch
14,Ben Field
14,Jack Hatchett
18,Brett Gramann
21,Tannor Johnson
22,Benjamin Tseytlin
27,Nicholas Thompson
64,Carl Frederik Brasz
83,Alex Dagley
b,r,e,a,k
Colt,7
0,Daniel Reilly
0,Daniel Siegel
0,Gavin Clemmey
0,Andre Martinez
0,Kevin Chubet
0,Luke Diorio
0,Matthew Erodici
0,Michael Arcata
0,Noriaki To
0,Rye Buckley
0,Wesley Johnson
2,Andrew Thai
6,Andrew Tang
7,JiMin Ko
7,Ricky Lewandowski
8,BRIAN MCLAUGHLIN
10,NICHOLAS SILBART
11,Corey Danko
11,John Clyde
22,Ian Soderlund
23,Daniel Conner
32,Zach Grappone
33,Kyle Saroka
45,Philip Murray
52,Ryan Strobel
65,Michael Rice
99,Timmer Farrell
b,r,e,a,k
Blueprint,9
00,Andrew Edelman
00,Benjamin West
00,Carter Wang
00,David Butler
00,Dylan Baroody
00,Gabe Stump
00,Gerald Tigol
00,Jack Slevin
00,Jason Freedman
00,Jesse Rice
00,Jesse Moskowitz
00,Jonathan Kwan
00,Josh Imhoff
00,Juleon Robinson
00,Max Cohen
00,Michael Agarenzo
00,Nadav Pearl
00,Owen Marschall
00,Rohith Rao
00,Ruozhou Ye
00,Sam Hage
00,Samuel Feder
00,Samuel Ross
00,Samuel Pollack
00,Scott Schwartz
00,Victor Kao
00,Yuval Pearl
b,r,e,a,k
Red Tide,16
0,Aaron Wynne
0,Alberto Morales
0,Bennett Allen
0,Calvin Stoughton
0,Conor Belfield
0,Elijah Babcock
0,Gabe Doble
0,Justin Fereshetian
0,Matthew Toothaker
0,Olin Rhoads
0,Patrick Kelsey
0,Phillip Jacques
0,Toby Jacobs
3,Franklin Ahrens
6,Cole Moore
7,Jonathan Gilbert
23,Max Vogel
24,Noah Keates
31,Neil Franklin
b,r,e,a,k
GOAT,3
03,Andrew Carroll
04,Alec Arsenault
06,Jaret Meron
09,Derek Alexander
12,Remi Ojo
13,Iain MacKenzie
14,Marijo Zlatic
15,Jacky Hau
16,Ben Pries
17,Isaiah Masek-Kelly
18,Toly Vasilyev
19,Thomson McKnight
20,Jeff Lindquist
21,Geoffrey Powell
24,Jeremy Norden
25,Jay Boychuk
27,Nathan Hirst
30,Greg Ellis
43,Andrew Ouchterlony
45,David Hochhalter
54,Connor Armstrong
61,Sachin Raina
77,Michael MacKenzie
80,Jonathan (JJ) Edwards
83,Jason Huynh
87,Brett Tan
89,Mark Lloyd
b,r,e,a,k
Phoenix,6
0,Adam O'Donnell
0,Aidan Hayter
0,Carson Turner
0,Colin Green
0,Dan  Benvenuti
0,Erich Phang-Lyn
0,Jeremy Hill
0,John Snow
0,Khalid Al-Zahrani
0,Kielan Way
0,Kinley Gee
0,Léon Forest-Nault
0,Matt O'Brien
0,Nick Boucher
0,Patrick Keenan
0,Paul Mensah
0,Russ Nicolls
0,Scott Graham
