Meltdown 2018,College - Men ,24,3,2018
Rockford,IL,2018-03-24,2018-03-25
https://play.usaultimate.org/events/Meltdown-2018/schedule/Men/CollegeMen/
Marquette,1
0,William Lynn
3,Daniel Whipple
6,Jordan Benusa
7,Nicholas Brennan
10,Shane Kealy
11,Peter Christian
13,Nicholas Becker
17,Elias Magallanes Jr.
19,Van Walker
20,David Kaftan
22,Max Carpenter
23,Tadhg Scully
24,Jack Drolen
25,Jeffrey Weaver
27,Reilly Hicks
51,Andrew Galgan
54,Timothy Nowak
55,Andrew Pecunia
77,Peter Dobbs
99,Eric Blais
b,r,e,a,k
Illinois (B),17
00,Aidan Levin
00,Alex Liu
00,Ben Lee
00,Christopher Read
00,Emil Broemmelsiek
00,Garrett Vandermyde
00,Gavin Klancnik
00,Gregory Schwarz
00,Ismaeel Sheriff
00,Kamil Zabawa
00,Kyle Barry
00,Manasven Grover
00,Mark O'Connor
00,Mitchell McMahon
00,Reid Martin
00,Rishav Rout
00,Ryan Teo
00,Sean Sutyak
00,Victor Pastrana-Gomez
00,Weslly Pan
00,Zander Leja
30,Sunny Yun
b,r,e,a,k
Iowa State (B),16
0,Brandon Wyttenbach
0,Chase Lemley
0,Christopher Anderson
0,Michael Rydel
0,Oscar Escalante
0,William Johns
4,Benton Habel
10,Marshall Penn
50,Clay Hugen
69,Jacob Thomae
72,Nick Rieger
73,Jordan Wright
81,Richard Cirone
b,r,e,a,k
North Park,2
01,Ben Soffel
02,Nathan Werling
05,Andres Garcia
07,Daniel Dwight
08,Tim Clark
09,Axel Lindback
10,Scott Nitchie
11,Thomas Johnson
13,Cory Wallace
14,Andrew Swanson
19,Joshua Crozier
21,Eric Lundgren
22,Benjamin Horstman
24,Bradley Johnson
38,Justin Tuell
47,Payton Walles
51,Caleb Nelson
52,Jon Larsson
53,Carlos  Macias 
57,Noah Swanson
60,Curtis Pederson
88,Jonathan Madera
99,christopher carlson
b,r,e,a,k
Olivet Nazarene,18
0,Colleen DeVries
0,Emily Eisenbeis
0,Hudson Whittaker
0,Jacob Woodard
0,Jasmin Folkers
0,Manuela Castillo
0,Natalie Lang
1,Andrew Bender
2,Kevin Cheney
7,Michael King
9,Victoria Skrebunas
16,Jack Corcoran
19,Luke Wilson
23,Kyle Trojan
35,Robert Schmalz
44,Bryce Poole
50,Ethan Eisenbeis
59,Jordan Verhulst
77,Robert Mueller
83,Ben Mannaioni
b,r,e,a,k
Wisconsin-Oshkosh,15
0,Austin Lehman
0,Donald Smith
0,Ryan Carney
0,Tylor Sernec
1,Nick Lilla
8,Jake Beno
18,Ben Slusser
24,Jason Hataj
81,Olivia Schilcher
97,Donald Fordahl
b,r,e,a,k
Truman State,3
0,Sean Eberle
2,Nicholas Tran
7,Michael Anderson
8,Jacob Hearst
9,Dawson Lynch
02,Alexander Sextro
11,Jason Baltz
12,Benjamin Wolf
15,Jacob Jackson
17,Christopher Stilwell
20,Andrew Richter
21,William Leingang
24,Alexander Wegman
26,Frank Ginder
27,Kevin Davis
28,Lucas Steffens
40,Ethan Conley
42,Benjamin Schmidt
51,Robert Coffman
88,Bryan Ritchey
99,Nathan Pyles
b,r,e,a,k
Chicago (B),19
