Music City Tune-Up 2018,College - Men ,24,2,2018
https://play.usaultimate.org/events/Music-City-Tune-Up-2018/schedule/Men/CollegeMen/
Mississippi State,8
0,Ben Wright
0,Cameron Beal
0,Chris Walls
0,Christian Speeney
0,Ethan Lishen
0,Jared Bennett
0,Jonah Gandy
0,Mitchell Corder
0,Patrick Wander
0,Sean Toellner
0,Trenton Marable
3,John Verhayden
4,Joshua Wilson
8,Jordan Burks
9,Andrew Letson
11,Nathan Burch
13,Brett Prill
17,Andrew Byers
18,Trey  Leonard
19,William Dickens
21,Cameron  Boswell 
31,Aaron Barr
35,Morgan Cauthen
47,Matthew Stuart
88,Maclaren Tobin
b,r,e,a,k
Purdue,1
3,Chris Schwappach
02,Lowell Knight
05,Collin Marshall
07,Shane Bonness
10,Tucker Born
13,Jacob Just
14,Justin Bowling
19,Conor Smith
22,Nick Tilford
23,Sam Ellison
24,Elliott Eve
26,Jack Havey
30,Mike Benner
31,Matthew VanDokkenburg
33,Erik Rundlett
36,Robert Miller
54,Drew Hirsch
55,Josh Majors
56,Zachary Piontek
66,Patrick Dunn
73,Alex Green
87,Chris Vitagliano
88,Thomas Wadelton
90,Cody Rice
b,r,e,a,k
Southern Indiana,16
0,Luc Prevost
07,Nathan Sevenish
10,Blake Altstadt
13,Josh Winger
28,Cody Flamion
30,Chase  Mosser 
37,Montana Muehlbauer
88,Connor Modglin
98,Mark Wallace-Deynes
99,Fabian Becerra
b,r,e,a,k
Alabama-Birmingham,9
0,Kyler Krause
0,Matthew Quarnstrom
0,Nick McMillan
0,Seth Newton
1,Cross Jenkins
3,Nathan Wells
5,Joseph Wood
9,Jacob Meredith
10,Abhay Thottassery
11,Stakesh Peterson
12,James Meredith
16,Max Goldsmith
17,Josh Holland
21,Justin Eads
27,Jospeh Spears
31,John Bateman
33,Chase Thigpen
63,Brian Acton
81,Jake Perkins
b,r,e,a,k
Belmont,17
5,Bryan Malone
6,Joe Zak
6,Joseph Bendekovic
7,Jon Layne
8,Jack Waite
8,Mitchell Kelly
10,Nicolas Chouard
11,Jonathan Stokes
13,Tanner Gaughf
21,Jones Kolbinsky
35,Chris Volzke
42,Tanner Landolt
69,Oluwatito Ebiwonjumi
69,Max Creech
69,Coleman Perry
69,Daniel Gray
69,Bryce DuBray
69,Joseph Briggs
85,Aaron Wilder
b,r,e,a,k
Xavier,10
0,Chris Alber
0,Benjamin Howard
0,Nick Bolander
0,Samuel Fox
0,Thomas Siva
0,Will Keitel
2,Eric Coglianese
4,Logan Murray
5,Trey Blake
11,Sam Dreyfuss
13,Spencer Woolson
14,Sam Settlemyre
18,Tristan Shafer
32,Steven Demboski
42,Blake Eichenberger
50,Matt Gardocki
62,Thomas Judy
b,r,e,a,k
Ball State,18
0,Bradley Kennis
0,Caleb Spatt
0,Colby Parker
0,Damon Huntley
0,Alex Warfield
0,Derek Burks
0,Justin Hess
0,Justin Martinez-Beckmann
0,Matthew Nemeth
0,Noah Pumphrey
0,Ryan Everton
2,Nathan Hershberger
4,Matthew Hentz
11,Jaden Jarrett
13,Jullian Thomas
19,Patrick Murphy
21,Nik Risser
26,Joseph Overton
37,Ben Schwartz
44,Trenton Schroeder
52,Garrett Fuelling
70,Daniel Stephens
b,r,e,a,k
Vanderbilt,7
0,Braeden  Rose
0,Casey Rose
0,Connor Krolak
0,Horace Wilson
0,Jacob Heiberger
0,Jeffrey Wainz
2,Timothy O'Brien
11,Corey Lockridge
12,Benjamin Godwin
13,Matthew Flink
14,Tim Krentz
16,Liam Kelly
17,Sam Gottlieb
20,David Brody
21,Cole Bloomfield
22,Emmanuel Honore
23,Teo Lee
24,Justin Badgett
25,William Radcliffe
26,Trevorn Hodge
27,Mason Medeiros
28,Benjamin Lindemuth
34,James Ro
58,Cyrus Lloyd
79,Zane Weltman
97,James Zahorick
b,r,e,a,k
Alabama-Huntsville,2
