CWRUL Memorial 2018,College - Men ,24,3,2018
Columbus,OH,2018-03-24,2018-03-25
https://play.usaultimate.org/events/CWRUL-Memorial-2018/schedule/Men/CollegeMen/
Kentucky,4
teamInfo,KULT,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,Brandon Guyton
0,Jay White
1,Adam Houk
4,Daniel Poston
5,Jeremy Staab
8,Peyton  Schock
02,Wei Yang
10,Benjamin Crane
11,Christopher Empie
15,Collin O'Donnell
19,Stephen Hendrickson
21,Logan Graham
22,Charlie Fleming
27,Jacob Royster
29,Mark Lawhorn Jr
31,Jackson Bell
33,Jake Carrico
34,Luke Huffman
35,Zachary Stambaugh
44,Jake Hughes
93,Richard Murt
94,Austin Obenauf
b,r,e,a,k
Cincinnati,1
teamInfo,Bearcats,"Cincinnati, Ohio",http://ucultimate.org,,https://twitter.com/UCUltimate
0,Adam Regg
01,Elliot Skindzier
02,Nicholas Betsch
03,Justin Latz
06,Ryan Adams
07,Jacob Turner
08,Dominic Camperchioli
09,Jacob Miller
11,Anthony Tran
12,Jacob Chialastri
12,Mike Finke
13,Kyle Romard
15,John Pancioli
16,Matthew Furnas
18,Kevin Parker
19,Kaleb Koelsch
24,Nate Berman
25,Nick Siegert
26,Nick Bosse
28,Thomas Brockhoff
32,Benjamin Sherwood
33,Luke Byerly
38,Jose Mikalauskas
45,Trey Dynes
49,Tanner Segbers
69,Connor Messmore
77,Samuel Kratt
b,r,e,a,k
RIT,5
teamInfo,RIT Spudheds,"Rochester, New York",,,
0,Akash Patel
0,Andrew Dorrell
0,Bryan Bausinger
0,Cal Miller
0,Daniel Horrigan
0,Giyeon Han
0,Iain Tracton
0,Nicholas Bober
0,Ryan Kelly
9,John Ackerman
15,Max Avratin
24,Jacob Watts-St. Germain
41,Maxwell Sample
45,Michael Duncan
49,Caleb Ng
52,Nirav Barman
95,Peter Carter
b,r,e,a,k
Pittsburgh (B),8
teamInfo,En Sabah Nur-B,"Pittsburgh, Pennsylvania",pittultimate.org,,https://twitter.com/pittb_ultimate
0,Jacob Doss
0,Jake Davis
0,Jeffrey Zhou
0,Michael Sodini
0,Scott Branagan
0,Trent Greener
0,Varun Zaver
2,Austin Snyder
3,Charles Lee
11,Ethan Murphy
12,Joshua Carroll
18,Simon Prushan
19,Mathieu Petit
21,Dillon Garrett
31,David Tulin
33,Christopher Turocy
39,ROGER XUE
52,Ryan Andersen
54,Riley Park
81,Steven Hocker
96,Kamal Raslan
b,r,e,a,k
Notre Dame,2
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
0,Benjamin Elder
0,Christopher Connolly
0,Connor Bert
0,Isaac Bushue
0,Jesse Shank
0,Joe Nolan
0,Mike Rozelsky
0,Thomas Lawton
0,Tyler Hull
2,Stephen Babcock
3,Bailey Blum
6,Colin MacGregor
7,Luke Brennan
8,Sean Howley
10,William OBrien
12,Charlie Amrein
18,Steven Campillo
19,Sebastian Miner
21,Connor Buckley
27,Austin Walter
30,Oliver Hirn
34,Collin Klenke
35,Benjamin Seasly
41,Joseph Oswald
48,Luke Shanahan
63,Kel  Beatty
69,Nick Loughran
76,Steven Wagner
b,r,e,a,k
Wisconsin-Milwaukee,6
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
0,Elliott Blackburn
0,Evan Treacy
0,Kyle Gasiorowicz
0,Paul Weisser
0,Timothy Garman
2,Shane Mueller
7,Samuel Dirks
8,Tate Halberg
10,Deng Deng
11,Will Casperson
19,Austin Johnson
24,Paul Quinn
27,Peter Kuenzle
30,Stephen Becker
52,Jared Matthews
87,John McCune
b,r,e,a,k
Case Western Reserve,3
teamInfo,Fighting Gobies[A],"Cleveland, Ohio",ultimate.case.edu,,
coaches,Nicholas Mathison
0,Adam Cox
0,Benjamin March
0,David Casente
0,Dmitriy Estrin
0,Ethan Liaw
0,Jordan Liff
0,Mark Fertal
0,Michael Kasper
0,Michael Connerton
0,Nick Longo
0,Kevin Talbot
0,Zach Sedor
