Northeast Men's Masters Regional Championship,Masters - Men ,23,6,2018
https://play.usaultimate.org/events/Northeast-Mens-Masters-Regional-Championship-2018/schedule/Men/Masters-Men/
Fathers of Liberty,3
00,COLIN RICHARDSON
00,Dana Grandoni
00,Dang Khoa DuBay-Dang
00,DAVID THOME
00,ERIC BLANCHARD
00,Evan Johnson
00,Ian Darling
00,JAMES BRESS
00,Jonathan Korn
00,Michael Gastaldo
00,Miles Montgomery-Butler
00,PETER GETT
00,THOMAS PINO
00,Trevor Conners
00,Zirui Song
00,Andrew Medeiros
00,Andrew Keely
00,Benjamin Zelnick
00,Brent Anderson
32,BRIAN CULLINAN
42,ADAM JOHNSTON
b,r,e,a,k
Old Line,2
0,WILLIAM STEVEN KOLTHAMMER
00,Aditya Sunderam
00,ARTHUR RUDOLPH
00,Benjamin Nelson
00,BRIAN JIN
00,Charles Cheever
00,DAN WIEGAND
00,ERIC BOORSTIN
00,EVAN SPRECHER
00,EVERETT HAYES
00,GEOFF SANZENBACHER
00,Ian Marlier
00,JEFFREY (JEFF) LISTFIELD
00,JOHN BALDWIN
00,Joseph Kolchinsky
00,Kenneth Weinstein
00,Michael MacKenzie
00,Nick Monsees
17,Dennis Chira
25,Will Chen
b,r,e,a,k
Viper,1
00,Erik Postma
03,Brandon Sampogna
07,Michael Hewitson
08,Jonathan Brooker
09,Gareth Davis
11,Sandra Walter
15,Jason Cunningham
16,Arthur Lui
18,Tushar Singh
23,Shanna Rice
26,James Robinson
78,Mathieu Cain
80,Marcel Lee
81,Jonathan Hines
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Old Line,Fathers of Liberty,10,15,"06/23/2018, 12:00",Pool A
Viper,Fathers of Liberty,2,15,"06/23/2018, 14:00",Pool A
Viper,Old Line,3,15,"06/23/2018, 16:00",Pool A
b,r,e,a,k
