Oak Creek Challenge 2018,College - Men ,24,2,2018
Frederica,DE,2018-02-24,2018-02-25
https://play.usaultimate.org/events/Oak-Creek-Challenge-2018/schedule/Men/CollegeMen/
Temple,1
0,Austin Quinn
0,Benjamin Stankovic
0,Donovan Hugel
0,Jake Butrica
0,Jared Mahoney
0,Lee Farrell
0,Mitchell Gaylord
0,Tyler Kimble
0,Vincent Barrett
0,Zach Klee
3,Joshua Fieseher
3,Brandon Lamberty
5,Erik Elvig
6,Igor Smola
7,Kevin Woodring
9,Sam Gilden-Weiner
10,Adriene Khon
11,JULIAN MAKARECHI
13,Luke Greenley
14,Dylan Fritz
17,Andrew Ngo
17,Everett Ziegenfuss
18,Adam Novak
20,Nicholas LaRue
21,Francisco Gomez
33,Jeremy Fus
35,Matthew Wilson
39,Michael Facinelli
80,Benjamin Cozzolino
99,Jordan Clever
b,r,e,a,k
Brandeis,4
02,Benjamin Rosenfeld
06,Alden Sanford
08,Josh Eisemann
09,Steven Chen
13,Eric Home
16,Declan Lynch
17,Joshua Heller
19,Ethan Sternberg
21,Benjamin Korman
22,Dylan Quinn
25,Cameron Park
29,JUSTIN MAHER
30,Russell Tan
32,Andrew Marshall
40,Gabriel Fontes
42,Robert Singer
49,GABE ADLER-COHEN
50,Daniel Lay
55,Chris Armstrong
74,Yubo Zhang
77,Zev Kaufman
87,Connor Chin
99,Jordan Kaufman
b,r,e,a,k
Villanova,5
0,Alex Gustafson
0,Bradley Petersen
0,Frederic Sommer
0,Joseph Torres
0,Nicholas Ferrante
1,Krishna Tikkani
3,Peter Fedoryk
7,Thomas McKernan
8,Ethan Fortin
9,Casey Vaughn
11,Henry Dietrich
15,Dominic Martinez
17,Trevor Yandow
19,Dale Mittleman
20,Sam Olson
21,Ryan Caste
23,Jordan Ciccarone
27,Anthony Conte
28,Benjamin Janosky
29,Stephen Gagnier
30,Jose Nacion
31,Sal Oliver
33,Andrew Deshler
35,Joe Donovan
45,Brent Studenroth
88,Christopher White
b,r,e,a,k
Mary Washington,3
0,Beau De Koninck
0,James Fendley
0,Jared Height
0,JASON FIELDS
0,Kyle Lehmann
0,Owen Donovan
0,ROBERT BLAKE
0,Samuel Taylor
1,Anthony Clark
2,Orran Mandt
4,William Carpenter
7,Zack Richardson
7,Alistair Andrulis
9,Kyle Welty
10,Zachary Norrbom
15,RAJ BARUA
17,Landrum Beard 
20,Will Harrison
21,Harper James
24,Andrew Sharpe
25,Cameron Bierkan
27,Amos Dufore
47,Daniel Schlichtig
52,Benjamin Masse
64,Kai Jensen
68,Caleb Picard
77,Matthew Sutherland
99,Joseph Richards
b,r,e,a,k
Amherst,2
0,Camilo Toruno
0,Cole Steiger
0,David Brinkley
0,Alexander Gurvets
0,Andrew Floersheimer
0,Elijah Langston
0,Erik March
0,Jason Darell
0,Max Fox-Jurkowitz
0,Nathan Sacks
0,Robbie Zielinski
0,Julian Brubaker
2,Borun Sun
3,Jonathan Che
8,Griffin Lessell
18,Elias Mansbach
25,Zack Stern
29,Lucas Newman-Johnson
54,Fawzi Itani
98,Aaron Yang
b,r,e,a,k
Ohio,6
0,Colin Heslet
7,Mike Kline
02,Alex Flamm
04,Drew Oyer
08,Michael Kromer
09,Christopher Wohl
11,Jason Wherry
13,Nic Gill
15,Maxwell Rogers
16,Alexander Radanof
19,Noah Jacobson
21,Jack Matonis
22,Aaron Musser
25,Samuel  Meisman
31,Nicolas Binfield
36,Joshua Ferneding
44,Cameron Finley
63,Zach Cartwright
72,Shane Spiegel
b,r,e,a,k
Pennsylvania,14
0,Theodore kahn
1,Michael Becker
2,Solomon Goldfarb
3,Per Loufman
8,Joseph Harrison
10,Jason Wright
11,Edward Devlin
13,Scott Phillips
14,Jason Schwartz
15,Max Fine
19,Eytan Deener-Agus
21,Luca Chiaperotti
22,Saran Viswanathan
24,Brooks Gingrich
25,Haralambos Mourelatos
28,Corey Parker
32,Andrew Roberts
34,Tom Fry
43,Gabriel Robinson-Barr
50,Jonah Weinbaum
71,Griffen Croft
79,Ari Bortman
81,Paul Owens
88,Matt Carter
93,Griffin Murphy
98,Jacob Quon
99,Gabriel Koo
b,r,e,a,k
Williams,7
0,Patrick Gerald
1,Kaizen Conroy
2,Ari Ball-Burack
4,Gabriel  Silva Collins
5,Noah Betz-Richman
6,Ryan Taylor
7,Nicholas Weed
8,Lev Gordon
9,Gray Livingston
10,Will Turett
11,Henry Lane
12,Nathaniel Munson-Palomba
13,Kees Humes
14,Asher Kolman
15,Jeremy Smith
18,Jonah Greenberg
19,Dominic Chui
23,Nathaniel Jones
33,Tucker Lemos
39,Harry Kamian
41,William Newton
59,Richard Saint
69,Luke Passannante
76,Daniel Ortiz
77,Matias Korfmacher
82,Kirby Gordon
88,Jake Marrus
b,r,e,a,k
Maryland-Baltimore County,15
5,Colin Altman
6,Collin Muhler
7,Joseph Ricks
14,Ethan Griffin
16,Garrett Goltz
18,Nandu Rami
19,Ben Rampolla
20,Noah Wallack
21,Will Oktavec
24,Justin Taylor
25,Colby Agar
27,Scott Bennett
32,Christopher McCormick
37,Max Trifillis
47,Brandon Turnbaugh
55,Anmol Tewari
57,Jason Chang
69,Manuel Miranda
72,Derek Frazer
77,Ryan Johnston
78,Samuel Butler
81,Michael Healey
82,James Ducey
83,Sean Hill
88,Ryan Gordon
b,r,e,a,k
Rowan,22
0,Collin Westcott
0,Cornelius Middleton
0,Dallin Eggert
0,Eneris Nurja
0,Eric Weber
0,James Dailey
0,Jeffrey Nelson
0,Joseph Marshall
0,Matt Stone
0,Michael Burch
0,Robert Alberino
0,Scott Pleban
0,Vincent Kuprat
12,Nick Setaro
36,Chris Kelly
81,Troy Zirkel
b,r,e,a,k
Rutgers,13
0,Cole Stevens
0,Dyllon Jeng
0,Francis Casimiro
0,Patrick Chirichella
0,Paul Savarskyy
0,Peter Jeng
0,Justin Eng
1,Daniel Kline
3,Will DiSturco
8,Brian DiNicola
9,Dean  Klimek
12,Bobby Puhak
13,Summer Zheng
14,Brendon Pierce
23,Otto Gomez
31,Francis Joe
32,Kalman Carmel
36,Tanner Yuhas
64,Benjamin Levy
b,r,e,a,k
Drexel,21
0,Andrew Tengdin
0,Daniel Bolton
3,Paul Doyle
4,Garrett Tocci
6,Andrew Spiegel
7,Patrick Mulderig
8,Kyle Watson
9,Simon O'Sullivan
02,Christopher Markowitz
10,Dylan Cohen
10,Timothy Reeves
11,Kyle Shallow
12,Manjinder Oueslati
13,Nicholas Nugent
18,Cameron Rabinowitz
20,John Madden
21,Spencer Fan
22,Dylan Smith
24,Mike Worth
25,Nolan Boyle
26,Derek McGraw
27,Tim Brant
31,Daniel Admirand
32,Chris Maher
33,Adam Federbusch
36,Kent Hubert
47,Jason Kanemoto
86,Harsha  Emani
87,Andrew Seibert
88,Jeff Zeng
99,Yehonatan Tamir
b,r,e,a,k
George Washington,8
0,Bradford Patterson
0,Cameron  Blanks
0,CHASE KLEBER
0,Andrew Bent
0,Jan Nowak
0,Joseph Staton
0,Josh Weinstock
0,Kyle Van Vlack
0,Noam Brenner
0,Peter Barrows
0,Shane Haar
0,Timothy Moore
0,Zachary Posnik
1,John Venezia
2,Nicholas Benevento
16,Alexander Nunno
17,Ben Bosland
30,Thomas Perry
35,Michael Thomas
37,Benjamin Butcher
39,Christian Roatta
42,Jack Stuart
53,Jackson Gode
b,r,e,a,k
Towson,16
0,Anthony Swiecicki
0,Brandon Myers
0,Tyler Lance
4,Ryan Bates
5,Joseph Gallagher
6,Josh Moen
10,Nate Laws
12,Douglas Trach
14,Zachary Greaver
15,Xavier Stewart
18,Yoshia Matsui
31,Josue Reyes
51,Kevin Versteeg
66,Michael Valdes
72,Daniel Feuerberg
b,r,e,a,k
RIT,17
0,Andrew Dorrell
0,Bryan Bausinger
0,Cal Miller
0,Daniel Horrigan
0,Giyeon Han
0,Iain Tracton
0,Nicholas Bober
0,Ryan Kelly
9,John Ackerman
15,Max Avratin
24,Jacob Watts-St. Germain
41,Maxwell Sample
45,Michael Duncan
49,Caleb Ng
52,Nirav Barman
95,Peter Carter
b,r,e,a,k
Delaware,9
0,Cullen  Fulton
0,Gabriel Brown
0,Hayden Fulton
0,Jacob Bodek
0,Aaron Bonsignore
0,Andrew Moore
0,John Maher
0,Joseph Wheeler
0,Kyle Weinberg
0,Matt Hardie
0,Mitch Stuchlik
0,Richard Evans
0,Robert  McLean
0,Sean Duncan
4,Reed Forman
5,Brandon Hunter
8,Matthew McLean
14,Mike Alexander
18,Jesse Nelson
21,Jonathon Chann
23,Russell Moy
44,Parker Kerrigan
47,Matthew Ballman
b,r,e,a,k
Duke,12
0,Andrew Wilcox
0,Bilva Sanaba
0,Caleb Gershengorn
0,Edward Zhuang
0,Irving Rein
0,Jacob Levine
0,Jeffrey He
0,Kyle Newman
0,Matthew Sanders
0,MATTHEW CLEAVELAND
0,Nicholas Donadio
0,Remy Freire
0,Ryan Corrigan
0,Ryan Mann
0,Shailen Parmar
6,Andres Nazario
