Great Lakes Mixed Regional Championship,Club - Mixed ,22,9,2018
Aurora,IL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Great-Lakes-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Columbus Cocktails,1
0,Ben Sever
0,Caitlin Duffner
0,Cara Sieber
0,Corey Hardesty
0,Eliot Alexander
0,Emily Barrett
0,Jason Lee
0,Jeffrey Brauning
0,Jonathan Rosen
0,Michael Hammond
0,Monica Tournoux
0,Stacy Lu
2,Sion Agami Contreras
2,Evan Hughes
3,Alaine Wetli
9,Ryan Kindell
10,Kristol Das
11,Jackie Matonis
11,Sadie Jezierski
14,Emily Steedman
17,Benjamin Reith
22,Nathan Olszowy
23,Kyle Murray
37,Tony Donato
43,Chloe Lim
59,Todd Miller
82,Katherine Sandstrom
b,r,e,a,k
Moonshine,8
0,Aaron Schorsch
0,Asher Finkel
0,Cameron McCrary
0,Cory Radcliff
0,Elizabeth Meyer
0,Bradley Rice
0,Isabella Hansen
0,Kasey Schock
0,Rebekah Taylor
2,Matt Brown
2,Jacob McEachern
3,Ben Luckey
5,Matt Summers
5,Joshua Wu
9,Caleb Montgomery
12,Kendall Archer
14,Jennifer Naumovitz
20,Nicholas Roller
21,Micah Smith
31,Laurel Shepherd
32,Alexandra McMackin
36,Nate Maddux
45,Matt McMackin
54,Olivia Pokoski
55,Grace Goulson
72,Lula Dutille
92,Matthew Cook
b,r,e,a,k
Rocket LawnChair,12
0,David Backus
0,Cherie Netzloff
0,Katie Wagner
1,Emily Sharick
3,Croix Jastrow
4,Paul Versluis
5,Ian Eisnaugle
9,Rachel Torrez
10,Kristina Nunez
11,Chad Glitz
12,ARASH USHANI
13,Ryan Donnelly
14,Nicholas Kraft
16,Kelli Smith-Biwer
17,Markus Borsch
18,Ashley Pepple
18,Franchesca Cassanese
23,Sara Herta
28,Aidan Tank
29,Vaughn Vargo-Alevras
31,Scott Hetu
32,Craig Biwer
35,Hannah Cheng
55,Cassandra Singler
61,Riely Kuznicki
71,Jason Mirjah
88,Maria Aristizabal
b,r,e,a,k
Jabba,13
0,Alexander Zaug
0,Alyssa Bennett
0,Ben Stanger
0,Bridget Doherty
0,Christian Owen
0,Cora Wigger
0,Duško Yovovich
0,Abby Jones
0,Alex Dudzik
0,Jeremy Jones
0,Jessica Fairhurst
0,Kamille Martinez
0,Leigh Abrams
0,Meredyth Staunch
0,Michelle Kruse
0,Sachi Seilie
0,Steve Janda
0,Travis Salk
1,Zach Marcus
15,Alex Yue
20,Erika Murray
20,Matt Afryl
26,Matt Thomas
27,Ryan Logan
28,Thomas Logisz
80,Joseph Cacciatore
82,Steven Jeka
b,r,e,a,k
Nothing's Great Again (aka Babymaker),7
0,Eli Artemakis
7,Heidi Heslinga
8,Lynne Nolan
02,Michael Shiel
05,Lizzy Shiel
