TCT Elite-Select Challenge 2018,Club - Mixed ,18,8,2018
Columbus,OH,2018-08-18,2018-08-19
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018/schedule/Mixed/Club-Mixed
No Touching!,8
10,Emily Wang
12,Jasmine Draper-Matthew
13,Kristin Baxter
16,Jaclyn Herr
17,Claire Schwaba
18,Sydney Olund
19,Lilli Popovich
21,Scott Schriner
22,Brittany Winner
23,Xavier Payne
28,Jeff Haney
32,Dan Cunningham
33,Austin Winner
45,Kristen Kaweck
51,Chris Ginet
53,JANE LUCAS
66,Daniel Conrad
77,Daniel Khoe
87,Josh Becker
99,Stephanie Yanosik
b,r,e,a,k
Blackbird,10
teamInfo,,"San Francisco, California",,https://www.facebook.com/Blackbird-Ultimate-128109440599257,https://twitter.com/Blackbird_SF
0,Alexandra Stambaugh
0,Jacob Lohman
0,Julia Ting
0,Kara Hammer
0,Max Udsen
0,Rachel Holz
0,Raj Maitra
2,Corey Lee
7,Malina Wiebe
9,Adam Farren
10,Donnya Ajdari
11,Barrs Lang
13,Trevor Harper
16,Vincenzo Vitiello
17,John Kolb
19,Ryo Kawaoka
20,Bree Cahn
30,Megan Schoellhamer
32,Vivian Chu
40,Mac Taylor
b,r,e,a,k
NOISE,6
teamInfo,,"Madison, Wisconsin",http://noiseultimate.wordpress.com/,,www.twitter.com/NOISEUltimate
coaches,Nick Heckman,Ben Parrell
1,Francis Kelley
2,Ashley Welsh
3,Cody Rebholz
6,Ian Hahn
7,Vanessa Cannaday
8,Maria Signore Becker
9,Joshua Wilson
10,Tom Annen
12,Chris Wilen
13,Becky LeDonne
15,Carl Deffenbaugh
16,Frank Qin
17,Emily Dayton
18,Sarah Mondschein
19,Haley Hudson
24,Dayu Liu
25,Joann Wong
26,Kayla Patterson
27,Mary VanDuyne
30,Natan Lee-Engel
33,Katy Stanton
34,Matthew Becker
41,Jenni Konigsburg
43,Kevin Cannaday
53,Arjun Kumar
60,Claire Cech
77,Jack Kelly
b,r,e,a,k
shame.,3
teamInfo,,"Fort Collins, Colorado",,,
00,Dan Bush
00,Emlia Garcia
00,Kasey Anderson
00,Kevin Herrera
02,Hugh Carey
03,Kelcie Glick
07,Emily Hanson
08,Bailey Russel
09,Nate Roth
10,Doug Stenclik
11,Danielle Love
13,Kyle Enns
21,Joseph Anderson
23,Peter Raines
24,Zackary Fleming
25,Nicholas Snuszka
27,Chris Gauen
31,Alexandra Daniels
46,Chelsea Cotton
48,Aubree Dietrich
51,Spencer Tibbs
52,Marilyn Reich
56,Jacob Juszak
69,Adrienne Altobelli
85,Vinny Fiacco
b,r,e,a,k
Mesteño,15
teamInfo,,"Denver, Colorado",,https://www.facebook.com/mestenoultimate,
0,Cruz Alvarez-Machado
0,Danielle Swales
0,Hannah Zax
0,Chelsea Tossing
0,Chris Van Thiel
0,Jack Girard
0,Jennifer Ricaurte
0,Jessica Rabin
0,John Marcy
0,Jose Maldonado
0,Kristen Dietrick
0,Moriah LaRocque
0,Nicholas Wetzel
0,Roeland Reyniers
0,Ryan Meinkoth
0,Scott Harper
0,Tessa Walter
1,Michael Kapoor
2,Holly Lin
5,Stephen Lin
7,Chris O'Connell
9,Jamian Jacobs
15,Sarah Toth
22,Iris Ng
37,Ryan Hummel
97,Andrea Uhl
99,Scott Salvati
b,r,e,a,k
Polar Bears,4
teamInfo,,"Berkeley, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
01,Alexander Max
02,Molly Munson
03,Ryan Takayama
04,Gabriel Edwards
05,Aaron Shi
06,Cheryl Hsu
14,Kate Schlag
15,Nick Tolfa
16,Krista Takayama
17,Margot Stert
18,Nicholas Alexander
19,Christopher Cogswell
20,Sean Liston
21,Dulcy Docken
22,Andrew Ouyang
24,Joe Thompson
25,Daniel Naruo
28,Catherine Chen
29,Amanda Meroux
33,Ian Sweeney
34,Jesse Buchsbaum
36,Sara Nolan
42,Bob Madden
52,Samantha Applegate
88,Linh Hoang
b,r,e,a,k
Toro,5
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ToroUltimate/,https://twitter.com/ToroUltimate
0,Brielle LeClear
01,Kirkwood Alex Cloud
03,Dean Culver
05,Matthew Thomas
07,Lyra Olson
08,Heather Zimmerman
09,George Guthrie
10,Theran Riedel
11,Emma Peaslee
13,Kathryn Morrison
14,Tanner Barcus
15,Kerry Green
17,Dylan Shields
19,Tracy d'Arbeloff
21,Vikram Sethuraman
22,Lucas Darden
25,Michael Pannone
27,Toni Gomes
30,Gentry Maddox
31,Alex Kaja
34,Tristan Green
43,Matthew Wilson
47,Ian Lawson
66,Paul Weeks
88,Christine Bookhout
b,r,e,a,k
Mischief,9
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
02,Corinne Hanson
04,Michael Dirda
06,James Hansell
07,Devon Williams
08,Julia Butterfield
10,Elliott Chartock
12,Candice Tse
13,Robin Meyers
14,Youngsoo (Ellen) Rim
15,Nathan Young
17,Julia Kwasnick
18,Caitlin Rugg
19,Sean Childers
20,Jenny Wang
22,Eric Rivera
23,Jordan Jeffery
25,Audrey Wei
29,VY Chow
30,Han Chen
33,Scott Gatto
47,Gina Schumacher
70,Brett Petersen
72,Devin Drewry
77,Emily Prader
80,Kevin Smith
99,Max de Visser
b,r,e,a,k
Columbus Cocktails,16
teamInfo,,"Columbus, Ohio",,,@cbusmixed
0,Ben Sever
0,Caitlin Duffner
0,Cara Sieber
0,Corey Hardesty
0,Eliot Alexander
0,Jason Lee
0,Jeffrey Brauning
0,Jonathan Rosen
0,Emily Barrett
0,Michael Hammond
0,Monica Tournoux
0,Stacy Lu
2,Sion Agami Contreras
2,Evan Hughes
3,Alaine Wetli
9,Annelise Peters
9,Ryan Kindell
10,Kristol Das
11,Jackie Matonis
11,Sadie Jezierski
14,Emily Steedman
17,Benjamin Reith
22,Nathan Olszowy
23,Kyle Murray
37,Tony Donato
43,Chloe Lim
59,Todd Miller
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
League of Shadows,Alloy,12,11,"08/18/2018, 10:35",Pool A,Final
No Touching!,Bucket,13,7,"08/18/2018, 10:35",Pool A,Final
League of Shadows,Bucket,7,12,"08/18/2018, 13:45",Pool A,Final
No Touching!,Alloy,13,7,"08/18/2018, 13:45",Pool A,Final
League of Shadows,No Touching!,5,13,"08/18/2018, 16:55",Pool A,Final
Alloy,Bucket,7,13,"08/18/2018, 16:55",Pool A,Final
pool,Pool B
Love Tractor,The Chad Larson Experience,12,11,"08/18/2018, 09:00",Pool B,Final
Lochsa,Steamboat,12,11,"08/18/2018, 09:00",Pool B,Final
Love Tractor,Steamboat,13,10,"08/18/2018, 12:10",Pool B,Final
Lochsa,The Chad Larson Experience,12,10,"08/18/2018, 12:10",Pool B,Final
Love Tractor,Lochsa,10,8,"08/18/2018, 15:20",Pool B,Final
The Chad Larson Experience,Steamboat,12,11,"08/18/2018, 15:20",Pool B,Final
pool,Pool C
shame.,Blackbird,11,13,"08/18/2018, 09:00",Pool C,Final
NOISE,Mesteño,13,11,"08/18/2018, 09:00",Pool C,Final
shame.,Mesteño,13,9,"08/18/2018, 12:10",Pool C,Final
NOISE,Blackbird,10,12,"08/18/2018, 12:10",Pool C,Final
shame.,NOISE,11,12,"08/18/2018, 15:20",Pool C,Final
Blackbird,Mesteño,13,6,"08/18/2018, 15:20",Pool C,Final
pool,Pool D
Polar Bears,Mischief,13,5,"08/18/2018, 10:35",Pool D,Final
Toro,Columbus Cocktails,13,7,"08/18/2018, 10:35",Pool D,Final
Polar Bears,Columbus Cocktails,13,7,"08/18/2018, 13:45",Pool D,Final
Toro,Mischief,12,14,"08/18/2018, 13:45",Pool D,Final
Polar Bears,Toro,10,12,"08/18/2018, 16:55",Pool D,Final
Mischief,Columbus Cocktails,13,6,"08/18/2018, 16:55",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Polar Bears,Love Tractor,7,13,"08/19/2018, 11:40",1st Place,Final
No Touching!,Polar Bears,13,14,"08/19/2018, 08:30",Semifinals,Final
Love Tractor,Blackbird,13,11,"08/19/2018, 08:30",Semifinals,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
No Touching!,Blackbird,11,13,"08/19/2018, 11:40",3rd,Final
bracket,5th Place Bracket
Bucket,Lochsa,10,8,"08/19/2018, 10:05",5th Place,Final
Bucket,Toro,13,12,"08/19/2018, 08:30",5th Semis,Final
Lochsa,NOISE,13,10,"08/19/2018, 08:30",5th Semis,Final
bracket,7th Place
Toro,NOISE,8,13,"08/19/2018, 10:05",7th Place,Final
bracket,9th Place Bracket
Mischief,The Chad Larson Experience,12,8,"08/19/2018, 13:15",9th Place,Final
League of Shadows,Mischief,7,11,"08/19/2018, 11:40",9th Semis,Final
The Chad Larson Experience,shame.,13,10,"08/19/2018, 11:40",9th Semis,Final
bracket,11th Place
League of Shadows,shame.,7,11,"08/19/2018, 13:15",11th Place,Final
bracket,13th Place Bracket
Alloy,Steamboat,11,13,"08/19/2018, 13:15",13th Place,Final
Alloy,Columbus Cocktails,9,8,"08/19/2018, 10:05",13th Semis,Final
Steamboat,Mesteño,13,5,"08/19/2018, 10:05",13th Semis,Final
bracket,15th Place
Columbus Cocktails,Mesteño,9,13,"08/19/2018, 13:15",15th Place,Final
b,r,e,a,k
