Huckfest 2018,Club - Mixed ,7,7,2018
Decatur,AL,2018-07-07,2018-07-08
https://play.usaultimate.org/events/Huckfest-2018/schedule/Mixed/Club-Mixed
STAX,1
teamInfo,,"Memphis, Tennessee",,https://www.facebook.com/groups/205547603524154/?ref=bookmarks,https://twitter.com/StaxUltimate
0,Matt Bledsoe
02,RACHEL MCGUIRE
03,CALEB Graceheart
04,Joseph Walter
05,Morgan Melton
07,Gabrielle Perl
08,Stephanie Forbert
09,Ariana Glantz
10,John-Michael Leppert
13,Richey Ward
16,Evan Meadows
17,Whitney Elliott
18,Grace Robinson
19,Maggie Paoli
20,Stephen Tankersley
32,Aubrey Nelson
44,Samuel Peter
81,Justin Hill
93,Abigail Tankersley
99,Luke Hatcher
b,r,e,a,k
LoveShack,8
teamInfo,,"Atlanta, Georgia",,,
0,Cassandra Spragg
0,Cole Flournoy
0,David Anderson
0,Erik Jorgensen
0,Jennifer Gold
0,Julia  Eck
0,Justin Royston
0,Rachael Burke
0,Wright (William) Dickerson
6,Jarrod Sinnock
7,Sophie Kay
12,Kimberly McGinnis
17,Victoria Thompson
18,Daniel Wang
21,Michael Jendzurski
24,MOLLY SNIPES
28,TYLER PLUNKETT
30,Alex Waxman
35,LAWRENCE LAUER
36,AHSHA MCQUAIN
38,Katie Powell
44,Christopher Purvis
47,John (Jack) Curran
48,Kathryn Watson
60,Rachel Deeds
77,Joshua Swaney
82,Kallie Monroe
b,r,e,a,k
Mixed Results,17
teamInfo,,"Knoxville, Tennessee",http://www.knoxvilleultimate.com/p/mixed-results.html,,http://www.Twitter.com/KnoxMixed
0,Amanda Haglund
0,Cait Newton
0,Elise Thress
0,James Cupp
0,Jason Nanney
0,Josh Broughton
0,Kin Ling Sham
0,Michaela  Crenshaw
0,Randall Waymire
0,Robert Bedsole
0,samantha bedsole
0,Mitchell Smith
0,Nathan Kenner
0,Shelby  Cupp
0,William Brotman
2,Jessica Leach 
4,Jacob Bultman
6,Sean Allan
14,Jenny Newby
18,Miciah Clay
20,Chris Hill
31,Josh Mayor
33,Matthias Arras
47,Jacob Thress
88,Caleb Bailey
97,Niya Thomas
99,Andrew Helton
b,r,e,a,k
OutKast,13
teamInfo,,"Atlanta, Georgia",,,
0,Abigail Self
0,Andrew Harkins
0,Christy Fletcher
0,David Lindsey
0,Kendyl Wade
0,Marquis Chapman
0,Michael Belongia
0,Nathan Piechal
0,Rede Hankinson
0,Troy Baker
2,Matthew Arambula
6,Marvin Barge
7,Luke Donohue
13,Irene Tsinajinnie
14,George Panga
15,Jackie Podoll
22,John Aguilar
25,Paige Payne
45,James Knicely
99,Rebecca Colbert
b,r,e,a,k
Baywatch,9
teamInfo,,"Pensacola, Florida",,,
0,Courtney Testa
0,Amelia Leenig
0,BEN FORNEY
0,John Tortorici
0,Katie Hallbauer
0,Kristen Bernheisel
0,Matthew DeMatteo
0,Sean Toellner
2,Chris Gilmore
5,James Hudson
6,Nicholas Ramzi
8,Nathaniel Moore
9,Justin Miller
12,Harry Walker
14,Jacob  Perry
25,JAKE EHRLICH
55,Jennifer Ralphs
69,Jon Smidt
89,Caron Shimel
b,r,e,a,k
Method,2
teamInfo,,"Huntsville, Alabama",,,
01,Beau Waldron
02,Kelsey Moser
03,Sara Mog
04,Jordan Matthews
05,Jason Williams
06,Alice Radcliffe
07,Riley Mog
08,Danny Yates
09,Hannah Yates
10,Elliott Terrell
11,Stephen Brandon
12,McKayla Edmonds
13,Andy Sieja
14,Jessica Brandon
15,Collin Orcutt
16,Leah Gauldin
17,William Fleming
18,Allyson Smith
