Southwest D-I College Men's Regionals,College - Men ,28,4,2018
San Luis Obispo,CA,2018-04-28,2018-04-29
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2018/schedule/Men/CollegeMen/
Stanford,1
0,Stephen Spears
01,Allan Ndovu
02,Jack Kimmel
03,Sam Kunz
04,Drew Mathieson
07,Spencer Hodson
08,Grant Lin
09,Sean Vajanaphanich
11,Nicolas Rodriguez
14,Lyndon Whittaker
16,Sergio Licon
21,Phillip Cathers
22,David Mondry
23,Gabriel Hernandez
24,Kevin Tien
25,Ri Chen
28,Michael Becich
32,Ryan Ressmeyer
33,Nicholas Hirning
34,Nathaniel Gruver
54,Juan Carlos Meave Ojeda
74,Alvin Kim
88,Maxwell Melin
99,Sam Masling
b,r,e,a,k
California-Davis,9
0,Anders Eckburg
0,Casey Shugarman
0,Charles Thudium
0,Devin Hom
0,Dylan Owens
0,Dylan Pyle
0,Evan  Martin
0,Jacob Deppmeier
0,James Meskell
0,Jarren Suzuki
0,Jordan Lund
0,Jordan Ellering
0,Kevin Klein
0,Nick Sevely
0,Spencer Sawyer
0,Tycho Yacub
0,Zachary Naugles
1,John Nguyen
5,Julius Vo
11,Leif Swenson
14,Fredric Murolo
15,Nick Tolfa
22,Jefferson Laird
31,Chetan Gomatam
37,Logan Dolim
b,r,e,a,k
San Diego State,16
0,Daniel Robinson
2,Mitch Wellman
4,Brian Haley
5,Brady Dove
6,JJ Rogers
6,Rodman Stuhlmuller
8,Michael Brogan
13,Harrison Hayes
16,Joseph Huppert
17,Zachary Leon
18,Joshua Schroeder
21,Tyler Best
22,Tim Anaya
24,Robert Horewitz
26,Ryan Wilbanks
28,Nathan Machak
30,Hayden McAdoo
31,Daniel Patton
37,Daniel Koble
39,Noble Schlueter
50,Matthew Jensen
94,Josiah Reeve
b,r,e,a,k
Las Positas,8
01,Kuni Okabe
02,Cameron Beck
04,Eli Fischberg-Robinson
05,Gavriel Gelbart
06,Julian Abreu
07,Zachary Wiegel
22,Jack Hamner
24,Jarett King
26,Jacob Gutkowski
