TCT Pro-Elite Challenge (Colorado Cup) 2018,Club - Mixed ,7,7,2018
Broomfield,CO,2018-07-07,2018-07-08
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018/schedule/Mixed/Club-Mixed
Wild Card,1
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
coaches,Michael MacKenzie
0,Luke Lanoue
01,Lauren Nelson
02,Evan Swiatek
03,Cody McInnis
04,Hannah Crowley
05,Andrew Pillsbury
06,Jac Carreiro
07,Maxwell Rick
08,Connor Fortin
09,John Rahill
10,Annika Chan
11,Lloyd Olson
15,Claire Dunn
17,Tamar Austin
21,Eva Petzinger
23,Jodi Robert
25,Judy Ledlee
27,Sarah Judd
31,Sarah Hansen
33,Margo Urheim
34,Gustav Haflin
37,Matthew Heath
38,Nikhil Bhatia-Lin
46,Luke Webb
73,Katharine Sullivan
88,Hailey Alm
99,Reba Havis
b,r,e,a,k
Toro,8
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ToroUltimate/,https://twitter.com/ToroUltimate
coaches,Alan Hoyle
0,Brielle LeClear
01,Kirkwood Alex Cloud
02,Margaret Quinn
03,Dean Culver
05,Matthew Thomas
07,Lyra Olson
08,Heather Zimmerman
09,George Guthrie
10,Theran Riedel
11,Rica Melissa Garcia
13,Kathryn Morrison
14,Tanner Barcus
15,Kerry Green
17,Dylan Shields
19,Tracy d'Arbeloff
21,Vikram Sethuraman
22,Lucas Darden
25,Michael Pannone
27,Toni Gomes
30,Gentry Maddox
31,Alex Kaja
43,Matthew Wilson
47,Ian Lawson
54,Tristan Green
66,Paul Weeks
88,Christine Bookhout
95,Jackie Wang
b,r,e,a,k
NOISE,12
teamInfo,,"Madison, Wisconsin",http://noiseultimate.wordpress.com/,,www.twitter.com/NOISEUltimate
coaches,Nick Heckman,Ben Parrell
0,Kyle Weigand
3,Cody Rebholz
6,Ian Hahn
7,Vanessa Cannaday
8,Maria Signore Becker
9,Joshua Wilson
10,Jack Nelson
10,Tom Annen
12,Chris Wilen
13,Becky LeDonne
13,Mary VanDuyne
15,Carl Deffenbaugh
16,Frank Qin
17,Emily Dayton
18,Sarah Mondschein
20,Lauren Perucco
25,Joann Wong
26,Kayla Patterson
30,Natan Lee-Engel
33,Katy Stanton
34,Matthew Becker
41,Jenni Konigsburg
43,Kevin Cannaday
53,Arjun Kumar
60,Claire Cech
77,Jack Kelly
81,Dayu Liu
b,r,e,a,k
Alloy,13
