Mid-Atlantic Mixed Regional Championship,Club - Mixed ,22,9,2018
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
AMP,1
0,Nick Spiva
01,Robert Roos
02,Matt Zumbrum
04,Raha Mozaffari
05,Michael Panna
06,Kelsey Devlin
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
10,Spencer DeRoos
11,Ryan Flamberg
12,Malti McKinnon
13,Nico Lake
16,Richard Robinson
17,Stephen Ng
18,Emily Shields
19,Anna Thompson
20,Ben Pelleg
21,Linda Morse
23,Natalie Bova
24,Danielle Walsh
27,Yuge Xiao
33,Calvin Trisolini
36,Carolyn Normile
44,Max Charles
81,Sean Mott
99,Eric Nardelli
b,r,e,a,k
HVAC,14
0,Elizabeth (Libby) Chamberlin
0,Katharine Gray
0,Ya-Zhen Chen
0,Yosef Ejigu
03,Molly Burness
04,Richard Boyle
06,Travis Lynch
07,Ryan Mann
08,Jillian Banner
09,Hannah Lincoln
10,Phat Nguyen
12,Lily Nguyen
13,Philip O'Hara
14,Zoya Shoukat
15,Nicholas Bellis
19,Markus Wolf
21,Sam Burke
24,YUSUKE ASAI
28,Krista Woodward
30,Jeremy Neff
42,Katherine Piette
44,Eric Yoon
44,Brendan Thompson
57,Michael Rohde
81,Ben Frattini
b,r,e,a,k
Ant Madness,8
0,Aidan McLeod
0,Allison Hahn
0,Amy Wedmore
0,Bethany Turner
0,Carolyn Ng
0,Cat Prueitt
0,Gil Eisbruch
0,Henry Trotter
0,Katrien Hinderdael
0,Kevin Chiang
0,Nicholas Kwan
0,SHANNON PACE
0,Sydney Kane
5,Emma Powers
6,Jacob Smith
8,Jae Miner
9,Alexander Lichtenstein
11,Alex Srisuwan
11,Ryan Thornton
14,Daniel Blair
19,Bridgette Heine
22,ANDREW SIGAL
25,Carl Schoenherr
27,Rebecca Meeker
42,Claire Loxsom
53,Jackson Gode
88,Robert Pratt
b,r,e,a,k
Crucible,11
0,Ana Vizcaya Hernandez
0,Andrew Walsh
0,Annette Kukunas
0,Blaine Taylor
0,Christina Poole
0,Ian Piper
0,Lora Waybright
0,Matthew Poole
0,RYAN CICIONI
3,Taha Udyawar
4,Marla Breitbarth
7,Cory Ruff
8,Joseph Merante
8,Amanda Erlandson
8,Ronald Persico
9,Katelyn Bozich
18,Bridget McCoy
21,Elliott Diamond
25,Rachel Olszewski
28,Steven May
31,Brady Zbikowski
31,Anthony Erlandson
37,Svetlana Romanova
37,Nick Bozich
56,Julia Lekht
80,Jay Walker
89,Eric Petrow
b,r,e,a,k
Space Heater,2
0,Theodore Sither
9,Fred Wolf
01,Zachary Norrbom
04,Patrick Shriwise
05,Allison Maddux
07,David Boylan-Kolchin
08,Christine Valvo
09,Kyle Khalifa
10,Jenny Fey
17,Shino Yoshen
18,Crystal Davis
19,Georgia Bosscher
27,Cody Johnston
32,Anthony McLean
35,Katherine Sanz
37,Sandra Jorgensen
42,Ryan Nam
43,Joe Freund
51,Claire Desmond
53,Jonny Malks
61,Erik Salmi
76,Adam Raty
88,Kelly Hyland
95,Rachel Hess
99,Alan Kolick
b,r,e,a,k
Jughandle,7
0,Andrew Auyeung
0,Cara Silvestri
0,Colin Kochenash
0,Drew Rasmussen
0,Emily  Cai
0,Emma Ignaszewski
0,Evan Feeney
0,Jessica Renninger
0,Jimmy Wang
0,Kristi Huang
0,Harrison Treegoob
0,Jeff Shipkin
0,Natalia De Jesus
0,Rebecca Halleran
0,Susanna Jivotovski
0,Thomas Johnson
2,Funing Zhang
6,Dmitry Suvorov
6,Ryan Anderson
9,Charles Cannon
10,Mathieu Savarit-Cosenza
11,Mason Compton
18,Emily Yin
21,Elizabeth Melillo
22,David Harrison
42,Lucas  Richie
88,Jessica Louie
b,r,e,a,k
Legion,13
0,Anna Marie Hagerty
0,Daniel Mills
0,Dylan Smith
0,Eugenia Witherow
0,Robert Young
0,Ryan Jake Bell
0,Walter Lewis
1,Danielle Smith
2,Kevin Habermas
3,Ashley Mast
4,Rebecca Harris
7,Taylor Brooks
11,Kevin Dodd
12,Jonathan Mast
13,Keys Pattie
14,Ariel Vogel
15,Brendan Kinne
18,Krista Habermas
24,Kristiana Preus
25,Elizabeth Ware
35,Najir Dipasalegne
45,Tynan Englert
47,Billy Harmon
48,Chuck Cantone
68,Jennifer Schlabach
84,Francoise Delisle
88,Geoffrey Bernardo
b,r,e,a,k
The Process,12
0,Brian Carney
0,Bryce Wiedenbeck
0,Chris Schauble
0,Craig McGowan
0,Emma  Brown
0,Frances Taschuk
0,Andrew Elliott
0,Andrew Haviland
0,Layne Dodge
0,Phil Case
0,Emilie Mohler
0,Sarah Gleeson
0,Travis Conrad
0,"Wint ""Olivia"" Oo"
0,Zoe Kaplan
0,MATTHEW CONGDON
0,Melissa Baker
1,Francesca Corna
8,Liz Hart
12,Isabel Yannatos
13,ALISA LI
13,Joseph Brennecke
14,Lauren Howard
15,Bailey Rowland
36,Kyle Golrick
44,Nicholas Moon
88,Jacob Kesselman
b,r,e,a,k
Alloy,3
01,Christie Lawry
02,Megan Briggeman
03,Maria Bajzek
04,Justin Forman
05,Chris Graber
06,Shayna Reppermund
08,Victoria Rollin
09,Patrick McMullen
10,Molly Moore
12,Nicole Fiorentino
13,Jesse Kummer
15,Connor Newell
16,Lilly Mendoza
19,Scott Trimble
22,Owen Watt
24,Sam Schurer
26,Kelsey Cowles
27,Darra Reppermund
30,AARON KANE
46,Amy Buck
72,Joseph Norby
82,Isaac Smith
85,William Hefferon
86,Robert Paolini
88,Christopher Martin
b,r,e,a,k
Distelfink,6
00,Ashlynn Trimmer
00,Beth Johns
00,Bradley Dussinger
00,Brian Turner
00,Christopher Man
00,Angela Martin
00,Daniel Slesinski
00,Derek Bigley
00,Jake Ritchey
00,Jordan Roof
00,Kristin Thomas
00,Nicole Singiser
00,Stacey Daniels
00,Tom Pribicko
05,Anthony Bowers
05,Corryn Vento
08,Kadi McCoy
08,TAYLOR WHITNEY
09,Kerianne Durkin
10,Matthew Stilley
11,Tim Hushon
12,Lindsey King
15,Rebecca Holmes
17,David Naylor jr
25,Ethan Krokonko
49,Ian Preston
49,Jordan Winey
b,r,e,a,k
8 Bit Heroes,9
00,Bryson Cramer
00,Daniel Downs
00,Daniel Kaste
00,DAVID WITMAN
00,Emily Grimes
00,Jamie Roan
00,Jordan Vanasdale
00,Kurt Sensenbrenner
00,Mark Flores
00,Tasha Hendershot
01,Robert McClughan
06,Chris Pliszak
07,Allyson Golightly
10,Chase Turner
11,Liz Grimes
12,Bryan Nadeau
14,Samuel Young
15,Zach VanDerwerker
16,Diana Burke
17,Elly Young
18,Mike Randow
19,Eric Helm
47,Rachel Moser
79,JAMIE Witman
99,Alvin Matute
b,r,e,a,k
Fake Newport News,16
0,Anna-Britta Pincus
0,Caroline Tsui
0,Emily White
0,Morgan Shelton
0,Richard Rudnicki
3,Forrest Hannahs
6,Caroline  Best 
02,Ben Slade
05,Tim Slade
07,David Slade
08,Jacob Slade
13,Alan Hancock
15,Emelia Marshall
18,Nat Choate
20,Anna Slade
21,Mae Kemsley-Kirn
23,Spencer Kirn
25,Joseph Hoffman
30,ThomasJae Garcia
34,Gabriella Garza
40,Kristin Cochran
45,Spencer Neher
59,Brent Poynter
96,Luke Rehfuss
b,r,e,a,k
Loco,4
0,Beata Artz
0,Ben Crescenzo
0,Christopher Pokorny
0,Declan French
0,Dustin Sullivan
0,Andrew Creighton
0,Ashley Cantasano
0,Elena López
0,Ian Coyne
0,Lindsay McKenna
0,Rachel Alfano
0,Samuel Esser
0,Sarah Roberts
0,Steven Broome
0,Will Hoehne
3,Sarah Coyne
3,Austin Lillis
6,Jessica Brand
6,Ashwin Pothukuchi
10,Ryan Dealy
17,Eileen Peach French Regan
21,Regina Wilkinson
32,Jeffrey Andrews
35,Ryan Forster
65,Robert Yu
72,Justin Creighton
91,Kenneth Wells
b,r,e,a,k
Rally,5
0,Brandon Cannell
0,Janie Mockrish
0,Katina Russell
0,Meg Tucker
0,Lauren Sitlinger
0,Leo Pierson
0,Tsuki Hoshijima
0,Xavier Maxstadt
1,Mason Gardner
1,Anna Wysen
3,Abigail Brook
6,Thomas Piper
6,Dane Warner
7,Peter MacArthur
8,Grant Franke
12,Neha Vaingankar
18,Grayson Sanner
19,Noah Newberger
19,Scott Campbell
21,Andrew Allen
24,Kristen Brenner
29,Haley Sanner
29,O'Linda (Blaise) Sevier
38,Maggie Soto
54,Genevieve Leo
70,Brian O'Hara
73,Alexander Koch
b,r,e,a,k
Sparkle Ponies,10
0,Andrew Fine
0,Calvin Tam
0,James Kirchhoff
0,James Anderson
0,Joseph Becker
0,Katherine Mallory
0,Keerti Goorah
0,Kelsey Hales
0,Corrie Willson
0,LT Tucker
0,Lily Eisner
0,Maria Packard
0,Michaela Gramzinski
0,Paul Butterfoss
0,Paul Corbett
0,Seth Buchsbaum
5,Robert Van Hassel
10,Bridget Van Fleet
13,Chris Muller
13,Dan Jacobson
20,Lee Langston
20,Myco Paulo
24,Jack Reickel
36,Sheila McGraw
36,Lauren Edwards
37,Max Trifillis
44,Gunnar Olgren
b,r,e,a,k
The Bandits,15
4,Robert Altieri
00,SEAN TAYLOR
00,Brett Bealer
02,Eleanor Beckwith
04,Alyssa Willis
06,Sarah Durando
08,Alex Greene
09,Kelly Fonner
11,Daniel Marlow
12,Kaitlyn Dermen
13,James Nabial
14,Joseph Friedman
15,Casey Lynch
17,Iris Kim
18,Raz Blau
24,Steven Willis
25,Benjamin Nichols
27,Tomoe Bien
28,Luz Bueno
29,Ryan Cullinane
33,Bonnie Marlow
34,Adriana Tirado
35,Rae Conklin
49,Jason Thompson
53,Wes Halter
70,Robert Patten
98,Kyle Dew
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
AMP,Crucible,13,3,"09/22/2018, 09:00",Pool A
Ant Madness,HVAC,10,11,"09/22/2018, 09:00",Pool A
AMP,HVAC,13,5,"09/22/2018, 11:00",Pool A
Ant Madness,Crucible,13,5,"09/22/2018, 11:00",Pool A
AMP,Ant Madness,13,1,"09/22/2018, 13:00",Pool A
Crucible,HVAC,9,13,"09/22/2018, 13:00",Pool A
pool,Pool B
Space Heater,The Process,13,1,"09/22/2018, 09:00",Pool B
Jughandle,Legion,13,8,"09/22/2018, 09:00",Pool B
Space Heater,Legion,13,7,"09/22/2018, 11:00",Pool B
Jughandle,The Process,13,4,"09/22/2018, 11:00",Pool B
Space Heater,Jughandle,13,8,"09/22/2018, 13:00",Pool B
The Process,Legion,4,13,"09/22/2018, 13:00",Pool B
pool,Pool C
