Northeast Mixed Regional Championship,Club - Mixed ,22,9,2018
Devens,MA,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Northeast-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Wild Card,1
00,Evan Swiatek
00,Jac Carreiro
00,Nikhil Bhatia-Lin
00,Reba Havis
00,Sarah Hansen
00,Tamar Austin
00,Luke Webb
00,Margo Urheim
01,Lauren Nelson
02,Jodi Robert
03,Ian Engler
05,Andrew Pillsbury
07,Maxwell Rick
08,Connor Fortin
09,John Rahill
10,Annika Chan
11,Lloyd Olson
14,Hannah Crowley
15,Claire Dunn
21,Eva Petzinger
25,Judy Ledlee
30,Kyle Johnson
34,Gustav Haflin
37,Matthew Heath
73,Katharine Sullivan
84,Alex Kapinos
88,Hailey Alm
b,r,e,a,k
UNION,11
2,Daniel Balzerson
7,Jacqueline Man
8,Madeleine Channen
10,Danielle Leung
11,Eric Blanchard
13,Cameron Dunning
15,Lindsay Earle
16,Sarah Granziol
17,Heather Neary
19,Parker Bollmann
22,Kieran Charnock
23,SKY POWELL
28,JENNIFER LEROUX
34,Nathaniel Faries
40,Stephanie Malcher
42,Dwayne Neill
45,Emmalyne Azucena
64,Jeffrey McClelland
71,BRYAN YUE
72,KRISTA KOTWA
73,David Kaufman
82,Rebecca Mesburis
89,Brendan Wood
91,Cameron Harris
94,Bryan Smith
96,David Tang
99,Teodore Nikko Gaston
b,r,e,a,k
Sunken Circus,14
0,Amy LeBel
0,Bailey Kirwin
0,Benjamin Wilson
0,Christina Hassett
0,Emily DaSilva
0,Gunnar Heckler
0,Hudson Carr
0,Jordanna Rees
0,Josie Gillett
0,Kelley Kirwin
0,Daniel Butler
0,Mohdis Baker
0,Nathan Buck
0,Silas Lunetta
0,Stephen Squiers
2,Tony Alves
5,Sean Simard
6,Zachary Esakof
7,Matthew Wilbanks
9,Samantha Munson
9,Cyrus Fenderson
10,Leah Rubinstein
13,Chase Baker
21,Cole Aaskov
22,Bridget Bailey
31,eloise terry
87,Colin Eimers
b,r,e,a,k
Heartless,8
0,Asher Lehrer-Small
0,Ashley Brogan
0,Bettina Fahndrich
0,Eliana Moskovitz
0,Ellie Hasenohr
0,Emily Bridgers
0,Emma Massey
0,Isaac Avery-Padberg
0,Jack Conant
0,Jordan Kaufman
0,Meghan Kibblehouse
0,Mike Voelpel
0,Nathaniel Pucci
0,Quinn Ledak
4,Aidan Deane
8,Stephen Donahue
15,Sarah Rose
15,Nicholas Lynn
16,Elijah Coolidge
17,Sage Tanner
21,Jack Duncan
23,Mariz Mangundayao
28,Megan Tammaro
43,Remy Eisendrath
b,r,e,a,k
Snake Country,2
00,Jacob Taylor
01,Brian Garcia
03,Anna MacNaughton
04,Davis Whitehead
05,Kirsten Lundquist
07,Sophia Vargas
08,Peter Prial
09,Karoline Hart
11,Ryan Levins
12,Christopher Waite
13,Kimberly Levins
14,David Ferraro
15,Charlie Roberts
16,Erin Rea
17,Auralyn Mackenzie
21,Misha Herscu
22,Alexi Zalk
23,David Reshef
24,Jesse Wolf
25,Sarah Hemphill
26,Chelsea Leeder
33,Jake Herman
35,Piers MacNaughton
43,Jon Hirschberger
46,Daniel Glatt
64,Jamie Quella
89,Annie Fisher
b,r,e,a,k
Grand Army,13
0,Abigail Schuster
0,Alex Eacker
0,Andrew Bustle
0,Andrew Werblin
0,Elizabeth Merritt
0,Gina Stees
0,Christopher Cox
0,Darren Defreeuw
0,Henry Zhang
0,Jeannine Opie
0,Jimmy Chen
0,Kevin Hsu
0,Kyle Blaeuer
0,Miranda Moore
0,Stephen Schaffenberger
04,Alicia Monfre
05,Josette (Josie) Pratt
06,Jae Lee
11,Hayley Manning
13,John Sakon
14,Brianna Dayer
15,Helen Samuel
17,Kevin Donlin
22,Edith Iyer-Hernandez
24,Sean Petterson
42,Miriam Nielsen
69,Peter Luo
b,r,e,a,k
Happy Valley,7
0,Amos Adams
0,Leila Tunnell
0,Rachel Oram-Brown
0,Solomon Maerowitz-McMahan
1,Dylan Tunnell
2,Jeremiah Berlin
5,Joe Costello
8,Shelly Peyton
9,Micah Flynn
9,Dan Kaplan
10,Shira Yeskel-Mednick
11,Blake Spitz
12,Laura Masulis
14,Sara Jacobi
14,Tobias Harvey
15,Caroline Pellegrini
16,Christie Kim
22,Dory Ziperstein
23,Nathan Smiley
30,Oliver Fay
30,Robin Stewart-Demartino
30,Tim Coppinger
33,Elizabeth Calkins
41,Noah Fay
49,Chandler Thoma
58,Noah Zobel
88,Miles Montgomery-Butler
b,r,e,a,k
The Feminists,12
0,Alberto Alarcon
0,ANDREW WILKES
0,Anna Meyendorff
0,Avery Reed
0,Brandon Contarsy
0,Chris Nelson
0,Christina Chin
0,Courtney Remm
0,Cynthia Jones
0,David Vuckovich
0,Eliot Bemis
0,Kara Neaton
0,Katie Talay
0,Kim Tischler
0,Kristie Wong
0,Rebekah Souder-Russo
0,Robert Devoogd
0,Samuel Taylor
0,Sophie Hines
0,Tom Sum
0,Minerva Muzquiz
5,Peter Gilchrist
24,Brendan Awerbuch
27,Lionel Wininger
31,Julie Paik
33,Luke Wolckenhauer
42,John Geraghty
b,r,e,a,k
Slow White,3
0,Caitlin Go
0,David Friedman
0,Eric Shaw
0,Hannah Baranes
0,Jeff Smith
0,Rachael Westgate
0,Rosalyn Ano
0,Shaun Krieger
0,Tess Johnson
0,Thomas Ferguson
0,Todd Herman
0,Vicki Chang
0,Walker Hatchett
0,Olivia Hampton
2,Ryan Cardinal
5,Shaun Doherty
10,Ryan Turner
11,Arielle Nelson
15,Caitlin Fitzgerald
17,Eli Motycka
21,Patrick Barron
24,Andy Schachter
25,Alexander Trahey
25,Ivan Tran
29,Emilia Scheemaker
46,Amy Stoddard
62,Leanne Go
b,r,e,a,k
League of Shadows,6
0,Alison Hill
0,David Lyle
0,Jaquille Jones
0,Jason Shnipes
0,Matthew Rogers
0,PETER ROGERS
0,Rebecca Leong
0,Shi-Min Chin
0,Thomas Barry
1,Patricia Neckowicz
4,Daniel Rosengard
5,Qingyun Lu
7,Katherine England
12,Brent Lo
13,Leo Blooston
13,Alex (Wei Yuh) Chang
16,Henry Frost
17,Cici Wang
17,Lillian Huang
18,Daniel Harris
19,Karissa  Tabtieng
20,Nicole Wilkinson
21,Charles Marokhovsky
29,Tate Tabtieng
44,Tyler Chan
77,Matthew Fasano
99,Jordan Kaufman
b,r,e,a,k
Darkwing,9
0,Dean Bullock
0,Emet Schwartz
0,Eugene L'Heureux
0,Giancarlo Cincotta
0,Jacob Arwe
0,Jared Scheinberg
0,Alexander Donadio
0,Anna Zucchero
0,Brianna  Considine
0,Charlotte Langer
0,Christopher Mark
0,Mckenzie Finigan
0,Alexander Nagle
0,Sophie Shen
3,Steven Her
5,Conor Dowling
6,Justinne Guarin
9,Sara Rudolph
13,Kat Brock
16,ALEXANDER PINKHAM
