South Central Men's Regional Championship,Club - Men ,22,9,2018
https://play.usaultimate.org/events/South-Central-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
Doublewide,1
1,Jason Holleran
2,Matthew Bennett
4,Jay Froude
6,Michael Matthis
9,Carson Wilder
10,Kaplan Maurer
11,Robert Lewis
12,Andrew Walch
13,Dalton Smith
14,Carter Hollo
16,Chris LaRocque
17,Chris Larberg
19,Ethan Pollack
20,Chase Cunningham
21,Connor Ughetta
22,Griffin Miller
24,Rory Orloff
26,Noah Chambers
27,Kyle Henke
29,Mick Walter
31,Kai Marshall
31,Brandon Malecek
34,Henry Furuta
43,Ben Lewis
50,Matthew Armour
83,Mitchell Bennett
99,Joshua Zdrodowski
b,r,e,a,k
Papa Bear,8
00,Ben Whitfield
00,Caleb Ellison
00,Chris Tillman
00,ADAM ZAHRADNIK
00,Andrew Hipskind
00,Garrett Baringer
00,Max Lukoschek
00,Samuel Heslep
01,Rafael Cruz-Garcia
02,Christian Hagan
03,Dayne Meyer
05,Paul Passmore
10,Daniel Erdeljac
12,Joshua Narabal
14,Woodley Simon
20,Jake Tomczyszyn
21,Austin Highsmith
22,Ricardo Rosas
24,Shaun van der Walt
25,Daniel Oliphint
26,Eric Carter
27,James Strasburg
33,Luke Obregon
35,Mathias Weeks
44,Josh Khoury
99,Mason Henkes
b,r,e,a,k
Riverside,10
0,Adam Croissant
0,Bryan Dunbar
0,Calvin Lin
0,David Casente
0,David Pojunas
0,David Maser
0,Dylan Lee
0,Charles Cross
0,Ferdia  Rogers
0,Garrett Gonzales
0,JACOB SPEEDY
0,Joe Williams
0,Jonathan Gardner
0,Ricky Stanfield
0,Robert Hausmann
0,Sam Murphy
7,Cole Lamkins
12,Jason Miller
14,Ben Arnecke
16,Brandon Sanders
17,Charles Mehrotra
21,Rick Artus
31,Paul Lowe
32,Louis Fausak
44,Ethan Banner
47,Johnathan Roniger
99,Jack Hornbuckle
b,r,e,a,k
Syndicate,15
00,Micah McIntire
00,Michael Higgins
00,Ross Elliott
00,Soren  Turner
00,Tim McIntire
04,Zachary Trendelman
05,Drew Wotton
06,Peter Kiefer
07,Michael Delatte
09,Joseph Graves
10,Wesley Sparkes
12,Michael Lopez
14,Stavro Tekosis
17,Thomas Scott
21,Sam Hale
23,Will Tirado
24,WILL TERRY
28,Thomas Beuerman
33,Taylor Tamblyn
42,Benjamin Jelinek
51,Kalvin Fletcher
64,Kyle Popelka
83,Michael Wang
b,r,e,a,k
Johnny Bravo,2
03,David Miller
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
07,Will McDonald
09,Robert Korbel
10,Nicholas Purifico
11,Joshua Crane
13,Alan Villanueva
