Bring the Huckus 9,College - Men ,24,2,2018
Yardley,PA,2018-02-24,2018-02-25
https://play.usaultimate.org/events/Bring-the-Huckus-9/schedule/Men/CollegeMen/
Middlebury,1
teamInfo,Pranksters,"Middlebury, Vermont",modules/common/go.middlebury.edu/uf,,twitter.com/pranksters69
0,Connor Levesque
0,Edward Hoffman
0,Nathan Beningson
6,Magnus Cleveland
7,Zach Levitt
00,Kevin Strenski
14,Kai DeLorenzo
69,Joshua Sims Speyer
69,Dylan Salzman
69,Adin Insoft
69,Asher Lantz
69,Michael La Bella
69,Sean Fallon
69,Warren Lundsgaard
b,r,e,a,k
Stevens Tech,16
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
0,Patrick  Rehain 
3,Blake Luxoro
10,Keyur Ved
17,Scott Borgstedt
19,Nicolas Camporeale
38,TJ Stanton
55,Jeremy Doll
84,Luke Pacchiana
95,Ira Seidman
97,Joseph Conway
98,Kyle Dew
b,r,e,a,k
SUNY-Geneseo,9
teamInfo,Snail,"Geneseo, New York",,,@geneseoultimate
0,Andrew Carlson
0,Elijah Freiman
0,Liam Reilly
0,Liam Schaub
0,Louis Dadabo
0,Timothy LaDuca
4,Ryan Shirk
8,Tyler Tiede
13,Jack Shepardson
20,Robert Holcomb
31,Ethan Perregaux
42,Kevin Burke
51,Paul McDermott
57,Paul Oleyourryk
69,Connor Evans
77,Matthew Orobona
88,Daniel Stern
b,r,e,a,k
Rochester,8
teamInfo,Piggies,"Rochester, New York",,https://www.facebook.com/RochesterUltimate,https://twitter.com/piggiesultimate
0,Clark Mularz
0,Erik Patak
0,Ian Campbell
0,Jeff Taylor
0,Daniel Gomez
0,Paul Irving
0,Quinn Mangan
0,Sam Hirschhorn
0,Luke McCarney
0,Webster Kehoe
0,Zhengfeng Liu
2,Patrick Phillips
15,Maxxum Fioriti
17,Joshua Shapiro
22,Duncan Grubbs
26,Noah Meyers
32,Christian Tolfa
69,Daniel Drury
77,Kristian Saeter
79,Joel Reiter
81,Alexander Velberg
95,Eli Burk
99,Shea Nashton
b,r,e,a,k
Catholic,17
teamInfo,Bad Habit,"Washington, District of Columbia",,,
01,Gregory Van Roie
04,John Devlin
08,Michael Gunden
09,Richard Watkins
11,Christopher Gillie
12,Arthur Dedoulis
13,Austin Pelli
15,Matthew Marczyk
18,Dominic Abela
23,Michael Mohr-Ramirez
26,John Mazowiecki
28,Patrick Fischer
30,Sebastian VanDerbeck
33,John Eisenbacher
35,James Walsh
42,Robert Rossetto
54,Brennan Woo
74,Timothy Murphy
77,John Swift
87,Christian Obuchowski
90,Matthew Brennan
93,Finbar Kantor
99,Matthew Zernis
b,r,e,a,k
Princeton,2
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Erik Taylor-Lash
0,Jason King
0,Matt Lefebvre
0,Oakley Richins
0,Paul Witten
0,Sean Gai
0,Thomas Colen
0,Yang Tu
0,Zane Friedkin
1,Alan Wong
4,Seho Young
6,Nathan Finkle
9,Andrew Huang
11,Charles Coburn
11,Shamay Agaron
17,Rocco Amorosso
27,Victor Zhou
37,Dylan Baroody
91,Calvin Deng
b,r,e,a,k
Hamilton,10
teamInfo,Hot Saucers,"Clinton, New York",https://hotsaucersultimate.wordpress.com/,,https://twitter.com/HCSTATE
0,Ben Rhind
2,Bryan Matte
4,Erik Johansson
6,Justin Sonberg
8,Cam Blair
07,Thomas Morris
10,Liam Prum
11,Peter Hoogstraten 
13,Luke Carstens
14,Alex Kurtz
15,Eric Walborn
17,Kuhan Mahendraraj
21,Jack Scacco
23,Liam O'Connor
25,Elias Griffin
33,Henry Kapp
42,John Wellers
43,Sam Pastore
49,Jack Anderson
81,Michael Hosek
98,Devin Hebert
b,r,e,a,k
Ithaca,15
