Trouble in Vegas 2018,College - Men ,24,3,2018
Las Vegas,NV,2018-03-24,2018-03-25
https://play.usaultimate.org/events/Trouble-in-Vegas-2018/schedule/Men/CollegeMen/
UCLA,21
teamInfo,Smaug,"Los Angeles, California",http://smaugultimate.com/,https://www.facebook.com/UclaSmaugUltimate,https://twitter.com/uclaultimate
0,Jack Brewer
0,John Campbell
0,Kevin Zhang
0,Konrad Niemiec
0,Mark Farber
0,Matthew Yee
0,Nelson Campbell
0,Noah Anderson
0,Paul Ramstad
0,Philip Kaganovsky
0,Alex Broering
0,Dylan Neff
12,George Faour
13,Austin Hwang
35,Edward White
44,Bryson Levisay
62,Thomas Mendoza
85,Siddhesh Naik
b,r,e,a,k
Colorado-Denver,12
teamInfo,Frostbite,"Denver, Colorado",,,
0,Cruz Alvarez-Machado
0,Dakota Chauncey
0,Donovon Locke
0,Greyson McDaniel
0,Julian Pena
0,Kyle Harford
0,Matthew McCoo
0,Nathan Gusky
0,Nathan Fulton
0,Rami  Hussein
0,Sam Wilson-Moses
0,Scott Cao
0,Bijan Imansepahi
0,Brian Bell
0,Casey Hodges
0,Chad LeFebre
0,Conor Tabor
0,Alex Kacsh
1,Andrew Muller
4,Corey Nuechterlein
b,r,e,a,k
Miami,6
teamInfo,UMiami Cartel,"Coral Gables, Florida",http://clubs.miami.edu/org/ultimatefrisbee/,https://www.facebook.com/UniversityOfMiamiUltimateClub,https://twitter.com/UMiamiUltimate
0,Alexander  Tran
0,Garrett Valentino
0,Matthew Collins
0,William O’Neill
14,Zachary Silberberg
18,Peter Khoury
20,Matthew Bird
25,Andres Reid
28,Matthew Walter
32,Raden Gustinvil
36,Benjamin Caplan
42,Sam Hemmingstad
51,Joachim Lopez
88,Bobby Williams
b,r,e,a,k
Utah State,25
teamInfo,USULT,"Logan, Utah",,,
0,ADAM PACK
0,Alan Huang
0,Camron Manker
0,Elijah Kimmel
0,Jabari Jones
0,JACOB MANNA
0,Jacob Stachewicz
0,Joshua Webster
0,Kyle Gregerson
0,Quintin Wood
0,Skyler Jones
0,Teagan Jackson
2,Derek Smith
7,Aleksandar Maccabee
16,Ryan Martin
23,Bradley Collette
24,BENJAMIN BAGLEY
88,Christian Berger
b,r,e,a,k
Utah,22
teamInfo,Zion Curtain,"Salt Lake City, Utah",http://www.i-m.co/Tomithicus/zioncurtainultimate/,https://www.facebook.com/pages/ZCU-Zion-Curtain-Ultimate/162698807137761,https://www.twitter.com/ZCU_Ultimate
0,Anderson Fackler
0,Branden Frieden
0,Derek Emfinger
0,Eli Wolk
0,Eric Betsill
0,Ian VanLeeuwen
0,Jace Duennebeil
0,Jackson Start
0,JEFFREY LETSINGER
0,Keegan VanLeeuwen
0,Kenneth Goler
0,Kevin Castell
0,Michael Lien
0,Nat Evans
0,Patrick  Beckett 
0,Robert King
0,Samuel Philips
0,Simon Greenhalgh
0,Zev Glass
1,Nathan Huff
2,Nicholas Peters
6,Brenden Fischer-Femal
8,Cole Stenseth
10,Michael Giere
11,Trey Taylor
23,Jacob Argue
24,Dylan Wile
41,Harrison Sucher
66,Sam Hirsch
77,Connor Hess
81,Tristan Manturuk
b,r,e,a,k
Colorado School of Mines,4
teamInfo,Entropy,"Golden, Colorado",,,
0,Adam Parler
0,Caleb Sanders
0,Cameron Beaton
0,Frank Reddy
0,Ian Kellogg
0,Jack Girard
0,Matthew Lambert
0,Morgan Cox
0,Randy Lemons
0,Sean Kopel
0,Sean Hinkle
0,Zacary Parkhill
0,Zachary Cotter
2,Tom Parry
5,Scott Jarriel
5,Jonathon McNabb
11,Caleb Bevers
12,Clayton Howeth
12,Nikos Jordan
26,Weston Mauz
32,Zachary Aparicio
42,Mark Jeska
56,John Arndt
66,Parker Damon
69,Noah Traeger
69,Nathan Giffin
69,Jared Parrish
77,Thomas Hennen
91,Tanner Cook
b,r,e,a,k
Cal Poly-Pomona,7
teamInfo,Cow Ultimate,"Pomona, California",,https://www.facebook.com/CPPUltimate,https://twitter.com/cowultimate
0,Abin Thomas
0,Alexander Honeycutt
0,Andrew Calinescu
0,Andrew Diaz
0,Ariel Forbes
0,Bruno Haesbaert
0,Daniel Ouk
0,Drew Gates
0,Greg Berg
0,Himanshu Chaudhary
0,Isaac Porter
0,Jonathan Akiyama
0,Kevin Labbate
0,Leticia Diaz Melendez
0,Luke Walsh
0,Marcus Gomez
0,Nathan Leong
0,Yik Hin Wong
1,Zamin Aziz
2,Mateus Pinheiro
14,Knox Borges
14,Andrew Kinkele
16,Jiheng Nie
17,Jerry Ho
22,Kyle Jepsen
26,Christopher Tait
35,Long Tran
69,Jonathan Horton
75,Tyler Garcia
99,Brandon Yee
b,r,e,a,k
California-Santa Cruz,5
teamInfo,Slugs,"Santa Cruz, California",http://www.slugultimate.com/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Ashton Paulus
0,Eli Fay
0,Gilbert Chong
0,Kai Schniedergers
0,Lorenzo Yabut
0,Luka Cargonja
0,Mason Mulholland
0,Robert Parke
0,Roberto Alvaro
0,Roland Christ
0,John Bowman
0,Trenton Davis
3,Milo Simpson
5,Grady Watkins
7,Billy Fague
14,Justin Tsuchiyama
16,Sean Hyslop
18,Ryan Glenn
23,Annan Harray
b,r,e,a,k
Arizona State,2
teamInfo,Prime,"Tempe, Arizona",http://www.arizonastateultimate.com/,https://www.facebook.com/ASUPRIME,https://twitter.com/ASU_Ultimate
2,Maxfield Stackpole
3,Jonathan Bridges
4,George Kokos
6,Shawn Courson
7,Jacob Mumme
9,Colin Parker
11,Carter Szukala
12,Ethan Gaiser
13,Michael Clyne
17,Michael King
20,Raul Lizalde
22,Ryan Aronson
23,Mauricio Muller
24,Samuel Sutton
24,Andrew Doe
26,Tanner Knoop
37,Bennett Christoffersen
39,Kevin Cranmer
42,Christopher Sowards
44,Danny Holton
49,Jacob Staub
87,Logan Martin
88,Andrew North
b,r,e,a,k
Chico State,9
teamInfo,Chico State Wildcats,"chico, California",,https://www.facebook.com/pages/Chico-State-Ultimate-Frisbee/194149750609051,
0,Cole Hempel
0,Dominic La Frantz
0,Elliot Lopez
0,Eros  Escalona-White
0,Gregory Williams
0,Harrison  Pointer
0,Isac Guzman
0,Alexander Vina
0,Andrew Matheson
0,Cameron  Hinman 
0,S Schneider
0,John Feddersen
0,Jordan Pech
0,Matt Logoteta
0,Nicholas Dahms
0,Nicholas Jensen
0,Nick McConnell
7,Jesus Alfaro
13,Chadwick Fisher
15,Marcus Rehrman
22,John Anthony
44,Joshua Katzki
b,r,e,a,k
New Mexico,15
teamInfo,Hanta Virus,"Albuquerque, New Mexico",,https://www.facebook.com/unmmensultimate,https://twitter.com/HantaVirus_Ulti
0,Benjamin Timm
0,Nathan Drumm
0,Nghia Vo
0,Riley McCarthy
0,Thomas Suarez
0,Trent Spencer
14,Craig Still
21,Logan Lathrop
23,Leroy Sandoval
25,Brandon Vorse
32,Nathan Kennedy
55,Zachary Mason
88,Jacob Stewart
b,r,e,a,k
Sacramento State,19
teamInfo,Sac State,"Sacramento, California",http://www.csus.edu/soal/sport-and-recreation-clubs/Ultimate/index.html,,
0,Aaron Sabin
0,Benn Gizicki
0,Dante Khachadourian
0,Eric Ladiao
0,Ethan Covert
0,Evan Eidal
0,John Kenkel
0,John Kobylka
0,Kevin Mahlman
0,Matthew Perez
0,Peter Creasman
0,Sam Smith
0,Thomas Colton
10,Nick Andrews
b,r,e,a,k
North Texas,16
teamInfo,UNT X,"Denton, Texas",,,
0,Brandon Martin
0,Cameron Young
0,Garrett Davis
0,Louis Gingras
0,Peter Nguyen
0,Slayter Marwitz
0,Stewart Williamson
4,Ryan Pingenot
9,Benjamin Meaders
10,Austin Ferrari
15,Corey Gendron
16,Andy Evans
17,Matt Klespis
20,Enrique  Alegria
21,Connor DeLuna
22,Chiao-Tan Chuang
77,Ian Ambrose
b,r,e,a,k
Arizona,1
teamInfo,Sunburn,"Tucson, Arizona",modules/common/sunburnultimate.com,https://www.facebook.com/SunburnUltimate,https://twitter.com/SunburnUltimate
0,Brandon Alessini
0,Garrett Hable
0,Jake Hageman
0,Jaron Omololu
0,Dylan South
0,Kevin Dwork
0,Lorenzo Dova
0,Nicholas Ferrone
0,PRESTON KRAMER
0,Quinton Fitzpatrick
0,Spencer Sylvester
13,Evan Baker
14,Vincent Chase
16,Ethan Bolze
21,Mark Piazza
22,Jordan Lisse
23,Alexander Prescott
25,Chris Baker
28,Ben Taylor
54,Jule Streety
b,r,e,a,k
Claremont,10
teamInfo,Braineaters,"Claremont , California",,,
0,Charlie Capron
0,DEAN SAGAFI
0,DEVIN CAVERO
0,Gabriel Gluskin-Braun
0,Gerard Bentley
0,Harrison Chotzen
0,Porter Adams
0,Raoul Sojwal
0,Seth Isaacson
0,Joseph Esbenshade
0,Owen Gillespie
10,Siddharth Chandra
12,Connor Colombe
14,Hill Balliet
15,BRYCE MCLAUGHLIN
20,Philip DiGiacomo
32,Elijah Falk
99,Jeremy Snyder
b,r,e,a,k
Utah Valley,23
