Boston Invite 2018,Club - Men ,23,6,2018
Devens,MA,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Boston-Invite-2018/schedule/Men/Club-Men/
DiG,1
0,Chris Bartoli
0,Gabriel Colton
0,Henry Babcock
0,Josh Markette
0,Ryan Dinger
2,Spencer Diamond
4,Tanner Halkyard
5,Noah Backer
5,Michael Sender
6,Rocco Essex-Linehan
6,Rustin Ingold-Smith
9,Misha Sidorsky
03,Ryan Rzepka
10,William Stewart
11,Mat Little
12,Mac Hecht
12,Tim Schoch
13,Hartley Greenwald
21,Tannor Johnson
27,Nicholas Thompson
64,Carl Frederik Brasz
83,Alex Dagley
b,r,e,a,k
Sherbrooke Gentlemen's Club,13
0,David Letourneau
0,Gabriel Lamarre
0,Jean-Francois Peloquin
0,JONATHAN PROTEAU
0,Felix Leonard
0,Julien Bernat
0,Maxime Durand-Gasselin
0,Philippe Garand
0,Remy Rivard
0,Simon Lambert
0,Vincent Sasseville
8,FRANçOIS-XAVIER HOTTE
06,Jorge Ramirez Ruiz
08,Simon Trepanier
16,Philippe St-Louis
21,Marco Plourde Grenon
26,Nicolas Champagne
27,Eric Lampron-Goulet
45,Martin Boulet
71,Raphael Nadeau
87,Bruno-Pier Demers
99,Adam Gauvin
b,r,e,a,k
Deathsquad,8
0,James Smart
0,Ryan Holmes
4,Matthew Barnes
5,Walker Mayerchak
03,Jonathan Young
07,Tom Bassett
12,Adam Newman
13,Charlie Holtz
14,Henry Kapp
15,Ethan Nash
22,Michael Busa
23,Manit Munshi
24,Brendan Chambers
27,Bryan Rothenberg
28,Rob Baker
36,Ian Girelli
38,Matt Caswell
39,Matthew Cote
42,James Cataldo
44,Brian Clarkson
45,Jack Kenney
48,Tyler Kenney
70,Samuel Gagnon
72,Joseph Sadok
77,Alex Foo
80,Joseph Kane
b,r,e,a,k
Quantum,12
03,NICOLAS LESSARD
04,Virath Chamroeun
05,Steeve Roy
06,PATRICK LANGLOIS
07,Martin Bérubé
09,ERIK BELANGER
10,Jean-Thomas Bilodeau-Fortin
14,Stanislas Papadimitriou
15,Jonathan Gagnon
17,JEAN-FRANCOIS PETTIGREW
19,Maxime Varin
21,MARC LAVOIE
25,Luc Harvey
26,Denis Guy Levasseur
31,ANTOINE TURGEON
44,ALEXIS PAPADIMITRIOU
45,Francis Guérin
56,Nicolas Guillemette
61,ERIC LAFRANCE
66,David Petitpas
71,PIERRE-BENOÃ®T ALLARD
77,DAVE LEPAGE
84,Simon Thibeault
91,Philippe Boilard
96,YOAN LECHASSEUR
b,r,e,a,k
Big Wrench,7
0,Casey Terp
0,Eric Chen
0,Gene Buonaccorsi
0,Joseph Min
0,Keiran Carpen
0,Mark Kharakh
2,Jacob Kaplan
3,Brian Wyer
5,Alexander Riahi
7,Alexander Roche
11,Samuel Letcher
13,Chris Padilla
17,Andrew Zaccardi
19,Solomon Rueschemeyer-Bailey
20,Jonah Kurman-Faber
25,Ilya Yudkovich
27,Harrison Wolff Landau
29,Daniel Doherty
42,Liam Gallinagh
45,Matthew Cook
50,Harrison Greene
53,David O'Dea
b,r,e,a,k
Colt,2
0,Daniel Reilly
0,Gavin Clemmey
0,Kevin Chubet
0,Kyle Bonvouloir
0,Matthew Erodici
1,Pat Kunkel
2,Andrew Thai
7,Ricky Lewandowski
8,BRIAN MCLAUGHLIN
11,Corey Danko
22,Ian Soderlund
32,Zach Grappone
33,Kyle Saroka
45,Philip Murray
52,Ryan Strobel
66,Garrett Santi
b,r,e,a,k
Westchester Magma Bears,14
01,Kevin O'Brien
69,Martin Bustamante
69,Max Horowitz
69,Michael Chen
69,Michael Stricker
69,Michael Lovisa
69,Minaqa Quinn
69,Sam Alston
69,Steven Purugganan
69,TRAVIS WINTER
69,Tyler Spaulding
69,William Newton
69,Andrew Purugganan
69,Andrew  Seiden
69,Andy Mogenson
69,Christopher Novielli
69,Douglas Silverman
69,Dylan Leitner
69,Eric Blais
69,Greg Hulet
69,Jake Kaufman
69,John Walsh
69,John Brancato
b,r,e,a,k
Bruises,11
0,Benjamin Stoloff
0,Brian Barrows
0,Charlie Bushman
0,Charlie Reiff
0,Cody Karjadi
0,Jerry  Wang
0,Kenneth Allen
0,Kevin Rzepka
0,Nilos Makino
0,Sam Hastings
0,Walden Ng
8,Nathan Brown
8,Greg Bjornstad
06,Adam Logan
07,John Repucci
10,Jake Atwood
10,Patrick Shea
11,Patrick Collins
12,Conner Carrico
16,AJ Hutchins
18,Alexander Curreri
24,Pablo Reimers
35,Russell Katz
37,Jack Deschler
43,Kevin Goldberg
51,Brayton Maxson
73,Brendan Blaney
b,r,e,a,k
Lost Boys,3
0,Brett Egger
03,Adam Bailey
04,Joshua Wilson
07,William Carmichael
09,Thomas Loar
11,Joel Wooten
12,Connor Kinzie
13,Jacob Luksik
16,Clarence Frady
17,Christopher Church
18,Jake Barton
19,Kenneth Peters
20,Chuck Turner
21,Stephen Trello
23,John Bonas
26,Christian Gaeta
33,Devon Rogers
33,Nick Jewell
37,Matthew Wright
43,Robert Locke
44,Reid O'Brien
45,Lukas McClamrock
77,Bryan Kohut
86,Devin Waldrop
98,Lucas Tarnowski
99,Christopher Richmond
b,r,e,a,k
Club M - Manic,10
0,Brenden Kadota
9,Simon Gauthier 
02,Frédéric Lemieux
03,Philippe Bisson
04,Marc-André Duchesneau
08,Henri Labonté
11,Charles Bariteau
12,Thomas Lalonde-Landry
13,Thomas Faber
17,Michael Houle
28,Jordan Faries
42,Francis Laviolette
44,JULIEN POITRAS PLANTE
46,Sebastien Nadon
47,Thomas Duplaix
47,Brian Howard
69,Liam  McKeown 
74,Albert Kragl
81,Hugo Paré
84,Etienne Blaszkewycz
84,Nicolas Bouillon
86,Jakob Brissette
86,Jean-Philippe Riopel
88,Zakarie Massi
99,Philip Jacob-Frigon
99,Ian Côté
b,r,e,a,k
Shade,15
0,Calvin Vannoy
0,DAVID ABRAM
0,David Willis
0,Dean Acheson
0,Dustin Becker
0,Eric Moore
0,Fergal Moran
0,Alejandro Younger
0,William Perry
1,Taylor Rasco
2,Ryan Saffa
3,Brandon Shaw
8,J. Zachary Saffa
13,Jay Sehgal
13,Nicholas McDonnell
13,Nicholas Eng
15,Alexander Isik
16,Brett Kaiser
16,Patrick So
25,Michael Kaiserian
40,Jordan Hupp
87,Kevin Finnegan
b,r,e,a,k
Pesterbug,6
0,Andrew Fredrickson
0,BARRY COHEN
0,Dylan Marino
0,Jamie Rhodes
0,Michael Cardello
0,Patrick Blum
0,Ross Littauer
0,Stephen Panasuik
3,Derek Wiseman
5,Jared DiMascio
9,Stephen Banning
12,Michael Carando
15,Daniel Dimascio
16,David Roussel
19,Isaac Peters
23,John-Paul Saggal
29,Justin Palin
34,Cameron Jack
47,Alex Kenworthy
73,Eric Peters
96,Devin Kosowan
b,r,e,a,k
All Bashed Out,4
0,Chris Zybert
0,Devon Huang
0,Eugene Yum
0,Harrison Treegoob
0,John Palmer
0,Jonathan Frentzel
0,Justin Segool
0,Kevin Ferri
0,Lucas Murphy
0,Michael Miller
0,Robert Devoogd
0,Robert (Robbie) Gillies
0,Sean Murray
0,Stephen Glauser
0,Theodore Mason
0,William Olli
0,Zachary Roy
4,Dave Tedeyan
8,Daniel Furfari
9,Isaiah Bryant
18,Seth Canetti
24,Brendan Awerbuch
27,Lionel Wininger
30,Peter Konigsberg
33,Luke Wolckenhauer
66,Jeff Loperfido
85,Vinny Fiacco
b,r,e,a,k
NSOM,9
0,Antoine Lepagnol
0,Christian Picard
0,HUGO LEFRANCOIS
0,Mathieu Bordeleau
0,Mathieu Brisebois-Boies
0,Maxime Guy
0,Philippe Thivierge
0,Philippe Camire
0,JEROME BOUCHER
0,ROB GILLIS
0,SIMON-PHILIPPE LEBEL
10,Jean-Levy Champagne
20,Nicolas Brochu
22,Eric Preseault
22,Christian Mathieu
26,Dany Cote
29,Simon Ayotte
35,Pierre-Yves Lavertu
37,RAYNALD NEMOURS
38,ALEXANDRE PIUZE
52,Louis-Pierre Lauzon
93,Yan Bouchard
b,r,e,a,k
Blueprint,5
0,Benjamin West
0,Carter Wang
0,Evan Carter
0,Evan Ma
0,Gabe Stump
0,Gerald Tigol
0,Jesse Moskowitz
0,Jonathan Kwan
0,Josh Imhoff
0,Max Cohen
0,Owen Marschall
0,Ruozhou Ye
0,Samuel Pollack
0,Samuel Ross
0,Scott Schwartz
8,Jason Freedman
9,Victor Kao
10,Andrew Edelman
15,Juleon Robinson
17,Nadav Pearl
19,Jesse Rice
23,Michael Agarenzo
27,Victor Zhou
36,Jake Waksbaum
37,Dylan Baroody
88,David Butler
99,Benjamin Zhang
b,r,e,a,k
Discountry Ultimate Club,16
03,Bryan  Castro 
04,Benjamin Sepulveda
06,jasid sepulveda
07,Andres felipe sanchez
14,Daniel Olarte
17,Jose Luis Montoya Leon
22,Juan David Beltrán
29,jose escobar
31,David Fernando Arias
60,damian rey
66,Esteban Campuzano
80,Andres Hernandez
89,Julian Quintero Rodriguez
90,JHON RODRIGUEZ
b,r,e,a,k
Red Circus,17
0,Alan Schneider
0,Aodhan Somers
0,Brent Wallace
0,Breton McPhee
0,Brett Chiasson
0,Casper Macaulay
0,Greg Webb
0,James McKenna
0,Josh Millard
0,Luke Martelli
0,Nils Schrader
0,Stephen Creaser
05,David Archibald
32,Dan Ellenberger
41,Tim MacIsaac
69,JASPER DUPUIS
69,Cameron Mason
88,Scott Hansen
89,Stephen Snow
b,r,e,a,k
Shrike,20
0,Calvin Cooper
0,Cédrik Labrèche
0,Cory Boucher
0,Dante LaFontaine
0,Erich Phang-Lyn
0,Habib Atallah
0,Jake Lochhead
0,Jeremie Tavares
0,ANDREW BARBER
0,Kelsey Charie
0,Mitchell Reid
0,Pierre-Luc Couturier
0,Ryan Wallace
0,Shaun Ruddy
1,David Hew-wing
3,Brian Perry
19,Simon Walker
