Cooler Classic 30,Club - Mixed ,18,8,2018
https://play.usaultimate.org/events/Cooler-Classic-30/schedule/Mixed/Club-Mixed
Woodwork,1
0,Andy Woolard
0,Brad Ashley
0,Cara Wilwerding
0,Colin Iglehart
0,Connor Rock
0,Daniel Forsyth
0,Christa Fisher
0,Grant Maynard
0,Julianne Schmitt
0,Kersten Hanson
0,James West
0,Rebecca Kramer
0,Tracy Kuper
0,Trevor Rice
3,Richelle Rock
7,Jack Sarles
7,Zachery Mahler
11,Austin Wehrwein
13,Cole Petsche
20,Mitch Parker
25,Elaine Sundberg
32,Nicole Lenczowski
33,Emily Wehrwein
42,Chas Busch
51,Isaac Entz
66,William Schmitt
69,Jia Yue Sum
b,r,e,a,k
Toast,4
0,Brendan Schwalm
0,Brian Kragt
0,Christopher Hoxsey
0,Corie Auger
0,Edward Taylor
0,Kaciana Champlin
0,Mark Brown
0,Jenna Kragt
0,Ryan Boxeth
1,Sean Clark
1,Michael Mansfield
5,Ryan Lee
13,David Danks
14,Trevor Polisuk-Balfour
15,Brittany  Dooley
16,Samantha Phillips
19,Aaron Riess
22,ANDREW WADAGA
22,Jamie Petroelje
31,Rachel Danks
32,Justine Volz
84,Michael Weber
88,Jesse Otten
99,Mya Hernandez
b,r,e,a,k
Chalice,5
0,Alyssa Renaud
0,BRIAN LEACHMAN
0,Chris Sedgwick
0,Daniel Brennan
0,Delmar Tarrago
0,Dustin Tierney
0,Eliza Hutchings
0,Gabriella Lavezzi
0,Julia Clare
0,Julia Hill
0,Justin Van Sant
0,Kate Halloran
0,Kellen Key
0,Kevin McCarthy
0,Lindsay Stith
0,Neil Wessling
0,Patrick Austermann
4,Henry Sundermann
6,Emma Randolph
7,Cody Fox
11,Justin Peabody
21,Nathaniel Mahieu
21,William (Will) Imming
24,Loren Goodrich
29,Stephen Hawkins
69,Mahliyah Adkins-Threats
98,Julia Schroeder
b,r,e,a,k
Mojo Jojo,8
1,Stephanie Pieper
2,Brian Wilson
3,Graham Sutherland
4,Andrew Lawrence
5,Daniel Schultz
6,Ryan Fortune
7,Ryley Tennyson
11,Justin Wollin
12,Alyxandra Averkamp
14,Ben Valley
16,Brittany Faust
18,Julia Barton
19,Caitlin Reis
20,Amy Erlandson
22,Sam Munkeby
24,Brendan Gessner
26,April Strzelczyk Haverstock
27,McKenna Hage
29,Alex Kaplan
31,Coleman Maher
42,Malik Earle
48,Andrew Dornbush
72,Mackenzie Olson
84,Jake Kretschmer
94,Patrick Cashman
99,Amanda Huber
b,r,e,a,k
Northern Comfort,2
17,Abby Snell
17,Annie Waniger
17,Ben Ben Hirschman
17,Brian Benge
17,Casey Hagen
17,Daphne Branham
17,Elizabeth Gates
17,Erika Watson
17,Grant Wagner
17,Heather Vilbrandt
17,Jack Drolen
17,Jake Leutenegger
17,Jay Kinzel
17,Jordan Bauer
17,Kalli Leutenegger
17,Lauren Williams
17,Mark David
17,Matthew Branham
17,Oliver Rytman
17,Osvaldo Velez-Martinez
17,Paul Watson
17,Sarah Garstecki
17,TAYLOR DAVIS
17,WHITNEY FOSE
17,William Mansfield
17,Wyatt Meyer
b,r,e,a,k
Thoroughbred,3
0,John Henroid
01,Brandon Parr
02,Bryan Esmond
04,Hannah Volpert-Esmond
06,Kathleen Horton
07,Michael Faaborg
08,Megan Woodring
09,Stephenie Wang
10,Tim Schwisow
12,Kyle Bowie
13,Max Morgan
15,Marissa Lerner
15,Nicole Redden
