TCT Elite-Select Challenge 2018,Club - Women ,18,8,2018
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018/schedule/Women/Club-Women/
Phoenix,1
2,Savannah Erwin
3,Brandi Skanes
5,Jessica Jones
6,Qing (Jenny) Wei
7,Cacey-Jane Bunch
8,Georgia Tse
9,Jinny Riedel
12,Alix Robbins
13,Amanda Murphy
14,Lyla Stanland
15,Ashley Powell
15,Carmen Tormey
16,Briana Campbell
17,Jenna Dahl
21,Kyra Catabay
22,Anne Worth
27,Mary Rippe
42,Rebecca Fagan
48,Kaye Eshelman
52,Sydney Harris
55,Klara Calderon-Guthe
57,Elisabeth Parker
58,Rowan Jaynes
62,Becky Widmayer
b,r,e,a,k
Pop,12
01,Lillian Bailey
02,Stephanie Wood
03,Makella Daley
04,Cassidy Krawczak-Kummrow
05,Kalli Poletto
08,Jenny Gaynor
11,Rachel Gage
12,Rebecca Enders
13,Rachel Johnson
15,Katie Godfrey
17,Madeleine Preiss
19,AJ Uthe
25,Courtney Kiesow
26,Rebecca Ludford
28,Jill Kiener
33,Kayla Blanek
40,Chip Chang
49,Rose Gruenhagen
53,Emma Piorier
89,Rebekah Swanson
93,Biz Cook
b,r,e,a,k
Wildfire,8
0,Erin Crider
01,Sharon Tseng
02,Amy Halvorsen
04,Kristen Pojunis
07,Katie Ogden
08,Alexa Cohen
10,Christy Jarman
11,Melissa Dunn
13,Corey Atkins
14,Mei Bruist
15,Brittany Cabriales
16,Audrey Brown
20,Kelli Iwamoto
25,"Lily ""Thud"" Lin"
25,Caitlin O'Bara
27,Hani Pajela
28,Stephanie Pritchard
37,Hannah Walter
44,Rayna Wachs
47,Dena Elimelech
50,Enway Melo
51,Lindsay Lang
52,Annie Ngo
81,Ellen Smith
88,Veronica Eder
b,r,e,a,k
Colorado Small Batch,13
0,Anna Nakae
0,Brady Cowiestoll
0,Charlotte O'Donnell
0,Claire Morrissy
0,Elizabeth Murphy
0,Fern Beetle Moorcroft
0,Harper Ellsworth
0,Katherine Macri
0,Mackenzie Holton
0,Maia Nguyen
0,Rebecca Roden
3,Molly Clay
3,Emily Stege
4,Lorraine Guerin
8,Julia Longinotti
10,Danielle Tran
17,Melinda Alvey
19,Anneke Vermaak
25,Emily Harrell
25,Kati Turner
26,Chloe Greene
28,Candace Yeh
44,Aelish Aoki
45,Katie Ciaglo
b,r,e,a,k
Nemesis,2
00,Eileen Duffner
01,Allison Fish
02,Elizabeth Arakaki
04,Monica Matsumoto
05,Anna Thorn
06,Risa Umeno
08,Christina Sur
10,Emilie Willingham
11,Beth Daviess
12,Jennifer Corcoran
13,Jessica Sipperley
15,Danielle Blatt
17,Erika Danckers
18,Sarah Kim
19,Rachel Foster
22,Jessica Serednesky
23,Emily Hadel
25,MK Andersen
31,Abby Shure
32,Carol Li
72,Jacqueline Jarik
77,Sara Miller
84,Sarah Lipscomb
b,r,e,a,k
Grit,14
0,Bridget Mizener
0,Claire Smullen
0,Jasmine  Strong 
0,Jill Simmerman
0,Jillian Du
0,Nami Sumida
0,Shannon Tsai
2,Lauren Privette
3,Katie Judd
8,Anastasia Mark
9,Maria Pascale
11,Sarah Buxbaum
14,Grace Champion
16,Grace Riley-Adams
17,Elizabeth Pugh
17,Juliet Bishop
18,Lukiih Cuan
20,Bailey Gilmore
24,Grace Castro
25,Neena Kashyap
37,Carolyn Clendenin
47,Marlena Luhr
64,Becca Arbacher
93,Kate Trenerry
b,r,e,a,k
Underground,11
0,Akina Younge
1,Jessica Spaulding
2,Alexa Yadama
4,Nicole Cramer
5,Tiffany Phan
10,Julia Johnson
12,Katie Raynolds
15,Noel Hanzel
16,Alyssa Worsham
20,Sarah Naomi True
22,Elise Rasmussen
23,Anh-Thu Chang
24,Abby Hecko
25,Emma Kahle
27,Anne Silver
28,Nora Carr
31,Ikran Elmi
32,Michaela Fallon
33,Catherine (Cate) Roscoe
42,Madeline Stephenson
45,Alyssa Kelly
47,Amanda Kostic
51,Kate Crawford
77,Taylor Hartman
89,Sophia Scofield-Selby
b,r,e,a,k
Schwa,7
00,Katie Weatherhead
01,Seraphie Allen
02,Makena Strand
04,Emily Flock
05,Kimber Coles
06,Demri Horton
07,Shea Brennan
08,Eva Popp
09,Brenna Bailey
12,Mariel Hammond
16,Kristen Rosenblum
16,Jenica Villamor
18,Julia Sherwood
19,Georgina Tetlow
22,Natalie Hancock
24,Aubri Bishop
25,Lauren Truxillo
26,Shaelynn Davis
27,Elizabeth Longmire
28,Shannon Dennehy
37,Rebecca Perston
47,Madeleine Franz
55,Emery Otopalik
70,Morgan Caldwell
77,Strat Stratton
99,Noelle Takahashi
b,r,e,a,k
Heist,3
0,Donna Johnston
02,Sabrina Hoffman
03,Sara Gnolek
04,Ellie Daniels
05,Rose Glinka
06,Alexandra Hu
07,Austin Prucha
09,Daniela Rodriguez
10,Alison Vandegrift
11,Melissa Gibbs
12,Emily Orner
13,Brittney Kokinos
14,Rachel Enyeart
16,Margaret Walker
17,Lindsey Waite
22,Elizabeth Lehman
23,Anna Williams
24,Camila Flowerman
30,Jean Huang
31,Sharon Yee
40,Amelia Cuarenta
44,Robyn Fennig
70,Charlotte Francoeur
84,Sara Stuedemann
87,Emily Langland
99,Caitlin Murphy
b,r,e,a,k
Showdown,6
01,Katie Metzler
02,Elise Bjork
03,Domenica Sutherland
04,Cameron Bryan
05,Andrea Esparza
06,Ivy Harrison
09,Laura Landis
12,Anne Ortiz
13,Julia Schmaltz
16,Sarah Levinn
17,Marissa Land
18,Laura Reed
18,Laura  Gerencser
19,Tiffany Schumacher
20,Michelle Landis
21,Valerie Pinillos
23,Lillian White
24,Susan Gilbert
28,Mindy Radike
30,Kayla Ramirez
31,Ashley Shelor
46,Helen Eifert
55,Bethani Eberhart
95,Megan Mendieta
b,r,e,a,k
BENT,10
0,Alexis Taylor
0,Cidney Weng
0,Janine Hlavaty
0,Julie Sussman
0,Lauren Woods
0,Sarah Zhao
0,Sarah Thomann
2,Jessie Sun
2,Brittany Kaplan
3,Terra Hittson
4,Alexandra Harris
5,Kyla Dayer
7,Luisa Maria Neves
8,Wei Gao
10,Michal Pearl
15,Elissa Sutherland
17,Kristie Kelly
18,Abagael Cheng
20,Camila Pelaez Valderrama
26,Megan Ma
32,Allison Kahn
33,Amy Elizabeth Leder
40,Claire Milton
48,Rebecca Driver
83,Jessica Whelan
88,Nastasia Tangherlini
99,Veronica Kolegue-Spalaris
b,r,e,a,k
Indy Rogue,15
0,Dakota Selburg
0,Molly Cheviron-Hamilton
0,MONICA LASLEY
0,Phebe Kemmer
0,Phoebe Schembre
0,Jacqueline Lai
0,Jamie Smets
5,Rachel Moore
11,Anne Hemmelgarn
12,Shannon Jones
13,Kristin Dudley
14,Briana Harrison
25,Delaney Johnson
26,Emily Beasley
34,Darien Rodriguez
37,Courteney Fentz
44,Anastasia Foster
75,Emily Nadler
b,r,e,a,k
Rival,5
02,Nancy Haskell
03,Molly Barlow
05,Stephanie (Stevie) Miller
06,Corinn Pruitt
07,Sara Nitz
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
12,Jessica Larson
14,Theresa Zettner
15,Brittany Wright
16,Sarah Craycraft
18,Caitlin Harley
20,Sophia Knowles
21,Mallory Griffith
22,Talia Barth
23,Nichole Kwee
24,Julia Weinert
30,Mackenzie Fazekas
38,Jennifer Perry
42,Meg Duffy
44,Grace Denney
75,Austine Lin
99,Iris Javersak
b,r,e,a,k
6ixers,4
0,Anouchka Beaudry
0,Christine  Jurychuk
0,Erica Tucker
0,Lana Ramic
0,Lily Steponaitis
