Boston Invite 2018,Club - Women ,23,6,2018
Devens,MA,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Boston-Invite-2018/schedule/Women/Club-Women/
Siege,4
0,Molly Morgan
02,Chelsea Mower
03,Analise Huysentruyt
04,Jacqueline Willwerth
09,Tracey Lum
10,Renata Pepi
11,Xenia Rudenko
13,Julianne Kloza
14,Charlotte Doran
15,Laura Fradin
16,Tessa Jones
17,Shirlee Wohl
19,Caroline Collis
22,Melissa Ellis
23,Katrina Meserve
27,Audrey Love
33,Samantha Gray
38,Nikki Ross
42,Clara Stewart
44,Kennedy McCarthy
83,Zoe Hecht
99,Annie Shriver
b,r,e,a,k
Iris,1
0,Catherine Poirier
0,Chloé Emond
0,Elsa Chu
0,HEATHER AMBERY
0,Julia Biris
0,Maude Gagne
0,Nyna Prevost
0,SABRINA BEAUDETTE
1,Virginie Côté
3,Virginie Maltais
4,Marie Genest
8,Sandra Williams
11,Julie Landry
12,ALEXANDRA PICARD
14,Kimberly Morin Coulombe
15,Shaunagh Howard
16,Marie-Ève Beauchemin
19,Janique Arsenault
21,Diana Trinh
23,JULIE DAVIAU
25,Corine Masse
30,Marie-Andrée Pambrun
33,Héléna Skrotzky-Boisvert
70,Gabrielle Ouellet
80,Marikha Nguyen
82,Isabelle Toutant
b,r,e,a,k
PPF,9
0,Agnes Chu
0,Alexandrea Austin
0,Alyssa Mason
0,Brianna VanderGriendt
0,Carly Fraser
0,COURTNEY BENVENUTI
0,Dylan Conway
0,Elora Brenneman
0,Jessie Tsang
0,Julia Peden
0,Kimberly Tee
0,Lauren  Green
0,MEGAN THOMAS
0,Molly Kojder
0,REBECCA MACPHERSON
0,Sabrina Trung
4,Stephanie Hall
13,Melissa Dunbar
b,r,e,a,k
Grit,5
0,Bridget Mizener
0,Claire Smullen
0,Jasmine  Strong 
0,Jill Simmerman
0,Nami Sumida
0,Olivia Arellano
0,Shannon Tsai
2,Lauren Privette
3,Katie Judd
8,Anastasia Mark
9,Maria Pascale
11,Sarah Buxbaum
14,Grace Champion
16,Grace Riley-Adams
17,Juliet Bishop
18,Lukiih Cuan
20,Bailey Gilmore
24,Grace Castro
25,Neena Kashyap
37,Carolyn Clendenin
47,Marlena Luhr
64,Becca Arbacher
93,Kate Trenerry
b,r,e,a,k
Eclipse,8
0,Anick Néron
0,ASHLIN KELLY
0,CASSIE BERQUIST
0,Cathy Miedema
0,Heather Godding
0,Josee Guibord
0,Katherine Wood
0,Kirsten Querbach
0,Laura Storey
0,Allison Tannis
0,Maya Popovic
0,Renee Gauvin
0,Sarah McDonald
0,Shannon Watt
0,Sherri Ross
0,Suzy Stever
0,Tanara Ferguson
0,VALï¿½RIE CHIASSON
7,Kate Cavallaro
11,Justine Price
13,Andrea Proulx
15,Stephanie Verbit
24,Michelle Warren
51,Lauren Murphy
b,r,e,a,k
Backhanded,12
0,Adrienne Turner
0,Allyson McCarthy
0,Anja Kochendoerfer
0,Elizabeth Reeves
0,Ella Park-Chan
0,Hannah Lincoln
0,Clare Heine
0,Madison Thomas
0,Margaret Duval
0,Paige Cassell
21,Adelaide Nolan
27,Michelle Cabahug
33,Catherine Reeves
44,Natalie Forman
45,Mackenzie Smith
61,Crystal Wheaden
66,Jody Lanza-Gregory
b,r,e,a,k
BENT,2
00,Alexis Taylor
00,Cidney Weng
00,Emma Chin
00,Janine Hlavaty
00,Kyla Dayer
00,Lauren Woods
00,Jessie Sun
00,Megan Ma
00,Michal Pearl
00,Rebecca Driver
00,Sarah Thomann
00,Sarah Zhao
00,Wei Gao
02,Brittany Kaplan
03,Terra Hittson
04,Alexandra Harris
07,Luisa Maria Neves
15,Elissa Sutherland
17,Kristie Kelly
18,Abagael Cheng
20,Martha Gregory
33,Amy Elizabeth Leder
83,Jessica Whelan
88,Nastasia Tangherlini
