Presidents' Day Invitational Powered by Savage 2018,College - Men ,17,2,2018
https://play.usaultimate.org/events/Presidents-Day-Invitational-Tournament-2018/schedule/Men/CollegeMen/
Oregon,1
0,Theodore Sither
02,Kerry Athey
03,David Barram
05,Noah Stuart
09,Colby Chuck
11,Hai Luong
13,Chase Matthews
14,Michael Fielden
15,Raven Miller-Berg
18,Connor Matthews
19,Steven Pearlman
22,Lukas Ambrose
23,Xander Cuizon Tice
24,Adam Rees
25,Leandro Marx
26,Colton Clark
33,Ben Pettis
42,Will Lohre
45,Jack Guidry
59,Noah Coolman
77,Kit Asterin
80,Braedon Petrus
88,Duncan Fitzgerald
b,r,e,a,k
Utah,8
0,Anderson Fackler
0,ANTHONY ALEXANDER
0,Branden Frieden
0,Derek Emfinger
0,Eli Wolk
0,Eric Betsill
0,JEFFREY LETSINGER
0,Keegan VanLeeuwen
0,Kenneth Goler
0,Kevin Lund
0,Kevin Castell
0,Matt Lansing
0,Michael Lien
0,Ian VanLeeuwen
0,Isaac Nelson
0,Jace Duennebeil
0,Jackson Start
0,Nat Evans
0,Patrick  Beckett 
0,Robert King
0,Samuel Philips
0,Simon Greenhalgh
0,Zev Glass
1,Nathan Huff
2,Nicholas Peters
6,Brenden Fischer-Femal
8,Cole Stenseth
10,Michael Giere
11,Trey Taylor
23,Jacob Argue
24,Dylan Wile
30,Isaac Worsham
41,Harrison Sucher
66,Sam Hirsch
77,Connor Hess
81,Tristan Manturuk
89,Alejandro Palomino
b,r,e,a,k
Illinois,9
0,Cameron Hartman
0,Dalton Chaffee
0,Dirk Husemann
0,Jacob Trueb
0,Jacob  Cuthbert
0,Josh Deeman
0,Ryan Kantor
2,Ben Sabourin
19,Jacob Komenda
37,Walter Jaskowiak
38,John Kulikowski
55,Murray Chen
69,Frank Dore
97,Kevin Lin
b,r,e,a,k
Santa Clara,17
0,Simon Senter
2,Charles Fordyce
3,Sean Backes
6,Taylor Darby
8,Drew Ligman
12,Michael Fodor
13,James Kipper
15,Nicholas Farren
16,Ian Watts
17,Stephen Aubuchon
19,Jeffrey Stein
20,Devan Hollar
23,Ryan Messersmith
27,Liam Scobey-Polacheck
29,Travis Vickers
33,Robert Stallman
35,Trent Kristensen
40,Jackson Tseng
44,Jonathan Bowers
55,Matthew Kamimura
69,Julian Dreiman
76,Jack Carlson
b,r,e,a,k
UCLA,16
0,Alex Gu
0,Alex Broering
0,Dylan Neff
0,Harlan Brawer
0,Jack Brewer
0,John Campbell
0,Kevin Zhang
0,Konrad Niemiec
0,Mark Farber
0,Matthew Yee
0,Nelson Campbell
0,Noah Anderson
0,Paul Ramstad
0,Paul Pfeiffer
0,Philip Kaganovsky
0,Evan Patel
4,Michael Peng
9,Cooper Tanquary
10,Ari Sweedler
12,George Faour
13,Austin Hwang
32,Eric Siegel
35,Edward White
44,Bryson Levisay
50,Ram Goli
62,Thomas Mendoza
