Northwest Mixed Regional Championship,Club - Mixed ,22,9,2018
https://play.usaultimate.org/events/Northwest-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
0,Abbie Abramovich
0,Casey Ikeda
0,Mark Burton
3,Cam Bailey
4,Jesse Bolton
4,Zhi Chen
6,Kahyee Fong
8,Meagan Kapostasy
10,Lexi Garrity
11,Bert Cherry
12,Bradley Houser
14,Reed Hendrickson
17,Ellen Goldberg
19,Cole Johnson
20,Grace Noah
22,Evan Klein
23,Nicola Bruce
24,Alex Duffel
27,Dominic Cavalero
28,Claire Revere
32,Emily Smith-Wilson
34,Brian Stout
50,Nicholas Dare
58,Paige Kercher
71,Arianne Lozano
81,Lani Nguyen
99,Khalif El-Salaam
b,r,e,a,k
The Administrators,10
0,Brian Penner
0,Joel Newman
0,Pete Overright
0,Rachel Hershey
1,Christine Beaulieu
2,Michael Baysinger
3,Cheri Young
5,Spencer Magnusson
6,Katie Korte
7,Jacob Wigen
8,Colin Donald
9,John Staskal
10,Jared Fitzpatrick
11,Anna Hosford
14,Kristin Moore
15,Rachel Auerbach
22,Michelle Hendrick
25,Joseph Leo Pepper
26,Adriana Cvitkovic
27,TERYNN CHAN
40,Rigel Berg
47,David Marble
53,Kim Niedermaier
55,Alberta Clough
56,Valerie Peacock
64,Dillon Roberts
69,Helen Mead
b,r,e,a,k
Garbage,8
0,Adlai Felser
0,Alexander Whiting
0,Carson Mailler
0,Giovanna Thorne
0,Jimmy Longley
0,Jimmy Chu
0,Kelly Bruno
0,Lucien Bruno
0,Lyda Harris
0,Maria Sumner
0,Sam Schumer
0,Samuel Hart
0,Taylor Kanemori
0,Tom Elliott
0,Tyler Monroe
0,Melissa Merrick
0,Norbert Henry
9,ALEX DIETZ
07,Benjamin Canade
16,Kerry Clavadetscher
21,Alex Fussell
27,Kira Morin
28,Maya Golan
33,ROBERT KELLY
37,William Gagne-Maynard
b,r,e,a,k
Pheathers and Phurr,15
00,Alpha Chen
00,Kristen Connor
01,Peter Brady
02,Cassandra (Cassy) Fok
03,Deborah Barker
04,SARA BERKENWALD
05,Lauren Pattie
08,Jeremy Kallman
09,Ian McKelvey
11,Michael Berkenwald
12,Edward Harmoush
13,Matthew Walson
15,Emily Paul
16,Ramona Wijayratne McDowell
19,Camas Key
22,Lydia Islan
32,Daniel Walton
39,Dulnath Wijayratne
42,Dan Hostetler
64,Joel Barker
69,Justin Twenter
80,Joey Key
81,Susie Walson
85,Phil Paul
86,Grace Lee
b,r,e,a,k
BFG,2
0,Aaron Richards
0,Alexa Kirkland
0,Andi Coleman
0,Bryson Fox
0,Jimmy Hooper
0,Julia Bladin
0,Leah Bar-On Simmons
0,Lili Gu
0,Lindsay Simon
0,Mario O'Brien
0,Mia Hagen
0,Sam Pickel
0,Sarah Benditt
0,Kerry Chang
0,Thomas Li
04,Andrew Hagen
05,Kate Kingery
10,Adam Simon
11,Austin Barden
23,Linnea Soo
27,Jeffrey Pape
32,Alissa Soo
33,AnnaMaria Pape
44,Stephen Gussin
66,Crystal (Lok) Koo
98,Aldous Root
99,Kyle Terriere
b,r,e,a,k
Happy Hour,9
0,Andrew Schwartz
0,Angelica Chambers
0,Audrey Watson
0,Carmen Ellis
0,Dan Shaw
0,Deanna Iff
0,Eric Laughlin
0,Holden Carroll
0,Jessica Rice
0,Jonathan Sebert
0,Lauren Adrian
0,Mark Hartford
0,Max Calabro
0,Melanie Thomas
0,Philip Rollo
0,Shailie Thakkar
0,Steven Ritchie
0,Taurin Skinner-Maginnis
0,Ted McClure
7,Stanley Barnes
11,Emily Flanders
13,Roxanne Myslewski
15,Alice White-Cyr
16,Nicholas Domenichini
20,Reza  Refaei
21,KEVIN CHAMBERS
99,Susa Lynne
b,r,e,a,k
Pegasus,7
0,Andrew Bunn
0,Ashwin Vaidyanathan
0,Bailey Bonaci
0,Colin Buchanan
0,Edward Layne
