Southeast Mixed Regional Championship,Club - Mixed ,22,9,2018
Bradenton,FL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Southeast-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Bucket,1
0,Dana Rose
01,James ONeal (Neal) Hollis
02,Cori Bradham
03,Aidan Rogers
04,RYAN ARCHIBALD
05,Emily Karoblis
06,Beret Amundson
07,Katherine Yost
08,Timothy Brady
09,Patrick Dougherty
10,Michael Venezia
13,Matthew Hardman
14,Jenny Choi
16,Kenta Kawaguchi
21,Michael Arenson
23,Lizzie Jones
24,Jason Crowe
25,Robert Bradham
29,Katie Gainer
33,Caroline Taylor
41,Ryan Simmons
44,Samantha Hill
55,Evelina Pierce
58,Brian Walsh
63,Ahna Weeks
83,Shanye Crawford
96,Logan Bonds
b,r,e,a,k
JLP,12
0,Meghan Murphy
2,Thomas Bailey
3,Dana Bidot
4,Elizabeth Leon
5,Leah Barlow
6,Max Leonard
6,Gracie White
7,Timothy Martin
9,Erin Chun
10,Ishaan Dave
11,William Sloane
13,MICHAEL PETERS
14,Jacob Zirbel
15,Rachel Thurston
16,Leah Gilbert-Odem
18,Chad Borer
20,Caroline Pearson
21,Daniel Jones
23,Zachary Cole
30,Benjamin Breault
31,Samantha Jones
36,Will Frolich
37,Jonathan Clark
42,Devin Cox
73,Samantha Loop
87,Sarah Burzynski
88,Brandon Li
b,r,e,a,k
'Shine,13
01,Sofia Lima
02,Claire Bidigare-Curtis
04,Meaghan  Creamer
05,Michael Krohn
07,CHRIS TINGLE
08,Ross Markle
09,Jackie Sullivan
10,Zachary Hipkens
11,James Wright
12,Colleen Wright
14,Noel Holmes
15,Ray Davenport
16,Nick Thomas
18,Mariana Rodríguez
20,Richard Salmon
21,Kelsey Foster
22,Mary Turner
23,Elizabeth Barnes
24,Michael Alberts
25,Sara Gibson
28,Cameron Snook
42,Andy Barnhart
49,Reuben Griggs
98,Maureen Gleason
b,r,e,a,k
Rowdy,8
00,Elizabeth (Beth) Sherling
00,Brent Besase
00,Conny Morrison
00,Daniel Rolando
00,Daniel Leo Hogan
00,Elianna Bier
00,Emma Johnson
00,Graham Whittington
00,Jennifer Greenholt
00,John Patterson
00,Julie Kafka
00,Kofi Thompson
00,Mark Stumpf
00,Meagan Fairchild
00,Melissa Gronske
00,Michael Avila
00,Ryan  Schanz
00,Sarah (Sadie) Nott
00,Sean Gallagher
00,Stetson Roof
00,Tara Brenner
00,Tim Monahan
00,Wendell Wilson
21,Keith McGrath
26,Alex Bienkowski
58,Ryan Sawaya
b,r,e,a,k
Weird,2
0,Lisa Fitton
1,Matt Thompson
2,Bennett Wachob
3,Benjamin Ostman
4,Timothy Miller
5,Driss Ziane
6,Adam Carr
8,Joshua Layton
9,Sean Plunkett
10,Tori Taylor
11,Craig Anderson
14,Chris Dixon
16,Lien Nguyen
18,Hayden Wachob
21,Robert Larsen
22,Julia Gregory
24,Justin Chau
25,Zach Floyd
26,Brian Campbell
27,Rebecca Poznansky
34,Courtney Read
47,Austin Koffarnus
69,Jaime Estes
77,Quentin Voorhees
88,Michael Green
96,Natalie Wilson
b,r,e,a,k
NC Galaxy,7
0,Alexandra Barnett
01,Taek Lee
04,Suraj Madiraju
05,Walker Matthews
06,Kevin Zhang
08,Clil Phillips
09,Sydney Rehder
10,Ella Juengst
11,Dawn Culton
13,Tyler Smith
14,Meg Van Horn
16,Anders Juengst
17,Elizabeth Manturuk
19,Lanie O'Neill
20,Mukil Guruparan
21,John Watters
22,Julia Zwierzynski
24,Kyle Gouchoe-Hanas
30,Olivia Monroe
35,Maggie Adams
40,Samuel Lee
43,Marcus Rovner
76,Chathan Driehuys
80,John McDonnell
81,Tristan Manturuk
85,Ted Randby
86,Connie Cui
b,r,e,a,k
Method,11
0,Jason Cunningham
01,Beau Waldron
02,Kelsey Moser
03,Sara Mog
04,Jordan Matthews
05,Jason Williams
06,Alice Radcliffe
07,Riley Mog
08,Danny Yates
09,Hannah Yates
10,Elliott Terrell
11,Stephen Brandon
13,Andy Sieja
14,Jessica Brandon
15,Collin Orcutt
16,Leah Gauldin
17,William Fleming
18,Allyson Smith
21,Wesley Seat
22,Desiree Garcia
23,Ethan Hodges
24,Craig Block
25,"Michael Guiles, Jr"
27,Michael Robie
32,Lauren Bryant
77,Abigail Waldron
98,Amy Guiles
b,r,e,a,k
Cahoots,14
0,Alexandra Harvey
0,Jill Padfield
0,Morgan Dale
0,Patricia Thompson
0,Maya Sugg
0,Sky Sikkink
0,Todd Graham
4,Jacob Warshauer
11,Brittany DiRienzo
12,Adam Becker
25,Kyle Silva
26,Amy Gilbert
27,Linden Blaisus
37,Virginia Conover
44,Ruth Hudson
47,Hunter Scaggs
50,Miles Lally
51,Chad Gerber
59,Ethan Burns
73,Adam Bostian
82,Matthew Martin
99,Matt Gordon
99,Joshua Ferguson
99,George Bumgardner
99,Monique Ferguson
99,Simone Whale
b,r,e,a,k
Mixfits,3
0,Allison Bashford
0,Charles (Quint) Northen
0,Blake Hannah
0,Harris Woody
0,Lucia Derks
0,MALLORY WEST
0,Mark Strazzer
0,Michaela Dube
0,Rachel Johnson
0,Ruth Stokes
0,Ryan Stokes
0,Shelly Johnson
0,Stephen Bender
0,Stephen (Bud) Yackey
0,Ingrid Humphrey
2,Hunter Taylor
4,Christopher Cosgrove
5,Taylor Pope
9,Ryan Sitler
10,Ann Araps
11,Evan Howey
17,Catherine Yackey
23,Jeff Nordgren
64,Laura Matzuka
69,taylor minch
76,Alison Bender
b,r,e,a,k
Murmur,6
0,Brianna Radl
1,Katharine Suarez
01,John Jackson
02,Lauren Baggett
03,Philip Smith
04,Paige Howell
05,Stephen Rockwell
06,Fernando Ortiz
09,Jason Jones
10,Javid Aceil
11,Mary Rockwell
12,John Langstaff
13,Robert Farrington
14,Rosanna Smith
15,Jay Norton
16,Jami Cashin
17,Katherine Jennings
18,KT Truszczynski
19,Oreon Jackson
21,Ben Ayres
22,Suzannah Hope Blackshear
24,Alexander Lawrence
26,Courtnie VIckery
33,Edward Stephens
45,Thomas Nuckols
60,David William Petmecky
78,Gayeon Ko
b,r,e,a,k
FlyTrap,15
0,Alex Bleuzen
0,Charlie Lian
0,Dain Nielsen
0,Hannah Boettcher
0,Ian Hutton
0,Josh Norris
0,Kaitlin Baden
0,Kristen  Crumbley
0,Kyle Root
0,Sadie Gosselin
0,Sarah Hasch
2,Carl Matysek
8,Noah Morris
10,Luke Hancock
11,Caleb Hasch
13,Carrie  Fisher
16,David Morris
20,Emily Judd
22,Kristen Reed
24,Christopher Nelson
25,Jake Gallagher
29,Kerri Morris
56,Kyle Gibbons
66,Jordan Haines
84,Rouse Carlton
97,Niya Thomas
b,r,e,a,k
Malice in Wonderland,10
0,Alexa Barwick
0,Benjamin Noblit
0,Beth Stagner
0,Bryan Brickhouse
0,Chanchai Hongdoxmai
0,Derrick Marcey
0,James Mangum
0,Katy Harris
0,Kelly Merhar
0,Kevin Harrow
0,Lauren Marcey
0,Lauren Gardner
0,Layla Williams
0,Mark Saba
0,Michael Wetzel
0,Noah Donnell-Kilmer
0,Serina Mazzoni-Putman
0,Whitney Kramer
3,Eric Martin
7,Beth Gifford
21,Kelly Sullivan
25,Alexandra (Sasha) Resnick
26,Troy Miller
27,Aaron Saylor
38,Jeffrey Perkins
40,Eric Snavely
99,Matt Tucker
b,r,e,a,k
Toro,5
0,Brielle LeClear
01,Kirkwood Alex Cloud
02,Margaret Quinn
05,Matthew Thomas
07,Lyra Olson
08,Heather Zimmerman
09,George Guthrie
10,Theran Riedel
11,Emma Peaslee
13,Kathryn Morrison
14,Tanner Barcus
15,Kerry Green
17,Dylan Shields
19,Tracy d'Arbeloff
21,Vikram Sethuraman
22,Lucas Darden
25,Michael Pannone
27,Toni Gomes
30,Gentry Maddox
31,Alex Kaja
32,Jake Coleman
34,Tristan Green
43,Matthew Wilson
47,Ian Lawson
66,Paul Weeks
88,Christine Bookhout
95,Jackie Wang
b,r,e,a,k
Storm,4
0,Ashton Carrick
0,Eric Olson
0,Jeffrey Minowa
0,Karen Ehrhardt
0,Ken Porter
0,Kerry Younts
0,Madison Coughlin
0,Micah Hood
0,Paul Grabowski
0,Ransome Martin
0,Samuel Lee
0,Sean Kelley
0,Sharon Crawford
2,Thomas Lineberger
6,Dylan Welchman
7,Jessica Grabowski
9,Miller Yoho
12,Philip Hadwiger
13,Jocelyn Keung
19,Alyssa Belsito
22,Brian Casey
27,Zan Derby-Wright
33,Abigail Barry
40,Kristin Rosser
49,Bethany McDill
60,Ereckson Hillis
73,Romit Patel
b,r,e,a,k
Mutiny,9
0,Bryana Yocum
0,Cody McAlpine
0,JACLYN LOPEZ
0,JACOB SAGER
0,Michael Goldsmith
0,Rocco Davis
0,Ronald Peterman
0,ROSALIE SPADA
0,Sam Pederson
0,Sean Salamone
0,Sharon Pederson
0,Shirlene Sze
0,Timothy Chafin
0,Trystan Grzyll
0,Yale Lin
6,Jennifer Schimmel
7,Corinne Barrett
10,Therese Doebler
13,Sean Flannigan
14,Alexander Guedouar
14,Tim Scheu
20,Tom Chrzanowski
20,Braanah Craig
22,Natasha Bedoya-Ross
30,Domenick Fareri
52,Amy Stewart
91,Mark Schimmel
b,r,e,a,k
Huntsville Outlaws,16
0,Andrew Tharp
0,Angel Mobley
0,Brianna Summers
0,FORREST SILLIVANT
0,Jack Missildine
0,Kylie Murphy
0,Laura  Dunaway
0,Michael Mobley
0,Michael Volz
0,Michael Delp
0,Maigan Matthias
0,Ryan Kirschbaum
0,Soteara Ouk
6,Sean Allan
7,Rose Missildine
7,Hannah Turner
16,Dan Buckley
17,Matthew Knaupp
17,Mackenzie Hedges
19,Victoria Ellingson
22,Jonathan Lee
35,Clark Missildine
54,Brooke  Volz
77,John Boyer III
91,Jonathan Sillivant
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Bucket,JLP,12,8,"09/22/2018, 08:30",Pool A,Final
Rowdy,'Shine,8,12,"09/22/2018, 08:30",Pool A,Final
Bucket,'Shine,13,5,"09/22/2018, 10:30",Pool A,Final
Rowdy,JLP,8,13,"09/22/2018, 10:30",Pool A,Final
Bucket,Rowdy,13,2,"09/22/2018, 12:30",Pool A,Final
JLP,'Shine,12,11,"09/22/2018, 12:30",Pool A,Final
pool,Pool B
Weird,Method,12,3,"09/22/2018, 08:30",Pool B,Final
NC Galaxy,Cahoots,12,10,"09/22/2018, 08:30",Pool B,Final
