AntlerLock 2018,Club - Mixed ,7,7,2018
https://play.usaultimate.org/events/AntlerLock-2018/schedule/Mixed/Club-Mixed
Titan NE,1
3,Kaitlyn Clay
8,Jonathan McRae
11,Harry Park
13,Kathryn Olds
18,Christoper Duffy
24,Cameron Wariner
34,ERICA BORNHOFT
42,Mitchell Wohl
84,Martin (Sonny) Frazee
95,Nicholas Granados-Kramer
b,r,e,a,k
Scarecrow,15
0,Dan Lapolla
01,Anthony Bevilacqua
02,Mark Phelps
03,Adelle Pitsas
14,William Huffer
16,Robert Hsu
18,Emily Lawrence
27,Sean Murphy
30,PAUL FRANKLIN
32,Kaitlin Purdy Murphy
33,Adam Kustwan
41,Frederick Sheehan
44,EMMA TITUS
48,Lauren Kraemer
59,George Abuhamad
b,r,e,a,k
Face Off,18
0,CARL SOLLENBERGER
0,Ryan Creamer
01,Stephen Mahnke
02,Lauren Burkhardt
04,Erika Sollenberger
05,Julia Wakeman
07,Sara Edquist
09,Andrea Parise
10,Zachery Raso
11,Amana Vander-Heyden
13,Nathan Manzer
17,Daniel Zoller
19,David Dwyer
20,Ben Wakeman
21,Cole Matthews
28,Taylor Ferguson
31,Kristen  Davis
32,Anne Lightbody
34,Rob Parise
37,Chris St Pierre
54,Jacob Schwartz
62,Anna Snarski
67,William Peyser
72,Kyle Jacoby
93,Jay Delani 
b,r,e,a,k
Enough Monkeys,10
0,Hannah Marr
00,Helen Newton
00,Kelsey Tjen
00,Lucas Verrastro
00,Ross Gortner
00,Stephen Crowe
00,William Davis
00,Zachary Legge
00,Alexa Wing
00,AMY BUCCI
00,Caleb Genereaux
00,Colby Clarkson
00,Dakota Thompson
00,Douglas Brown
00,Eugene Yum
00,Felix Ackerman
00,Finn Higgins
00,George Robert Halvorsen Jr.
00,Hartel Smith
b,r,e,a,k
Sunken Circus,6
0,Amy LeBel
0,Bailey Kirwin
0,Benjamin Wilson
0,Christina Hassett
0,Emily DaSilva
0,Gunnar Heckler
0,Hudson Carr
0,Jordanna Rees
0,Josie Gillett
0,Kelley Kirwin
0,Daniel Butler
0,Mohdis Baker
0,Nathan Buck
0,Silas Lunetta
0,Stephen Squiers
2,Tony Alves
6,Zachary Esakof
7,Matthew Wilbanks
9,Samantha Munson
9,Cyrus Fenderson
10,Leah Rubinstein
13,Chase Baker
14,Audrey Cliff
21,Cole Aaskov
22,Bridget Bailey
31,eloise terry
87,Colin Eimers
b,r,e,a,k
Darkwing,3
0,Emet Schwartz
0,Eugene L'Heureux
0,Giancarlo Cincotta
0,Jared Scheinberg
0,Brianna  Considine
0,Charlotte Langer
0,Christopher Mark
0,Mckenzie Finigan
0,Sophie Shen
3,Steven Her
5,Conor Dowling
6,Justinne Guarin
9,Sara Rudolph
13,Kat Brock
16,ALEXANDER PINKHAM
20,Kyle Webb
21,Megan Vanderhooft
21,Michael Mason
21,Olivia Prosak
49,Lamia Farah
b,r,e,a,k
Townies,11
0,Andrew Gavin
0,Benjamin Kammerman
0,Christine Georgakakos
0,Gabriel Curran
0,LUCAS LANDAETA
0,Michelle Chen
0,Molly Dempsey
0,Robert Mertz
6,Josiah Peck
7,James Greeno
9,Katie Mihalenko
21,Hannah Smalley
27,Taylor Simpson
27,Thomas Pera
36,Nicolas LoPresto
b,r,e,a,k
Equinox,14
0,Oscar Felcan
4,Sarah VonDoepp
8,Hayden Ellms
9,Kuochuan Ponzio
12,Xavier Ferris
14,Alex Pollack
16,Turner Allen
18,Eli Standard
21,Mae Browning
24,Declan Kervick
25,Isabella Weston
53,Andrew Hampson
b,r,e,a,k
Bees,19
0,Brandon Hughes
0,Brian Cotter
0,Dan Johnson
0,Delia Sheehan
0,Jack Hueber
0,Joseph Curry
0,Michelle Fincken
0,Samantha Sledge
0,Scott Mulderig
0,Mark Skinner
0,Stacey Ng
4,Matthew Capone
4,Frederick Hahn
10,Sean McCoy
12,Dylan McCarty
13,Cody Brady
14,Ariana Ambrosio
28,Matthew Bartell
56,Kelly Pabon
b,r,e,a,k
Happy Valley,4
00,Leila Tunnell
00,Sophia Doerr
02,Shelly Peyton
07,Dan Kaplan
09,Micah Flynn
11,Blake Spitz
12,Jeremiah Berlin
12,Laura Masulis
14,Tobias Harvey
14,Sara Jacobi
15,Caroline Pellegrini
16,Christie Kim
21,Leija Helling
22,Dory Ziperstein
23,Nathan Smiley
30,Oliver Fay
30,Robin Stewart-Demartino
30,Tim Coppinger
33,Elizabeth Calkins
41,Noah Fay
47,Joe Costello
49,Chandler Thoma
58,Noah Zobel
88,Miles Montgomery-Butler
92,Julia Pike
93,Dustin Baglow
b,r,e,a,k
VIP Club,5
0,ALEXANDRE ST-ONGE
0,Danica Deschênes
0,ERIC PHIVILAY
0,FANNY ROULEAU
0,Geneviève Normand
0,JONATHAN PARADIS
0,Julie De Grand Maison
0,KARINA SYLVAIN
0,LAURENCE DROUIN
0,Marie-Laurence F. Laberge
0,Mathieu Huot
0,PIERRE-OLIVIER HARDY
2,Robin  Dubé 
2,FLORENCE BOUCHARD
3,Charles-David Hendriks
6,PIERRE-LUC DESAULNIERS
7,MATHIEU OUELLET
10,VINCENT BUSSET
20,SIMON BELANGER
33,Jennifer Gauthier
69,David dupras
b,r,e,a,k
WHUF,12
0,Aaron Schlossberg
0,Carrie Gill
0,Eugene Wentworth
0,Jeff Hartline
0,Jenna Murphy-Judelson
0,Melissa Stuart
0,Niki Lesniak
0,Patrick Kane
00,Sam Harvey
00,Patrick McGrath
00,Jonathan Richards
00,Jason Angell
b,r,e,a,k
Rainbow,13
0,Adam Salwen
0,Georgia Nichols
0,Jonathan Kelly
0,Jonathan Cass
0,Joe Rafalak
0,Justin Grimaldi
0,Maddie Marx
0,Maggie Su
0,Matthew Schwartz
0,Meghan Gannon
0,Samantha Schmidt
0,Sophia Keins
0,Will Evans
1,EVAN RHEINGOLD
2,Matt Goldberg
11,Mei Reffsin
13,Jeff Knox
14,Jennifer Grossman
14,Mei-An Nolan
15,Becca Epstein
24,BEN CLARK
42,Angela Yu
45,Cameron Levenstein
68,Andrew Parmet
81,Winston Ge
b,r,e,a,k
Buffalo Brain Freeze,20
0,Alison Locke
0,Benjamin Schlabach
0,Christine Hart
0,Connor Bracy
0,Emily Bramhall
0,Erika Falinski
0,Greg Burganowski
0,Gregory Pollock
0,Jeffrey Shevlin
0,Madison Crow
0,Mark Doud
0,Matthew Benner
0,Miles McKey
0,Rachel Greco
0,Rohn Parylo
0,Ryan Schneggenburger
0,Simon Locke
2,Breanna Clark
3,Harry Jones
4,Roy Cineus
17,Christian Salvati
19,Megan MacNeill
27,Seana Lindenthaler
41,Benjamin Wallerstedt
42,Sheila Balu
66,Cody Clement-Sanders
95,Benson Chen
b,r,e,a,k
s,t,a,g,e,s
pools,Sat Pools
pool,Pool A
Titan NE,Default,9,8,"07/07/2018, 10:00",Pool A
HAOS,DTX,9,6,"07/07/2018, 10:00",Pool A
Titan NE,HAOS,9,4,"07/07/2018, 11:30",Pool A
Funk,DTX,12,4,"07/07/2018, 11:30",Pool A
DTX,Default,5,11,"07/07/2018, 13:00",Pool A
Funk,HAOS,9,8,"07/07/2018, 13:00",Pool A
Titan NE,DTX,12,5,"07/07/2018, 14:30",Pool A
Funk,Default,10,8,"07/07/2018, 14:30",Pool A
Titan NE,Funk,11,6,"07/07/2018, 16:00",Pool A
HAOS,Default,11,10,"07/07/2018, 16:00",Pool A
pool,Pool B
Heartless,Face Off,13,7,"07/07/2018, 10:00",Pool B
Enough Monkeys,Scarecrow,12,11,"07/07/2018, 10:00",Pool B
Heartless,Enough Monkeys,12,8,"07/07/2018, 11:30",Pool B
Albany Airbenders,Scarecrow,10,9,"07/07/2018, 11:30",Pool B
Scarecrow,Face Off,11,6,"07/07/2018, 13:00",Pool B
Albany Airbenders,Enough Monkeys,12,8,"07/07/2018, 13:00",Pool B
Heartless,Scarecrow,13,6,"07/07/2018, 14:30",Pool B
Albany Airbenders,Face Off,12,4,"07/07/2018, 14:30",Pool B
Heartless,Albany Airbenders,9,7,"07/07/2018, 16:00",Pool B
Enough Monkeys,Face Off,9,12,"07/07/2018, 16:00",Pool B
pool,Pool C
Darkwing,Bees,13,0,"07/07/2018, 10:00",Pool C
Townies,Equinox,13,8,"07/07/2018, 10:00",Pool C
Darkwing,Townies,10,6,"07/07/2018, 11:30",Pool C
Sunken Circus,Equinox,12,5,"07/07/2018, 11:30",Pool C
Equinox,Bees,13,7,"07/07/2018, 13:00",Pool C
Sunken Circus,Townies,11,6,"07/07/2018, 13:00",Pool C
Darkwing,Equinox,13,2,"07/07/2018, 14:30",Pool C
Sunken Circus,Bees,11,4,"07/07/2018, 14:30",Pool C
Darkwing,Sunken Circus,8,10,"07/07/2018, 16:00",Pool C
Townies,Bees,13,5,"07/07/2018, 16:00",Pool C
pool,Pool D
Happy Valley,Buffalo Brain Freeze,13,2,"07/07/2018, 10:00",Pool D
WHUF,Rainbow,12,6,"07/07/2018, 10:00",Pool D
Happy Valley,WHUF,12,10,"07/07/2018, 11:30",Pool D
VIP Club,Rainbow,13,2,"07/07/2018, 11:30",Pool D
Rainbow,Buffalo Brain Freeze,13,5,"07/07/2018, 13:00",Pool D
VIP Club,WHUF,13,7,"07/07/2018, 13:00",Pool D
Happy Valley,Rainbow,12,9,"07/07/2018, 14:30",Pool D
VIP Club,Buffalo Brain Freeze,13,0,"07/07/2018, 14:30",Pool D
Happy Valley,VIP Club,11,10,"07/07/2018, 16:00",Pool D
WHUF,Buffalo Brain Freeze,13,3,"07/07/2018, 16:00",Pool D
b,r,e,a,k
brackets,Championships
bracket,Championships
Happy Valley,Heartless,15,12,"07/08/2018, 13:00",1st Place Finals
Titan NE,Happy Valley,10,15,"07/08/2018, 11:00",Championship Semis
Heartless,Sunken Circus,13,12,"07/08/2018, 11:00",Championship Semis
Titan NE,Albany Airbenders,15,5,"07/08/2018, 09:00",Championship Quarters
Happy Valley,Darkwing,15,12,"07/08/2018, 09:00",Championship Quarters
Heartless,Funk,15,7,"07/08/2018, 09:00",Championship Quarters
Sunken Circus,VIP Club,14,12,"07/08/2018, 09:00",Championship Quarters
bracket,5th Place (T)
Funk,VIP Club,11,15,"07/08/2018, 11:00",5th Place (T)
bracket,5th Place (T)
Albany Airbenders,Darkwing,12,9,"07/08/2018, 11:00",5th Place (T)
b,r,e,a,k
brackets,9th - 12th
bracket,9th Place
WHUF,Townies,9,15,"07/08/2018, 11:00",9th Place Finals
HAOS,WHUF,12,15,"07/08/2018, 09:00",9th Place Semis
Scarecrow,Townies,9,13,"07/08/2018, 09:00",9th Place Semis
bracket,11th Place
HAOS,Scarecrow,8,15,"07/08/2018, 11:00",11th Place
b,r,e,a,k
brackets,13th -16th
bracket,13th Place
Default,Face Off,15,9,"07/08/2018, 13:00",13th Place
Default,Rainbow,15,9,"07/08/2018, 11:00",13th Place Semis
Face Off,Equinox,15,8,"07/08/2018, 11:00",13th Place Semis
bracket,15th Place
Rainbow,Equinox,15,12,"07/08/2018, 13:00",15th Place
b,r,e,a,k
clusters,Crossover
cluster,Crossover
Enough Monkeys,Bees,15,9,"07/08/2018, 09:00",
DTX,Buffalo Brain Freeze,15,8,"07/08/2018, 09:00",
Buffalo Brain Freeze,Bees,7,15,"07/08/2018, 11:00",
Enough Monkeys,DTX,15,9,"07/08/2018, 13:00",
b,r,e,a,k
