Eastern's Qualifier 2018,College - Men ,17,2,2018
North MyrtleBeach,SC,2018-02-17,2018-02-18
https://play.usaultimate.org/events/Easterns-Qualifier-2018/schedule/Men/CollegeMen/
Georgia Tech,9
22,Thomas Elbert
25,Richard Trevithick
27,Danie Fain
30,Christian Boxley
31,Blake Spangler
33,Luke Curran
45,Ian Woods
77,David Wilke
88,Kunwoo Shin
96,John Montesanto
98,Christopher Dunn
b,r,e,a,k
Michigan State,24
teamInfo,ARC,"East Lansing, Michigan",http://www.msultimate.com/,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
0,Andrew Corn
0,Collin Higgins
0,Grant Pearce
0,Trevor Varner
1,Andrew Sjogren
3,Alex Carls
8,Daniel Brown
9,Ramsey Daouk
12,Andrew Duquette
16,Dex Dremann
17,Ryan Plumstead
21,Jake Blankemeier
25,Ryan Yergin
25,Conrad Landis
26,Souichi Terada
27,Jake Pruitt
29,Ashton Hoffman
33,Daniel Dodge
82,Kevin Kern
b,r,e,a,k
Case Western Reserve,16
teamInfo,Fighting Gobies[A],"Cleveland, Ohio",ultimate.case.edu,,
coaches,Nicholas Mathison
0,Adam Cox
0,Benjamin March
0,David Casente
0,Dmitriy Estrin
0,Ethan Liaw
0,Jordan Liff
0,Mark Fertal
0,Michael Kasper
0,Michael Connerton
0,Nick Longo
0,Kevin Talbot
0,Zach Sedor
5,Bryan Dunbar
8,Kunal Rath
10,Evan Haug
12,William Baskin
13,Benjamin Zhang
16,Joseph Nooger
18,Alan Kao
24,Pete Digre
37,Ellis Saupe
49,Quinn Foley
51,Andrew Thompson
54,Jacob Kessler
55,Reilly Dalleska
63,Ben Alexander
b,r,e,a,k
South Carolina,18
teamInfo,Gamecock Ultimate,"Columbia, South Carolina",https://garnetgate.sa.sc.edu/organization/ufrisb,https://facebook.com/GamecockUltimate/,https://twitter.com/USC_Ultimate
00,Kevin Strothman
00,Michael Miller
00,Ricky Brokaw
00,Kyle Woodberry
02,Johnnie Lynch
03,Hunter Lazan
04,Matthew Hogue
08,Adam Chase
10,Stuart Hughes
11,Nicholas Headden
12,John (Jack) Dowling
13,Clayton Brandenburg
14,Tanner Coleman
16,Andrew White
17,Shane Smith
18,Jason Hoffman
20,Corey Branam
21,Stephen Trello
21,Preston Headden
22,Samuel DiStefano
31,Luke Colwell
32,Thomas Nye
33,Bryon Pearson
42,Austin Lourie
44,Reid O'Brien
45,Lukas McClamrock
69,Patrick Hall
84,Cleve Fisher
92,John Colyer
99,Aaron Coble
b,r,e,a,k
Maryland,2
teamInfo,Maryland Ultimate,"College Park, Maryland",http://umd.orgsync.com/org/ultimate,,https://twitter.com/spacebastards?lang=en
0,Adam Weiss
0,Alex Liu
0,Ari Cacopardo
0,Benjamin Lee
0,Brian Oluwo
0,Grant Simons
0,Ian Down
0,Jack Hermann
0,Jeremy Hess
0,Jeremy Knopf
0,Jimmy Alderisio
0,Justin Argauer
0,Mason Banner
0,Matthew Rohrbaugh
0,Raymond Tann
0,Victor Ogunbamiwo
1,Daniel Mehmedovich
2,Luke Pascale
5,Samuel Besse
9,Colin McLaughlin
13,Stephen Lafleur
15,William Xu
16,John Walden
18,Christopher Bernard
24,Ethan Tsirulik
32,Eliot Fenton
45,Rudra Menon
72,Sam Klueter
99,MITCHELL COVERSTONE
b,r,e,a,k
Tennessee-Chattanooga,15
teamInfo,Swamp Donkeys,"Chattanooga, Tennessee",,https://www.facebook.com/pages/UTC-Ultimate-Frisbee/688460324541637,https://twitter.com/UTCSwamp
00,Jacob Howard
04,Jeremiah Branson
05,Chase Hammond
06,James Russnogle
09,Jason Raymond
10,James Conners
11,John Oehlschlaeger
15,Kristofer Eden
17,Dylan Hendricks
18,Yanni Killebrew
19,Peter Vongsayarath
21,Matthew Schwartz
22,Benjamin Wilt
23,Josh Johnson
25,Jacob Loschinskey
27,John Hunter
28,Nicholas Baldwin
29,Jordan Hennessy
30,Peyton Manus
31,Brian Vilayphanh
32,Collin Saulters
33,Mathew Taylor
43,Samuel Milligan
47,Jacob Tanner
77,Gabe Waters
83,Ethan Benesh
97,Vasili Doan
99,Mason Manley
b,r,e,a,k
Ohio State,7
teamInfo,Leadbelly,"Columbus, Ohio",,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
0,James Bott
01,Jason Lee
02,Jesse Weber
03,Evan  Berry
04,Timothy Harmody
06,Mark Luke
07,Steven Moliterno
09,Marshal Paz
10,Rishi Nair
11,Nicholas Ondrejko
12,Sion Agami Contreras
13,Jackson Shorey
16,Anthony Sanderell
22,TJ Kalvas
23,Jack Engle
24,Michael Verma
27,Chase Gregory
30,Michael Ohrman
31,Victor Monaco
55,Joseph Rains
67,Tony Rabe
69,Hartley Stevenson
92,Neil Taylor
98,Zachary Braun
b,r,e,a,k
Virginia,10
teamInfo,Night Train,"Charlottesville, Virginia",http://nighttrainultimate.com,,https://twitter.com/nighttrainatuva
2,John Bagli
3,Jacob Hartzler
4,Bryce Foster
5,Quinn Hermann
7,Kevin Sutyla
8,James Godwin
9,Kevin  Niu
10,Alexander Rudin
11,Ryan French
12,Corey Sostre
13,Josh Barnard
15,Taylor Shuford
17,Will Heslop
19,Christopher Zaino
22,Sawyer Linde
23,Alexandre Fall
24,Jake Karton
27,Joe Spaeth
30,Danny Krug
30,Robby Keough
31,Alex Turney
32,John Scoville
33,Tanner Dellett-Wion
41,Thomas Owen
44,Jack Pipatti
70,Lincoln Hirn
74,Derek Schauss
78,Isaac Roberts
85,Coleman Dickerson
b,r,e,a,k
Vermont,23
teamInfo,Chill,"Burlington, Vermont",,,https://twitter.com/team_chill
0,Carson Kurtz-Rossi
0,Conrad Sacher
0,Eli Conard
0,Ellis Fredella
0,Ryan Dinger
0,Walden Ng
4,Nick Auerbach
5,Quinn Ledak
6,Nathaniel Pucci
9,Aaron Wynmor
10,Nick Tansey
11,Stephen Donahue
13,Ethan  Jablonow 
27,Jeremy Fischer
29,Ben Mitchell
41,Sam Callison
42,James Cataldo
43,Timothy Bliss
64,Conor Murphy
b,r,e,a,k
Kennesaw State,6
teamInfo,Parliament,"Kennesaw, Georgia",,,
0,Aaron Claytor
0,Christopher Broomhead
0,Daniel Palladino 
0,Ethan Wynn
0,Joshua Kalman
0,Kalid Sudu
0,Sam Diffin
0,William Lindquist
2,William Barnes
3,Sam Merritt
8,Victor Ochoa-Lorenzo
9,Jacob Dangler
11,Isaac Smith
12,Ryan Lowther
13,Ryan Murphy
14,Charles Loudermilk
15,Brian Dickey
17,Logan Ogletree
21,Norman Cherry
48,Andrew Fortier
49,Matthew Stotter
50,Ross Barnes
97,Mike McGinnis
b,r,e,a,k
Dartmouth,3
teamInfo,Pain Train,"Hanover, New Hampshire",http://www.dartmouth.edu/~ultimate/home.html,,https://twitter.com/DMouthPainTrain
coaches,Colby Clarkson
0,Andrew Binder
1,Avery Feingold
3,Graham Sisson
4,Daniel Moder
6,Kyle Bensink
7,Quinn Hottendorf
10,Isaac Gluck
11,Robert Livaudais
12,Spencer Heim
13,Oliver Chartock
14,Karim Itani
17,Thanh Nguyen Jr
18,Brady McCallister
19,Rohan Bose
21,Ben Lewis
22,Garrett Rawlings
24,Eric Greenlee
27,Callum Hening
28,Wendell Beane
36,Kevin Mercado
88,Connor Haines
b,r,e,a,k
James Madison,11
teamInfo,Hellfish,"Harrisonburg, Virginia",,,https://twitter.com/hellfishulti
0,Andrew Elliott
0,Andrew Marusic
0,Anthony Stone
0,Brian Kelly
0,Colin Smith
0,Francisco Marty
0,Jackson Schott
0,jeremy thacker
0,Joshua Alley
0,Torin Porter
1,Travis St. John
2,Haroon Matties
13,Nicholas Albright
15,Nicholas Koldys
22,Garrett Manno
25,Coleman Wells
72,Michael Gostomski
81,Colin Doescher
97,Charles Leaton
b,r,e,a,k
Clemson,22
teamInfo,Joint Chiefs of Waft,"Clemson, South Carolina",http://www.clemson.edu/ultimate/,,
0,Andrew Perham
0,Andrew  Lamberson
0,Andrew Wetzel
0,Jacob Hoppel
0,Jackson Weaver
0,Joshua Pappas
0,Luke Wetzel
0,Matthew Perham
0,Thomas Shirley
2,Ryland Bristow
5,Alex Wessinger
6,Brandon Wider
8,Jackson  Dye
12,Connor Kinzie
13,Jacob Luksik
16,Daniel Custer
18,Jake Barton
22,Christopher Zahn
22,William Watson
37,David Evans
45,Henry Baymiller
72,Nicholas D'Orsi
77,James Berry
91,Kenneth Peters
b,r,e,a,k
George Mason,19
teamInfo,Massacre,"Fairfax, Virginia",http://www.masonultimate.com,https://www.facebook.com/pages/George-Mason-Ultimate/355962851189291,https://twitter.com/MasonUltimate
0,Donovan Waters
0,Jacob Wescott
0,Matthew Eiman
0,Nick Givens
0,Nick Schall
0,silas James
0,Teh Yong
2,Jonah  Roberts 
4,David Erdley
6,Joshua Alger
6,Tyler Moore
17,Jacob Shade
19,Kyle Williamson
21,Morgan Vest
28,Joshua Bransford
34,Austin Do
42,Mitchell Palmer
42,Sam Gabrielson
45,Spencer Neher
50,Jeremy Steinel
77,Goutham Kommanaboyina
b,r,e,a,k
Davidson,14
teamInfo,DUFF,"Davidson, North Carolina",,https://www.facebook.com/DavidsonUltimate/,https://mobile.twitter.com/DUFF_Cats?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Isaac Mervis
0,Jack Swinson
0,Michael Robertson
0,Mohammad Saad Farooq
0,Kevin Endersby
0,Mac Harris
0,Ryan Almeida
0,Samuel Lidsky
0,William Stifel
7,Cullen MacDowell
8,Jonathan Phillips
19,Matthew Singleton
27,Alex Berro
45,Dustin Smith
69,Paul Brennan
99,Pavel Sonkin
b,r,e,a,k
Indiana,21
teamInfo,HoosierMama?s,"Bloomington, Indiana",,,
3,Adrian Golay
01,Trevor Cook
04,Jack Segal
11,Joe Dweck
14,Stephen Conner Henderson
17,Daniel Sullivan
19,Benjamin Adams
22,Eric Benenson
23,Clark Barco
24,Peter Tavolacci
26,Sam Resnick
32,Robert Woodcock
37,William Carter
42,Jake Frederickson
51,Max Hamilton
73,Nathan Roush
81,Matthew McHugh
85,Kwunho Wu
b,r,e,a,k
William & Mary,5
teamInfo,Darkhorse,"Williamsburg, Virginia",http://wmdarkhorse.com/,https://www.facebook.com/WMUltimate/,https://twitter.com/wmultimate
0,Carl Lasker
0,Colin Messerschmidt
0,COOPER MICHAELIS
0,David Hill
0,Gabe Westergren
0,Greg Garnhart
0,Gus Norrbom
0,Jack Helms
0,John Buchholz
0,John Wilkes
0,Jonathan Collins
0,Joshua Zinger
0,Kyle  Vanhoy
0,Matthew Straus
0,Ryan Cooper
0,Scott Kilmer
0,SETH HAGE
0,Taylor Gilman
0,Zachary Nimmo
1,Aaron Groves
2,HENRY TESSIER
17,Moussa Dia
21,August Wagner
26,Matthew Wattendorf
53,Jonny Malks
69,Jack Kanehann
74,David Jensen
b,r,e,a,k
North Carolina-Charlotte,12
teamInfo,Charlotte Skyrise,"Charlotte, North Carolina",,https://www.facebook.com/groups/UNCCfrisbee/,
0,Alec Petty
0,Daniel Eure
0,Dylan Williams
0,Eric Simanskis
0,Jacob Fairfax
0,Jake Hutchinson
0,John Allman
0,Jordan Perry
0,Kevin Zhang
0,Michael Sweeney
0,Samuel Wiles
0,Thomas Cody
1,Adam Crews
2,Geffen Agasi
3,Craig Berwick
7,Andrew Felipe
12,Nathan Silvestri
14,Timothy Hunt
19,Jordan Knox
21,Daniel Son
25,Ben Pepe
27,Ameer Green
36,George Pollard
44,Stone Russell
61,Caleb Stanish
74,Larson Spears
77,Michael Hultquist
99,Richard Bastian
b,r,e,a,k
Richmond,4
teamInfo,Spidermonkeys,"Richmond, Virginia",https://urspidermonkeys.wordpress.com,,https://twitter.com/urspidermonkeys?lang=en
0,Jack Connelly
0,Robert Silipigni
2,Evan Steinfield
3,Matt Chiappinelli
6,Tynan Englert
8,Ben Weinstein
12,Justin Keller
13,Noah Sapp
16,Christopher Selwood
18,Jacob Rotter
20,Liam McGrinder
22,Harris Cannon
24,Michael Le
27,Patrick  Murray
30,Graydon Cowan
31,Daniel Scherzer
34,Zachary Perkins
39,Xavier McCormick
44,Evan Crawford
48,Patrick TomHon
52,Robert Croxson
55,Hunter Lang
70,Christopher Cassella
75,Abraham Schroeder
b,r,e,a,k
Lehigh,13
teamInfo,Lehigh ,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Carter Hartmann
0,Christian Chapis
0,Christopher O'Byrne
0,Anmol Madaan
0,Ben Durkee
0,Kevin Latwis
0,Marshall Stallings
0,Noah Katz
0,Jeremy Glennon
0,Sean Cranney
0,Stuart Gordon
0,Thomas McManus
0,Tino Magazzolo
0,William Delucia
6,Alex Schlegel
11,Ian Haney
20,Sean McCoy
23,Caleb Leaser
26,Vincent Rienzi
36,Ethan Holmgren
47,Sam Joynson
61,Timothy Predmore
69,John Lund
b,r,e,a,k
Georgia Southern,20
teamInfo,Eagles,"Statesboro, GA, Georgia",gsultimate.com,https://twitter.com/gsultimate,https://twitter.com/GASo_Ultimate%20%20%20
0,Clinton Skarosi
0,Devin Hamill
0,Kevin Miller
0,Noah Smith
0,Ryan Weber
0,Jonathan Francisco
7,Jack Collins
8,Joseph Vives
11,Zach Faddis
17,Jonathan Spencer
21,Samuel Trent
23,Chris Camp
32,Cody Lewis
67,Tanner Tracey
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Carolina State,Georgia Tech,10,11,"02/17/2018, 09:00",Pool A,Final
Georgetown,Iowa,2,13,"02/17/2018, 09:00",Pool A,Final
Case Western Reserve,Michigan State,9,13,"02/17/2018, 09:00",Pool A,Final
North Carolina State,Georgetown,12,8,"02/17/2018, 10:40",Pool A,Final
Georgia Tech,Case Western Reserve,11,7,"02/17/2018, 10:40",Pool A,Final
Iowa,Michigan State,12,9,"02/17/2018, 10:40",Pool A,Final
North Carolina State,Case Western Reserve,13,6,"02/17/2018, 12:20",Pool A,Final
Georgetown,Michigan State,13,12,"02/17/2018, 12:20",Pool A,Final
Georgia Tech,Iowa,12,8,"02/17/2018, 12:20",Pool A,Final
North Carolina State,Michigan State,13,6,"02/17/2018, 14:00",Pool A,Final
Georgetown,Georgia Tech,7,13,"02/17/2018, 14:00",Pool A,Final
Case Western Reserve,Iowa,8,13,"02/17/2018, 14:00",Pool A,Final
North Carolina State,Iowa,13,6,"02/17/2018, 15:40",Pool A,Final
Georgetown,Case Western Reserve,10,9,"02/17/2018, 15:40",Pool A,Final
Georgia Tech,Michigan State,12,7,"02/17/2018, 15:40",Pool A,Final
pool,Pool B
Maryland,Virginia,13,9,"02/17/2018, 09:00",Pool B,Final
Ohio State,South Carolina,10,11,"02/17/2018, 09:00",Pool B,Final
Maryland,Ohio State,12,11,"02/17/2018, 10:40",Pool B,Final
South Carolina,Vermont,11,10,"02/17/2018, 10:40",Pool B,Final
Ohio State,Vermont,13,9,"02/17/2018, 12:20",Pool B,Final
Virginia,South Carolina,9,5,"02/17/2018, 12:20",Pool B,Final
Maryland,Vermont,10,12,"02/17/2018, 14:00",Pool B,Final
Ohio State,Virginia,13,11,"02/17/2018, 14:00",Pool B,Final
Maryland,South Carolina,9,10,"02/17/2018, 15:40",Pool B,Final
Virginia,Vermont,11,8,"02/17/2018, 15:40",Pool B,Final
Tennessee-Chattanooga,Vermont,9,10,"02/17/2018, 23:00",Pool B,Final
Virginia,Tennessee-Chattanooga,10,11,"02/18/2018, 12:40",Pool B,Final
Maryland,Tennessee-Chattanooga,13,8,"02/18/2018, 02:20",Pool B,Final
Tennessee-Chattanooga,South Carolina,9,13,"02/18/2018, 04:00",Pool B,Final
Ohio State,Tennessee-Chattanooga,8,13,"02/18/2018, 05:40",Pool B,Final
pool,Pool C
Dartmouth,James Madison,13,8,"02/17/2018, 09:00",Pool C,Final
Davidson,Clemson,7,12,"02/17/2018, 09:00",Pool C,Final
James Madison,Davidson,9,6,"02/17/2018, 10:40",Pool C,Final
George Mason,Clemson,3,13,"02/17/2018, 10:40",Pool C,Final
Dartmouth,Davidson,11,6,"02/17/2018, 12:20",Pool C,Final
James Madison,George Mason,13,7,"02/17/2018, 12:20",Pool C,Final
Dartmouth,Clemson,11,9,"02/17/2018, 14:00",Pool C,Final
Davidson,George Mason,8,10,"02/17/2018, 14:00",Pool C,Final
Dartmouth,George Mason,12,7,"02/17/2018, 15:40",Pool C,Final
James Madison,Clemson,13,8,"02/17/2018, 15:40",Pool C,Final
Kennesaw State,George Mason,13,6,"02/17/2018, 16:00",Pool C,Final
Dartmouth,Kennesaw State,7,10,"02/17/2018, 17:40",Pool C,Final
Kennesaw State,Clemson,10,8,"02/17/2018, 19:20",Pool C,Final
Kennesaw State,James Madison,13,12,"02/17/2018, 21:00",Pool C,Final
Kennesaw State,Davidson,11,12,"02/17/2018, 22:40",Pool C,Final
pool,Pool D
Richmond,North Carolina-Charlotte,7,10,"02/17/2018, 09:00",Pool D,Final
William & Mary,Georgia Southern,13,5,"02/17/2018, 09:00",Pool D,Final
Lehigh,Indiana,8,13,"02/17/2018, 09:00",Pool D,Final
Richmond,William & Mary,7,13,"02/17/2018, 10:40",Pool D,Final
North Carolina-Charlotte,Lehigh,9,10,"02/17/2018, 10:40",Pool D,Final
Georgia Southern,Indiana,5,13,"02/17/2018, 10:40",Pool D,Final
Richmond,Lehigh,12,10,"02/17/2018, 12:20",Pool D,Final
William & Mary,Indiana,9,13,"02/17/2018, 12:20",Pool D,Final
North Carolina-Charlotte,Georgia Southern,13,5,"02/17/2018, 12:20",Pool D,Final
Richmond,Indiana,11,12,"02/17/2018, 14:00",Pool D,Final
William & Mary,North Carolina-Charlotte,10,8,"02/17/2018, 14:00",Pool D,Final
Lehigh,Georgia Southern,12,11,"02/17/2018, 14:00",Pool D,Final
Richmond,Georgia Southern,13,4,"02/17/2018, 15:40",Pool D,Final
William & Mary,Lehigh,13,7,"02/17/2018, 15:40",Pool D,Final
North Carolina-Charlotte,Indiana,13,9,"02/17/2018, 15:40",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Maryland,North Carolina State,8,15,"02/18/2018, 13:00",Finals,Final
Maryland,Indiana,15,6,"02/18/2018, 11:00",Semifinals,Final
William & Mary,North Carolina State,10,12,"02/18/2018, 11:00",Semifinals,Final
Georgia Tech,Maryland,14,16,"02/18/2018, 09:00",Quarterfinals,Final
Dartmouth,Indiana,14,15,"02/18/2018, 09:00",Quarterfinals,Final
Kennesaw State,William & Mary,9,14,"02/18/2018, 16:00",Quarterfinals,Final
North Carolina State,South Carolina,13,12,"02/18/2018, 09:00",Quarterfinals,Final
bracket,3rd Place
Indiana,William & Mary,9,11,"02/18/2018, 13:00",3rd Place,Final
bracket,5th Place
Georgia Tech,South Carolina,13,5,"02/18/2018, 13:00",5th Place,Final
Georgia Tech,Dartmouth,15,8,"02/18/2018, 11:00",5th Place Semifinals,Final
Kennesaw State,South Carolina,7,15,"02/18/2018, 18:00",5th Place Semifinals,Final
bracket,7th Place
Dartmouth,Kennesaw State,15,6,"02/18/2018, 20:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
Iowa,James Madison,15,8,"02/18/2018, 13:00",Finals,Final
Iowa,North Carolina-Charlotte,15,11,"02/18/2018, 11:00",Semifinals,Final
James Madison,Tennessee-Chattanooga,15,14,"02/19/2018, 01:00",Semifinals,Final
Iowa,Ohio State,13,12,"02/18/2018, 09:00",Quarterfinals,Final
Clemson,North Carolina-Charlotte,11,13,"02/18/2018, 09:00",Quarterfinals,Final
James Madison,Richmond,15,11,"02/18/2018, 09:00",Quarterfinals,Final
Georgetown,Tennessee-Chattanooga,11,13,"02/18/2018, 23:00",Quarterfinals,Final
bracket,11th Place
North Carolina-Charlotte,Tennessee-Chattanooga,12,10,"02/19/2018, 03:00",11th Place,Final
bracket,13th Place
Ohio State,Georgetown,11,9,"02/18/2018, 13:00",13th Place,Final
Ohio State,Clemson,13,11,"02/18/2018, 11:00",13th Place Semifinals,Final
Richmond,Georgetown,12,14,"02/18/2018, 11:00",13th Place Semifinals,Final
bracket,15th Place
Clemson,Richmond,8,12,"02/18/2018, 13:00",15th Place,Final
b,r,e,a,k
brackets,17th Place Bracket
bracket,17th Place
Lehigh,Virginia,11,9,"02/18/2018, 13:00",Finals,Final
Michigan State,Lehigh,7,15,"02/18/2018, 11:00",Semifinals,Final
George Mason,Virginia,6,15,"02/18/2018, 11:00",Semifinals,Final
Michigan State,Vermont,15,14,"02/18/2018, 09:00",Quarterfinals,Final
Davidson,Lehigh,9,14,"02/18/2018, 09:00",Quarterfinals,Final
George Mason,Georgia Southern,15,9,"02/18/2018, 09:00",Quarterfinals,Final
Case Western Reserve,Virginia,6,14,"02/18/2018, 09:00",Quarterfinals,Final
bracket,19th Place
Michigan State,George Mason,15,12,"02/18/2018, 13:00",19th Place,Final
bracket,21st Place
Davidson,Case Western Reserve,10,13,"02/18/2018, 13:00",21st Place,Final
Vermont,Davidson,11,13,"02/18/2018, 11:00",21st Place Semifinals,Final
Georgia Southern,Case Western Reserve,7,14,"02/18/2018, 11:00",21st Place Semifinals,Final
bracket,23rd Place
Vermont,Case Western Reserve,0,0,"02/18/2018, 13:00",23rd Place,Cancelled
b,r,e,a,k
