Illinois Invite 2018,College - Men ,31,3,2018
Rantoul,IL,2018-03-31,2018-04-01
https://play.usaultimate.org/events/Illinois-Invite-2018/schedule/Men/CollegeMen/
Wisconsin-Whitewater,9
0,Jake Perry
0,Matthew  McNulty
0,Nick Trent
0,Nick Goran
0,Nikolas Yray
0,Shane Tomesh
5,Jacob Dertz
00,Tyler Hebert
01,Richard Bly
04,Luke Marks
11,Nicholas Hohl
12,Nicholas Gizelbach
13,Glenn Kaboskey
15,Jack Pulvermacher
18,Riley Lamberty
19,Zach Ostermann
21,Andrew Van Steenbergen
22,Liam McDonald
23,Grant Good
27,Shane Otis 
28,Benjamin Duval
30,Mitchell Jones
33,Cristian Crespo
41,Zachary Hutson
42,Chase Marty
48,Alex Kreuger
50,Brett Danner
53,Lucas Stuiber
69,Josh Kuse
71,Dylan Power
75,Pete Gylland
b,r,e,a,k
Nebraska,1
0,Aaron Housenga
0,Alec  Williams 
0,Daniel Forsyth
0,Jackson Cutsor
0,ROBBY ELSNER
0,Shane Mueller
0,Kameron Heyen
6,Noah Ross
7,Jack Sarles
9,Jake Lindvall
10,Stephen Lunde
13,Cole Petsche
15,Kyler Lecomte
18,Tristan Mahler
20,David Forsyth
21,Jackson Schuerman
26,Marty Praska
29,Cameron Stussie
35,James Rowland
41,CRISANTO DUBUC
55,Jacob Morrow
b,r,e,a,k
Northern Iowa,5
0,Tyson Samsel
3,Richard TeKippe
6,Joshua Timms
7,Timothy Swanson
10,Blake Eggleston
11,Matt Adams
12,Ethan Schultzen
13,Payton Burken
16,Colin Stroehle-Durrah
18,Tanner Smith
20,John Cannon
22,Aaron Worsfold
30,Steven Flesch
35,Caleb Lundeen
44,Mitchell Diamond
55,Michael Bonin
63,Mason Burken
72,Clayton Phillips
73,Daniel Thomsen
77,Cody Campbell
99,John Dunlop
b,r,e,a,k
Wisconsin-Eau Claire,4
0,Eli Rubin-Calvert
0,Jack Tyler
0,Jayden Flipp Connolly
1,Sam Sincere
3,Jacob Ertz
4,Aaron Schneider
7,Kristian Johnson
9,Armond Jellum
10,Adam Egemo
13,Matthew Farwell
18,Andrew Cotter
21,Patrick Cooney
23,Tyler Urness
24,Spencer King
27,Josh Yira
28,Anthony Doan
33,Ryan Schultz
42,Eric Stadtmueller
44,Colin Williams
49,Cordell Kapusta
57,Colin  Sodemann
64,Dalton Dowd
76,Blake Van Vooren
77,Cole Edgell
78,Ryan Rodriquez
83,Joseph Schmitz
99,Shae Callewaert
b,r,e,a,k
Winona State,8
8,Jacob Mutch
11,Shawn Hilst
13,Jordan Benson
14,Aaron Turcott
15,Emmet O'Connell
17,Jacob Schlaefer
22,Brent Gothmann
23,Michael Sauer
26,Alex Anderson
47,Nick Kopp
55,Nate Robinson
72,Billy Peterson
b,r,e,a,k
Missouri S&T,2
0,Matthew Gentry
12,Brendan Carriel
15,Shashank Nedungadi
24,William (Will) Imming
25,Kelly Mauntel
27,Cameron Leonard
30,Trevor Nenninger
35,Richard Murphy
44,Lawrence Eastman
b,r,e,a,k
Minnesota (B),10
