Southeast D-I College Men's Regionals,College - Men ,28,4,2018
Tallahassee,FL,2018-04-28,2018-04-29
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2018/schedule/Men/CollegeMen/
Georgia,1
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
0,Ryan Dollar
02,Drew Di Francesco
03,Jared Bennett
05,Ethan Bowling
11,Matthew Cook
12,Conner Stoll
13,Miles Griffin
14,John Langstaff
16,Hunter Cutts
17,Ben Gladstone
19,Collin Cassidy
21,Coleman Tappero
22,Jon Ross Ingley
23,John Roorbach
24,Patrick Trent
28,Mack Hodges
29,Mason Cary
32,Noah Li
35,Travis Kellogg
40,Tyler Russell
42,Jason Jones
60,David William Petmecky
82,Sam Batson
88,Brandon Li
b,r,e,a,k
Florida,2
teamInfo,Florida,"Gainesville, Florida",www.ufultimate.com,https://www.facebook.com/floridaultimate,https://twitter.com/FloridaUltimate/
02,Billy O'Bryan
03,Jose Varillas
05,David Pincus
06,Joel Buenrostro
07,Ryan Hiser
08,Joshua Layton
09,John Gonzalez
10,Chris Dixon
11,Ross Lynam
12,Brandon Turnage
13,Alec Hunziker
13,William  Field
17,Alexander Fischer
18,Hayden Wachob
24,Alec Cutajar
25,Unmil Patel
26,Matthew Molinaro
27,Michael Heym
28,Juan Baralt
29,Hayden Chappel
29,Daniel Mecca
39,Evan Murray
55,Logan Storts
64,Sai Priyatam Tayi
72,Gabriel Cornejo
b,r,e,a,k
Kennesaw State,5
teamInfo,Parliament,"Kennesaw, Georgia",,,
0,Aaron Claytor
0,Christopher Broomhead
0,Daniel Palladino 
0,Ethan Wynn
0,Jarrett Craft
0,Sam Diffin
0,William Lindquist
2,William Barnes
3,Sam Merritt
9,Jacob Dangler
9,Madison Head
11,Isaac Smith
12,Ryan Lowther
13,Ryan Murphy
14,Charles Loudermilk
15,Brian Dickey
17,Logan Ogletree
21,Norman Cherry
48,Andrew Fortier
49,Matthew Stotter
50,Ross Barnes
97,Mike McGinnis
b,r,e,a,k
Auburn,3
