TCT Select Flight Invite 2018,Club - Mixed ,28,7,2018
Salt Lake City,UT,2018-07-28,2018-07-29
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018/schedule/Mixed/Club-Mixed
Polar Bears,2
teamInfo,,"Berkeley, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
01,Alexander Max
02,Molly Munson
03,Ryan Takayama
04,Gabriel Edwards
05,Aaron Shi
06,Cheryl Hsu
09,Gregory Marliave
14,Kate Schlag
15,Nick Tolfa
16,Krista Takayama
17,Margot Stert
18,Nicholas Alexander
19,Christopher Cogswell
20,Sean Liston
21,Dulcy Docken
22,Andrew Ouyang
24,Joe Thompson
25,Daniel Naruo
27,Aaron Hom
28,Catherine Chen
29,Amanda Meroux
33,Ian Sweeney
36,Sara Nolan
42,Bob Madden
52,Samantha Applegate
82,An-Chi Tsou
88,Linh Hoang
b,r,e,a,k
Bucket,7
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/ATLBucket/,https://www.twitter.com/ATLBucket
0,Dana Rose
1,James ONeal (Neal) Hollis
2,Cori Bradham
3,Aidan Rogers
4,RYAN ARCHIBALD
5,Emily Karoblis
6,Beret Amundson
7,Katherine Yost
8,Timothy Brady
9,Patrick Dougherty
10,Michael Venezia
13,Matthew Hardman
14,Jenny Choi
16,Kenta Kawaguchi
21,Michael Arenson
23,Lizzie Jones
24,Jason Crowe
25,Robert Bradham
29,Katie Gainer
33,Caroline Taylor
41,Ryan Simmons
44,Samantha Hill
55,Evelina Pierce
63,Ahna Weeks
83,Shanye Crawford
96,Logan Bonds
b,r,e,a,k
Minnesota Star Power,11
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,https://twitter.com/mnstarpower,https://www.facebook.com/MinnesotaStarPower/
coaches,Trevor Ruwitch
1,Tristan Grovender
6,Leah Arnt
8,Kevin Ruda
9,Ben Roske
10,Alex Kensgaard
11,Rachel Thompson
12,Taylor Van Oosbree
13,Kelsey Mueller
15,Leona DeRango
16,Lisa Barnes
19,Eric Vandermolen
21,Max Stillman
23,Christopher McCrory
24,Eric Alexander
25,Joe Moravec
27,Jessie Lambert
28,Cole Stiegler
29,Kelsey Peterson
31,Bradley Malmsten
37,Ming Cheng Chew
48,Anik Regan
57,Ellory Roske
76,Erin Moravec
92,Martin Stecker
97,Megan Asturias
b,r,e,a,k
Pegasus,14
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
0,Emily Houlihan
00,Hannah Parman
00,Ian Buchanan
00,Jonathan Shuster
00,Jordan Listo
00,Kelsey Salvo
00,Alan Lin
00,Andrew Bunn
00,Bailey Bonaci
00,Colin Buchanan
00,Edward Layne
00,Natasha Parman
00,Pauline Baculi
00,Roy Fang
00,Samuel Stearns
00,Sophie Chen
00,Lorenzo Lalimarmo
00,Maria Carla Marigmen
03,Matthew Bricker-Mounts
10,Kent Wu
b,r,e,a,k
Rally,3
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/AmbiguouslyGrey,https://twitter.com/RallyUltimate
0,Brandon Cannell
0,Janie Mockrish
0,Katina Russell
0,Lauren Sitlinger
0,Leo Pierson
0,Meg Tucker
0,Tsuki Hoshijima
0,Xavier Maxstadt
1,Anna Wysen
1,Mason Gardner
3,Abigail Brook
6,Thomas Piper
6,Dane Warner
7,Peter MacArthur
18,Grayson Sanner
19,Noah Newberger
19,Scott Campbell
24,Kristen Brenner
29,Haley Sanner
38,Maggie Soto
54,Genevieve Leo
70,Brian O'Hara
73,Alexander Koch
b,r,e,a,k
Lochsa,6
teamInfo,,"Boise, Idaho",,https://www.facebook.com/Lochsa-Ultimate-2267054443521399/,@LochsaUltimate
1,James Dahl
2,Justin Solace
3,Amy Norris
5,Trenton Pearsall
6,Oliver Atkinson
8,Levi Archuleta
11,Brittany Ward
12,Suzie Walter
13,Ben Whitehead
14,Camron Newton
17,Ian Dipace
21,Kelsey Breen
22,Ryan Van Hook
24,Sarah Staller
26,Andrea Kuenzli
28,Daniel White
29,Jack Kingsley
30,Vespera Aragon
33,Ben Nalezny
34,Reid Spain-Strombom
36,Kevin Farrell
38,Cori Bigham
50,Ryan Hahn
58,Shannon Montaño
77,Amanda Porter
88,Rebecca Hamilton
b,r,e,a,k
Cosa Nostra,10
teamInfo,,"Austin, Texas",http://upla.austinultimate.org/club-tct,https://www.facebook.com/cosanostraultimate,https://twitter.com/CosaNostraFris
0,Willy Goal
1,Matthew Johnson
2,Jessica Kishi
3,Richard Hornbuckle
4,Sean Brady
5,Ellen Register
9,Patrick Laramee
10,Cameron Albin
11,Shiru Liu
12,James Zuraw
13,Nash Mock
15,Jessica Hartzer
16,Olivia Angel
17,Kathryn Herbers
18,Julia Johnson
22,Sydney Overman
23,Stephen Mckinney
26,LAURA VARGAS
27,Keith Register
29,Meghan Rutledge
32,Zain Asher
42,Dave Gallander
46,Jacob Thomas
50,Ryan Walker
82,Robert McDonald
93,Kyle Teske
b,r,e,a,k
Thoroughbred,15
teamInfo,,"Saint Louis, Missouri",http://tbultimate.weebly.com/,https://www.facebook.com/tbultimate/,https://twitter.com/tb_ultimate
0,John Henroid
01,Brandon Parr
02,Bryan Esmond
04,Hannah Volpert-Esmond
06,Kathleen Horton
07,Michael Faaborg
09,Stephenie Wang
10,Tim Schwisow
12,Kyle Bowie
13,Max Morgan
16,Rachel Dreher
18,Aaron Swaney
19,Cameron Sisler
22,Hannah Aaron
23,Alexander Sextro
26,Grant Eschmann
28,Chase Johnson
29,Mason Zetsch
33,Elizabeth Honigfort
36,Nathan Pyles
37,Mary Hermann
70,Matt Francis
b,r,e,a,k
UNION,5
teamInfo,,"Toronto, Ontario CA",http://union.playwithspirit.com/,https://www.facebook.com/pages/Union-Ultimate/190712307636599,@unionultimate
2,Daniel Balzerson
7,Jacqueline Man
8,Madeleine Channen
10,Danielle Leung
11,Eric Blanchard
13,Cameron Dunning
15,Lindsay Earle
16,Sarah Granziol
17,Heather Neary
19,Parker Bollmann
22,Kieran Charnock
23,SKY POWELL
25,Jordan Atchison
34,Nathaniel Faries
40,Stephanie Malcher
42,Dwayne Neill
45,Emmalyne Azucena
64,Jeffrey McClelland
71,BRYAN YUE
73,David Kaufman
82,Rebecca Mesburis
89,Brendan Wood
94,Bryan Smith
96,David Tang
b,r,e,a,k
Classy,9
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Dhwani Shah
0,Mackenzie Bailey
3,Anna Liu
6,Claudia Vasquez
10,Andrew Koerner
11,Zachary Bruno
14,Nicolas Sayavedra
16,Charlie Hsu
17,Anna Iglitzin
18,Cappy Pitts
19,David Shipway
20,Melissa Hassler
21,Josh Mitts
24,Nicholas Davis
29,Frances Hamkins-Indik
42,Sam Poppe
55,Tyler Condit
58,KYLE NICHOLS-SCHMOLZE
75,Riley O'Neill
82,Joel Anton
99,Angela Xiong
b,r,e,a,k
Bozos,4
teamInfo,,"Bozeman, Montana",http://bozemanultimate.ultimatecentral.com/,https://www.facebook.com/pages/The-Bozos/158268574323919?ref=br_tf,https://twitter.com/bozemanbozos
0,Nicholas Patterson
02,Brian Mitchell
04,Dominic Guzzarde
08,Alexis Bressler
09,Matt Konen
10,Kyla Crisp
11,Lauren Allin
15,Samantha Treu
16,Shaela Wallen
20,Jack Lokowich
21,Josephine McMahon
22,Quinn Hanson
23,Elysia Crockett
24,Sean Anderson
25,Andrew Shanafelt
27,Justin Myhre
33,Genesea Meha
34,Heather Nold
35,Tymer Moses
40,Geoffrey Zath
43,Kean Mills
45,THOMAS BARRY
47,Juliana Williams
b,r,e,a,k
Sweet Action,16
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SweetActionUltimate,https://twitter.com/SweetActionUlti
0,Anna Lockwood
0,Caleigh Moore
0,Emma Boyd
0,Ian Whitman
0,Kelly Moses
0,Kelsey Brown
0,Patrick Ellsworth
0,Rachael Reddin
2,Dan  McCune
3,Andrew Bassett
6,Nathan Baker
7,Danielle Zigulich
8,Alicia Stillwell
14,Kyle Rogers
14,Matt Slowinski
15,Elena Arnosky
16,Sarah Sanders
17,Will Eckert
20,Matt Cornish
21,Bradley Cochi
24,Kevin Hamilton
26,Cecily Leahy
35,Sarah Nurmi
45,Nikki Roth
b,r,e,a,k
Birdfruit,1
teamInfo,,"Seattle, Washington",https://seattlebirdfruit.com,https://facebook.com/seattlebirdfruit,https://twitter.com/bird_fruit
1,Sam Landesberg
2,Luke Jesperson
3,Martha Russell
4,Corinne Pingul
5,Christian Brink
6,Laura Doepker
7,Nicole Bayard
8,Natalie Powell
10,Jeff Gayle
11,Laura Manson
13,Gabriel Ryan
14,Peter Geertz-Larson
15,Samuel Dinning
18,Ellen Kalenscher
21,Dylan Harrington
22,Lacy Clark
23,Kyle Ord
24,Andrew Lynch
31,Natalie Jamerson
33,Spencer Sheridan
40,Ky Lewis IV
41,Clay Dewey-Valentine
42,Laura Pape
44,Margo Heffron
47,Walker Bohannan
67,Kelley Hall
70,Tamara Hass
b,r,e,a,k
Mesteño,13
teamInfo,,"Denver, Colorado",,https://www.facebook.com/mestenoultimate,
0,Cruz Alvarez-Machado
0,Danielle Swales
0,Hannah Zax
0,Chelsea Tossing
0,Chris Van Thiel
0,Jack Girard
0,Jessica Rabin
0,Jose Maldonado
0,Kristen Dietrick
0,Moriah LaRocque
0,Nicholas Wetzel
0,Roeland Reyniers
0,Ryan Meinkoth
0,Scott Harper
0,Tessa Walter
2,Holly Lin
5,Stephen Lin
7,Chris O'Connell
9,Jamian Jacobs
15,Sarah Toth
22,Iris Ng
37,Ryan Hummel
97,Andrea Uhl
99,Scott Salvati
b,r,e,a,k
Tequila Mockingbird,12
teamInfo,,"Chicago, Illinois",,,https://twitter.com/tbirdultimate
coaches,Robert Gross
0,Cheyenne Lopez
0,Jimmy Robin
4,Aaron Del Real
5,Natalie Stephan
7,Jennifer Wu
8,Aaron Bryant
11,Sarah Jane Yockers
12,Jules Daugherty
12,Lauren Piontek
15,Gabby Skifstad
16,Jesse Handler
18,Emily Verticchio
21,Ben Foster
23,Jonathan Burrell
24,Eric Hallow
28,Channing Watson
33,Luke Ding
45,Brenton Hard
54,Jack Carmichael
86,Conrad Nguyen
99,Emma Howard
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool B
Polar Bears,Minnesota Star Power,13,10,"07/28/2018, 09:00",Pool B,Final
Bucket,Pegasus,13,8,"07/28/2018, 09:00",Pool B,Final
Polar Bears,Pegasus,13,6,"07/28/2018, 10:50",Pool B,Final
Bucket,Minnesota Star Power,13,5,"07/28/2018, 10:50",Pool B,Final
Polar Bears,Bucket,13,6,"07/28/2018, 12:40",Pool B,Final
Minnesota Star Power,Pegasus,11,10,"07/28/2018, 12:40",Pool B,Final
pool,Pool C
Rally,Cosa Nostra,10,8,"07/28/2018, 09:00",Pool C,Final
Lochsa,Thoroughbred,13,8,"07/28/2018, 09:00",Pool C,Final
Rally,Thoroughbred,11,8,"07/28/2018, 10:50",Pool C,Final
Lochsa,Cosa Nostra,13,1,"07/28/2018, 10:50",Pool C,Final
Rally,Lochsa,11,10,"07/28/2018, 12:40",Pool C,Final
Cosa Nostra,Thoroughbred,11,9,"07/28/2018, 12:40",Pool C,Final
pool,Pool D
Bozos,Classy,10,11,"07/28/2018, 09:00",Pool D,Final
UNION,Sweet Action,13,5,"07/28/2018, 09:00",Pool D,Final
Bozos,Sweet Action,12,9,"07/28/2018, 10:50",Pool D,Final
UNION,Classy,13,6,"07/28/2018, 10:50",Pool D,Final
Bozos,UNION,8,10,"07/28/2018, 12:40",Pool D,Final
Classy,Sweet Action,13,9,"07/28/2018, 12:40",Pool D,Final
pool,Pool A 
Tequila Mockingbird,Mesteño,5,10,"07/28/2018, 09:00",Pool A ,Final
Birdfruit,Mesteño,14,8,"07/28/2018, 10:50",Pool A ,Final
Birdfruit,Tequila Mockingbird,11,9,"07/28/2018, 12:40",Pool A ,Final
b,r,e,a,k
clusters,Saturday Crossover 
cluster,Saturday crossover
Lochsa,Tequila Mockingbird,13,4,"07/28/2018, 14:30",,Final
Mesteño,Cosa Nostra,13,7,"07/28/2018, 14:30",,Final
Classy,Minnesota Star Power,13,10,"07/28/2018, 14:30",,Final
Polar Bears,UNION,12,8,"07/28/2018, 14:30",,Final
Bucket,Bozos,11,9,"07/28/2018, 14:30",,Final
Rally,Birdfruit,9,8,"07/28/2018, 14:30",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Rally,Polar Bears,7,13,"07/29/2018, 13:00",1st Place,Final
Rally,UNION,13,7,"07/29/2018, 11:00",Semifinals,Final
Birdfruit,Polar Bears,11,13,"07/29/2018, 11:00",Semifinals,Final
Rally,Bucket,10,9,"07/29/2018, 09:00",Quarterfinals,Final
Mesteño,UNION,7,12,"07/29/2018, 09:00",Quarterfinals,Final
Birdfruit,Classy,12,6,"07/29/2018, 09:00",Quarterfinals,Final
Lochsa,Polar Bears,7,13,"07/29/2018, 09:00",Quarterfinals,Final
b,r,e,a,k
brackets,Placement Bracket
bracket,3rd Place
UNION,Birdfruit,10,11,"07/29/2018, 13:00",3rd Place,Final
bracket,5th Place Bracket
Bucket,Classy,8,13,"07/29/2018, 13:00",5th Place,Final
Bucket,Mesteño,12,7,"07/29/2018, 11:00",5th Place Semis,Final
