USA Ultimate National Championships,Club - Mixed ,18,10,2018
San Diego,CA,2018-10-18,2018-10-21
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2018/schedule/Mixed/Club-Mixed
Blackbird,8
teamInfo,,"San Francisco, California",,https://www.facebook.com/Blackbird-Ultimate-128109440599257,https://twitter.com/Blackbird_SF
00,Laura Moore
02,Corey Lee
04,Jacob Lohman
05,Danny Miesen
07,Rachel Holz
08,Donnya Ajdari
09,Adam Farren
10,Malina Wiebe
11,Barrs Lang
12,Trevor Harper
13,Sally Mimms
15,Max Udsen
16,Vincenzo Vitiello
17,John Kolb
19,Ryo Kawaoka
20,Bree Cahn
21,Stephen Sullivan
25,Julia Ting
30,Megan Schoellhamer
32,Vivian Chu
37,Molly Hallweaver
40,Mac Taylor
44,Kara Hammer
66,Raj Maitra
99,Alexandra Stambaugh
b,r,e,a,k
AMP,1
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,Patrick Sherlock
01,Robert Roos
02,Matt Zumbrum
04,Raha Mozaffari
05,Michael Panna
06,Kelsey Devlin
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
10,Spencer DeRoos
11,Ryan Flamberg
12,Malti McKinnon
13,Nico Lake
16,Richard Robinson
17,Stephen Ng
18,Emily Shields
19,Anna Thompson
20,Ben Pelleg
21,Linda Morse
23,Natalie Bova
24,Danielle Walsh
27,Yuge Xiao
29,Nick Spiva
33,Calvin Trisolini
36,Carolyn Normile
44,Max Charles
81,Sean Mott
99,Eric Nardelli
b,r,e,a,k
No Touching!,12
teamInfo,,"Twin Cities, Minnesota",,,https://twitter.com/notouchingult
coaches,Liam Shramko
02,Jolien Munsterhuis
03,Brenna Sund
04,Tony Michaelson
07,Brianna Andrighetti
09,Tyler McKean
13,Paul Norgaard
14,Benjamin Nelson
15,Elisabeth Biehl
16,Lindsay Trosvig
17,Kristina Golling
19,Alyson Gagner
20,Jimmy James McDonald
24,Justin Simanson
26,Joe Andrighetti
27,Michael Swain
29,Sam Pepe
32,Rachel Elbing
38,Arthi Padmanabhan
42,Sam Valesano
64,Michael Lin
78,Jeremy Keiser
83,Jeremiah Gagner
88,Patrick Jensen
96,Brian Edgerton
99,Anna Hagstrom
b,r,e,a,k
Toro,13
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ToroUltimate/,https://twitter.com/ToroUltimate
coaches,Alan Hoyle
0,Brielle LeClear
01,Kirkwood Alex Cloud
02,Margaret Quinn
05,Matthew Thomas
07,Lyra Olson
08,Heather Zimmerman
09,George Guthrie
10,Theran Riedel
11,Emma Peaslee
13,Kathryn Morrison
14,Tanner Barcus
15,Kerry Green
17,Dylan Shields
19,Tracy d'Arbeloff
21,Vikram Sethuraman
22,Lucas Darden
25,Michael Pannone
27,Toni Gomes
30,Gentry Maddox
31,Alex Kaja
32,Jake Coleman
34,Tristan Green
43,Matthew Wilson
47,Ian Lawson
66,Paul Weeks
88,Christine Bookhout
95,Jackie Wang
b,r,e,a,k
Drag'n Thrust,2
teamInfo,,"Minneapolis, Minnesota",http://www.dragnthrust.com,https://www.facebook.com/dragnthrust,https://twitter.com/dragNthrust
coaches,John Groess
00,Alicia Carr
02,Brett Sullivan
03,Patrick Niles
04,Erica Baken
05,Greta Regan
07,Blake Trantina
08,Claire Oakley
09,Emily Regan
10,Martha Lien
12,Marty Adams
13,Jacob Lien
14,Austin Lien
16,Brian Schoenrock
17,James Hron
18,Ellie Sjordal 
19,Tavis Leighton
20,Neal Hanke
21,Tyler Thomegreene
22,Kathryn Ritzmann
25,Eva Maxson
31,Josh Hemmesch
33,Jaime Glader
37,Sierra Barthen
43,Bryan Vohnoutka
44,Sarah Meckstroth
49,Caleb Denecour
55,Charlie Schuweiler
b,r,e,a,k
Polar Bears,11
teamInfo,,"Berkeley, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
coaches,Ziyue Chen
00,Aaron Hom
01,Alexander Max
02,Molly Munson
03,Ryan Takayama
05,Aaron Shi
06,Cheryl Hsu
09,Gregory Marliave
14,Kate Schlag
15,Nick Tolfa
16,Krista Takayama
17,Margot Stert
18,Nicholas Alexander
19,Christopher Cogswell
20,Sean Liston
21,Dulcy Docken
22,Andrew Ouyang
24,Joe Thompson
25,Daniel Naruo
28,Catherine Chen
29,Amanda Meroux
33,Ian Sweeney
34,Jesse Buchsbaum
36,Sara Nolan
42,Bob Madden
52,Samantha Applegate
82,An-Chi Tsou
88,Linh Hoang
b,r,e,a,k
shame.,7
teamInfo,,"Fort Collins, Colorado",,,
00,Kevin Herrera
02,Hugh Carey
03,Kelcie Glick
07,Emily Hanson
08,Bailey Russel
