Mid-Atlantic Men's Regional Championship,Club - Men ,22,9,2018
Frederica,DE,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Mid-Atlantic-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
Pittsburgh Temper,1
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,Andrew Willig
0,Andrew Kohl
01,Max Sheppard
02,Jonathan Mast
03,Patrick Earles
04,David Vatz
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
10,Max Thorne
11,Leo Warren
12,Justin Abel
14,Kenny Furdella
15,Dylan Best
17,Matthew Hanna
24,Alexander Thomas
27,Jasper Tom
29,Hafeez Shams
35,Dan Goldstein
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Jake Rovner
48,Jimmy Towle
49,Sam VanDusen
52,Aaron Collins
71,Tad Wissel
79,Michael Ing
81,Tyler DeGirolamo
b,r,e,a,k
John Doe,8
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/johndoeultimate,@RawJohnDoeUlti
00,Benjamin Price
02,Matt McGoogan
07,Alex Davis
08,Nathan Arnosti
09,Patrick Stegemoeller
10,John Faucher
11,Perry Fitz
12,David Stira
14,Ian McInerney
16,BURKE NASH
17,Daniel Zambrano 
19,Anthony Bernard-Sasges
24,Jacques Nissen
27,Steven Wartinbee
30,Miles Kelley
32,Alexander Paulos
33,Gabriel Fernandez
40,Phillip Bader
43,Joseph Pickens
77,Max Shevchenko
84,Jason Davidson
88,Kevin Healey
88,Perry Cao
89,Sean Phippen
99,Taylor Gilman
b,r,e,a,k
Rumspringa,10
teamInfo,,"Virginville, Pennsylvania",,,
0,Breton Dietrich
0,Brett Sawyer
0,Arthur Shull
0,David Hampson
0,Dustin Damiano
0,Greg Martin
0,Greg Esser
0,Greg Strouse
0,Jared Seyler
0,JOHN (JACK) KELLY
0,Kyle Wolf
0,Matt Esser
0,Zach Thurston
1,Rob Allan
1,Sam Alston
24,Sean Johnston
24,Colby Clarkson
48,Benjamin Broser
72,Michael Martin
74,David Kelly
97,David Zurbuchen
b,r,e,a,k
Watchdogs,15
teamInfo,,"Bethesda, Maryland",,https://www.facebook.com/pages/Watch-Dogs-Ultimate/250140035159441?fref=nf,
coaches,Andrew Nguyen
00,Aaron Bartlett
00,Bradley Tinney
00,Colby Agar
00,Gregory LeFever
00,Jack Carol
00,Mike Vignali
00,Nick Rinehart
00,Nick Bravos
00,Noah Celuch
00,Sam Klueter
00,Scott Bennett
00,Tommy Barber
00,Tyler Byrum
03,Jeremiah Leblanc
07,Andrew Nguyen
10,Dietrich Epp Schmidt
12,Kyle Flynn
14,Devin Holland
16,AJ Merriman
21,Justin Taylor
22,Couper Turkewitz
27,Joe Spaeth
31,Zachary Hall
32,Sasha Frank-Stempel
52,Walt Johnson
b,r,e,a,k
Truck Stop,2
teamInfo,,"Washington, District of Columbia",http://www.truckstopultimate.org,https://www.facebook.com/TruckStopUltimate/,https://twitter.com/truckstopulti
coaches,Darryl Stanley
00,Jarrod Banks
01,Max Cassell
02,Christian Boxley
03,Jackson Cochran
04,Delrico Johnson
05,David Cranston
10,Tyler Monroe
11,Joseph Richards
14,Lloyd Blake
15,Nathan Castine
17,Eric Miner
23,Alexandre Fall
24,Austin Bartenstein
25,Marcus Thaw
28,Matthew Rowan McDonnell
30,David Bloodgood
33,Ryan Swift
43,Nathan Prior
45,Jeff Wodatch
47,John Walden
52,Gus Norrbom
63,David Shields
70,Christopher Strub
87,Matt Kerrigan
90,Markham Shofner
91,Troy Holland
97,Bradley Scott
b,r,e,a,k
CITYWIDE Special,7
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
coaches,Daniel Wickens,Paul Minecci,Stephen  Panasci
0,Eric Witmer
00,Greg Mohler
00,Harry McNamara
00,Igor Smola
00,Jake Butrica
00,James Pollard
00,James (Jimmy) Clarke
00,John Protopapa-Henkel
00,Jordan Ciccarone
00,Joshua Norton
00,Luke Greenley
00,Nate Long
00,Nathaniel Donaher
00,Owen Mayer
00,Patrick Lindsey
00,Paul Savarskyy
00,Paul Owens
00,Roger Chu
00,Tim Kreutzfeldt
00,Allan Michel
00,Andrew Seibert
00,Brandon Lamberty
00,Colin McIntyre
00,Connor Boyle
00,Dylan Smith
00,Eddie Scott
16,Matthew Michelson
b,r,e,a,k
Slag Dump,9
teamInfo,,"Pittsburgh, Pennsylvania",,,https://twitter.com/pghslagdump
coaches,Scott Olinger
0,Vivek Devaraj
00,Zachary Risinger
00,Jesse Evans
00,Alex Spenceley
00,Alton Olson
00,BRIAN CALCUTT
00,Casey Mann
00,Henry Novara
00,Marquis Cofer
00,Matt Reynolds
00,Matt Walheim
00,Max Thompson
00,Michael Sodini
00,Nicholas Gigliotti
00,Niko Jarema
00,Noah Weintraub
00,Russell Ruffolo
00,Tim Wendlandt
00,Trent Greener
05,MARK  SCHWOEGL
11,Jake Davis
14,Kenneth McQuail
27,Jeremy Kanter
34,Liam Rosen
52,Ellis Baehr
69,Jesse Holloway
96,Kamal Raslan
b,r,e,a,k
Bomb Squad,16
teamInfo,,"Bel Air , Maryland",,,
0,Garrett Rigsby
0,JOE PIEGOLS
0,John Reynolds
0,Kevin Wilkinson
0,Malone Mislak
2,Charles Stokes
3,Jonathon Withrow
6,Luca Artista
8,James Grandfield
10,Nate Laws
14,Zachary Greaver
16,Phillip Bloxsom
20,Ryan Brown
23,Sean Smith
26,Adam Parrett
30,Tobin Bromberg
75,Tyler Houck
b,r,e,a,k
Patrol,3
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/phillypatrol/,https://twitter.com/phillypatrol
01,Nicholas LaRue
03,Paul Klimkowski
08,Nick Patel
09,Himalaya Mehta
10,Ethan Fortin
11,Alex Atkins
12,Kevin Tsui
13,Quinn Hunziker
16,Trevor Griesman
18,William Sickles
19,Thomas Allen
20,David Baer
21,Francisco Gomez
24,Ethan Peck
27,Jake Rainwater
38,TJ Stanton
44,Tom O'Connor
45,Nicholas DiGiorgio
48,Ryan Weaver
52,Connor Russell
55,Matt Paparone
61,Daniel Hartsoe
69,Peter Burt
76,Trevor Lynch
77,Ryan Brown
91,Vincent Reydams
96,Casey Vaughn
b,r,e,a,k
Oakgrove Boys,6
teamInfo,,"ARLINGTON, Virginia",modules/common/n/a,https://www.facebook.com/OakgroveBoys/,https://twitter.com/OakGroveBoyz
0,Brian Gay
0,Cam Barnhardt
0,CHASE RAINES
0,Colin Smith
0,Colum Bergeron
0,Griffin Lang
0,Ivailo Neov
0,James Friscia
0,JORDAN ALBRO
0,Joshua Alley
0,Kevin Riley
0,Kevin O'Malley
0,Kyle Fredericks
0,Max Rhodes
0,NATHAN SCHELBLE
0,Quinn Bergeron
0,SEAN FREDERICKS
0,SVET NEOV
2,Haroon Matties
3,Bjorn Johnson
9,ANDREW  HAWLEY
11,Anthony Clark
12,Sam Bean
21,Benjamin Green
21,Harper James
21,Rhys Bergeron
41,Thomas Owen
b,r,e,a,k
JAWN,12
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/JAWN_Ultimate
0,Andrew Park
0,Andrew Ngo
0,Ashley Panicker
0,Benjamin Cozzolino
0,Craig  Gerard
0,Gregory Fallon
0,Harvish Mehta
0,John Mikitsh
0,Mitchell Gaylord
0,Matthew Kirk
0,William Shutt
0,Zach Klee
0,Zack Eskin
2,Evan Maynard
3,Joshua Fieseher
7,Kevin Woodring
8,Evan Kashan
13,Brice Dunn
16,Patrick Kelly
18,Adam Novak
21,Paul Anouna
25,Edward Brakoniecki
32,Robert Walker
37,Ryan Coughlan
39,Michael Facinelli
89,Joshua Heacock
99,Jordan Clever
b,r,e,a,k
Adelphos,13
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/philadelphosult?lang=en
0,Adam Callaghan
0,Carter Hartmann
0,Donovan Hugel
0,Ian Smith
0,Jacob Arnold
0,Kyle Bradley
0,Matthew Brenfleck
0,Myles Cooper
0,Robert Catzen
0,Roberto Wingfield
6,Joel Prushan
9,Sam Gilden-Weiner
13,Summer Zheng
13,Bryan Walter
14,Harrison Schell
15,Casey Zhu
18,Cameron Rabinowitz
21,Dillon Garrett
22,Logan Yu
23,Ian Dietrich
29,Chris Vanni
33,Jeremy Fus
36,Boris Li
44,Parker Kerrigan
47,Nate Little
61,Timothy Predmore
86,Brett Wall
b,r,e,a,k
Medicine Men,4
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/MedMenUltimate/,https://twitter.com/MedMenUltimate
coaches,Alexander Crew
0,Aaron Langley
0,Adam Weiss
0,BRETT BOYLE
0,Cortland Broyles
0,Daniel Selwyn
0,Dennis Maclaine
0,Gabriel Webster
0,Jeremy Hess
0,Joseph DiPaula
0,Joseph Patterson
0,James Robb
0,Matthew Neeley
0,Raymond Mendoza
1,Jeffrey Brandle
2,Luke Pascale
5,Samuel Besse
5,Cody Smith
6,Frederick Perlman
8,Houston Parks
10,Peter Mancini
12,Christopher Bernard
16,Christopher Selwood
17,Michael Moses
29,Matthew Dennin
34,Isaiah Radcliffe
45,Rudra Menon
