Heavyweights 2018 ,Club - Men ,4,8,2018
Montgomery,IL,2018-08-04,2018-08-05
https://play.usaultimate.org/events/Heavyweights-2018-/schedule/Men/Club-Men/
Pittsburgh Temper,1
0,Andrew Kohl
01,Max Sheppard
02,Jonathan Mast
03,Patrick Earles
04,David Vatz
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
10,Max Thorne
11,Leo Warren
12,Justin Abel
14,Kenny Furdella
15,Dylan Best
17,Matthew Hanna
24,Alexander Thomas
27,Jasper Tom
35,Dan Goldstein
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Jake Rovner
48,Jimmy Towle
49,Sam VanDusen
52,Aaron Collins
71,Tad Wissel
79,Michael Ing
81,Tyler DeGirolamo
b,r,e,a,k
Black Market,4
0,Daniel O'Dell
0,Evan Haug
0,Joseph Conerty
0,Johnny Saniat
0,Louis Nagle
1,Daniel Vockeroth
3,Michael Armstrong
4,Gabriel Valencia
9,Nathan Kinsinger
13,Daniel Miller
15,Jeremy Burril
16,Kevin DeAngelis
21,Cal Tornabene
22,Brian Rathunde
23,Ryan Smith
30,Nathan Wells
31,Nicholas Golini
31,Daniel Miller
34,Christopher O'Hara
45,Chris Santiago
51,Max Hamilton
66,Jacob  Cuthbert
71,Dylan Power
73,Justin Reeverts
76,Girolamo S Kelly
79,Aiden Frank
85,Matthew Lemaitre
b,r,e,a,k
MKE,5
0,Benjy Keren
0,Blake Marlowe
0,Dan Margulis
0,Dan Magnant
0,Daniel Kress
0,Luke Marks
0,Max Palzewicz
0,Peter Kuenzle
0,Ryan Sutter
0,SAM OUIMET
0,Joseph Blankenheim
0,William Lynn
1,Sam Sincere
3,Jeffery  Schubert
8,Tate Halberg
9,Greg Maddox
9,Kyle Dreger
11,Will Casperson
16,Troy Roberts
17,Drew Chapman
19,Austin Johnson
19,Karl Fauerbach
33,Joe M Rogers
49,Tim Posl
69,Jacob Thomae
82,Andrew Czekalski
b,r,e,a,k
Haymaker,8
0,Damen Erf
0,Drew Levorsen
0,Jonathan Yeong
0,Max Trotter
0,Ryan Watson
0,Ryan Shea
0,Ian Blanke
0,Jacob Ward
0,Vedant Sachdeva
0,Willem Longendyke
7,Brian Murphy
10,Eric Swan
11,Christopher Asta
17,Griffin Snead
22,Brandon Deihl
24,Andrew Fischer
25,Aleck Zhao
35,Steven Cummings
42,James Sykora
49,Cameron Menezes
50,Adam Klopfenstein
