East New England Mixed Sectional Championship,Club - Mixed ,8,9,2018
Northampton,MA,2018-09-08,2018-09-09
https://play.usaultimate.org/events/East-New-England-Mixed-Sectional-Championship-2018/schedule/Mixed/Club-Mixed
Snake Country,1
teamInfo,,"Boston, Massachusetts",,,https://twitter.com/SnakeCountry
00,Jacob Taylor
01,Brian Garcia
03,Anna MacNaughton
04,Davis Whitehead
05,Kirsten Lundquist
07,Sophia Vargas
08,Peter Prial
09,Karoline Hart
11,Ryan Levins
12,Christopher Waite
13,Kimberly Levins
14,David Ferraro
15,Charlie Roberts
16,Erin Rea
17,Auralyn Mackenzie
21,Misha Herscu
22,Alexi Zalk
23,David Reshef
24,Jesse Wolf
25,Sarah Hemphill
26,Chelsea Leeder
33,Jake Herman
35,Piers MacNaughton
43,Jon Hirschberger
46,Daniel Glatt
64,Jamie Quella
89,Annie Fisher
b,r,e,a,k
WHUF*,7
teamInfo,,"Woods Hole, Massachusetts VA",https://sites.google.com/site/gethohoho/,,
0,Carrie Gill
0,Cat Costello
0,Daniel Proulx
0,David Goluskin
0,EMMA ALBERT-STONE
0,Evan Blumberg
0,Greg Wobst
0,Jeff Hartline
0,Jenna Murphy-Judelson
0,Jenna Palin
0,Jonathan Richards
0,June Park
0,Alexander (Sandy) Hartwiger
0,Michelle Wu
0,Nicholas Amendolare
0,Patrick Kane
0,Peter Strand
0,Randy Kramer
0,Ryan Johnson
0,Tara Sharp
11,Jacqueline Chipkin
13,Brian Sauro
24,Steven Wilkinson
27,Jason Angell
31,Michael Chen
37,Sam Harvey
47,Patrick McGrath
b,r,e,a,k
Dead Reckoning,16
teamInfo,,"Portland , Maine",,,@Dead_ultimate
0,Gretchen Fetscher
0,Marc Flore
0,Tristan StrackGrose
7,Jason Eisenhuth
11,James Ingalls
15,Kevin Ledue
16,Mark Hibben
16,Alexis Ovington
22,Kenny Volock
23,Zoe Oswald
25,Nicholas Houseman
28,Alexandria Clay
33,Charles Wesley
39,Bryan Pringle
51,Thomas Myers
65,Riley Harris
77,Michael Callahan
90,Michael Schrameyer
b,r,e,a,k
DTX,10
teamInfo,,"Boston, Massachusetts",,,
0,Aidan Travers
0,Alexa Carter
0,Anna Cullen
0,Anna Sciaruto
0,Jane Holcomb
0,Karen Reyes
0,Katherine Smith
0,Kelly Chen
0,Grace Berman
0,Molly Wieringa
0,Nolan Scheemaker
0,William Quan
1,Zach Wolfe
13,Liam Earley
13,Cynthia Ni
13,Ellen  Harsha 
17,Cameron Reaves
18,Jacob  Freedman
24,Paolo Gentili
26,Ariel Bloch
91,Christopher Haley
b,r,e,a,k
League of Shadows,2
teamInfo,,"Boston, Massachusetts",,,
0,Alison Hill
0,David Lyle
0,Jaquille Jones
0,Jason Shnipes
0,Matthew Rogers
0,PETER ROGERS
0,Rebecca Leong
0,Shi-Min Chin
0,Thomas Barry
1,Patricia Neckowicz
4,Daniel Rosengard
5,Qingyun Lu
7,Katherine England
12,Brent Lo
13,Leo Blooston
13,Alex (Wei Yuh) Chang
16,Henry Frost
17,Cici Wang
17,Lillian Huang
18,Daniel Harris
19,Karissa  Tabtieng
20,Nicole Wilkinson
21,Charles Marokhovsky
29,Tate Tabtieng
44,Tyler Chan
77,Matthew Fasano
99,Jordan Kaufman
b,r,e,a,k
Scarecrow,8
teamInfo,,"Manchester, New Hampshire",,https://www.facebook.com/ScarecrowUltimate/,
0,Dan Lapolla
01,Anthony Bevilacqua
02,Mark Phelps
03,Adelle Pitsas
04,Christine Spencer
08,Hilda Doan
09,Casey Matthews
10,Zack Sheehan
12,Christopher Linskey
14,William Huffer
16,Robert Hsu
17,Brandon Morrill
20,Rachel Stevens
24,Gabrielle Miele
27,Sean Murphy
28,Amy Melena
30,PAUL FRANKLIN
32,Kaitlin Purdy Murphy
33,Adam Kustwan
41,Frederick Sheehan
44,EMMA TITUS
48,Lauren Kraemer
60,George Abuhamad
67,Mary Nicole Palmer
69,Jack Facey
99,Kristi Schmeling
