Northeast College Mixed Regional Championship,College - Mixed ,3,11,2018
https://play.usaultimate.org/events/Northeast-College-Mixed-Regional-2018/schedule/mixed/College-Mixed/
Somerville,1
0,Samantha Saltzman
1,Henry Caron
4,Anthony Goss
6,Justinne Guarin
7,Oliver Newland
03,Margo Urheim
09,Jordan Bricknell
10,Nikhil Bhatia-Lin
11,Aaron Epstein
14,Amanda Giles
17,David Leibert
19,Emily Decker
19,Jac Carreiro
20,Julia Lober
22,John Westwig
22,Rosanna Vitiello
23,Claire Dunn
27,Charles Caron
33,Fernanda Brena
37,Conrad Walsh
73,Brian Barrows
77,Bryce Walsh
96,Caroline Passalacqua
97,Daniel Bronshvayg
b,r,e,a,k
Bowdoin,8
0,Conor Belfield
0,Conor McManamy
0,Emma  Kyzivat 
0,Emma Landes
0,Hannah Karlan
0,Madeleine King
0,Zoe Aarons
3,Jasper Gordon
10,Yuta Kobayashi
13,Tenzin Choezin
17,Sam Kingsbury
24,Noah Keates
30,Sam Swindell
b,r,e,a,k
Amherst College (Upper),9
0,David Brinkley
0,Erik March
0,Josephine Underwood
0,Julia Pike
0,Julian Brubaker
0,Kelley Baumann
0,Kyra Wortley
0,alexander chaffers
0,Camilo Toruno
0,Carly Drost
0,Lindsay  Yue 
0,Logan Deming
0,Martin Glusker
0,Rachel Cohen
0,Robbie Zielinski
0,Sophia Doerr
1,Larkin Reuter
5,Mackenzie Stein
21,Cole Steiger
29,Lucas Newman-Johnson
31,Allison Tennant
77,Lily Hunter
98,Aaron Yang
b,r,e,a,k
Colby,16
0,Addie Thompson
0,Alan Leggett
0,Alec Jacobson
0,Ella Walton
0,Lanie Kropp
0,Lauren Moriarty
0,Marjorie McDonough
0,Matthew Johnson
0,Sally Simpson
5,Ethan vanderWilden
13,Ben Retik
26,Bennett Allen
33,Joshua Keith-Hardy
92,Baillie Stein
b,r,e,a,k
Princeton University,17
0,Andrew Wang
0,Angela Mao
0,Christine An
0,Iris Rukshin
0,Lilly Quach
0,Patrick Chen
0,Sarah Zhou
0,Sean Gai
0,Thomas Colen
0,Yang Tu
4,Seho Young
11,Shamay Agaron
17,Rocco Amorosso
24,Jiwon You
27,Victor Zhou
37,Dylan Baroody
69,Christopher Chu
b,r,e,a,k
Dartmouth College,2
69,Abby Ritterband
69,Alec Miller
69,Barrett Noone
69,Callum Hening
69,Connor Coale
69,Dakota Thompson
69,Erica Ng
69,Garrett Johnston
69,Grace Alston
69,Hannah Marr
69,Kevin Mercado
69,Magdalene Pizzo
69,Spencer Heim
69,Thanh Nguyen Jr
b,r,e,a,k
Northeastern University,10
0,John Vaughn
0,Jorden Van Emmerik
0,Katharine Gilbert
0,Gabriella Fernando-McKinley
0,Mark Kharakh
0,Sofia Horan
0,Sophia Keins
0,Tamara Kahhale
0,Tamia Randolph
26,Ariel Bloch
31,Zach Lowen
45,Matthew Cook
49,Lamia Farah
59,George Abuhamad
b,r,e,a,k
Middlebury (Upper),7
0,Aidan Wertz
0,Allegra Molkenthin
0,Alyssa Brown
0,Corbin Dameron
0,Divya Gudur
0,Jenny Pushner
0,Kevin Strenski
0,Laura Friedrich
1,Warren Lundsgaard
4,Sidra Pierson
11,Lily Barter
14,Olivia Pruett
14,Kai DeLorenzo
69,Dylan Salzman
69,Asher Lantz
69,Alex Forde
69,Rebecca Wishnie
69,Sadie Housberg
69,Adin Insoft
69,Olivia Ryder
b,r,e,a,k
MIT,15
0,Andrew Churchill
0,Arjun Khandelwal
0,Kuo-An Wei
0,Richard Yip
4,Samantha D'Alonzo
05,Eshaan Nichani
07,Kelly Chen
10,Michelle Chen
12,Claire Duvallet
16,Madelyn Focaracci
18,Helen Li
24,Paolo Gentili
27,Saroja Erabelli
28,Carlos Trevino
36,Amy Liu
b,r,e,a,k
Brown University,18
0,Leah Shorb
0,Luke West
0,Marlis Flinn
0,Morgann Thain
0,Nathaniel Weir
0,Sam Frolichstein-Appel
0,Saoirse MaherGreene
0,Suji Kim
0,Talon Johnson
0,Annie Ge
0,Ben Weissmann
0,Caroline Maker
0,Daniel Cody
0,Jackson de Campos
0,Jesse Remeis
6,Abigail Skerker
