Southeast Men's Regional Championship,Club - Men ,22,9,2018
Bradenton,FL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Southeast-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
Ring of Fire,1
0,Allan Laviolette
0,Jacob Mouw
0,Jonathan Helton
0,Mischa Freystaetter
1,Justin Allen
3,Josh Mullen
4,Dillon Lanier
7,Jonathan Nethercutt
8,Terrence Mitchell
9,JD Hastings
10,Henry Fisher
12,Joey Cretella
12,Liam Searles-Bohs
13,Shane Sisco
15,Eric Taylor
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
24,Noah Saul
28,Jack Williams
30,Andrew McKelvey
31,Bob Liu
45,Brett Matzuka
45,Elijah Long
51,Tim McAllister
84,David Richardson
99,Joshua Hartzog
b,r,e,a,k
Ironmen,10
0,Crayton Patterson
0,Immanuel drew
0,Jacob Lipford
0,Landon Sagle
0,West Dickens
1,Cameron Elmore
2,Kaleb Frames
3,John Verhayden
5,Payton Garlington
8,Jordan Chambliss
9,James  Poe
10,Scott Stone
11,Nathan Burch
15,Matt Green
16,Max Goldsmith
17,Jason Russell
21,Sean Williamson
21,Zach Griffin
23,Joshua Thomas
23,Alexander Hill
24,Fletcher Hare
24,Travis Midkiff
81,Amit Tzivion
b,r,e,a,k
Bullet,8
0,Alex Edinger
0,Collin Cassidy
0,Conner Stoll
0,Justin Hill
0,Micah Jo
0,Patrick Trent
0,Norman Cherry
0,Sam Diffin
0,Samuel Trent
0,Scott Main
0,Travis Kellogg
0,Travis Terrell
0,Victor Pria
1,Jay Burnett
9,Foster Boales
13,Ryan Murphy
14,Charles Loudermilk
25,Robert Hunt
28,Mack Hodges
42,Jon Fey
48,Andrew Fortier
50,Ross Barnes
50,William Johnson
55,Stephen Mock
b,r,e,a,k
Rush Hour,15
0,Arthur Shim
0,Ashwin Anantharaman
0,Blaine Brown
0,Cardinal Clarke
0,Krishan Chib
0,Matthew Dozer
3,John Boezi
3,Andrew Benton
5,Thomas Rink
7,Zaki Durry
11,Jackson McHugh
12,Andrew Chung
13,David Egbert
15,Joshua Feng
17,Jonathan Spencer
18,Zachary Hollis
20,Dacree Harden
22,Nicholas Button
27,Lucas Maurer
28,Joseph Fisher
44,Michael Tillotson
44,WILLIAM GRESCH
72,Rylan Gordon
77,Daniel Gempesaw
82,Michael Price
92,Geoffrey 'Bo' Price
99,Gabriel Bidot
b,r,e,a,k
Chain Lightning,2
00,Daniel Sperling
00,Karl Ekwurtzel
01,William Lindquist
02,Austin Taylor
03,Matthew Knowles
04,Player Pierce
05,Michael Fairley
06,Tyler Kunsa
07,Parker Bray
08,Christian Olsen
09,Timothy Stapleton
10,Danny On
11,Christopher Calhoun
12,Matthew Smith
13,Josh Turner
16,Anders Olsen
19,Stanley Birdsong
20,Joshua Bush
21,Jacques Perivier
22,Sean Sears
23,Sun Choi
25,Tyler French
27,Paul Lally
29,Mason Cary
81,Joseph Burns
82,Sam Batson
87,Trenton Spinks
b,r,e,a,k
Lost Boys,7
00,Brett Egger
02,Andrew Perham
03,Adam Bailey
04,Joshua Wilson
07,William Carmichael
08,Matthew Hogue
09,Thomas Loar
10,WOODY PASCHAL
11,Joel Wooten
12,Connor Kinzie
13,Jacob Luksik
14,Marshall Walker
16,Clarence Frady
17,Christopher Church
19,Kenneth Peters
20,Chuck Turner
21,Stephen Trello
23,John Bonas
24,Robert Huffman
26,Christian Gaeta
33,Devon Rogers
43,Robert Locke
45,Lukas McClamrock
77,Bryan Kohut
86,Devin Waldrop
97,Brian Kibler
98,Lucas Tarnowski
b,r,e,a,k
Tanasi,9
0,Alan Huels
0,Brian Newsom
0,Clay Thomas
0,James Smith
0,Jared Trevor
0,John Lithio
0,Nicholas Stewart
0,Roger King
0,Ryder Pierce
2,Brendn Swam
5,Neil Place
12,Bryan Sansbury
14,William White
