Nor Cal Mixed Sectional Championship,Club - Mixed ,8,9,2018
Sacramento,CA,2018-09-08,2018-09-09
https://play.usaultimate.org/events/Nor-Cal-Mixed-Sectional-Championship-2018/schedule/Mixed/Club-Mixed
Polar Bears,1
01,Alexander Max
02,Molly Munson
03,Ryan Takayama
05,Aaron Shi
06,Cheryl Hsu
09,Gregory Marliave
14,Kate Schlag
15,Nick Tolfa
16,Krista Takayama
17,Margot Stert
18,Nicholas Alexander
19,Christopher Cogswell
20,Sean Liston
21,Dulcy Docken
22,Andrew Ouyang
24,Joe Thompson
25,Daniel Naruo
27,Aaron Hom
28,Catherine Chen
29,Amanda Meroux
33,Ian Sweeney
34,Jesse Buchsbaum
36,Sara Nolan
42,Bob Madden
52,Samantha Applegate
82,An-Chi Tsou
88,Linh Hoang
b,r,e,a,k
American Barbecue,9
0,Alex Pien
0,Alex Grande
0,Alison Main
0,Christy Cheung
0,Cullen Coyne
0,Elise Bruguera
0,Gabriel Miranda
0,Isabel Clayter
0,Kayla Nowlin
0,Mathilda Farrell
0,Molica Anderson
0,Nicholas Weiss
0,Noel Arsenault
0,Paul Sohn
0,Peter van de Burgt
0,Philip Chang
0,Rebecca Evans
0,ROBERT MERK
0,Teresa Feng
0,THOMAS LASSETTER
10,Jee Witt
12,Benjamin Scharfstein
16,Jason Seidler
17,Alison Mathews
34,Elizabeth Sohn
46,Owen Bell
99,Maxwell Friedmann
b,r,e,a,k
Firefly,8
0,Dan Dzoan
0,Danielle Kleidon
0,Andrew Galiger
0,Erica Messner
0,Jake Rifkin
0,Jamie Lam
0,Jon Schlosberg
0,Kaitlin Marin
0,KATIE ZWEBER
0,Abigail Karp
0,Arianna Aldebot
0,Charles Stratton
0,COLIN HOY
0,Mats Hanson
0,Paul Kantlehner
0,Peter Zellman
0,Sarah Tenpas
2,Manzanita Griffin
4,Austin Benavides
5,Suk lyn Lim
7,Zachary Purdy
11,Timothy Reilly
14,Dan  Greeley
16,Sean Hyslop
17,Noelle Nelson
17,Chris Godek
44,Shane Tracy
b,r,e,a,k
Absolute Zero,16
0,Derek Innes
0,Emeric Bisbee
0,Jeffrey Stein
0,Jonathan Davis
0,Joseph Gagliano
0,Joshua Fankhauser
0,Krystal Caldwell
0,Matthew Ferrari
0,Tara Fussell
1,Gina Contolini
1,James Yang
4,Tyler Gates
5,Caleb Tseng
6,Annie Chen
6,Bryan Dang
07,Angela Louh
12,Jade Bedley
14,Daniel Krass
24,Christopher Hocutt
25,Kelly Bruce
28,Allan Jong
30,Rachel Roberts
42,Steve Mahoney
69,Taylor Martin
72,Wiharjobudi Sosrodjojo
91,J Ishida
98,Emily Loo
b,r,e,a,k
AC Bandits,17
0,Aline Halliday
0,Angela Dong
0,Christopher Akers
0,Colin Tardrew
0,DANIELLE LANDREIN
0,Joseph Norat
0,Kara Ramos
0,Laura Milanez
0,Laurel Estes
0,Melissa Glass
0,Peter Nachbaur
0,Emma Goldfinch
0,Jacob Steinhardt
0,Saadia Massarano
0,Sylvia Lewin
0,Walter Wu
7,Samuel Miles
8,Reilly Brock
9,Tiffany Bucher
22,Christine Nguyen
30,Aaron Gemmell
32,Dennis Clement
83,John Moore
84,Alison Haddad
b,r,e,a,k
Blackbird,2
0,Laura Moore
02,Corey Lee
04,Jacob Lohman
05,Danny Miesen
07,Rachel Holz
08,Donnya Ajdari
09,Adam Farren
10,Malina Wiebe
11,Barrs Lang
12,Trevor Harper
13,Sally Mimms
15,Max Udsen
16,Vincenzo Vitiello
17,John Kolb
19,Ryo Kawaoka
20,Bree Cahn
21,Stephen Sullivan
25,Julia Ting
30,Megan Schoellhamer
32,Vivian Chu
37,Molly Hallweaver
40,Mac Taylor
44,Kara Hammer
66,Raj Maitra
99,Alexandra Stambaugh
b,r,e,a,k
Cutthroat,7
0,Becca Reighard
0,Monica Davis
0,Rebecca Mills
0,Willow Jonson
1,Daniel Ortiz
2,R. Miguel Gonzales
2,Tessa Behnke
3,Logan Greenwood
4,Pete Marshall
5,Gabriel Somoza
7,Warren Kinson
9,Thomas Fiock
13,Brent Moore
14,Robert Eardley
17,Eric  Nielsen
18,Andrew Raynor
21,Kathleen Mills
27,Morgan Greenwood
34,Monica Arienzo
35,Raymond Lopez
36,Jenna Weiner
44,Giovanni Danforth
71,Ryan Polka
84,Christopher Liu
94,Ryan Schoenfeld
b,r,e,a,k
Buckwild,15
0,Alex McCurdy
0,Danielle Murray
0,Logan Hanagan
0,Zach Weiss
3,Michael Corley
6,Nick Shepard
9,Nina Vollmer
9,Jonathan Martindill
10,Raymond Hutten-Czapski
10,Valorie Smart
11,Nathan Kumashiro
15,Hannah Willett
16,Savannah Avila
19,Annie Mills
20,Eli Stoever
21,Brendan Reed
22,Adam Fischlin
23,Katrina Rowsey
27,STEPH JAMIS
28,Megan Richter
29,Zack Thompson
33,Jeffro Valeros
64,Eric Koo
88,Annie Holt
89,James Hill
b,r,e,a,k
Donuts,10
0,Christina Casler
0,Claudia Arquero
0,Danielle Gendron
0,Davin Lyons
0,Eric Richardson
0,Erik Urban
0,Jeffrey Voss
0,Jodi McCloskey
0,Jackson Valler
0,KENDRA CONRAD
0,Lindsay Hedgecock
0,Margaret Rosano
0,Megan Nguyen
0,Nikki Chang
0,Thomas Murray
0,Visakha Hoang
2,Scott Miller
4,Juan Ocampo
4,Gianna Tesler
8,Adam Koren
13,MICHAEL LOPEZ
28,Judith Wang
37,Daniel Zakaria
55,Kwai Philpott
77,Alec Surmani
86,Jannon Frank
88,Bill Liu
b,r,e,a,k
Sebastopol Orchard,18
0,Benjamin Levinsky
0,Brianna Bright
0,Claire Toth
0,Hannah Newcombe
0,Jacqueline Bonner
0,Jae Yu
0,Karissa Dedmon
0,Kathryn Stilwell
0,Keaton Bates
0,Keiko Montenegro
0,Nicholas Jensen
0,Noah Bernhardt
0,Stefani Ewell
0,Stephane Carlisle
0,Sydney Horanic
0,Zachary Ormsby
1,Matthew Gibbons
4,Josh Fontes
5,Noah Abrams
7,Sydney Stelzer
10,Jonathan  Nozzari
10,Bianca Champenois
13,Chadwick Fisher
32,Kieran Bates
97,Omar Cornejo-Esquivel
b,r,e,a,k
Delta Breeze,23
0,Adam Schobinger
0,Andrea Shih
0,Camryn Sellers
0,Erika Sanchez-Chopitea
0,Jacob Gernert
0,Lauren Graves
0,Neil Pallaver
0,Rebecca Schomer
0,Rebecca Zangaro
7,Kief Zangaro
01,Anthony Harb
03,Nicole Basham
05,Royden Gillespie
07,Andrew May
08,Aaron Fleisch
10,David Romens
12,Laurel Dodgen
15,Dara Male
21,Anthony Chow
23,DON ARMSTRONG
27,Keaton Johnson
32,Ashish Shenoy
36,Alex Mandel
88,Amal Gebara-Lamb
89,Alexander Sood
b,r,e,a,k
Mischief,3
02,Corinne Hanson
03,Preeti Nalavade
04,Michael Dirda
06,James Hansell
07,Devon Williams
08,Julia Butterfield
10,Elliott Chartock
11,Cody Kirkland
12,Candice Tse
13,Robin Meyers
14,Youngsoo (Ellen) Rim
15,Nathan Young
17,Julia Kwasnick
18,Caitlin Rugg
19,Sean Childers
20,Jenny Wang
22,Eric Rivera
23,Jordan Jeffery
25,Audrey Wei
29,VY Chow
30,Han Chen
33,Scott Gatto
47,Gina Schumacher
72,Devin Drewry
77,Emily Prader
80,Kevin Smith
99,Max de Visser
b,r,e,a,k
Alchemy,6
0,Alexis Whitaker
0,Caroline Buhse
0,Charlie Capron
0,Deanna Abrams
0,Easton Archibald
0,Emily Kampa
0,James (Jim)  Boley
0,Kohji Sugioka
0,Rachel Kalnbach
0,Rebecca Plotnick
0,Samuel Trachtman
0,Matthew Kissmann
0,Nadine Levin
0,Thomas Kilmer
2,Crystal Alton
5,Elliot Goodrich
6,Kristina Geddert
9,Eric Shaw
11,Claire Leichter
12,Simon Margolis
13,Brett Naul
16,Thomas Konogeris
32,Joshuah Kapilivsky
33,Cathleen Hartge
44,Alexander Lloyd-Evans
80,Nick Petru
99,Amanda Karakoudas
b,r,e,a,k
Platypi,11
0,Stephen Nacis
1,Elizabeth Buhler
2,BRIAN BEEMAN
3,Payton Laurie
4,Tyler Grenier
5,Helena Hoover
6,Eros  Escalona-White
7,Derek Miller
8,Michael Beeman
9,Marié Weverka
10,Russell Helms
13,Henry Whitney
14,Nicholas Dahms
15,Genevieve Millin
21,Andrew Matheson
23,Alyssa Rodriguez
24,Devin Mitchell
27,Loren Bloom
31,Amanda Costa
32,Allison Mueting
37,Matt Logoteta
41,Madison Grenier
49,Kyle Harper
69,PATRICK ELSTEAD
b,r,e,a,k
Lawn Patrol,14
00,Bryan Ng
00,Christine Gould
00,Christopher Doyle
00,Damian Park
00,Dana Chang
00,DORIS LIN
00,Hugh King
00,Jake Chang
00,Justin Hinman
00,KAREN NG
00,KATE KARDOSH
00,KELLY LAVINE
00,Kimmey Hardesty
00,KIRK WILLMARTH
00,Laura Franco
00,Matthew Heffernan
00,MICHELLE CHIANG
00,Mike Weil
00,Nate Paymer
00,Quinn Kennett
00,Sarinah Samsudin
00,Shirley Wu
00,Silja Paymer
00,Steven Guagliardo
00,Veronica Cruz
00,Weiyang Sun
00,Wil Turner
b,r,e,a,k
DR,19
0,Anna Luberoff
0,Cong (Carl) Ma
0,Erica Pool
0,Jacob Maynard
0,Jacob Buckley
0,Nic Domek
1,Matthew Zelin
2,Katelyn Barrett
2,Marianne Olson
3,Andrew Racle
5,Amy Chou
8,Joseph Gorelik
9,Jorge Duarte
12,Kim Laflin
16,Danielle Ngo
24,David Whiteneck
24,Joey Durkin
25,Jennifer Ames
28,Victoria Kaasa
28,Phillip Hailey
80,Scott Beamer
b,r,e,a,k
VU,22
9,Nick Molzahn
02,Ginger Wong
02,Rafael Castro
03,Sam Gerber
05,Stefan Kirk
06,Alexander Shearer
08,Aseem Kishore
10,Maria Dumanis
11,Karin  Lin
14,Meryl Charleston
15,Juliana Gensheimer
16,Vishal Yadav
17,Matthew Burkert
18,Frederick Lough
19,Jennifer Wei
20,Satoru Ishii
22,Tristan You
23,Carrie Curtin
33,Eric Lauterbach
49,Tiffany Nguyen
55,Kelly Billings
64,Charles Boyd
69,HANNAH DILLARD
84,Quan Nguyen
88,James Gallerani Jr
b,r,e,a,k
Classy,4
0,Dhwani Shah
03,Anna Liu
04,Matthew Rubashkin
06,Claudia Vasquez
07,Michael Denevan
09,"Dana ""Zuul"" Nelson"
10,Andrew Koerner
11,Zachary Bruno
