Great Lakes Men's Regional Championship,Club - Men ,22,9,2018
Aurora,IL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Great-Lakes-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
HIGH FIVE,1
0,Jordan O'Neill
02,David Valentine-Elam
03,Alexander Russomanno
04,Eric Schumacher
05,Austin Engel
08,Dan Donovan
09,Steven Moliterno
10,David Bentrovato
11,Jordan Rhyne
16,Kevin Coulter
16,Raymond Lu
17,Keegan North
18,Ethan Yourd
19,Paul Arters
20,Sam Greenwood
22,Michael Dagher-Margosian
23,Alex Kapiamba
24,Wesley Chen
30,Parker Howard
38,Joe Mozloom Jr
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
76,Cole Osborn
77,James Highsmith
91,Joe White
98,Zachary Braun
b,r,e,a,k
CLE Smokestack,8
0,Andrew Thompson
0,Anthony Davis
0,Ben Reiser
0,Brett Potts
0,David Picone
0,Griffin Binkley
0,JACOB HOOKS
0,John Marotta
0,Erik Lindberg
0,Jonathon Grgat
0,Jordan Liff
0,Nicholas Mathison
0,Nick Longo
3,Joseph Marmerstein
3,Daniel Young
4,Zach Byrnes
5,Amir Kaghazwala
10,Eric Zarobila
22,Jordan Queckboerner
27,Felipe Delgado
34,Daniel Lynch
35,Joshua Swanson
50,Jon DeAmicis
55,Adnan Raslan
99,Robert Strohmeyer
b,r,e,a,k
Greater Gary Goblins Y,10
0,Colin MacGregor
0,Collin Klenke
0,Connor Buckley
0,Andrew Patel
0,Jeffrey Holm
0,Judah Newman
0,Keith Bohrer
0,Kevin Yngve
0,Max Moore
0,Milan Rivas
0,Steven Campillo
0,Will Clay
4,Theodore Bisdikian
5,Benjamin Israel
20,Jay Valdillez
35,Andrew Goldstein
63,Jason  Vallee
63,Zubair Abdulla
69,Nick Loughran
b,r,e,a,k
MomINtuM,15
0,Brandon Groff
0,Tyler Light
1,Andrew Warren
2,Tyler Stapleton
3,Alex Hester
5,Bobby Leroy
6,Jacob Mock
7,Lowell Knight
9,Kyle Hanley
10,Nathan Bussberg
11,Jaden Jarrett
13,Andrew Fenstermacher
14,J.J. Yarbrough
18,AJ  Humbert
19,Daniel Blanc
22,Sam Ellison
30,Jon Swartling
31,Matthew VanDokkenburg
32,Justin Bowling
44,Nick Phillips
45,Jacob Long
49,Derek Berggren
75,Theodore Miller
76,Alexander Hutton
85,Sedrik Sweet
92,Anthony Grigoletti
b,r,e,a,k
Chicago Machine,2
0,Jesse White
05,Bradley Bolliger
07,Kurt Gibson
08,Stephan Mance
10,Von Alanguilan
11,Nathan Goff
12,Kyle Rutledge
13,Alex Evangelides
14,Jeffrey Weis
15,Andrew Sheehan
16,Yiding Hou
17,Jack Shanahan
18,Cullen Geppert
19,Jack Shey
22,Alex Champe
24,Michael Pardo
25,Ross Barker
26,Kevin Kelly
28,Joseph Cari
31,Walden Nelson
32,Sam Kanner
36,Timothy Fergus
37,Travis Carpenter
51,Andrew (AJ) Nelson
55,Pawel Janas
64,Neal Phelps
b,r,e,a,k
Mango Tree,7
1,Joseph Cubitt
00,Michael Burke
00,Noah Gillespie
00,Reuben Glasser
00,Ryan Fattal
00,Ryan Schechtman
00,Theo Shapinsky
00,Victor Arena
00,Aaron Parsons
00,Adam Assink
00,Adam Stautberg
00,Alexander Gaggino
00,Andrew Foldesi
00,Andy Yu
00,Daniel Lee
00,David Yu
00,Ian Crowley
00,Jake Steslicki
00,Jake Kovalic
00,Jared Schwallie
00,Jeffrey Gao
59,Nicholas Gerber
87,Pavel Mazza
b,r,e,a,k
BroCats,9
0,Adam Cellar
0,Andrew Ball
0,Cody Petitt
0,Colin Heslet
0,Brandon Thompson
0,Christopher Wohl
0,Kevin Hanzel
0,KYLE HONE
0,Lloyd Furuta
0,Logan Kruger
0,Michael Kromer
0,Mike Bruce
0,Nic Gill
0,Nigel Daniels
0,William Kent Butler
0,Zach Cartwright
2,Alex Flamm
7,Todd Grace
11,Christopher Misleh
12,Mitch Cihon
21,Jack Matonis
21,Connor Haley
46,Isaac Jeffries
76,Jordan Kinde
88,Robert Olson
92,Wally Gaida
99,Andrew Grogan
b,r,e,a,k
Greater Gary Goblins X,16
0,Alex Drlica-Wagner
0,Andrew Kindseth
0,Benjamin Girard
0,Dylan Petiprin
0,Isaac Harris
0,Neil Makhija
0,Peter Becht
0,Shravan Ravishankar
0,Timothy Powers
4,Anthony Colucci
5,Eric Bens
13,Jeremy Piech
19,Sebastian Miner
32,Kenneth Xuan
57,Bif Reiser
73,Benjamin Laning
96,George Irving
b,r,e,a,k
Brickyard,3
0,Alex Henderson
0,Jason Yoder
0,Stephen Schott
0,Stephen Conner Henderson
0,Zach Maynard
1,Trevor Cook
2,Nickolas Hutton
3,Cameron Brock
7,Levi Jacobs
8,Kip Curtis
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
16,Max Bradshaw
17,Gabriel Wray
18,Aaron Weaver
18,Joe Dweck
19,SPENCER LOSCAR
22,Kyle Cox
23,Clark Barco
23,Zach Zebarth
28,Samuel Sohn
44,Donovan Triplett
45,Trey Dynes
85,John Jones
87,Rick Gross
b,r,e,a,k
Haymaker,6
0,Caden Canavan
0,Damen Erf
0,Drew Levorsen
0,Jonathan Yeong
0,Max Trotter
0,Nate Boddy
0,Ryan Watson
0,Ryan Shea
0,Simon Dastrup
0,Vedant Sachdeva
0,Ian Blanke
0,Jacob Ward
0,Willem Longendyke
7,Brian Murphy
10,Eric Swan
11,Christopher Asta
17,Griffin Snead
22,Brandon Deihl
24,Andrew Fischer
40,Anthony Davis
42,James Sykora
49,Cameron Menezes
50,Adam Klopfenstein
54,Alex Stumphauzer
71,Wesley Green
77,Robert Dreier
b,r,e,a,k
BlackER Market,13
0,Josh Deeman
0,Juan Amador
0,Matthew Mayorga
0,Michael Newman
0,Nigel Smucker
0,Sean Hill
0,Zachary Boehm
2,Joe Sidrys
3,Nathan Wells
4,Colin McMahon
15,John McElmeel
16,Moses Oh
34,Christopher O'Hara
35,Ryan Kern
38,John Kulikowski
41,Brent Studenroth
45,Jeff Robinson
47,Daniel O'Dell
51,Max Hamilton
53,Joe Berry
55,Frank Dore
73,Justin Reeverts
78,Harrison Krebs
80,Peter Bennett
83,Drake Slater
93,Manan Kothari
b,r,e,a,k
Black Lung,12
0,Brandon Guyton
0,Mark Kraus
0,James Moore
0,Jay White
0,Jesse McInturf
0,Jordan Phillips
0,Joseph Neuzel
0,Kendrick Yuen
0,Kyle Cornell
0,Tadhg Young
1,Adam Houk
3,Jake Carrico
4,Michael Rudy
5,David High
5,Jeremy Staab
6,Evan Caldwell
8,Nathan Meade
9,Preston Goulson
11,Christopher Empie
13,Jared Gibson
14,Matt Henry
22,Andrew Shields
27,Wyatt Driskell
44,Jake Hughes
93,Richard Murt
94,Tyler Karnes
94,Austin Obenauf
b,r,e,a,k
Black Market,4
0,Evan Haug
0,Joseph Conerty
0,Johnny Saniat
0,Louis Nagle
1,NICK PROZOROVSKY
3,Michael Armstrong
4,Gabriel Valencia
5,Zach Kieffer
9,Nathan Kinsinger
01,Daniel Vockeroth
06,Kevin Cleary
13,Reid Martin
15,Jeremy Burril
16,Kevin DeAngelis
21,Cal Tornabene
22,Brian Rathunde
23,Ryan Smith
31,Nicholas Golini
40,Canaan Murray
45,Chris Santiago
59,Brett Ploussard
66,Jacob  Cuthbert
71,Dylan Power
76,Girolamo S Kelly
79,Aiden Frank
85,Matthew Lemaitre
86,Daniel Miller
b,r,e,a,k
Four,5
0,Alex Bertoia
0,Alex Barber
0,Ben Sadis
0,BRIAN BROWN
0,Joshua Osinski
0,Jack Bushart
0,Trevor Kyle
1,Andrew Sjogren
2,Justin Perticone
3,Elijah Scherz
8,Chenxi Sun
8,Trey Taliaferro
14,Alvin Wang
16,Dex Dremann
17,Brendan McCann
17,Max Bommarito
18,David Innis
25,Ryan Yergin
27,Jake Pruitt
29,Ashton Hoffman
33,Daniel Dodge
35,Kevin Anthony
42,Nathan Champoux
69,Evan Parizot
88,Mark Whitton
