Club Terminus 2018,Club - Men ,21,7,2018
https://play.usaultimate.org/events/Club-Terminus-2018/schedule/Men/Club-Men/
Chain Lightning,1
00,Daniel Sperling
01,William Lindquist
02,Austin Taylor
04,Player Pierce
05,Michael Fairley
06,Tyler Kunsa
07,Parker Bray
08,Christian Olsen
09,Timothy Stapleton
10,Danny On
11,Christopher Calhoun
12,Matthew Smith
13,Josh Turner
16,Anders Olsen
19,Stanley Birdsong
20,Joshua Bush
21,Jacques Perivier
22,Sean Sears
23,Sun Choi
25,Tyler French
27,Paul Lally
29,Mason Cary
81,Joseph Burns
82,Sam Batson
87,Trenton Spinks
b,r,e,a,k
Black Lung,9
0,Carsen Clouser
0,Mark Kraus
0,James Moore
0,Jay White
0,Jesse McInturf
0,Jordan Phillips
0,Kendrick Yuen
0,Kyle Cornell
0,Mason Montgomery
0,Tadhg Young
1,Adam Houk
4,Michael Rudy
5,David High
5,Jeremy Staab
6,Evan Caldwell
8,Nathan Meade
9,Preston Goulson
11,Christopher Empie
13,Jared Gibson
22,Andrew Shields
27,Wyatt Driskell
44,Jake Hughes
69,Logan Graham
93,Richard Murt
94,Tyler Karnes
94,Austin Obenauf
98,Joshua Jackson
b,r,e,a,k
Rush Hour,8
0,Arthur Shim
0,Ashwin Anantharaman
0,Blaine Brown
0,Cardinal Clarke
0,Kiran Potula
0,Krishan Chib
0,Matthew Dozer
3,John Boezi
3,Andrew Benton
5,Thomas Rink
7,Zaki Durry
11,Jackson McHugh
12,Andrew Chung
13,David Egbert
17,Jonathan Spencer
18,Zachary Hollis
19,Sean Finlay
20,Dacree Harden
27,Lucas Maurer
28,Joseph Fisher
44,Michael Tillotson
44,WILLIAM GRESCH
72,Rylan Gordon
77,Daniel Gempesaw
82,Michael Price
92,Geoffrey 'Bo' Price
99,Gabriel Bidot
b,r,e,a,k
War Machine,16
0,Abhay Thottassery
0,Andrew Record
0,Benjamin  Brainerd
0,Brian Acton
0,Cameron Givianpour
0,Christian Speeney
0,Clayton Hightower
0,Jacob Crane
0,Matthew Sledge
0,Peyton Whiteside
0,Seth Newton
0,Stephen Robertson
0,William Parker
4,James Meredith
11,Stakesh Peterson
15,Yi Yen
17,Andrew Byers
23,Tyler Morgan
34,Camden McNeely
b,r,e,a,k
Freaks,2
0,Cody Havens
0,Ethan Benesh
0,Isaac Schlagel
0,James Russnogle
0,Justin Schroeder
0,Robert Alongi
0,Tannon Hedges
1,Zack Avello
2,Mac McClellan
2,Grant Waldron
4,Jeremiah Branson
5,Timothy Barczak
5,Chase Hammond
6,Brett Hulsmeyer
9,Javier Ortiz
10,Yusuf Abdullah
11,Elijah Jaime
12,Phillip Dougherty
13,Carter Rae
17,Nick Peppers
18,Jacob Flowers
19,Matthew Radcliffe
37,Michael Strobel
42,Tim Hoggard
55,Tom Radcliffe
77,Anthony Cain
96,Mark Ullom
b,r,e,a,k
Coastal Empire,10
0,John Kern
9,ZACHARY SHORT
02,Bobby Patterson
03,Tim Lootens
04,Bradley Seuntjens
05,SEAN WILLETT
07,Nathan Vickroy
08,Skyler Pitts
10,Kellen Gray
12,JOSEPH (Wayne) SLAYDON
17,Kody Cotton
18,Joshua  Golden
20,Charles Morris
23,Peter Van Brussel
24,Steven Eckert
31,Jack Barrow
32,Caleb Shorthouse
34,Avery Van Brussel
35,Cameron Hartman
35,Parth Patel
39,Jordan Huston
51,Antoine Cava
59,Stephen  Muir
87,Carl Johnson
91,Scott Moore
99,Andrew Carleton
b,r,e,a,k
BaNC,15
0,George Pollard
0,Patrick McKendry
0,Richy Arthurs
0,Kartik Sethuraman
0,Wesley Dudas
1,Dorian Barrier
2,Geffen Agasi
3,Andrew Hager
4,Danny Chao
8,Ryan Werkmeister
12,Nathan Silvestri
17,Avery Feagans
19,Jordan Knox
19,Matthew Singleton
21,Erik Messina
21,Daniel Son
23,Taylor Crotts
24,Cliff Totherow
34,Daniel Lee
