Eugene Summer Solstice #40,Club - Women ,23,6,2018
Eugene,OR,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Eugene-Summer-Solstice-40/schedule/Women/Club-Women/
Fury,1
0,Anna Reed
0,Diana Charrier
0,Katie Ryan
0,Lisa Couper
0,Magon Liu
0,Marika Austin
0,Marisa Mead
0,Octavia Payne
0,Yelena Gorlin
3,Sharon Lin
4,Alex Snyder
5,Kaela Helton
8,Nancy Sun
9,Kirstin Johnson
10,Genevieve Laroche
11,Bethany Kaylor
13,Cree Howard
15,Alden Fletcher
19,Amel Awadelkarim
21,Meeri Chang
27,Ness Fajardo
33,Anna Nazarov
38,Claire McKeever
42,Darragh Kawaoka
44,Maggie Ruden
61,Lakshmi Narayan
77,Carolyn Finney
b,r,e,a,k
Seattle Riot,3
0,Samantha Rodenberg
1,Kelly Johnson
2,Lucia Williams
3,Molly Sinnott
5,Paige Soper
7,Calise Cardenas
8,Rachel Bradshaw
9,Qxhna Titcomb
10,Shira Stern
11,Nora Landri
15,Bailey Zahniser
17,Dominique Fontenette
18,Madeline Gilbert
19,Hannah M Kreilkamp
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
23,Aimie Kawai
24,Sarah Davis
25,Alyssa Weatherford
27,Julia Snyder
29,Lindsey Wilson
31,Stephanie Lim
37,Claire Trop
77,Jillian Goodreau
81,Charlie Mercer
b,r,e,a,k
Schwa,7
0,Katie Weatherhead
0,Makena Strand
0,Morgan Caldwell
0,Seraphie Allen
4,Emily Flock
7,Shea Brennan
12,Mariel Hammond
18,Julia Sherwood
22,Natalie Hancock
25,Lauren Truxillo
26,Shaelynn Davis
37,Rebecca Perston
77,Strat Stratton
99,Noelle Takahashi
b,r,e,a,k
Fusion,5
02,Joely Valencerina
03,Samantha Roche
04,ALEXA KOVACS
05,Kaycee Hunt
07,Laura Hatch
09,Cayla Mooney
10,Anya Snider
11,Carmen Lee
12,Latitia Soke-Seaman
13,Emily Forrest
14,Amy Lam
15,Ainslee Heim
16,Emma Parker
17,Cassidy Kelch
18,Marielle Manlulu
19,Parisa Sepehri
20,Kat Pohran
22,Samantha Burrage
24,Sarah Norton
27,Hillary Prescott
28,Shelly Lam
29,Kaiya Soke-Seaman
33,Elan Chochinov
36,Robin Merasty
49,Karen Hatch
77,Krista Aitken
b,r,e,a,k
Elevate,9
00,Alicia Seeley
00,Amanda Wilson
00,Annie Friedman
00,Hanna Morgan
00,Jessica Crowley
00,Kylee Behunin
00,Logan Radke
00,Quincey McKeen
02,Christina Maruyama
07,Brittany McCready
10,Natalie Merrill
11,SHANAE FOSTER
14,Emily Jensen
16,Breanna Bozzuto
24,Kendra  Mitchell
26,Leah Smith
31,Jenni Ladutko
41,Kyra Khoroujnikova
42,Jenilyn Reeves
68,Kaylin Durmick
b,r,e,a,k
Nightlock,4
0,Eliza Chang
0,Megan Pera
0,Maggie O'Connor
0,Manisha Daryani
2,Marisa Rafter
5,Anne Gordon
7,Claire Sharman
9,Audrey Lyman
10,Angela Aie
14,Emily Kolanz
15,Alison Griffith
18,Michelle McGhee
19,Adrienne Lemberger
21,Alexandra Hasan
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
27,Kira Lou
89,Kimberly Long
96,Patricia Anderson
b,r,e,a,k
Underground,6
0,Akina Younge
0,Caroline Ma
01,Jessica Spaulding
02,Alexa Yadama
04,Nicole Cramer
05,Tiffany Phan
10,Julia Johnson
12,Katie Raynolds
15,Noel Hanzel
16,Alyssa Worsham
20,Sarah Naomi True
22,Elise Rasmussen
23,Anh-Thu Chang
24,Abby Hecko
25,Emma Kahle
27,Anne Silver
28,Nora Carr
31,Ikran Elmi
32,Michaela Fallon
33,Catherine (Cate) Roscoe
42,Madeline Stephenson
45,Alyssa Kelly
47,Amanda Kostic
51,Kate Crawford
77,Taylor Hartman
89,Sophia Scofield-Selby
b,r,e,a,k
LOL,2
0,Elisabeth Duffy
0,KATIE (SARAH) BERK
0,Krystal  Barghelame
0,Laura Bitterman
0,Lauren Casey
0,Leila Jirari
0,Mallory Meiser
0,Megan Molteni
0,Megan Andrews
0,Nicky Bloom
1,Carol Chen
6,Alicia Dantzker
7,Abigail Edwards VanMuijen
13,Arlie Stern
15,Julia James
16,Jennifer Founds
17,Delia Chiu
22,Sarah Carnahan
23,Remy Schor
27,Christina Contreras
71,Angela Lin
b,r,e,a,k
Sneaky House Hippos,8
0,Jessie Tai
0,Jessie Bell
0,Julia Zhou
0,Katherine Lee
0,Katie Berezan
0,Katrina  Kwong
0,Kelly Wunderlich
0,Kim Sy
0,Miranda Lam
0,Monica Hsu
0,Paula Wong
0,Danie Proby
0,Devra Waldman
0,ELLEN SCHELEW
0,Emelie Lundstrom 
0,Eva Cham
0,Annie Wang
0,Camille Chanoine
0,Toni Li
0,Yuki Chui
15,Courtney Ng
16,Talia Cole
19,Amy Luo
20,Vivian Chen
44,Janelle Siwa
b,r,e,a,k
Rampage,10
0,Alexandra Roy
0,Camille Wilson
0,Catherine Paulson
0,Connie Chan
0,Felicia Yang
0,Kelsey Wittig
0,Malia Smith
0,Mary Mraovich
0,Myisha Tarvin
0,Kate Diaz
4,Amy Lee
7,Brianna Harris
12,Sherry Zhang
14,Autumn Barker
17,Karla Rosario
17,Tyana Ruiz
17,Sheila Robles
21,Sarah Adams
22,Alyssa Perez
25,Samantha Wool
31,Kathleen Lo
40,Veronica Yee
b,r,e,a,k
FAB,11
3,Brieana Polk-Perez
6,Laura Dale
9,Jennifer Pashley
02,Diana Zhang
05,Kelly Liu
06,Allegra Mayer
10,Halsey Hoster
11,Allyson Tsuji
13,Allyson Lutz
16,Thalia Ward
19,Jessalyn Siu
22,Elena Good
23,Maddie Pielert
24,Susan Chen
29,Katrina Kalantar
39,Elizabeth Curtiss
49,Reena Badyal
73,Nicole McDaniel
77,Bryn Levitan
b,r,e,a,k
Korra,15
0,Hayley Lueke
0,Kelbey Woytowich
0,Kelsey Koszman
0,Keltie Brigham
0,Kim Taylor
0,Kimberly Doll
0,Linh La
0,Miranda Murray
0,NICOLE DESJARDINS
0,Raynelle Fisher
0,Robbi Humble
0,Caitlin Brock
0,Erica Doucette
1,Bobbi Anderson
3,Georgina Lee
b,r,e,a,k
Portland Ivy,13
01,Katherine Darke
02,Clea Poklemba
03,Natalie Georgitsa
06,Zoe Bluffstone
09,Kaia Mann
10,Natalie Clifton
11,Madelyn Easton
12,Kelly Marx
13,Holly Gibson
21,Elise Hollowell
22,Ruby Holman
23,Rosie Harte
24,Claire Schwyhart
25,Anna Dreher
27,Lauren Jablonski
28,Brandy Turcotte
33,Mir Bowring
55,Kaitlyn Anderson
66,Celine Li
99,Syris Linkfield
b,r,e,a,k
101 Summertime,17
0,Christina Schueler
0,Erin Maloney
0,Madeleine Boyle
0,Maya Otsuki
0,Saioa Lostra
0,Takisha Tarvin
0,Zarina Rogers
3,Alexa Romersa
6,Katherine Quillin
8,Jaydra Rotolante
b,r,e,a,k
Sizzle,19
0,Caitlin Boxell
2,Tien La
3,Megan Packer
6,Claire Cyra
02,Samantha Yeung
05,Monica Monda
06,Shannon Duffy
08,Ana Daviduke
12,Veronica Tse
14,Bella Rowland-Reid
15,Ana Monda
17,Lindsay Frederick
19,Jennica  Kelm
19,Kristen Murray
21,Liza Radford
26,Mariel Empinado
26,Liz Holm
28,Christine Angela Fabia
55,Michelle Homewood
82,Melina Edgerton
b,r,e,a,k
Seattle Soul,16
0,Emma Sheehy
0,Eugenia Prezhdo
2,Genavie Boots
3,Kendall Jorgensen
3,Neeyati Johnson
4,Mary Nozykowski
6,Carolyn Lober
9,Rosemary Widenor
10,Ruby Cassidy
11,Daniella Welsh
13,Lindsey Miller
14,Claire Kimball
15,Kaitlin Kirkpatrick
17,Shaina Langley
17,Kaia Roast
19,Kellie Koester
22,Ximenna Hofsetz
22,Carolina Gonzalez-Llanos
24,Grace Baron
44,Leah Gooden
b,r,e,a,k
Venom,12
0,Hannah Dinell
0,Michelle Tanner
0,Lauren Pisani
1,Stefanie Nguyen
2,Nicole Garnes
5,Laura Prelsnik
6,Devon Chapman
7,Kyria Kershner
9,Erin Gray
03,Lisa Shipek
16,Nina Sevilla
22,Lisa So
23,Bethany Krasuski
24,Amy Hudson
27,Carly Morrison
88,Simrit Khalsa
b,r,e,a,k
Seven Devils,18
0,Emily-Anne Hylton
0,KATIE POWELL
0,Madison Austin
0,Mallory Wilson
0,Rebekah Spille
0,Renee Cuillier
5,Emma Thoennes
7,Sydney Bullock
8,Chantelle Salas
19,Kelly Saunders
22,Ali Haag
28,Rebekah Beacham
b,r,e,a,k
Koi,14
03,Claire Watts-Grant
04,Michelle Cho
08,Carol Wu
09,KARLA JANINA LIM
10,Tammy Do
11,Cristina Rubino
13,Amanda Yang
14,Maria Fung
15,Isabelle  Lau 
19,Addyson Frattura
20,Alina Wong
21,Alex Chin
22,Reagan Szeto
28,Melissa Woodward
30,Abby Dacho
32,Jennifer Chin
33,Rochelle Szeto
37,LAUREN BORJA
42,Marie-Christine Noel
88,Daniela  Garcia
99,Jennifer Lee
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Fury,Elevate,13,2,"06/23/2018, 08:30",Pool A,Final
