Big D in Little d 2018 (Open),College - Men ,4,2,2018
Denton,TX,2018-02-03,2018-02-04
https://play.usaultimate.org/events/Big-D-in-Little-d-Open-2018/schedule/Men/CollegeMen/
Texas Tech,1
0,Austin Wargin
0,Bradley Pfeiffer
0,Caleb Hughes
0,Christian Lauzy
0,Jacob Garcia
1,Dillon Rathman
3,Michael Paniagua
5,Payton Ardoin
6,John Aucar
7,Paul Yacoub 
9,Eric Menard
10,Cutler Hassell
11,Broderick Watson
12,Jansen Ivie
14,Reese  Gregory
16,Thomas McPherson
17,Austin Ficken
19,Winstein Hungbui
22,Grant Golder
23,Kyle Henke
26,Dylan Chbeir
35,Alexander Brewster
42,William Schneider
44,Junaid Ramzan
49,Michael Wode
64,Mason Davis
66,Ryan Stomp
78,Jace Drennan
99,Nick Reents
b,r,e,a,k
Baylor,2
0,Chris Aljebory
0,Cody Humphrey
0,James Taw
0,Josh Chiasson
0,Lucas Stevens
2,Jackson Helling
5,Tyler Chiu
8,Tyler Smith
9,Ben Giles
12,Ryan Smeltzer
13,Bob Rein
14,Ryan Keller
19,Jonathan Hertel
20,Colson Lindsey
21,Alexander Brouwer
22,Nathan Tjahjadi
27,Mason Wuensch
28,John Eyre
32,Chad Rizenbergs
37,Keon Cleary
55,Kelton Mahon
85,Logan Bruner
91,David Roper
99,Matthew Sweere
b,r,e,a,k
Nebraska,14
0,Daniel Forsyth
0,Jackson Cutsor
0,Kameron Heyen
0,ROBBY ELSNER
0,Ryan Dornbusch
0,Vincent Rice
6,Noah Ross
7,Jack Sarles
9,Jake Lindvall
10,Stephen Lunde
13,Cole Petsche
18,Tristan Mahler
20,David Forsyth
21,Jackson Schuerman
26,Marty Praska
29,Cameron Stussie
34,Joshua Adams
35,James Rowland
41,CRISANTO DUBUC
55,Jacob Morrow
b,r,e,a,k
Oklahoma,8
0,Collin Dabbieri
0,Corbin Joel Milchesky
0,Greg Olson
0,Harry Mutton
0,Jack Herdejurgen
0,J.D. Ingendorf
0,Joseph Dal Santo
0,Matthew Smith
0,Nathan Winslow
0,Ryan Turcotte
7,Logan Allen
9,Harper Stanfield
13,Cameron Guidry
13,Joseph Fortunato
14,Nathaniel Loyd
15,Andrew Turcotte
23,Addison Fehl
27,Sam Baskin
34,Cyle Famuliner
36,Christopher Leonard
38,Alex Mudd
44,Dillon Bruer
53,Dawson Pleasant
72,Steven Wild
95,Brandon Widner
96,Austin Gould
b,r,e,a,k
Oklahoma State,5
00,Alex Southard
00,Alexander McNiel
00,Blake Duncan
00,Caleb Dixon
00,Cheng Hao Tan
