Vacationland 2018 ,Club - Mixed ,21,7,2018
South Portland,ME,2018-07-21,2018-07-22
https://play.usaultimate.org/events/Vacationland-2018-/schedule/Mixed/Club-Mixed
Heartless,1
3,Casarah Acosta
4,Sarah VonDoepp
5,Grace Valentine
7,Halie Bean
8,Hayden Ellms
9,Kuochuan Ponzio
10,Maya Standard
12,Xavier Ferris
13,Brandon Donahue
14,Alex Pollack
16,Turner Allen
18,Eli Standard
19,Keisha Bedor
21,Mae Browning
22,Kaleth Torrens-Martin
24,Declan Kervick
25,Isabella Weston
26,Nadia Scoppettone
44,Eliana Moorhead
b,r,e,a,k
Dead Reckoning,15
teamInfo,,"Portland , Maine",,,@Dead_ultimate
0,BENJAMIN LADD
0,Marc Flore
0,Tristan StrackGrose
0,Zachary  Wheeler
7,Jason Eisenhuth
15,Kevin Ledue
16,Mark Hibben
23,Zoe Oswald
25,Nicholas Houseman
25,Michael Guethle
28,Alexandria Clay
33,Charles Wesley
39,Bryan Pringle
49,Marijke Rowse
51,Thomas Myers
77,Michael Callahan
90,Michael Schrameyer
b,r,e,a,k
Darkwing,5
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Dean Bullock
0,Emet Schwartz
0,Eugene L'Heureux
0,Giancarlo Cincotta
0,Jacob Arwe
0,Jared Scheinberg
0,Alexander Donadio
0,Anna Zucchero
0,Brianna  Considine
0,Charlotte Langer
0,Christopher Mark
0,Mckenzie Finigan
0,Sophie Shen
3,Steven Her
5,Conor Dowling
6,Justinne Guarin
9,Sara Rudolph
13,Kat Brock
16,ALEXANDER PINKHAM
21,Megan Vanderhooft
21,Michael Mason
21,Olivia Prosak
33,William Thornton
49,Lamia Farah
b,r,e,a,k
HAOS,16
teamInfo,,"Watertown, Massachusetts",,,
0,Adam Nosowitz
0,Alison Tassone
0,Ariella Korn
0,Benjamin Duffy
0,Claire Rostov
0,Douglas Choe
0,Eliza Skoler
0,Jane Hu
0,Julie Costello
0,Kim Mahan
0,Russell Brown
0,Topher Brown
5,Pearce Kelley
7,Gabriel Schmitt
11,Nicholas Steffen
12,Kristin Mahan
12,Daniel Benson
18,Jarrett Piette
32,Amelia Becker
34,Zach Darbeloff
40,James Lehner
48,Ben Matthews
55,JONATHAN SCHREIBER
69,David Guertin
b,r,e,a,k
WHUF,9
teamInfo,,"Woods Hole, Massachusetts VA",https://sites.google.com/site/gethohoho/,,
0,Jeff Hartline
0,Jenna Murphy-Judelson
0,Jonathan Richards
0,Melissa Stuart
0,Niki Lesniak
0,Carrie Gill
0,Eugene Wentworth
0,Patrick Kane
0,Peter Strand
27,Jason Angell
37,Sam Harvey
47,Patrick McGrath
b,r,e,a,k
Albany Airbenders,4
teamInfo,,"Albany, New York",,https://www.facebook.com/groups/456908004516415/,
0,Abigail Baer
0,Amy Schumacher
0,Ben Lounsbery
0,Brian Dahlben
0,Carrie Trant
0,Charis Thompson
0,Dan Priddle
0,Ellen Roybal
0,Kirby Gordon
0,Louisa Nyhus
0,Matthew Reluzco
0,Max Morse
0,Steven Miraglia
0,Timothy Stuitje
2,Nancy Bush
2,Garrett Clay
3,Kaitlyn Clay
8,Jonathan McRae
10,David Behrmann
11,Harry Park
13,Kathryn Olds
24,Cameron Wariner
34,ERICA BORNHOFT
84,Martin (Sonny) Frazee
b,r,e,a,k
s,t,a,g,e,s
pools,Mixed Pool Play
pool,Pool A
BLT Stacks,Low Tide Scramblers,13,6,"07/21/2018, 09:00",Pool A,Final
Nautilus,DTX,13,8,"07/21/2018, 09:00",Pool A,Final
Heartless,DTX,13,4,"07/21/2018, 10:45",Pool A,Final
Nautilus,BLT Stacks,13,3,"07/21/2018, 10:45",Pool A,Final
DTX,BLT Stacks,13,4,"07/21/2018, 12:30",Pool A,Final
Heartless,Low Tide Scramblers,13,2,"07/21/2018, 12:30",Pool A,Final
Heartless,BLT Stacks,13,2,"07/21/2018, 14:15",Pool A,Final
Nautilus,Low Tide Scramblers,13,3,"07/21/2018, 14:15",Pool A,Final
Heartless,Nautilus,13,10,"07/21/2018, 16:00",Pool A,Final
DTX,Low Tide Scramblers,13,3,"07/21/2018, 16:00",Pool A,Final
pool,Pool B
RIMIX,Rising Tide,10,11,"07/21/2018, 09:00",Pool B,Final
Alt Stacks,Face Off,12,8,"07/21/2018, 09:00",Pool B,Final
Sunken Circus,Face Off,13,3,"07/21/2018, 10:45",Pool B,Final
Alt Stacks,RIMIX,12,7,"07/21/2018, 10:45",Pool B,Final
Sunken Circus,Rising Tide,13,6,"07/21/2018, 12:30",Pool B,Final
Face Off,RIMIX,9,10,"07/21/2018, 12:30",Pool B,Final
Sunken Circus,RIMIX,13,7,"07/21/2018, 14:15",Pool B,Final
Alt Stacks,Rising Tide,12,8,"07/21/2018, 14:15",Pool B,Final
Sunken Circus,Alt Stacks,3,12,"07/21/2018, 16:00",Pool B,Final
Face Off,Rising Tide,12,10,"07/21/2018, 16:00",Pool B,Final
pool,Pool C
Dead Reckoning,Equinox,5,13,"07/21/2018, 09:00",Pool C,Final
Scarecrow,Rainbow,13,11,"07/21/2018, 09:00",Pool C,Final
Titan NE,Rainbow,13,6,"07/21/2018, 10:45",Pool C,Final
Scarecrow,Dead Reckoning,13,1,"07/21/2018, 10:45",Pool C,Final
Titan NE,Equinox,13,4,"07/21/2018, 12:30",Pool C,Final
Rainbow,Dead Reckoning,13,9,"07/21/2018, 12:30",Pool C,Final
Titan NE,Dead Reckoning,13,1,"07/21/2018, 14:15",Pool C,Final
Scarecrow,Equinox,13,8,"07/21/2018, 14:15",Pool C,Final
Titan NE,Scarecrow,10,11,"07/21/2018, 16:00",Pool C,Final
Rainbow,Equinox,13,7,"07/21/2018, 16:00",Pool C,Final
pool,Pool D
Albany Airbenders,WHUF,13,11,"07/21/2018, 10:45",Pool D,Final
Darkwing,HAOS,12,5,"07/21/2018, 10:45",Pool D,Final
Albany Airbenders,HAOS,6,11,"07/21/2018, 12:30",Pool D,Final
Darkwing,WHUF,11,7,"07/21/2018, 12:30",Pool D,Final
Albany Airbenders,Darkwing,7,9,"07/21/2018, 14:15",Pool D,Final
WHUF,HAOS,11,9,"07/21/2018, 14:15",Pool D,Final
b,r,e,a,k
brackets,Mixed Championship
bracket,Championship Bracket
Darkwing,Alt Stacks,14,3,"07/22/2018, 11:00",Championship,Final
Heartless,Darkwing,12,13,"07/22/2018, 09:00",Semis,Final
Alt Stacks,Scarecrow,12,4,"07/22/2018, 09:00",Semis,Final
Heartless,Sunken Circus,13,8,"07/21/2018, 18:00",Quarters,Final
Darkwing,Titan NE,13,7,"07/21/2018, 18:00",Quarters,Final
Alt Stacks,Nautilus,11,9,"07/21/2018, 18:00",Quarters,Final
Scarecrow,HAOS,10,9,"07/21/2018, 18:00",Quarters,Final
bracket,Mixed 3rd Place
Heartless,Scarecrow,15,4,"07/22/2018, 11:00",3rd Place,Final
bracket,Mixed 5th Place
Sunken Circus,Titan NE,12,11,"07/22/2018, 11:00",5th Place,Final
Sunken Circus,Nautilus,15,6,"07/22/2018, 09:00",5th-8th,Final
Titan NE,HAOS,12,7,"07/22/2018, 09:00",5th-8th,Final
bracket,Mixed 7th Place
Nautilus,HAOS,12,6,"07/22/2018, 11:00",7th Place,Final
b,r,e,a,k
brackets,Mixed 9th - 16th
bracket,Consolation Championship
WHUF,Rainbow,15,5,"07/22/2018, 11:00",Consolation Championship,Final
DTX,WHUF,8,12,"07/22/2018, 09:00",Consolation Semis,Final
Face Off,Rainbow,6,10,"07/22/2018, 09:00",Consolation Semis,Final
DTX,RIMIX,10,7,"07/21/2018, 18:00",Consolation Quarters,Final
WHUF,Equinox,13,10,"07/21/2018, 18:00",Consolation Quarters,Final
Face Off,BLT Stacks,13,4,"07/21/2018, 18:00",Consolation Quarters,Final
Rainbow,Albany Airbenders,12,11,"07/21/2018, 18:00",Consolation Quarters,Final
bracket,Consolation 3rd
DTX,Face Off,13,8,"07/22/2018, 11:00",11th Place,Final
bracket,Consolation 5th
RIMIX,Albany Airbenders,4,14,"07/22/2018, 11:00",13th Place,Final
RIMIX,BLT Stacks,12,8,"07/22/2018, 09:00",13th Semis,Final
Equinox,Albany Airbenders,9,15,"07/22/2018, 09:00",13th Semis,Final
bracket,Consolation 7th
BLT Stacks,Equinox,7,13,"07/22/2018, 11:00",15th Place,Final
b,r,e,a,k
pools,17th - 19th Place
pool,Pool 17
Dead Reckoning,Low Tide Scramblers,13,10,"07/21/2018, 18:00",Pool 17,Final
Rising Tide,Low Tide Scramblers,14,12,"07/22/2018, 09:00",Pool 17,Final
Dead Reckoning,Rising Tide,12,14,"07/22/2018, 11:00",Pool 17,Final
b,r,e,a,k
