CWRUL Memorial 2018,College - Women ,24,3,2018
Columbus,OH,2018-03-24,2018-03-25
https://play.usaultimate.org/events/CWRUL-Memorial-2018/schedule/Women/CollegeWomen/
Notre Dame,1
teamInfo,KULT,"Lexington, Kentucky",,,
0,Sarah Hernandez
04,Amanda Morris
05,Dani Rivera
08,Abigail Blevins
12,Kendall Archer
13,Mary Kate Jutze
22,Hannah Mickelson
55,Olivia Pokoski
69,Isabella Hansen
97,Kasey Schock
b,r,e,a,k
Wheaton (Illinois),17
teamInfo,Wheaton Mastodonnas,"Wheaton, Illinois",,,
03,Sarah Pope
06,Lorien VanZwieten
07,Emily Nordhausen
10,Alexis  McIlrath
10,Sarah Carlson
15,Natalie Carter
21,Christina Westberg
23,Emily Norbeck
30,Thea Boatwright
32,Miriam Ritchie
54,Mikayla McIlrath
b,r,e,a,k
Eastern Michigan,20
teamInfo,Raging Peacocks,"Ypsilanti, Michigan",,https://www.facebook.com/UltimateatEMU/,
01,Melissa Herta
03,Kiersten Olsen
04,Danielle Georgeoff
05,Olivia Stevenson-Howard
07,Delainey O'Donnell
08,Dav-Lynn Buttner
09,Meagan Henderson
10,Prisca Maynard
11,"Moira ""Mo"" Roach "
12,Danielle Kline
17,Alisa Gefter
20,Megan McCombs
23,Samantha Szuminski
24,Jessica Ligi
27,Elizabeth Boltz
28,Elizabeth Angliss
77,Naomi Byrd
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Tier 1 A
Notre Dame,Dayton,13,4,"03/24/2018, 09:00",Tier 1 A,Final
Carnegie Mellon,Indiana,10,9,"03/24/2018, 09:00",Tier 1 A,Final
Notre Dame,Carnegie Mellon,12,2,"03/24/2018, 10:40",Tier 1 A,Final
Indiana,Dayton,4,13,"03/24/2018, 10:40",Tier 1 A,Final
Notre Dame,Indiana,13,2,"03/24/2018, 12:20",Tier 1 A,Final
Carnegie Mellon,Dayton,8,7,"03/24/2018, 12:20",Tier 1 A,Final
pool,Tier 1 B
Case Western Reserve,Purdue,12,5,"03/24/2018, 09:00",Tier 1 B,Final
Oberlin,Rochester,10,7,"03/24/2018, 09:00",Tier 1 B,Final
Case Western Reserve,Oberlin,8,7,"03/24/2018, 10:40",Tier 1 B,Final
Case Western Reserve,Rochester,11,5,"03/24/2018, 12:20",Tier 1 B,Final
Oberlin,Purdue,10,9,"03/24/2018, 12:20",Tier 1 B,Final
Rochester,Purdue,6,10,"03/24/2018, 14:00",Tier 1 B,Final
pool,Tier 2 A
Michigan State,Ohio Wesleyan,13,4,"03/24/2018, 09:00",Tier 2 A,Final
Michigan (B),Michigan State,1,10,"03/24/2018, 10:40",Tier 2 A,Final
Michigan (B),Ohio Wesleyan,9,8,"03/24/2018, 14:00",Tier 2 A,Final
Cincinnati,Ohio Wesleyan,5,6,"03/24/2018, 22:40",Tier 2 A,Final
Cincinnati,Michigan (B),9,3,"03/25/2018, 12:20",Tier 2 A,Final
Cincinnati,Michigan State,5,10,"03/25/2018, 02:00",Tier 2 A,Final
pool,Tier 2 B
Xavier,Southern Indiana,13,6,"03/24/2018, 09:00",Tier 2 B,Final
Ball State,Ohio State (B),13,3,"03/24/2018, 09:00",Tier 2 B,Final
Xavier,Ball State,9,12,"03/24/2018, 10:40",Tier 2 B,Final
Xavier,Ohio State (B),8,5,"03/24/2018, 12:20",Tier 2 B,Final
Ball State,Southern Indiana,13,1,"03/24/2018, 12:20",Tier 2 B,Final
Ohio State (B),Southern Indiana,9,7,"03/24/2018, 14:00",Tier 2 B,Final
pool,Tier 3
Franciscan University of Steubenville,Eastern Michigan,13,4,"03/24/2018, 09:00",Tier 3,Final
Wheaton (Illinois),Eastern Michigan,11,3,"03/24/2018, 10:40",Tier 3,Final
Kentucky,Franciscan University of Steubenville,6,7,"03/24/2018, 10:40",Tier 3,Final
Wheaton (Illinois),Kentucky,5,9,"03/24/2018, 12:20",Tier 3,Final
Wheaton (Illinois),Franciscan University of Steubenville,7,8,"03/24/2018, 14:00",Tier 3,Final
Kentucky,Eastern Michigan,11,3,"03/24/2018, 14:00",Tier 3,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Notre Dame,Case Western Reserve,8,6,"03/25/2018, 12:10",FINALS,Final
Notre Dame,Oberlin,13,3,"03/25/2018, 10:20",SEMIS,Final
Case Western Reserve,Purdue,10,8,"03/25/2018, 10:20",SEMIS,Final
Notre Dame,Ball State,14,2,"03/25/2018, 08:30",QUARTERS,Final
Oberlin,Dayton,11,2,"03/25/2018, 08:30",QUARTERS,Final
Case Western Reserve,Michigan State,12,2,"03/25/2018, 08:30",QUARTERS,Final
Carnegie Mellon,Purdue,2,12,"03/25/2018, 08:30",QUARTERS,Final
Notre Dame,Kentucky,15,2,"03/24/2018, 15:40",PRE-QS,Final
Rochester,Ball State,5,7,"03/24/2018, 15:40",PRE-QS,Final
Oberlin,Ohio State (B),15,2,"03/24/2018, 15:40",PRE-QS,Final
Dayton,Cincinnati,7,4,"03/24/2018, 15:40",PRE-QS,Final
Case Western Reserve,Franciscan University of Steubenville,15,1,"03/24/2018, 15:40",PRE-QS,Final
Indiana,Michigan State,8,9,"03/24/2018, 15:40",PRE-QS,Final
Carnegie Mellon,Ohio Wesleyan,9,4,"03/24/2018, 15:40",PRE-QS,Final
Purdue,Xavier,15,3,"03/24/2018, 15:40",PRE-QS,Final
bracket,3rd Place
Oberlin,Purdue,12,7,"03/25/2018, 12:10",3rd Place Finals,Final
bracket,5th Place
Dayton,Carnegie Mellon,4,8,"03/25/2018, 12:10",5th Place Finals,Final
Dayton,Ball State,6,4,"03/25/2018, 10:20",5th Place Semis,Final
Michigan State,Carnegie Mellon,4,8,"03/25/2018, 10:20",5th Place Semis,Final
bracket,7th Place
Ball State,Michigan State,9,4,"03/25/2018, 12:10",7th Place Finals,Final
bracket,9th Place
Indiana,Cincinnati,6,8,"03/25/2018, 14:00",9th Place Finals,Final
Indiana,Xavier,10,2,"03/25/2018, 10:20",9th Place Semis,Final
Rochester,Cincinnati,5,8,"03/25/2018, 10:20",9th Place Semis,Final
Indiana,Kentucky,11,1,"03/25/2018, 08:30",9th Place Quarters,Final
Xavier,Ohio Wesleyan,9,8,"03/25/2018, 08:30",9th Place Quarters,Final
Rochester,Franciscan University of Steubenville,13,4,"03/25/2018, 08:30",9th Place Quarters,Final
Ohio State (B),Cincinnati,3,14,"03/25/2018, 08:30",9th Place Quarters,Final
bracket,11th Place
Xavier,Rochester,1,0,"03/25/2018, 14:00",11th Place Finals,Final
bracket,13th Place
Ohio Wesleyan,Ohio State (B),7,0,"03/25/2018, 12:10",13th Place Finals,Final
Kentucky,Ohio Wesleyan,6,10,"03/25/2018, 10:20",13th Place Semis,Final
Franciscan University of Steubenville,Ohio State (B),7,9,"03/25/2018, 10:20",13th Place Semis,Final
bracket,15th Place
Kentucky,Franciscan University of Steubenville,7,3,"03/25/2018, 12:10",15th Place Finals,Final
b,r,e,a,k
pools,Consolation Pool
pool,Consolation Pool
Michigan (B),Wheaton (Illinois),3,9,"03/24/2018, 15:40",Consolation Pool,Final
Southern Indiana,Eastern Michigan,13,6,"03/24/2018, 15:40",Consolation Pool,Final
Michigan (B),Eastern Michigan,6,5,"03/25/2018, 08:30",Consolation Pool,Final
Southern Indiana,Wheaton (Illinois),8,9,"03/25/2018, 08:30",Consolation Pool,Final
Michigan (B),Southern Indiana,2,12,"03/25/2018, 10:20",Consolation Pool,Final
Wheaton (Illinois),Eastern Michigan,F,W,"03/25/2018, 10:20",Consolation Pool,Final
b,r,e,a,k
