TCT Pro-Elite Challenge (Colorado Cup) 2018,Club - Men ,7,7,2018
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018/schedule/Men/Club-Men/
Sockeye,8
0,Jacob Janin
01,Camden Allison-Hall
02,Brice Dixon
04,Zachary Goulson
05,Simon Montague
09,Sam Harkness
10,Dongyang Chen
11,Christian Foster
12,Tony Venneri
14,Xander Cuizon Tice
15,Derek Mourad
16,Trent Dillon
17,Zane Rankin
19,Husayn Carnegie
22,Matthew Russell
23,Danny Karlinsky
24,Joe Sefton
25,Frank Devin Barich
27,William Katz
28,Duncan Linn
31,Matthew Rehder
34,John Randolph
37,Thomas  Kulczak
55,Dylan Freechild
70,Julian Hausman
77,Ben Snell
87,Chris Kosednar
b,r,e,a,k
Madison Club,12
01,David Wiseman
02,Logan Pruess
06,Bill Everhart
07,Avery Johnson
09,Andrew Meshnick
10,Victor Luo
14,Sef van Kan
18,Mike Kobyra
20,Glenn Poole
22,Rami Paust
23,Tarik Akyuz
24,Sam Hebert
24,Logan Grothus
25,Ryan Tucker
26,Peter Graffy
27,Elliot Mawby
28,Noah Nicol
32,Colin Camp
42,Chase Marty
48,Thomas Coolidge
66,Ted Schewe
68,Benjamin Nelson
76,Colin Grandon
80,Kevin Pettit-Scantling
92,Kevin Brown
b,r,e,a,k
Doublewide,1
1,Jason Holleran
2,Matthew Bennett
4,Jay Froude
6,Michael Matthis
7,Kurt Gibson
10,Kaplan Maurer
11,Robert Lewis
12,Andrew Walch
13,Dalton Smith
14,Carter Hollo
16,Chris LaRocque
19,Ethan Pollack
20,Chase Cunningham
21,Connor Ughetta
22,Griffin Miller
26,Noah Chambers
27,Kyle Henke
28,Elliott Moore
29,Mick Walter
31,Brandon Malecek
33,Ryan Purcell
34,Henry Furuta
43,Ben Lewis
50,Matthew Armour
99,Joshua Zdrodowski
b,r,e,a,k
Medicine Men,13
5,Cody Smith
01,Jeffrey Brandle
02,James Robb
03,Joseph DiPaula
06,Frederick Perlman
08,Houston Parks
10,Peter Mancini
12,Christopher Bernard
14,Joseph Patterson
16,Dennis Maclaine
17,Michael Moses
19,Aaron Langley
20,Cortland Broyles
22,BRETT BOYLE
29,Matthew Dennin
34,Isaiah Radcliffe
35,Matthew Neeley
45,Jeremy Hess
46,Benjamin Scharadin
50,Rudra Menon
51,Kevin Versteeg
52,Raymond Mendoza
b,r,e,a,k
Chicago Machine,7
0,Jesse White
05,Bradley Bolliger
08,Stephan Mance
10,Von Alanguilan
11,Nathan Goff
12,Kyle Rutledge
13,Alex Evangelides
14,Jeffrey Weis
15,Andrew Sheehan
16,Yiding Hou
17,Jack Shanahan
18,Cullen Geppert
19,Jack Shey
22,Alex Champe
24,Michael Pardo
25,Ross Barker
26,Kevin Kelly
28,Joseph Cari
31,Walden Nelson
32,Sam Kanner
36,Timothy Fergus
37,Travis Carpenter
51,Andrew (AJ) Nelson
55,Pawel Janas
64,Neal Phelps
b,r,e,a,k
Patrol,11
01,Nicholas LaRue
03,Paul Klimkowski
08,Nick Patel
09,Himalaya Mehta
10,Ethan Fortin
11,Alex Atkins
13,Quinn Hunziker
18,William Sickles
19,Thomas Allen
20,David Baer
21,Francisco Gomez
