D-III Midwestern Invite 2018,College - Men ,17,3,2018
https://play.usaultimate.org/events/D-III-Midwestern-Invite-2018/schedule/Men/CollegeMen/
Air Force,1
29,Zoe Bakken-Heck
42,Jacob Kacik
55,Sean Connolly
73,Jason Fujii
b,r,e,a,k
Whitman,2
0,Ben Lahr
0,Benjamin Katz
0,Craig Brunner
0,Haven Dick-Neal
0,Jesse Sindelar
0,Joshua Shin
0,Luke Williford
0,Ryan Kierulf
0,Sam Huston
2,Robert Farwell
3,Jordan Payne
5,Jens Suhr
6,Maxwell Sheffield
9,Nate  Raphael
12,Eli Cohen
16,Alex Walsh
17,David Dregallo
23,Tobias Zabel
28,Jacob Klusmeier
34,Jarrett Arakaki
47,Tivon Sadowsky
66,Noah Schlenk
85,Al Brettmann
99,Gabriel Zansberg
b,r,e,a,k
Michigan Tech,10
8,Tyler Latta
01,Adam Cronin
02,Nicholas Weykamp
03,Michael Millado
05,Ian DeVlieg
06,Franklin Uganski
09,Mitchell DeNooyer
10,Leah Arnt
11,Jason Worful
12,Chad Heldt
13,Justin Skinner
16,Ryan Sutherland
17,Brendan McCann
19,Zachary Dal Pra
21,Drake Slater
22,Noah Budd
23,Sean Smith
32,Alex Mardlin
35,Kevin Anthony
37,Matthew Krause
51,Conner Reed
56,Gregory Korinek
67,Edward Elliott
69,David Bellinger 
b,r,e,a,k
Cedarville,7
4,Luke Custer
03,Aaron Cannon
11,Colin Dellaperute
15,Jake Kenniv
16,Nathanael Olander
17,Stephen Ingis
21,Andrew Harshbarger
23,Josiah Kenniv
24,Zach Von Eiff
25,Malachi Marshall
25,Aaron Keck
42,Jacob Fierer
50,Jack Swenson
54,Matthew Oh
68,Mark Handel
69,Jake Johnson
73,Philip White
88,Christian Klinker
89,Jason Paulus
95,Tom Lowry
99,Peter Solvang
b,r,e,a,k
Trine,15
0,Joe Manganiello
3,Robert Gorman
6,Stephen Dickerson
7,Antonio Fonseca
10,Noah Spicer
12,Alex Risk
13,Mikola Medich
14,Adam McHenry
15,Seth Vorhees
18,Levi Robarge
21,Brec Musselman
24,Ronald Everitt
29,Jamison Bever
31,David  Cox
36,Robert Deitrick
b,r,e,a,k
Olivet Nazarene,18
0,Colleen DeVries
0,Emily Eisenbeis
0,Hudson Whittaker
0,Jacob Woodard
0,Jasmin Folkers
0,Manuela Castillo
0,Natalie Lang
1,Andrew Bender
2,Kevin Cheney
7,Michael King
9,Victoria Skrebunas
16,Jack Corcoran
19,Luke Wilson
23,Kyle Trojan
35,Robert Schmalz
44,Bryce Poole
50,Ethan Eisenbeis
59,Jordan Verhulst
77,Robert Mueller
83,Ben Mannaioni
b,r,e,a,k
Wheaton (Illinois),3
03,Hawken Sawyer
06,Joel Armstrong
07,Charlie Primuth
08,Holden Thompson
11,Donovan Gleeson
12,Ryan Jacobsen
15,Chris Eaker
16,Evan Briggs
17,John Bayer
20,Laramie Aspegren
22,Jonah Karls
23,Caleb Kim
24,Joshua Creedon
29,Daniel Sedlacek
34,Andrew Morton
35,Nathan Schaller
37,Sam Wilson
41,Jacob Van Dyke
44,Jonathan Larson
55,Payden Carter
71,Andrew Reay
77,Paul Wearden
90,Asher Bernardi
91,Matthew Wilhite
94,Alex Glynn
99,Thomas Chung
b,r,e,a,k
St. Thomas,11
0,Alec Henriksen
0,Braden Bever
0,Carter Dupre
0,Corey Berg
0,Dan Mulally
0,Eric Morris
0,Jonathan Moen
0,Paul Youngblood
0,Lucas  Tucker
0,Michael Gustin
0,Nathan Jacobsen
5,Kyle Mullin
13,Mitchell Allen
39,Brendan Corbin
41,Anthony Tufo
42,Matthew Larsen
46,Joe Lagorio
72,Blake Blotsky
95,Eric Volkmeier
99,Nate Haines
b,r,e,a,k
Bradley,14
0,Adam Chase
0,Austin Schelfhout
0,Bryce Steenstra
0,Evan Decker
0,Joshua Christopher
0,Kyler Bash
0,Nick Bauer
0,Timothy Koch
1,Matthew Moloney
4,Richard Sidlowski
13,Caleb Backstrom
b,r,e,a,k
Union (Tennessee),6
6,Levi Shaw
00,Trevor Fox
03,Tanner Cherry
05,Dakota Stedman
07,Ian Maupin
09,Josh Bowden
10,Josh Leamon
11,Alexander Aden
12,avery Parks
15,Ethan Bond
16,Daniel  Yurov
17,John David Logan
20,Desmon Stubblefield
21,Riley Boggs
39,Stephen Lewoczko
40,Ivan Isaacs
77,Jeff Williams
87,Nathan Van Neste
99,Noah Graves
b,r,e,a,k
Wisconsin-Platteville,19
0,Ben Miller
0,Colin Maus
0,Derek  Schultz
0,Kyle Swenson
0,Patrick Peplinski
17,Tyler Stiers
77,Evan Adair
b,r,e,a,k
Brandeis,4
2,Benjamin Rosenfeld
6,Alden Sanford
8,Josh Eisemann
9,Steven Chen
10,Adam Dean
13,Eric Home
16,Declan Lynch
17,Joshua Heller
19,Ethan Sternberg
21,Benjamin Korman
22,Dylan Quinn
25,Cameron Park
29,JUSTIN MAHER
30,Russell Tan
32,Andrew Marshall
40,Gabriel Fontes
42,Robert Singer
49,GABE ADLER-COHEN
50,Daniel Lay
55,Chris Armstrong
74,Yubo Zhang
77,Zev Kaufman
87,Connor Chin
99,Jordan Kaufman
b,r,e,a,k
Xavier,5
0,Chris Alber
0,Andrew Batchelder
0,Benjamin Howard
0,Samuel Fox
0,Nick Bolander
0,Thomas Siva
0,Will Keitel
2,Eric Coglianese
4,Logan Murray
5,Trey Blake
8,Kevin Davis
11,Sam Dreyfuss
12,Leo Schmitt
13,Spencer Woolson
14,Sam Settlemyre
18,Tristan Shafer
32,Steven Demboski
33,Mason Maginn
42,Blake Eichenberger
50,Matt Gardocki
62,Thomas Judy
b,r,e,a,k
Knox,12
02,Ezra Schley
04,Caleb Gumanow
