Founders Men's Sectional Championship,Club - Men ,8,9,2018
West Chester,PA,2018-09-08,2018-09-09
https://play.usaultimate.org/events/Founders-Mens-Sectional-Championship-2018/schedule/Men/Club-Men/
Pittsburgh Temper,1
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,Andrew Willig
0,Andrew Kohl
01,Max Sheppard
02,Jonathan Mast
03,Patrick Earles
04,David Vatz
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
10,Max Thorne
11,Leo Warren
12,Justin Abel
14,Kenny Furdella
15,Dylan Best
17,Matthew Hanna
24,Alexander Thomas
27,Jasper Tom
29,Hafeez Shams
35,Dan Goldstein
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Jake Rovner
48,Jimmy Towle
49,Sam VanDusen
52,Aaron Collins
71,Tad Wissel
79,Michael Ing
81,Tyler DeGirolamo
b,r,e,a,k
Helots,7
teamInfo,,"Sparta, New Jersey",,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
0,Abin Alexander 
0,Alfred Maler
0,Gabe Taylor
0,Jacob Farnham
0,Derek  Oberleiton
0,John Denman
0,Jordan Disick
0,Justin Li
0,Kevin Potter
0,Kevin Latwis
0,Thomas Colen
5,Andrew Huang
9,Eric Cooney
11,Jeff Keenan
15,Sean Maxcy
16,Brandan Quinn
17,Devin Foster
22,Jeff Perosi
23,JONATHAN BOYLE
24,Matt Cultrera
51,Patrick Callahan
52,Kevin Scales
80,Stephen Snelson
88,Christopher White
90,Daniel Clark
b,r,e,a,k
Lehigh,16
teamInfo,Lehigh ,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Andrew Ridings
0,August Eurich
0,Ben Durkee
0,Christian Chapis
0,Damon Luk
0,Jake Donoghue
0,Jeremy Hunter
0,Karch Klos
0,Noah Haber
0,Noah Katz
0,Robert Griswold
0,Samuel Paleologopoulos
0,Sean Cranney
0,Shawn Silverman
0,Thomas McManus
0,Tino Magazzolo
0,David Widdowson
0,Will Corsello
6,Alex Schlegel
17,Owen Davies
20,Sean McCoy
35,Valentin Post
36,Ethan Holmgren
40,Evan Williams
69,Daniel Fay
b,r,e,a,k
Trenton Takers,10
teamInfo,,"Trenton , New Jersey",,,
0,AARON BUSS
0,Christopher Flagg
0,John Buss
0,Justin Principi
0,Justin Kinkead
0,Marc Sands
0,Matt Tacheron
0,Simon Feeman
0,Woo Jin Ho
0,Zachary Sands
5,Kevin Venose
18,Jake Doyle
27,William Reed
29,Gabriel Price
46,Austin Bonelli
47,Akshat Rajan
76,Brian Williams
76,Adam Kracht
97,Kevin Lin
98,Reuben Saul
b,r,e,a,k
Rumspringa,8
teamInfo,,"Virginville, Pennsylvania",,,
0,Breton Dietrich
0,Brett Sawyer
0,Arthur Shull
0,David Hampson
0,Dustin Damiano
0,Greg Martin
0,Greg Esser
0,Greg Strouse
0,Jared Seyler
0,JOHN (JACK) KELLY
0,Kyle Wolf
0,Matt Esser
0,Zach Thurston
1,Rob Allan
1,Sam Alston
24,Sean Johnston
24,Colby Clarkson
48,Benjamin Broser
72,Michael Martin
74,David Kelly
97,David Zurbuchen
b,r,e,a,k
Garden State Ultimate,2
teamInfo,,"Princeton, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
coaches,Eileen Murray,Gregory Stolowski
0,Brian Magerr
0,Conor Kline
0,Jesse Hynes
0,Matt Lefebvre
0,Roosevelt Ward
2,Andrew O'Connor
3,Elliot Lee
4,Jordan Richmond
5,Michael Campanella
6,Miles Eckardt
6,Jibran Mieser
8,Sean Reischel
9,Kevin Wang
10,Shashank Alladi
11,Scott Xu
12,Bobby Puhak
16,Alex Liu
23,Angelo Olcese
25,Charlie Patten
26,Colin Masino
34,Jacob Price
46,Tristan Yarter
61,Matthew Weintraub
64,Benjamin Levy
77,Bo Li
82,Marques Brownlee
96,David Wenzel
b,r,e,a,k
Mailmeñ,9
teamInfo,,"4040 Quakerbridge, New Jersey",,,
0,Aylen Learned
0,Benjamin Harris
0,Eric Weber
0,Jack Liebling
0,Jack Schwartz
0,Jacob Doss
0,Jeffrey Zhou
1,John Venezia
1,David Brewster
7,Christopher Ng
18,Simon Prushan
21,Cole Feltman
23,Russell Moy
31,Matt Stravach
34,Max Spiegel
36,Chris Kelly
47,Ethan Smith
57,Eric Cantor
84,Christopher McGlynn
b,r,e,a,k
Bearproof,15
teamInfo,,"Harrisburg, Pennsylvania",,,
0,Dan Ruban
0,Brandon Monahan
0,Jared Lescavage
0,Josh Heindel
0,Mark Kurtz
0,Mitchell Lauer
0,Nick Maida
0,Philip Williams
0,RYAN COYLE
0,Shawn Harty
1,Zane Harnish
2,Jordan Ashbaugh
2,Daniel Naylor
4,Jared Smith
13,Myles Williams
15,Colin Campbell
20,Ryan Hushon
24,Dustin Henken
25,Giovanni Ruggirello
50,Matt Burkhead
59,Peter  Gerdt
94,Nate Harnish
b,r,e,a,k
CITYWIDE Special,3
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
coaches,Daniel Wickens,Paul Minecci,Stephen  Panasci
0,Eric Witmer
00,Greg Mohler
00,Harry McNamara
00,Igor Smola
00,Jake Butrica
00,James Pollard
00,James (Jimmy) Clarke
00,John Protopapa-Henkel
00,Jordan Ciccarone
00,Joshua Norton
00,Luke Greenley
00,Nate Long
00,Nathaniel Donaher
00,Owen Mayer
00,Patrick Lindsey
00,Paul Savarskyy
00,Paul Owens
00,Roger Chu
00,Tim Kreutzfeldt
00,Allan Michel
00,Andrew Seibert
00,Brandon Lamberty
00,Colin McIntyre
00,Connor Boyle
00,Dylan Smith
00,Eddie Scott
16,Matthew Michelson
b,r,e,a,k
Adelphos,5
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/philadelphosult?lang=en
0,Adam Callaghan
0,Carter Hartmann
0,Donovan Hugel
0,Ian Smith
0,Jacob Arnold
0,Kyle Bradley
0,Matthew Brenfleck
0,Myles Cooper
0,Robert Catzen
0,Roberto Wingfield
6,Joel Prushan
9,Sam Gilden-Weiner
13,Summer Zheng
13,Bryan Walter
14,Harrison Schell
15,Casey Zhu
18,Cameron Rabinowitz
21,Dillon Garrett
22,Logan Yu
23,Ian Dietrich
29,Chris Vanni
33,Jeremy Fus
36,Boris Li
44,Parker Kerrigan
47,Nate Little
61,Timothy Predmore
86,Brett Wall
b,r,e,a,k
Puppies,12
teamInfo,,"Pittsburgh, Pennsylvania",,,
coaches,Ben Morgenstern
0,Aiden Landis
0,Brian Ward
0,Daniel Tometich
0,Dmitri Zalnasky
0,Josh Pogue
0,Julian Galbraith-Paul 
0,SAM JENNINGS
0,Timothy Hu
3,Charles Lee
4,Jacky Chung
7,Santino Marchesano
14,Aaron Greenberg
21,Carlo Vignali
21,Noah Robinson
23,Alexander Yang
31,David Tulin
34,Austin Alvarado
34,Henry Ing
42,Zac Cook
43,Matthew Hess
44,Michael Hayden
49,Dan Nichols
72,Eli Block
81,Steven Hocker
b,r,e,a,k
Space Force,14
teamInfo,,"Pittsburgh, Pennsylvania",,,
06,Adam Assaad
11,Clifford Ressel
18,Phillip Wang
21,David Chao
26,Eric Ricci
26,Ryan Harty
29,Peter Zaccardi
34,Eric Li
41,Kaizad Taraporevala
44,Juan  Cortes
48,Charles Kammerer
58,George Robert Halvorsen Jr.
65,Curtis Wang
69,Ryan Hoffman
92,Theo Gonzales-Tapley
96,James Crews
99,Scott Harvey-Arnold
99,Steven Mogielski
b,r,e,a,k
Slag Dump,4
teamInfo,,"Pittsburgh, Pennsylvania",,,https://twitter.com/pghslagdump
coaches,Scott Olinger
0,Vivek Devaraj
00,Zachary Risinger
00,Jesse Evans
00,Alex Spenceley
00,Alton Olson
00,BRIAN CALCUTT
00,Casey Mann
00,Henry Novara
00,Marquis Cofer
00,Matt Reynolds
00,Matt Walheim
00,Max Thompson
00,Michael Sodini
00,Nicholas Gigliotti
00,Niko Jarema
00,Noah Weintraub
00,Russell Ruffolo
00,Tim Wendlandt
00,Trent Greener
05,MARK  SCHWOEGL
11,Jake Davis
14,Kenneth McQuail
27,Jeremy Kanter
34,Liam Rosen
52,Ellis Baehr
69,Jesse Holloway
96,Kamal Raslan
b,r,e,a,k
JAWN,6
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/JAWN_Ultimate
0,Andrew Park
0,Andrew Ngo
0,Ashley Panicker
0,Benjamin Cozzolino
0,Craig  Gerard
0,Gregory Fallon
0,Harvish Mehta
0,John Mikitsh
0,Mitchell Gaylord
0,Matthew Kirk
0,William Shutt
0,Zach Klee
0,Zack Eskin
2,Evan Maynard
3,Joshua Fieseher
7,Kevin Woodring
8,Evan Kashan
13,Brice Dunn
16,Patrick Kelly
18,Adam Novak
21,Paul Anouna
25,Edward Brakoniecki
32,Robert Walker
37,Ryan Coughlan
39,Michael Facinelli
89,Joshua Heacock
99,Jordan Clever
b,r,e,a,k
Tune-UP,13
teamInfo,,"New Brunswick, New Jersey",,,
0,Alexander Cretella
0,Dyllon Jeng
0,Henry Chang
0,Ian Lee
0,Kyler McKee
