Metro New York Mixed Sectional Championship,Club - Mixed ,9,9,2018
Middletown,NY,2018-09-08,2018-09-09
https://play.usaultimate.org/events/Metro-New-York-Mixed-Sectional-Championship-2018/schedule/Mixed/Club-Mixed
XIST,1
1,Robert Smith
2,Karen Chalif
3,Gary Dixon
6,Jessica Shatkin
7,Ryan Drost
9,Isaiah Bryant
10,Tricia Smit
11,Angel Li
12,Joe Babbino
14,Robert Rickert
15,Matthew Baum
16,Sasinya Scott
17,Kevin Ludwig
18,Caitlyn Hauswirth
19,Tim Gilboy
21,Cara Brown
22,Alexander Hem
24,Julie Xia
28,Rachel Attix
33,Brian Varis
36,Matt Wiener
42,Tim Kominos
44,Ruthie Tabatchnick
52,Sarah Kay Dela Cruz
80,Hannah Garfield
85,Jacqueline Lee
88,David Koch
b,r,e,a,k
Grand Army,3
0,Abigail Schuster
0,Alex Eacker
0,Andrew Bustle
0,Andrew Werblin
0,Elizabeth Merritt
0,Gina Stees
0,Christopher Cox
0,Darren Defreeuw
0,Henry Zhang
0,Jeannine Opie
0,Jimmy Chen
0,Kevin Hsu
0,Kyle Blaeuer
0,Miranda Moore
0,Stephen Schaffenberger
04,Alicia Monfre
05,Josette (Josie) Pratt
06,Jae Lee
11,Hayley Manning
13,John Sakon
14,Brianna Dayer
15,Helen Samuel
17,Kevin Donlin
22,Edith Iyer-Hernandez
24,Sean Petterson
42,Miriam Nielsen
69,Peter Luo
b,r,e,a,k
Birds,4
0,Brandon Eng
0,Brian Walsh
0,Chris Walsh
0,Allison Dowling
0,Danica Vasa
0,John Shelley
0,Madison Cannon
0,Madison Asher
0,Marisa Gargaro
0,Matthew Auletta
0,Veronica Auletta
1,May Patino
8,Angela Petrus
10,Patricia Burks
11,Josiah Zoodsma
15,James Green
17,Whitney McCarthy
21,Christopher Cabot
22,Marisa Taliercio
24,Benjamin Sokolowsky
30,Jessica Jolley
31,Collin Bartoldus
38,Will Burks
40,Justin Thomas
42,Kevin Burke
54,Daniel Stern
96,Eric Cannella
b,r,e,a,k
The Feminists,2
0,Alberto Alarcon
0,ANDREW WILKES
0,Anna Meyendorff
0,Avery Reed
0,Brandon Contarsy
0,Chris Nelson
0,Christina Chin
0,Courtney Remm
0,Cynthia Jones
0,David Vuckovich
0,Eliot Bemis
0,Kara Neaton
0,Katie Talay
0,Kim Tischler
0,Kristie Wong
0,Rebekah Souder-Russo
0,Robert Devoogd
0,Samuel Taylor
0,Sophie Hines
0,Tom Sum
0,Minerva Muzquiz
5,Peter Gilchrist
24,Brendan Awerbuch
27,Lionel Wininger
31,Julie Paik
33,Luke Wolckenhauer
42,John Geraghty
b,r,e,a,k
Powermove,8
00,Alex Becker
00,Anna Hermann
00,Brandon Beeler
00,Camille Victoria Delgado
00,Celeste Royo
00,Clair Beltran
00,Devon Harvey
00,Drew Leventhal
00,Elizabeth Meiman
00,Eric Zimmerman
00,Ethan Jones
00,Harper Gany-Beitler
00,Hy Ha
00,Jean Colangelo
00,Jennifer Song
00,Jessica Chen
00,John Patrick (JP) Letourneau
00,Jonathan Read
00,Jordan Chow
00,Jose Sosa
00,Kylie Sterling
00,Oscar Kohut
00,Rebecca Cawkwell
00,Samuel Szuflita
00,Winston Ely
00,Zach Bark
b,r,e,a,k
Alt Stacks,5
00,Adam Neu
00,Amanda 'Leia' Walker
00,Andrea Jones
00,Anthony Ji
00,Barb Banz
00,Daniel Arnold
00,Daniel Percival
00,Emily Giampaoli
00,Eric Hemphill
00,Guinevere Rauch
00,Holland Florian
00,Iris Lam
00,John Maher
00,Jonathan  Novitski
00,Joseph Corcoran
00,Julia Mankoff
00,Liam McAuliffe
00,Liana Lin
00,Mark Falinski
00,Nicholas Cortina
00,Rebecca Foster
00,Guangping Chu
00,Timothy Liu
00,Vicki Mackowka
00,Yigit Demiralp
b,r,e,a,k
Nautilus,6
0,Erin O'Neill
0,Jeff Smith
03,Andrew Munson
04,Cara Battersby
05,Leanna Sprague
05,Matthew Kerendian
07,Ian Adelstein
08,David Rundio
08,Drew Woods
08,ARDEN HOLBEIN
08,Sale Rhodes
09,Michael Cuan
12,Allyse Fazio
12,Gregory Burns
14,Meredith Corsi
18,Mark Nixon
21,Teddy (Edward) Straub
22,Alan Henzy
22,Christopher Kozey
23,Logan Edwards
24,Tate Molaghan
26,Mary Cuan
32,Bryan Sprague
37,David Griffin
42,Mark Lessard
44,Emily Bonazelli
47,Jason Ellis
b,r,e,a,k
Funk,7
0,Briana Chanowitz
0,Caroline Turner
0,Christopher Hummel
0,Katharine Bedrossian
0,Kimsun Barber
0,Matt Duffy
0,Allie Dimura
0,Alyssa Starrantino
0,Meghan MacEnroe
0,Meta Learey
0,Noam Fisherman
0,Robert (Bobby) Owens
0,Zachary Schiff
3,Christina Coppola
7,Isaiah Casiano
7,Walter Roosa
14,Nicholas Rompala
16,Matthew Keegan
29,Jesse Moore
80,Anthony Coppola
94,James  O'Connell
b,r,e,a,k
Unlimited Swipes,9
0,Angel Weng
0,Clara-Ann Joyce
0,Erin Casey
0,Julie Ha
0,Kelsey McDermott
0,Kendall Payne
0,Madeline Abel
0,Matthew Lingam
3,Allie Hinsberg
5,Michael Valdez
6,Michael Settles
9,Meghan Goodale
12,Terence To
13,Antonio Valentin
13,Adam Wesley
20,Paul Westin
25,Patrick Sheil
26,Anthony Havens
26,Arianna Munro
33,Alexandria Vawter Istok
48,S T
52,Patrick Stewart
73,Bohao Liu
93,Matthew Goodale
95,Connor Dougherty
b,r,e,a,k
Bees,12
0,Brandon Hughes
0,Brian Cotter
0,Brigett Echeverria
0,Christopher Kizis
0,Dan Johnson
0,Delia Sheehan
0,Jack Hueber
0,Joseph Curry
0,Leanne Beyel
0,Lindsey Stevens
0,Mark Skinner
0,Philip Iaccarino
0,Sarah Cotter
0,Scott Mulderig
0,Michelle Fincken
0,Monique Galanti
0,Stacey Ng
0,Troy Lounsbury
0,Zachary Reifschneider
4,Matthew Capone
4,Frederick Hahn
10,Sean McCoy
12,Dylan McCarty
13,Cody Brady
14,Ariana Ambrosio
28,Matthew Bartell
51,Paul McDermott
b,r,e,a,k
Turnstyle,13
0,Alec Orgera
0,Andy Zhu
0,Anne Zhang
0,Evan Pliskin
0,Janae Stewart
0,Jamie Mercado
0,Chi Hiu Yim
0,Keith Dobson
0,Kyle Chylinski
0,Laura Kaplan-Weisman
0,Marshall Pollack
0,Maryann Platt
0,Phillip Hou
0,Rachel Tornheim
6,David Gallagher
7,Khunsa Amin
7,Muhaiminul Haque
21,Jonathan Chylinski
40,Sora Kim
44,Andrew Weisman
52,Joshua Olin
73,Caleb Fine
b,r,e,a,k
Pink Pear,14
0,Arron Danehy
0,Cassandra Silano
0,Daniel Thornton
0,Katherine Bulger
0,Kerianne Coulon
0,Kylie McClay
0,Mark Donohue
0,Jake Gershon
0,Jamie Hong
0,Sarah Sheldon
0,Timothy Lambert
6,Brianna Galloway
7,Michael Sheldon
8,Rachel Hidek
11,Owen Lucano
14,Samantha Gonzalez
28,Michael Harley
