Midwest Throwdown 2018,College - Men ,3,3,2018
Columbia,MO,2018-03-03,2018-03-04
https://play.usaultimate.org/events/Midwest-Throwdown-2018/schedule/Men/CollegeMen/
Illinois State,4
teamInfo,EauZone,"Eau Claire, Wisconsin",,https://www.facebook.com/pages/Eauzone/123562074416368,https://twitter.com/eauzoneultimate
0,Jack Tyler
0,Jayden Flipp Connolly
1,Sam Sincere
3,Jacob Ertz
7,Kristian Johnson
9,Armond Jellum
10,Adam Egemo
13,Matthew Farwell
18,Andrew Cotter
21,Patrick Cooney
23,Tyler Urness
24,Spencer King
27,Josh Yira
28,Anthony Doan
33,Ryan Schultz
42,Eric Stadtmueller
44,Colin Williams
49,Cordell Kapusta
57,Colin  Sodemann
64,Dalton Dowd
76,Blake Van Vooren
77,Cole Edgell
78,Ryan Rodriquez
83,Joseph Schmitz
99,Shae Callewaert
b,r,e,a,k
Carleton College-Hot Karls,24
teamInfo,Hot Karls,"Northfield, Minnesota",,,https://twitter.com/HotKarlsAreOK
02,Tim Adler
03,Fin Ouweleen
04,Ben Sirulnik
06,David Gallagher
07,Will Thompson
08,Blake Johnson
09,Micah Nacht
10,Simon Bilsky-Rollins
11,Samuel Miles
12,Samuel Nozaki
14,Eli Inkelas
15,Tim Mikulski
16,Nick Leeke
17,Sam Stevenson
18,Ishmael Maxwell
19,Samuel Terwilliger
20,Christopher Leppink-Shands
21,Dennis Wei
22,Gavin Young
23,Gabriel Lobet
24,Julian Szieff
25,Finnian Tierney
26,Zach DiNardo
33,Silas Monahan
34,Louis Stein
36,Miko Zeldes-Roth
42,Caleb Rosen
43,Aidan Wolff-King
58,Daniel Atkins
69,Ezra  Ward-Packard
94,Ethan Ta
b,r,e,a,k
Illinois State (B),29
teamInfo,Gnomes B,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
0,CHRIS  OESTERREICH
0,Christian Trujillo
0,Kyle Ooley
0,Nick Williamson
0,Robert Lewis
0,Shivam Boghra
0,Aaron Zilinskas
2,Dexter Straczek
11,Josh Graunke
17,Kevin Szczygiel
35,Zach Eiden
47,Bill Kellens
b,r,e,a,k
Kansas State,16
teamInfo,Wizards,"Manhattan, Kansas",,,
0,Brett Dare
0,Cody Pretzer
0,Darien Parr
0,Davis Roe
0,Drew Mechnig
0,Erik Hjelmaas
0,Kyle Bauer
0,Luke Grieger
0,Nash Johnson
4,John Winter
7,John Benfer
9,Robert Small
15,Spencer Roberts
15,Dan Gould
19,Branden Schneider
23,Alan Pohl
b,r,e,a,k
Missouri S&T,13
teamInfo,Miner Threat,"Rolla, Missouri",https://www.minerthreatultimate.com/,https://www.facebook.com/groups/8025742180/,https://twitter.com/miner_threat?lang=en
0,Gavin Adams
0,Matthew Gentry
5,Quinten Volz
6,Rusty McDonald
9,Christopher Dolles
10,Ezekiel Peterson
12,Brendan Carriel
13,Daniel Drury
15,Shashank Nedungadi
16,Nate Clancy
20,Jared McKay
21,Brody Johnson
24,William (Will) Imming
25,Kelly Mauntel
27,Cameron Leonard
28,Eric Chavez
30,Trevor Nenninger
35,Richard Murphy
36,Louie Bertoncin
39,Sandy Gu
42,John Markiewicz
44,Lawrence Eastman
48,Justin Flynn
69,Robert Taylor
78,Mitchell Zimmmermann
b,r,e,a,k
Wisconsin-Oshkosh,28
teamInfo,UFO,"Oshkosh, Wisconsin",,https://www.facebook.com/ultimatefrisbeeoshkosh/,https://twitter.com/OshkoshUltimate
0,Austin Lehman
0,Ben Percy
0,Donald Smith
0,Ryan Carney
0,Thomas Thorson
0,Tylor Sernec
1,Nick Lilla
8,Jake Beno
