Midwest Throwdown 2018,College - Men ,3,3,2018
Columbia,MO,2018-03-03,2018-03-04
https://play.usaultimate.org/events/Midwest-Throwdown-2018/schedule/Men/CollegeMen/
Illinois State,4
Wisconsin (B),Drake,15,3,"03/04/2018, 12:30",17TH SEMIS O,Final
Wisconsin-Eau Claire,Wisconsin-Oshkosh,13,9,"03/04/2018, 08:30",17TH QUARTERS O,Final
Luther,Northern Illinois,15,6,"03/04/2018, 08:30",17TH QUARTERS O,Final
Wisconsin (B),Washington University (B),15,5,"03/04/2018, 08:30",17TH QUARTERS O,Final
Drake,Grinnell,15,6,"03/04/2018, 08:30",17TH QUARTERS O,Final
bracket,19TH PLACE O
Wisconsin-Eau Claire,Drake,16,14,"03/04/2018, 14:30",19TH PLACE O,Final
bracket,21ST PLACE O
Northern Illinois,Washington University (B),15,5,"03/04/2018, 14:30",21ST PLACE O,Final
Wisconsin-Oshkosh,Northern Illinois,8,15,"03/04/2018, 12:30",21ST SEMIS O,Final
Washington University (B),Grinnell,15,8,"03/04/2018, 12:30",21ST SEMIS O,Final
bracket,23RD PLACE O
Wisconsin-Oshkosh,Grinnell,0,1,"03/04/2018, 14:30",23RD PLACE O,Final
bracket,25TH PLACE O
Northwestern (B),Carleton College-Hot Karls,8,15,"03/04/2018, 14:30",25TH PLACE O,Final
Northwestern (B),Illinois State (B),15,9,"03/04/2018, 12:30",25TH SEMIS O,Final
Carleton College-Hot Karls,Iowa State (B),14,10,"03/04/2018, 12:30",25TH SEMIS O,Final
Northwestern (B),Wisconsin-Milwaukee (B),13,4,"03/04/2018, 10:30",25TH QUARTERS O,Final
Wisconsin (C),Illinois State (B),6,15,"03/04/2018, 10:30",25TH QUARTERS O,Final
Carleton College-Hot Karls,Marquette (B),15,4,"03/04/2018, 10:30",25TH QUARTERS O,Final
Iowa State (B),Drury,13,11,"03/04/2018, 10:30",25TH QUARTERS O,Final
bracket,27TH PLACE O
Illinois State (B),Iowa State (B),9,7,"03/04/2018, 14:30",27TH PLACE O,Final
bracket,29TH PLACE O
Wisconsin-Milwaukee (B),Drury,1,0,"03/04/2018, 14:30",29TH PLACE O,Final
Wisconsin-Milwaukee (B),Wisconsin (C),12,9,"03/04/2018, 12:30",29TH SEMIS O,Final
Marquette (B),Drury,11,15,"03/04/2018, 12:30",29TH SEMIS O,Final
b,r,e,a,k
