Atlantic Coast Open 2018,College - Men ,24,3,2018
Virginia Beach,VA,2018-03-24,2018-03-25
https://play.usaultimate.org/events/Atlantic-Coast-Open-2018/schedule/Men/CollegeMen/
Tufts,1
1,Udit Sharma
3,Luke Reilly
6,William Franceschi
7,Francisco  Lopez
10,Christopher Leung
10,Miles McKey
11,Vincent Wu
13,Eric Hu
15,Casey Zhu
16,Matt Sklar
17,Adam Orla-Bukowski
19,Noam Halpern
21,Jeffrey Zhang
22,Sam Pallay
23,Angelo Olcese
25,Aleck Zhao
27,Timothy Bedard
28,Kieren Rudge
35,Mohammed Mumtaz
36,Alexander Lindsay
37,Calvin Barber
47,Matt Brotman
49,Colin Bilyeu
56,James (Jimmy) Clarke
70,Chetan Kamath
99,Tim Shade
b,r,e,a,k
Duke,17
teamInfo,Brimstone,"Durham, North Carolina",,https://www.facebook.com/dukeBrimstoneUltimate/,https://twitter.com/Duke_Brimstone
0,Andrew Wilcox
0,Bilva Sanaba
0,Caleb Gershengorn
0,Edward Zhuang
0,Irving Rein
0,Jacob Levine
0,Jeffrey He
0,Kyle Newman
0,Matthew Sanders
0,MATTHEW CLEAVELAND
0,Nicholas Donadio
0,Remy Freire
0,Ryan Corrigan
0,Ryan Mann
0,Shailen Parmar
6,Andres Nazario
12,Benjamin Williams
24,Cade McCurdy
25,Evan Mapes
29,Joshua Smith
31,Junmo Ryang
32,Jack Cohen
77,James Boyd
90,Paul Wang
b,r,e,a,k
Lehigh,9
teamInfo,Lehigh ,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Carter Hartmann
0,Christian Chapis
0,Christopher O'Byrne
0,Anmol Madaan
0,Ben Durkee
0,Jeremy Glennon
0,Kevin Latwis
0,Noah Katz
0,Sean Cranney
0,Stuart Gordon
0,Thomas McManus
0,Tino Magazzolo
0,William Delucia
6,Alex Schlegel
11,Ian Haney
20,Sean McCoy
23,Caleb Leaser
26,Vincent Rienzi
36,Ethan Holmgren
47,Sam Joynson
61,Timothy Predmore
69,John Lund
b,r,e,a,k
George Mason,12
teamInfo,Massacre,"Fairfax, Virginia",http://www.masonultimate.com,https://www.facebook.com/pages/George-Mason-Ultimate/355962851189291,https://twitter.com/MasonUltimate
0,Donovan Waters
0,Jacob Wescott
0,Matthew Eiman
0,Nick Givens
0,Nick Schall
0,silas James
0,Teh Yong
2,Jonah  Roberts 
4,David Erdley
6,Joshua Alger
6,Tyler Moore
17,Jacob Shade
19,Kyle Williamson
21,Morgan Vest
28,Joshua Bransford
34,Austin Do
42,Mitchell Palmer
42,Sam Gabrielson
45,Spencer Neher
50,Jeremy Steinel
77,Goutham Kommanaboyina
b,r,e,a,k
American,20
teamInfo,Stall 11,"Washington, District of Columbia",http://www.americanultimate.com/main-site#!__main-site,https://www.facebook.com/stall11,twitter.com/AU_Ultimate/
00,Aidan Fox
00,Alexander Wang
00,Alexander Werner
00,BRAD RICHARDS
00,Dylan Johnson
00,Ethan Damiano
00,Francis Peabody
00,Gabe Bichinho
00,Ian Proctor
00,Keun Won Lee
00,Luc Marzano
00,Matthew Schilke
00,Ryan Chung
00,Ryan Trismen
00,Sultan Almojel
00,Tim McPhillips
00,Will Kim
b,r,e,a,k
Georgetown,10
teamInfo,Catholic Justice,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,https://www.facebook.com/CatholicJustice,https://twitter.com/GeorgetownUlti
0,Paul Castaybert
1,Dylan Kreher
3,David Fitzpatrick
4,Zachary Hankin
6,Logan Willits
7,Matthew Cullom
8,Perry Cao
10,Maximilian Cohen-Casado
11,Schuyler Colloredo-Mansfeld
13,Eamon Coburn
17,Eric Diestelow
18,Jack Romp
19,Anthony Bernard-Sasges
21,Jonathan Toib
22,Thomas Elbert
25,Richard Trevithick
27,Danie Fain
29,Cullen Dobbs
30,Christian Boxley
31,Blake Spangler
33,Luke Curran
35,Michael Stricker
45,Ian Woods
77,David Wilke
84,Harry Bellwoar
88,Kunwoo Shin
96,John Montesanto
98,Christopher Dunn
b,r,e,a,k
Virginia,11
teamInfo,Night Train,"Charlottesville, Virginia",http://nighttrainultimate.com,,https://twitter.com/nighttrainatuva
2,John Bagli
3,Jacob Hartzler
4,Bryce Foster
5,Quinn Hermann
7,Kevin Sutyla
8,James Godwin
9,Kevin  Niu
10,Alexander Rudin
11,Ryan French
12,Corey Sostre
13,Josh Barnard
15,Taylor Shuford
17,Will Heslop
19,Christopher Zaino
22,Sawyer Linde
23,Alexandre Fall
24,Jake Karton
27,Joe Spaeth
30,Danny Krug
30,Robby Keough
31,Alex Turney
32,John Scoville
33,Tanner Dellett-Wion
41,Thomas Owen
44,Jack Pipatti
70,Lincoln Hirn
74,Derek Schauss
78,Isaac Roberts
85,Coleman Dickerson
b,r,e,a,k
East Carolina,18
teamInfo,Irates,"Greenville, North Carolina",,https://www.facebook.com/ECUUltimateFrisbee,https://twitter.com/ECUUltimate
0,Brandon Woods
3,Kyle Davis
4,Thomas Schiltz
9,Thomas Follett
10,Alexis Lopez
12,Ismail Kassim
14,Zachary Baldwin
17,Avery Feagans
22,Ryan McCabe
23,Taylor Crotts
26,Jay Harrill
27,Jacob Klug
30,Hunter Gibbs
31,Andrew Vande Berg
43,Alexander Lesko
57,Domenick Muoio
68,Jack Schenk
72,Benjamin Landry
87,Noah Munn
99,Thomas Miller
b,r,e,a,k
Rowan,19
teamInfo,Ruf Riders,"Glassboro, New Jersey",,,
0,Collin Westcott
0,Cornelius Middleton
0,Dallin Eggert
0,Eneris Nurja
0,Eric Weber
0,James Dailey
0,Jeffrey Nelson
0,Joseph Marshall
0,Matt Stone
0,Michael Burch
0,Robert Alberino
0,Scott Pleban
0,Vincent Kuprat
12,Nick Setaro
36,Chris Kelly
81,Troy Zirkel
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
William & Mary,Pennsylvania,12,8,"03/24/2018, 10:50",Pool A,Final
Tufts,Pennsylvania,13,5,"03/24/2018, 12:40",Pool A,Final
Tufts,William & Mary,12,11,"03/24/2018, 14:30",Pool A,Final
pool,Pool B
Dartmouth,James Madison,13,9,"03/24/2018, 10:50",Pool B,Final
Carnegie Mellon,James Madison,13,6,"03/24/2018, 12:40",Pool B,Final
Carnegie Mellon,Dartmouth,9,10,"03/24/2018, 14:30",Pool B,Final
pool,Pool C
Temple,George Washington,13,7,"03/24/2018, 10:50",Pool C,Final
Luther,Edinboro,13,2,"03/24/2018, 10:50",Pool C,Final
Temple,Edinboro,13,0,"03/24/2018, 12:40",Pool C,Final
Luther,George Washington,13,8,"03/24/2018, 12:40",Pool C,Final
Temple,Luther,13,9,"03/24/2018, 14:30",Pool C,Final
George Washington,Edinboro,13,1,"03/24/2018, 14:30",Pool C,Final
pool,Pool D
Middlebury,Virginia Commonwealth,13,8,"03/24/2018, 09:00",Pool D,Final
Johns Hopkins,Virginia Commonwealth,10,13,"03/24/2018, 12:40",Pool D,Final
Middlebury,Johns Hopkins,13,11,"03/24/2018, 14:30",Pool D,Final
Johns Hopkins,North Carolina (B),8,12,"03/24/2018, 15:00",Pool D,Final
Middlebury,North Carolina (B),13,7,"03/24/2018, 18:40",Pool D,Final
Virginia Commonwealth,North Carolina (B),10,13,"03/24/2018, 20:30",Pool D,Final
pool,Pool E
Lehigh,Duke,5,13,"03/24/2018, 09:00",Pool E,Final
George Mason,American,12,9,"03/24/2018, 09:00",Pool E,Final
Lehigh,American,13,7,"03/24/2018, 10:50",Pool E,Final
George Mason,Duke,8,13,"03/24/2018, 10:50",Pool E,Final
Lehigh,George Mason,13,12,"03/24/2018, 14:30",Pool E,Final
Duke,American,13,5,"03/24/2018, 14:30",Pool E,Final
pool,Pool F
Georgetown,East Carolina,11,7,"03/24/2018, 09:00",Pool F,Final
Virginia,Rowan,10,6,"03/24/2018, 09:00",Pool F,Final
Georgetown,Rowan,13,5,"03/24/2018, 10:50",Pool F,Final
Virginia,East Carolina,10,5,"03/24/2018, 10:50",Pool F,Final
Georgetown,Virginia,12,11,"03/24/2018, 12:40",Pool F,Final
East Carolina,Rowan,13,10,"03/24/2018, 12:40",Pool F,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Tufts,William & Mary,9,10,"03/25/2018, 14:30",Finals,Final
Tufts,Carnegie Mellon,10,8,"03/25/2018, 12:30",Semis,Final
William & Mary,Georgetown,13,10,"03/25/2018, 12:30",Semis,Final
Tufts,Duke,14,9,"03/25/2018, 08:30",Quarters,Final
Lehigh,Carnegie Mellon,7,12,"03/25/2018, 08:30",Quarters,Final
William & Mary,James Madison,15,6,"03/25/2018, 08:30",Quarters,Final
Georgetown,Dartmouth,11,10,"03/25/2018, 08:30",Quarters,Final
Tufts,Virginia Commonwealth,13,7,"03/24/2018, 16:20",Pre Quarters,Final
Middlebury,Duke,10,13,"03/24/2018, 16:20",Pre Quarters,Final
Pennsylvania,Lehigh,9,13,"03/24/2018, 16:20",Pre Quarters,Final
Carnegie Mellon,Luther,13,6,"03/24/2018, 16:20",Pre Quarters,Final
William & Mary,North Carolina (B),12,7,"03/24/2018, 22:20",Pre Quarters,Final
James Madison,Virginia,13,12,"03/24/2018, 16:20",Pre Quarters,Final
Temple,Georgetown,11,13,"03/24/2018, 16:20",Pre Quarters,Final
Dartmouth,George Washington,13,6,"03/24/2018, 16:20",Pre Quarters,Final
bracket,3rd place
Carnegie Mellon,Georgetown,10,5,"03/24/2018, 14:30",Finals,Final
bracket,5th place
Duke,James Madison,11,12,"03/25/2018, 12:30",Finals,Final
Duke,Dartmouth,12,10,"03/25/2018, 10:30",Semis,Final
James Madison,Lehigh,11,8,"03/25/2018, 10:30",Semis,Final
bracket,7th place
Dartmouth,Lehigh,11,9,"03/25/2018, 12:30",Finals,Final
b,r,e,a,k
brackets,9th Place
bracket,9th place Game 1
Middlebury,Luther,15,12,"03/25/2018, 10:30",Finals,Final
Pennsylvania,Middlebury,9,12,"03/25/2018, 08:30",Semis,Final
Virginia Commonwealth,Luther,13,14,"03/25/2018, 08:30",Semis,Final
bracket,11th place Game 1
Pennsylvania,Virginia Commonwealth,12,9,"03/25/2018, 10:30",Finals,Final
bracket,9th place Game 2
Temple,Virginia,13,8,"03/25/2018, 12:30",Finals,Final
Temple,North Carolina (B),11,6,"03/25/2018, 16:30",Semis,Final
Virginia,George Washington,13,11,"03/25/2018, 10:30",Semis,Final
bracket,11th place Game 2
North Carolina (B),George Washington,11,8,"03/25/2018, 18:30",Finals,Final
b,r,e,a,k
clusters,Consolation
cluster,Consolation
Edinboro,Johns Hopkins,0,8,"03/25/2018, 08:30",,Final
George Mason,East Carolina,10,11,"03/25/2018, 08:30",,Final
East Carolina,American,11,6,"03/25/2018, 10:30",,Final
George Mason,Rowan,15,8,"03/25/2018, 10:30",,Final
Edinboro,American,8,13,"03/25/2018, 12:30",,Final
Johns Hopkins,Rowan,13,11,"03/25/2018, 12:30",,Final
Edinboro,George Mason,3,15,"03/25/2018, 14:30",,Final
Johns Hopkins,East Carolina,F,W,"03/25/2018, 14:30",,Final
American,Rowan,5,4,"03/25/2018, 14:30",,Final
b,r,e,a,k
