Mid-Atlantic Mixed Regionals,Club - Mixed ,12,9,2015
Poolesville,MD,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
AMP,1
9,Peter Anderson
11,Alex Srisuwan
12,Molly Fisher
13,Varun Pattani
14,Colleen Marshall
16,CHASE RAINES
17,Benjamin Green
19,Kelsey Hales
20,Noah David
21,Kyle Khalifa
22,ANDREW SIGAL
27,Jacqui Rhodes
30,Kyle Fredericks
31,Andrew Ferraro
42,Laura Pape
55,Max Rhodes
99,Joseph Richards
b,r,e,a,k
Bang!,3
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/clickclickbangultimate,https://twitter.com/WCbangultimate
0,Hannah Shabanowitz
0,JILL ROE
0,Christopher Pokorny
0,Dustin Sullivan
0,CHRISTINA LAMMEY
0,Zach Thurston
0,Kyle Wolf
0,LISA GONZALEZ
0,Matt Sherman
0,Greg Martin
0,Beata Artz
0,Julie Bowers
0,Sarah Roberts
0,RYAN ROBERTS
0,Matt Stavinga
0,MATT HORNSTEIN
0,Steve Rosso
8,Luke Ryan
9,Katelyn Stavinga
21,Regina Wilkinson
32,Jeffrey Andrews
35,Ryan Forster
43,Daniel O'Connor
72,Michael Martin
74,David Kelly
82,John Protopapa-Henkel
b,r,e,a,k
Dub Club,13
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/dubclubultimate,https://twitter.com/DubClubUltimate
0,Emily Smulowitz
0,Rachel Crew
0,David Broome
0,Lindsay McKenna
0,Ashley Cantasano
0,Jimmy Thomas
0,Steven Broome
0,Ben Crescenzo
0,Will Hoehne
0,Eric Lachance
0,AARON HEATH
0,Stephen Magerr
0,Francesca Crespo
0,Emily Polefka
6,Jessica Brand
8,Liz Hart
10,Ryan Dealy
17,Devin Foster
18,Adam Novak
19,Courtney Potts
30,Austin Doucette
34,Joshua Romani
44,Nicholas Moon
65,Robert Yu
b,r,e,a,k
Distelfink,12
teamInfo,,"Lancaster, Pennsylvania",,,
03,Scott Neupauer
