DIII Easterns 2015,College - Men ,20,3,2015
North Myrtle Beach,SC,2015-03-20,2015-03-22
https://play.usaultimate.org/events/DIII-Easterns-2015/schedule/Men/CollegeMen/
SUNY-Geneseo,1
teamInfo,Snail,"Geneseo, New York",,,@geneseoultimate
7,David Abbott
08,Matthew Rybak
09,Mitchell Harris
11,Patrick Stegemoeller
12,Matthew Hepburn
13,Dillon Peterson
15,Christopher Brighton
17,Colin Peartree
18,Kevin O'Connor
20,Matt Fuller
22,Matthew Keys
23,Stephen Ruswick
24,Gabriel Ponce
34,Jacob Owen Ryder
35,Galen Gibian
39,Daniel Stern
42,Kevin Burke
72,Matthew Viglucci
99,Samuel Devine
b,r,e,a,k
Elon,2
teamInfo,Elon,"Elon, North Carolina",https://sites.google.com/a/elon.edu/elonultimate/,,
1,SPENCER DEAN
7,RYAN DURR
9,DREW JOHNSON
10,Alexander Taylor
11,WILLIAM-CLAYTON SCOFIELD
12,Evan Miceli
17,GARY SLAFF
17,Charles  Racioppo
18,Jeremy Lonnman
20,BRIAN SZYMANSKI
24,Jordan August
27,Andrew Manca
43,James Burnham
50,Paul Kantlehner
69,James Fariello
74,Christopher Stoll
81,Caleb Heimburger
84,Andrew Rogers
88,John Sisson
94,Daniel Thorrens
99,DEVON LAFRANCE
b,r,e,a,k
Amherst,3
teamInfo,Army of Darkness,"Amherst, Massachusetts",,,
0,Nathan Sacks
0,SAMUEL HENDEL
0,RJ KERMES
1,ERIC STEINBROOK
2,Owen Marschall
3,Jonathan Che
4,Alexus Strong
6,Robert (Bob) Neel
9,MAPATE DIOP
10,Andrew Edelman
14,KEVIN HOOGSTRATEN
15,Juleon Robinson
16,Lucas Giaco Robert Corsiglia
19,Andrew Chang
25,Zack Stern
28,Hannes Buck
42,EDWARD KLEINER
43,Kevin Goldberg
54,Fawzi Itani
57,JOHN SATALOFF
80,PETER SUECHTING
90,Allen Krieg
99,Barrett King
b,r,e,a,k
Indiana Wesleyan,6
teamInfo,Huck Dynasty,"Greenwood, Indiana",iwuultimate.com,https://www.facebook.com/IWUultimate,https://twitter.com/IWU_Ultimate
01,Lucas Mendel
02,Zakk Mabrey
04,Nikolas Evans
07,CALEB LIGHT
09,Liz DeMoss
11,Shane Toombs
12,Nick Martens
13,Derric Gowan
14,Kiana Broadley
15,Matthew Wiegmann
21,Benjamin Geyman
22,Caleb Clendaniel
23,Xavier Payne
24,Chris Carter
31,Michael  Lupinetti
35,Ethan Mueller
37,Travis Carpenter
72,Clint Carson
77,Jon Clark
99,Trent Blaser
b,r,e,a,k
Middlebury,14
teamInfo,Pranksters,"Middlebury, Vermont",go.middlebury.edu/uf,,twitter.com/pranksters69
0,Sam Hage
0,NICHOLAS CAMINITI
0,Tyler Sheldon
0,Andrew Bridgers
0,Nathaniel Henning
0,Philip Chang
0,Asa Julien
0,Jake Simon
0,Ari Grant-Sasson
0,CODY CINTRON
0,Connor Levesque
0,Connor Hanify
0,William Knox
0,Brendan Willerford
0,Gabe Doble
3,Nick Tuta
11,JASON MILAN
14,Ian McInerney
26,JACOB BRADY
45,Jacob Hobbie
69,SAM TAUKE
b,r,e,a,k
Oberlin,12
teamInfo,Flying Horsecows,"Oberlin, Ohio",,,
0,Robert Lewis-Nash
0,Eoin Mullaney
0,Conrad Schloer
0,Benjamin Garbus
0,MIKE PLOTZ
0,TY WAGNER
0,Alexander Abramowitz
0,Eric Thompson
0,Peter LaFreniere
0,Steve Meyer
0,Elliot Sakach
0,Henry Rice
0,REMINGTON SCHNEIDER
0,Jy Francis
0,Eli Steiker-Ginzberg
0,JACOB GILBERT
0,Evan Holliday
8,Jason Freedman
12,Tobias Harvey
12,Ben Rabin
b,r,e,a,k
Rensselaer Polytech,15
