TCT Elite-Select Challenge 2015 (Oshadega Invite),Club - Men ,11,7,2015
Hilliard,OH,2015-07-11,2015-07-12
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2015/schedule/Men/Club-Men/
Florida United,8
teamInfo,,"Orlanpahasseville, Florida",,https://www.facebook.com/FloridaUnited,@FloridaUnited
03,James Dahl
08,Bennett Wachob
10,Andrew Roney
12,Travis Catron
13,Alton Gaines
17,Morgan Bambace
23,Billy O'Bryan
30,Chris Gibson
32,Andrew Roca
33,John Best
37,Peter van de Burgt
39,Jordan Huston
75,Ryan Chard
75,Stuart Little
92,Jason Silverman
b,r,e,a,k
Sockeye,1
teamInfo,,"Seattle, Washington",seattlesockeye.org,,@seattlesockeye
coaches,Roger Crafts
01,Donald Clark
02,John Raynolds
03,Mario O'Brien
04,ALEXANDER LENON
06,Phil Murray
07,Jacob Speidel
08,Matthew Rehder
10,Adam Simon
11,Reid Koss
13,Dongyang Chen
14,Kenneth Lim
16,Mark Burton
17,Zane Rankin
18,Matthew Russell
20,Michael Caldwell
21,Jesse Bolton
22,Spencer Wallis
23,Danny Karlinsky
25,Frank Devin Barich
28,Duncan Linn
33,Samuel Hart
55,Will Chen
70,Julian Hausman
97,Zack Smith
b,r,e,a,k
Inception,13
teamInfo,,"Denver, Colorado",http://inceptionultimate.com/,https://www.facebook.com/inceptionultimate,@inceptiondisc
0,Mark Rauls
2,Tim Hopp
4,Jack Drumright
8,Philip Sun
9,Coit Stevenson
15,Gabe Goodhart
17,ERIC MATTHYS
18,JAMIE SHOREY
21,Andrew Thompson
23,Vincent Ciaramitaro
24,Matt Bubernak
28,Joel Crandall
34,BRUCE TUSCHHOFF
36,Ryan Lacy
36,Gabe Stump
40,Samuel Hotaling
42,Andrew Priester
55,Owen Martin
83,Zachary Nager
88,Wil St. Charles
b,r,e,a,k
Omen,12
teamInfo,,"Orlando, Florida",http://www.omenultimate.com/,,@OmenUltimate
0,MICHAEL ANTHONY
0,Brawley Adams
0,Zachary Hollis
0,MATTHEW TWILLEY
0,James Dobson
0,Kyle Lockwood
0,Robert Lenoci
8,Alex Bullock
01,Charles Andrews
05,Quint Wharton
10,MATTHEW CAPP
13,Zachary Marks
17,Matthew Carlson
23,Daniel Jakob
33,Andrew Allen
34,GARRETT PELTON
44,DAVID HANKIN
89,Alejandro Palomino
b,r,e,a,k
Doublewide,2
teamInfo,,"Austin, Texas",http://www.doublewidetx.com/,https://www.facebook.com/DoublewideUltimate,https://twitter.com/doublewidetx
0,ZACH RIGGINS
0,Kevin Richardson
0,Matthew (Skip) Sewell
7,Kurt Gibson
00,Brandon Malecek
06,Michael Matthis
08,ANDREW WATSON
10,Steven Darroh
11,TREY LAMASTRES
12,Andrew Walch
14,Michael Cramer
19,Ethan Pollack
22,KIRAN THOMAS
24,Rory Orloff
28,Daniel Emmons
33,Ryan Purcell
42,Ryan Bigley
49,Caleb Denecour
52,John Walden
b,r,e,a,k
HIGH FIVE,7
teamInfo,,"Ohio &, Michigan",,https://www.facebook.com/MichiganHighFive,https://twitter.com/HighFiveUlti
01,Alex Edinger
02,HAMZA DODO
03,Matt Wilken
04,Nick Hamilton
05,Austin Engel
06,James Highsmith
07,John-Michael Guest
08,JESSE WOHL
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
14,Mike Bruce
15,Connor Haley
16,Kevin Coulter
17,NATE BOTTI
19,Paul Arters
20,Eliot Alexander
21,Ben Ayres
22,Michael Dagher-Margosian
23,Benjamin Whiteman
28,Michael Jahn
33,EVAN PRIEST
34,Jesse Buchsbaum
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
b,r,e,a,k
Garden State Ultimate,11
teamInfo,,"Princeton, New Jersey",,,@gardenstateulti
coaches,Eileen Murray
0,Neil Butler
