Boston Invite 2015,Club - Men ,20,6,2015
Devens,MA,2015-06-20,2015-06-21
https://play.usaultimate.org/events/Boston-Invite-2015/schedule/Men/Club-Men/
Garuda,1
teamInfo,,"Boston, Massachusetts",modules/common/GarudaUltimate.com,modules/common/www.facebook.com/BostonGaruda,https://twitter.com/garudaultimate
coaches,Micah Flynn
0,Hartley Greenwald
0,DYLAN WOLFF
2,Henry Brecher
00,Brian Clarkson
00,Michael Sender
00,Ben Krupp
00,Emmett Blau
00,Victor Luo
00,Jordan Taylor
00,Tanner Halkyard
00,Carl Frederik Brasz
00,Timothy Spittle
00,TERRY ROTH
00,Nicholas Roberts
00,Thomas Edmonds
01,Alex Foo
07,DAMIEN LAZAR
11,Mat Little
14,Devon Williams
27,Ryan Brown
27,Justin Ondrof
33,Jonah Guerin
83,Alex Dagley
b,r,e,a,k
Galaxy Swag Universe,8
teamInfo,,"Princeton, New Jersey",,,
0,GEOFFREY IRVING
0,Andrew Manganelli
0,FRANKLIN LI
0,RYAN SCHWARTZ
0,Jacob Price
0,Peter Kalmakis
0,Bo Li
0,DEREK YAN
0,Andrew Lehmberg
0,Saul Graves
0,Matthew Wilson
0,Andrew O'Connor
0,Wesley Chen
0,ADAM GOLDBERG
0,ZACHARY SMITH
0,Marc Sands
0,Neil Butler
0,Sean Mott
1,Matt Chun
4,Gregory Stolowski
8,Peter Jimenez
9,Kevin Wang
11,Scott Xu
25,Charlie Patten
82,Marques Brownlee
84,Christopher McGlynn
b,r,e,a,k
Red Tide,5
teamInfo,,"Portland, Maine",modules/common/www.redtideultimate.com,,
0,Brian York
0,AIDAN PENN
0,AUGUST MILLER
0,Toby Jacobs
0,Josh Imhoff
0,Andrew (Andy) Aikens
0,Alberto Morales
0,Lucas Hickok
0,Troy Goddu
0,Henry Babcock
0,Michael Pistrang
0,Daniel Butler
0,Jackson Berman
0,Andre Clement
4,Jordan Richmond
7,Jonathan Gilbert
9,Stephen Banning
12,Michael Carando
12,Raynor Large
12,Walter Chacon
13,NICHOLAS PLUMMER
13,Chase Baker
22,SAWYER WOOD
31,Neil Franklin
71,Denis Maguire
97,CODY STACK
b,r,e,a,k
Phoenix,4
teamInfo,,"Ottawa, Ontario CA",,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
0,MIKE LEE
0,Mathew Goodkey
0,Patrick Keenan
2,Mathew Berg
3,Scott Westwell
4,Luke Phelan
5,Jordan McGregor
7,Geoffrey Bevan
11,Owen Watt
12,Matthew Hogel
13,ANDY COREY
19,Bryce Ring
21,Colin Froats
60,ALEX MCCARDLE
b,r,e,a,k
Dark or Light,2
teamInfo,,"Amherst, Massachusetts",,,https://twitter.com/DorLultimate
0,Leland Rege-Colt
0,Solomon Maerowitz-McMahan
0,Timothy Bobrowski
0,Brent Anderson
0,JAMES BRESS
0,Joe Costello
0,Jeffrey Babbitt
0,GEORGE MILNE
0,Benjamin Tseytlin
0,Greg Wobst
0,Jeffrey Dreyfus
0,Ryan Rzepka
0,John Korber
0,Spencer Diamond
1,Luke Webb
9,Robin Stewart-Demartino
14,Kai DeLorenzo
21,Manit Munshi
b,r,e,a,k
Big Wrench,6
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.weebly.com/,https://www.facebook.com/BigWrenchUltimate,https://twitter.com/BigWrenchUlt
0,Ryan Colarusso
2,LOCK WHITNEY
7,Andrew Zaccardi
00,Benjamin Wittenberg
00,Jacob Saunders
00,Matthew Rogers
00,ERIC WILBURN
00,Benjamin Gagne-Maynard
00,Noah Newberger
00,DAN FORSETER
00,Sam Kittross-Schnell
00,David Lyle
00,Hansen Yang
00,NICHOLAS SILBART
00,Jason Shnipes
00,Victor Zhivich
03,Robby Perkins-High
12,TREVOR SANDERS
13,JOSH ADLER
14,Patrick Kelsey
17,Samuel Zuckernik
27,Jordan Kaufman
35,Piers MacNaughton
69,Stephen Krajeski
b,r,e,a,k
Elements,3
teamInfo,,"Quebec city, Quebec CA",,,
0,JOSEPH GENEST
0,Tyler Ganes
0,LOUIS-PHILIPPE F. DION
0,FRANCIS BRETON
2,Gamache Vincent
03,Charles-David Hendriks
05,WILLIAM ANDREWS
07,ERIC DION
08,Christian Picard
12,Philippe BELANGER-DORVAL
14,JOEL RUELENS-LEPOUTRE
20,SIMON BELANGER
22,Émile Bois
23,ADRIEN BERNIER NADEAU
27,MIGUEL GODERRE
28,PATRICK LAROUCHE
31,SAMUEL LANGLOIS
43,JEROME BOUCHER
85,MARTIN FORGET
b,r,e,a,k
Red Circus,7
teamInfo,,"Halifax, Nova Scotia CA",,,
0,Chris Gordon
0,Paolo Mascarin
0,Scott Hansen
0,Stephen Creaser
0,patrick Berrigan
0,James McKenna
0,GREG VANSLYKE
0,Luke Martelli
0,John Walsh
0,David Sharpe
0,MICHAEL THORNE
5,David Archibald
8,Chris Cowper-Smith
11,ALEX HINCHEY
12,Tyler Smith
16,Martin James
19,Sam Cameron
21,Gavin Gray
34,Natan Adelman
44,Travis Foster
56,Dennis Trainor
80,Hannes Becker
b,r,e,a,k
Colt,12
teamInfo,,"Southington, Connecticut",,,
0,Jeffrey Adams
0,Kyle Saroka
0,Pat Kunkel
0,Daniel Reilly
0,RYAN POSSARDT
0,Bryan Forman
0,Kevin Chubet
0,Gavin Clemmey
0,Corey Danko
0,Andre Martinez
4,Nick DiOrio
9,Patrick Laramee
9,Maxwell Langevin
14,Joseph Ouellette
16,David Roussel
20,Will Percival
21,Kendrik Lechner
25,Richard McFadden
25,Jake Hansen
28,Ben Weyers
32,Zach Grappone
37,David Griffin
50,Brendan Loyot
52,Ryan Strobel
66,Garrett Santi
81,Alex Morrone
99,Timmer Farrell
b,r,e,a,k
Bruises,9
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/bruisesultimate,https://twitter.com/bruisesultimate
00,Dennis Maclaine
00,Paul LeMay
00,John Sullivan
00,Ryan Cardinal
00,Alec Parzych
00,Elan Kane
00,ERIC STEINBROOK
00,Patrick Jerome
00,Walter Aspinwall
00,Ryan Woodhouse
00,Zackery Smith
00,Micah Botkin-Levy
00,Russell Katz
00,Bryan Finney
00,Alex Caulfield
00,Benyamin Meschede-Krasa
01,Anthony Bevilacqua
04,Travis Ellyson
08,BRIAN BEAULIEU
11,Patrick Collins
12,BRENDAN NICHOLS
13,CHARLES MCBRIDE
15,Craig Bunce
17,DEREK STEVENS
46,AJ Hutchins
73,Brendan Blaney
81,ERIC RATHBUN
b,r,e,a,k
NSOM,13
teamInfo,,"Montreal, Quebec CA",https://www.nsomultimate.com,https://www.facebook.com/nsomultimate,https://twitter.com/NSOMultimate
0,Philippe Camire
0,Daron Byerly
0,Jean-Francois Trudel
0,RYAN JAREMA
0,MARTIN LABELLE
3,PIERRE-LUC LANDRY
5,Luc Drouin
7,ALEXIS PAPADIMITRIOU
10,STEVE LAFORTUNE
14,MATHIEU DUSSAULT
22,SACHA LOUTFI
