Southeast Men's Regionals,Club - Men ,12,9,2015
Advance,NC,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Southeast-Mens-Regionals-2015/schedule/Men/Club-Men/
Florida United,1
teamInfo,,"Orlanpahasseville, Florida",,https://www.facebook.com/FloridaUnited,@FloridaUnited
coaches,Cyle Van Auken
02,Jeremy Langdon
03,James Dahl
04,Bobby Patterson
06,Tyler Kunsa
07,Danny Bumgarner
08,Bennett Wachob
09,Bobby Ley
10,Andrew Roney
11,Mischa Freystaetter
12,Travis Catron
13,Alton Gaines
14,Cole Sullivan
15,Dustin Travaglini
17,Morgan Bambace
18,Chris LaRocque
23,Billy O'Bryan
30,Chris Gibson
31,Andrew McKelvey
32,Andrew Roca
33,John Best
37,Peter van de Burgt
39,Jordan Huston
45,DANIEL PETRONIO
74,Stuart Little
75,Ryan Chard
92,Jason Silverman
b,r,e,a,k
Cash Crop,10
teamInfo,,"Triangle, North Carolina",,,
0,Matt Gouchoe-Hanas
0,Paul Weeks
0,Lucas Darden
0,Justin Baumann
0,Michael Neve
0,Nathan Goff
0,Ryan  Schanz
0,Jake Coleman
0,MICHAEL ZHOU
0,Alexander Taylor
0,Clayton Carey
0,Walker Matthews
0,Andrew Ryan
1,Mason Gardner
2,Solomon Yanuck
5,Danny Schmitt
6,Ben Maxson
7,Samuel Shearer
9,Jacob Mouw
10,Theran Riedel
12,Christopher Bonuel
14,Kiron Allen
18,Dain Nielsen
29,Mark Stumpf
31,Alex Kaja
76,Clayton Noblit
99,Joshua Hartzog
b,r,e,a,k
Right coast,8
teamInfo,,"Wilmington, North Carolina",,,
0,Austin McGrayne
3,Cale Ward
3,Colin White
00,Carlton  Rouse
00,WILKIN HANAWAY
00,Charlie Lian
00,Tommy Lamar
00,Frederick Hennighausen
00,MATT MASON
00,GABRIEL FULLER
00,William Stewart
00,Erik Esposto
00,Jake Gallagher
00,JAMES ROYAL
00,Kyle Warfel
00,Luke Hancock
00,Xavier Maxstadt
00,Jonathan Callahan
00,DANIEL MERCER
00,John  Wright 
00,Ian Hutton
00,Kevin Mateer
00,Cacey-Jane Bunch
00,Robert Goode
00,Grayson Sanner
00,Josh Norris
88,Dalton Vestal
b,r,e,a,k
