TCT Select Flight Invite 2015 (Diamond Bear Brouhaha),Club - Men ,15,8,2015
North Little Rock,AR,2015-08-15,2015-08-16
https://play.usaultimate.org/events/TCT-Select-Flight-Invite/schedule/Men/Club-Men/
Condors,1
20,Aric Powers
24,Taylor Stamps
28,Taren Goins
32,Drew Taylor
69,Clayton Adams
b,r,e,a,k
Southern Hospitality,5
teamInfo,,"Pine Apple, Alabama",,,https://twitter.com/SohoUltimate
0,Tanner Robinson
0,Andrew Francis
0,West Dickens
0,Chunghyun Kim
0,Preston Thompson
0,ANDREW WICK
0,Kenta Kawaguchi
0,Craig Anderson
0,Brian Walsh
0,MONTEZ JONES
0,Andrew Galiger
0,Matthew Hardman
0,Ryan James
0,Martin Newman
1,DANIEL GILSTRAP
5,Eric Sjostrom
5,Cody Smith
8,Timothy Martin
8,Patrick Dougherty
44,Benjamin Lamport
45,Nathan Oaks
85,Evan Boecking
99,Gabriel Bidot
b,r,e,a,k
Medicine Men,9
teamInfo,,"Baltimore, Maryland",,,
0,Ryan Vance
0,EVAN GROOPMAN
0,Joseph DiPaula
0,Cortland Broyles
0,Aidan McLeod
0,Joseph Patterson
0,MICHAEL CIPRIANO
0,Alex Kapiamba
0,Raymond Mendoza
0,BRETT BOYLE
0,PERRY GORGEN
0,Houston Parks
0,JOHN WALSH
0,Aaron Langley
6,Frederick Perlman
7,Bryant Dean
8,Troy Holland
9,Alexander Lichtenstein
15,Michael Malloy
27,ANDREW FICKLEY
29,Matthew Dennin
55,KIERAN BLAKEMORE
87,Matt Kerrigan
b,r,e,a,k
H.I.P,4
teamInfo,,"Houston, Texas",,,
0,Cody Holloway
0,Carlos Vargas
0,Chris Bennett
0,Joel Clutton
0,Patrick Marco
0,Kolby Janzen
0,Daniel Winter
0,Robert Lewis
0,Matthew Bierschenk
0,VINCENT RONCA
0,IAN SMITH
0,Nick Ochoa
2,Matthew Bennett
5,Chris Casey
7,Jordan Taylor
7,Ben Lewis
9,Peter Clarke
11,Dillon Larberg
14,Reid Bacon
16,Michael Hays
16,Chris Brooks
18,Kevin Land
21,Mitchell Bennett
23,Thomas Slack
27,Brandon Dial
99,ALEXANDER KYKTA
b,r,e,a,k
Rawhide,16
teamInfo,,"Tulsa, Oklahoma",,,
0,Alexander Cyr
0,Chris Thibeault
0,ALEXANDER KRIZ
0,Gabriel Sanchez
0,ANDREW BOYD
0,David Sanford
1,Chris Passmore
6,Merl Prichard
7,Tyler Tiger
14,Brad Folks
14,Robert Housh
36,Eric Hurd
47,Caleb Pleasant
58,COLIN CHILCOAT
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Condors,Jockamo,13,1,"08/15/2015, 08:00",Pool A,Final
Space City Ignite,Imperial,13,9,"08/15/2015, 08:00",Pool A,Final
Condors,Imperial,13,8,"08/15/2015, 10:00",Pool A,Final
Space City Ignite,Jockamo,13,11,"08/15/2015, 10:00",Pool A,Final
Condors,Space City Ignite,13,8,"08/15/2015, 12:00",Pool A,Final
Jockamo,Imperial,8,13,"08/15/2015, 12:00",Pool A,Final
pool,Pool B
Freaks Uv Nature,Riverside Ultimate,13,11,"08/15/2015, 08:00",Pool B,Final
Plex,Memphis Belle,13,11,"08/15/2015, 08:00",Pool B,Final
Freaks Uv Nature,Memphis Belle,13,7,"08/15/2015, 10:00",Pool B,Final
Plex,Riverside Ultimate,13,8,"08/15/2015, 10:00",Pool B,Final
Freaks Uv Nature,Plex,11,12,"08/15/2015, 12:00",Pool B,Final
Riverside Ultimate,Memphis Belle,10,11,"08/15/2015, 12:00",Pool B,Final
pool,Pool C
Inception,Cash Crop,13,9,"08/15/2015, 08:00",Pool C,Final
Ironmen,Dreadnought,13,8,"08/15/2015, 08:00",Pool C,Final
Inception,Dreadnought,13,6,"08/15/2015, 10:00",Pool C,Final
Ironmen,Cash Crop,13,14,"08/15/2015, 10:00",Pool C,Final
Inception,Ironmen,13,6,"08/15/2015, 12:00",Pool C,Final
Cash Crop,Dreadnought,13,4,"08/15/2015, 12:00",Pool C,Final
pool,Pool D
H.I.P,Medicine Men,13,11,"08/15/2015, 08:00",Pool D,Final
Southern Hospitality,Rawhide,13,5,"08/15/2015, 08:00",Pool D,Final
H.I.P,Rawhide,13,7,"08/15/2015, 10:00",Pool D,Final
Southern Hospitality,Medicine Men,10,13,"08/15/2015, 10:00",Pool D,Final
H.I.P,Southern Hospitality,8,13,"08/15/2015, 12:00",Pool D,Final
Medicine Men,Rawhide,13,7,"08/15/2015, 12:00",Pool D,Final
b,r,e,a,k
brackets,Men's Bracket Play
bracket,1st Place Bracket
Freaks Uv Nature,H.I.P,10,13,"08/16/2015, 12:00",1st Place Finals,Final
Freaks Uv Nature,Cash Crop,13,7,"08/16/2015, 10:00",1st Place Semis,Final
Inception,H.I.P,12,13,"08/16/2015, 10:00",1st Place Semis,Final
Condors,Freaks Uv Nature,11,13,"08/16/2015, 08:00",1st Place Quarters,Final
Southern Hospitality,Cash Crop,11,12,"08/16/2015, 08:00",1st Place Quarters,Final
Inception,Imperial,13,12,"08/16/2015, 08:00",1st Place Quarters,Final
Plex,H.I.P,10,11,"08/16/2015, 08:00",1st Place Quarters,Final
Freaks Uv Nature,Ironmen,13,9,"08/15/2015, 14:00",1st Place Prequarters,Final
Cash Crop,Memphis Belle,13,4,"08/15/2015, 14:00",1st Place Prequarters,Final
Imperial,Medicine Men,12,11,"08/15/2015, 14:00",1st Place Prequarters,Final
H.I.P,Space City Ignite,13,8,"08/15/2015, 14:00",1st Place Prequarters,Final
bracket,3rd Place
Cash Crop,Inception,11,12,"08/16/2015, 12:00",3rd Place Finals,Final
bracket,5th Place Bracket
Condors,Plex,13,12,"08/16/2015, 12:00",5th Place Finals,Final
Condors,Southern Hospitality,13,8,"08/16/2015, 10:00",5th Place Semis,Final
Imperial,Plex,6,13,"08/16/2015, 10:00",5th Place Semis,Final
bracket,7th Place
Southern Hospitality,Imperial,11,9,"08/16/2015, 12:00",7th Place Finals,Final
bracket,9th Place Bracket
Medicine Men,Space City Ignite,12,10,"08/16/2015, 12:00",9th Place Finals,Final
Ironmen,Medicine Men,10,13,"08/16/2015, 10:00",9th Place Semis,Final
Memphis Belle,Space City Ignite,8,13,"08/16/2015, 10:00",9th Place Semis,Final
bracket,11th Place
Ironmen,Memphis Belle,9,12,"08/16/2015, 12:00",11th Place Finals,Final
b,r,e,a,k
pools,Placement Pool Games
pool,Pool E
Jockamo,Dreadnought,6,13,"08/16/2015, 06:00",Pool E,Final
Riverside Ultimate,Rawhide,13,8,"08/16/2015, 06:00",Pool E,Final
Jockamo,Rawhide,13,9,"08/16/2015, 06:00",Pool E,Final
Riverside Ultimate,Dreadnought,9,7,"08/16/2015, 06:00",Pool E,Final
Jockamo,Riverside Ultimate,10,12,"08/16/2015, 06:00",Pool E,Final
Dreadnought,Rawhide,11,8,"08/16/2015, 06:00",Pool E,Final
b,r,e,a,k
