TCT Pro-Elite Challenge 2015 (Colorado Cup),Club - Women ,1,8,2015
Aurora,CO,2015-08-01,2015-08-02
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge/schedule/Women/Club-Women/
Brute Squad,1
teamInfo,,"Boston, Massachusetts",,,
coaches,Michael Zalisk
0,Amber Sinicrope
1,Sophia Herscu
1,Kameryn Groom
2,Courtney Kiesow
4,Courtney Verhaalen
5,Magon Liu
6,Claudia Tajima
9,Rebecca Ludford
11,Christie Kim
12,Dory Ziperstein
13,Becky Malinowski
14,Paula Seville
17,Angela Zhu
18,Leila Tunnell
19,Lien Hoffmann
20,Sarah Cook
21,Chelsea Murphy
22,Victoria Negus
23,Emily Baecher
24,Rachael Westgate
25,Shira Klane
26,Elana Schwam
28,Shellie Cohen
33,Laura Bitterman
39,Sydney Dobkin
44,FLANNERY MCARDLE
71,Cassandra Wong
b,r,e,a,k
Phoenix,12
teamInfo,,"Durham, North Carolina",http://phxultimate.wordpress.com,https://www.facebook.com/PHXUltimate?fref=ts,https://twitter.com/PhxUltimate
01,Lindsay Soo
02,Brooke Stanislawski
04,Chloe Greene
05,Jessica Jones
06,Qing (Jenny) Wei
07,Elizabeth Longmire
08,MEGAN TARASI
09,Jinny Riedel
10,Michelle Ng
13,Jenna Dahl
19,Rachel Johnson
20,Shannon Matzinger
21,Kyra Catabay
22,Heather Zimmerman
23,Meg Duffy
24,Mariel Hammond
26,JOHANNAH SANCHEZ-ADAMS
44,Katy Harris
61,Devon Ericksen
88,Christine Bookhout
b,r,e,a,k
Underground,13
teamInfo,,"Seattle, Washington",http://seattleunderground.wordpress.com/,https://www.facebook.com/SeattleUnderground,
coaches,Frank Nam
0,Aimie Kawai
0,Emily Beylerian
0,CHRISSIE SEILIE
0,Margaret Quinn
0,AnnaMaria Pape
0,KALEY BENDER
0,Natalie Powell
0,ELAINE LEUNG
0,Natasha Parman
0,Kimberly Tee
0,Noel Hanzel
0,Molly Sinnott
0,KATIE SILVERIA
0,Lindsey Wilson
0,Lindsay Simon
0,Ashley Chan
21,Nicola Bruce
21,Alex Fussell
23,Anh-Thu Chang
25,Emma Kahle
47,Alyssa Kelly
61,Kristin Poinar
71,Arianne Lozano
84,Hallie Dunham
b,r,e,a,k
Showdown,8
teamInfo,,"Austin, Texas",https://showdownultimate.wordpress.com/,https://www.facebook.com/pages/Texas-Showdown/242891214064,https://twitter.com/txshowdown
coaches,Adam Goff,Sean McCall
0,Laura Landis
0,Jennifer Schmerling
0,Elise Bjork
5,Andrea Esparza
9,Julie Eagle Malecek
10,Tiffany Schumacher
11,Katey Forth
11,Andrea Jacoski
13,ANGELA LEE
14,Edith Teng
14,Michelle Landis
16,Sarah Levinn
17,Marissa Land
28,Anne Ortiz
29,Michelle Arceneaux
33,Kayla Ramirez
33,Erin Schran
34,Madison Tomasek
44,Sharon Tsao
64,Lukiih Cuan
77,Keya Davani
99,JANEL VENZANT
b,r,e,a,k
Traffic,2
teamInfo,,"Vancouver, British Columbia CA",http://traffic-ultimate.com/,https://www.facebook.com/TrafficUltimate,@traffic_ulti
0,KATE WERRY
0,Michelle Ning
0,Jennifer Kwok
0,Devra Waldman
0,ELLEN SCHELEW
0,Allison Short
0,Katie Berezan
0,Reanne Bowlby
0,Carolyn Churchland
0,Jessie Bell
0,Katie Hikida
0,Terri Whitehead
0,Catherine Menzies
0,Rachel Moens
0,Danie Proby
0,SANYA PLESHAKOV
0,Kat Pohran
0,Lauren Kimura
2,Laurel Jay
24,Yayuk Joffres
33,Laura Mason
44,Erin Bussin
b,r,e,a,k
Ozone,7
teamInfo,,"Atlanta, Georgia",modules/common/www.ozoneultimate.com,https://www.facebook.com/OzoneUltimate,@ozoneultimate
coaches,Chris Goodson
0,Leah Tsinajinnie
2,Emily Leonard
4,Alison Stargel
01,Celine Sledge
05,Katherine Wilson
07,Lane Siedor
08,Marissa Hannah
11,Caroline Pearson
14,Allison Snow
17,ANNA BUCHER
18,Hannah Leathers
21,Jin-Mi Matsunaga
24,Katherine Wooten
25,Katherine Hines
26,Cate Woodhurst
27,Meg Harris
31,Samantha Jones
32,Haley Reese
35,"Christina ""Flex"" Effertz"
44,Mira Walker
71,Angela Lin
b,r,e,a,k
Green Means Go,14
teamInfo,,"Philadelphia, Pennsylvania",http://greenmeansgoultimate.wordpress.com,https://www.facebook.com/PhillyGMG,https://twitter.com/PhillyGMG
coaches,Jeff George
0,Shannon Tsai
1,Lyra Olson
2,Margie Guy
6,Malti McKinnon
7,Danielle Byers
9,Joanne Burgess
03,Nikki Ross
05,YOLANDA SCARPATI
08,Whitney Viets
11,Vicki Chen
12,Katie Ryan
14,Sarah Gleeson
16,Kathryn Ritzmann
17,Eileen Peach French Regan
18,Elaine Dziemianowicz
19,Amel Awadelkarim
20,Danielle Walsh
23,Nichole Smith
24,Casey Gorman
26,Ashley Un
27,Hannah Short
29,Tina Yen
37,Joanna Chen
44,Natalie Gustafson
99,Jane Urheim
b,r,e,a,k
BENT,11
teamInfo,,"New York, New York",http://bentultimate.weebly.com,https://www.facebook.com/bentultimate,https://www.twitter.com/BentUltimateNYC
coaches,BRIAN LO
01,Alexi Zalk
02,Brittany Kaplan
03,Judy Jarvis
05,Katherine Cole
06,MICHELLE RYBAK
07,Rebecca Gibson
08,Miranda Moore
09,Jennie Lummis
11,Holly Fisher
12,Rebekah Souder-Russo
17,Elizabeth Pugh
19,Megan Randall
20,Martha Gregory
21,Cara Brown
22,Anna Membrino
23,BRITTANY SMITH
27,Akina Younge
28,Tiffani Teng
31,Lauren Doyle
32,Allison Kahn
41,Katie Talay
47,Anne Silver
77,Aideen Costello
82,Sophia Hulbert
88,Nastasia Tangherlini
b,r,e,a,k
Capitals,10
teamInfo,,"Toronto, Ontario CA",,https://www.facebook.com/pages/Capitals-Ultimate/125301100873962,https://twitter.com/capsultimate
0,SAMANTHA LOVAT
0,Alisha Zhao
0,TAWNYA GONZALEZ
0,Jessica Chen
0,SARA UDOW
0,PAULA Lester
0,Kaylee Sparks
0,REBECCA MACPHERSON
0,Andrea Kurahashi
0,MARIE-CHRISTINE JACQUES
0,Jordan Meron
0,KRISTINA COWAN
0,Laura Kinoshita
0,Sarah Innes
0,DARCY DRUMMOND
0,JESSIE WU
4,Sarah Kidd
6,Samantha Green
8,Hannah Dawson
12,Joey Cheung
13,Melissa Dunbar
14,Miriam Tingle
21,DANIELLE ROWLANDS
22,Sarah Bobak
77,HADIYA RODERIQUE
92,Vivianne Fortin
b,r,e,a,k
Nightlock,3
teamInfo,,"Bay Area, California",modules/common/nightlockult.com,modules/common/facebook.com/nightlockult,@nightlockult
coaches,PERI KURSHAN
0,Mallory Meiser
02,Marisa Rafter
03,Loryn Kanemaru
06,Monisha White
08,Rachel Habbert
09,Alexandra Stambaugh
10,Malina Wiebe
11,Iris Leung
12,Heather Waugh
13,Marie Laurenza
14,Emily Kolanz
15,KATHRYN (KATIE) BARRY
16,Jennifer Founds
18,SHANNON BUBB
19,Adrienne Lemberger
20,Bree Cahn
23,Sally Mimms
24,Natasha Won
25,Audrey Wei
26,Teresa Feng
27,Kira Lou
33,Carol Chen
77,Emily Prader
88,Alina Kagan
b,r,e,a,k
Heist,6
teamInfo,,"Madison, Wisconsin",http://heistultimate.wordpress.com/,https://www.facebook.com/heistultimate,https://twitter.com/HeistUltimate
3,Liza Minor
02,Rachael Romaniak
04,Robyn Fennig
05,Rose Glinka
06,CLAIRE JENCKS
08,Adrienne Wells
09,Haley Hudson
10,Alison Vandegrift
11,Eva Popp
12,Jasmine Draper-Matthew
13,Brittney Kokinos
14,Anna Hrovat-Staedter
17,KELLY WIESE
19,Kayla Emrick
20,Lauren Perucco
22,Arthi Padmanabhan
23,Anna Williams
25,Joann Wong
31,Mary VanDuyne
33,Emily Wehrwein
40,Amelia Cuarenta
42,Elizabeth Gronert
44,Hannah Frank
45,Becky LeDonne
49,Jennifer Moore
77,Laurel Schmidt
